Assamese,Punjabi
"১.এবাকাছ, ২. গণনা কৰি আছে","1. ਅਬੈਕਸ, 2. ਗਿਣਤੀ"
অস্বাভাৱিক অন্ত,ਅਸਧਾਰਨ ਅੰਤ
ইন্টাৰচেপ্ট,ਰੁਕਾਵਟ
"১.নিৰপেক্ষ, ২. পৰম","1. ਸੰਪੂਰਨ, 2. ਸੁਪਰੀਮ"
নিৰপেক্ষ ঠিকনা,ਪੂਰਾ ਪਤਾ
নিৰপেক্ষ ঠিকনাযোগ্যতা,ਸੰਪੂਰਨ ਪਤਾਯੋਗਤਾ
নিৰপেক্ষ এছেম্বলাৰ,ਪੂਰਨ ਅਸੈਂਬਲਰ
"১.নিৰপেক্ষ ক&#39;ড, ২. নিৰপেক্ষ ক&#39;ড","1. ਸੰਪੂਰਨ ਕੋਡ, 2. ਪੂਰਨ ਕੋਡ"
নিৰপেক্ষ আদেশ,ਪੂਰਨ ਹੁਕਮ
"১.নিৰপেক্ষ চিত্ৰ, ২. নিৰপেক্ষ তথ্য","1. ਸੰਪੂਰਨ ਅੰਕੜੇ, 2. ਪੂਰਨ ਡਾਟਾ"
নিৰপেক্ষ নিৰ্দেশনা,ਪੂਰਨ ਹਦਾਇਤ
নিৰপেক্ষ ধৰণ,ਪੂਰਨ ਮੋਡ
নিৰপেক্ষ পথ,ਪੂਰਨ ਮਾਰਗ
"1. নিৰপেক্ষ প্ৰগ্ৰেমিং, 2. নিৰপেক্ষ প্ৰগ্ৰেমিং","1. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ"
বিমূৰ্ত শ্ৰেণী,ਐਬਸਟਰੈਕਟ ਕਲਾਸ
বিমূৰ্ত তথ্যৰ ধৰণ,ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ
বিমূৰ্ত মেচিন,ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ
বিমূৰ্ত চিহ্ন,ਸੰਖੇਪ ਚਿੰਨ੍ਹ
বিমূৰ্ত বাক্যবিন্যাস,ਸੰਖੇਪ ਸੰਟੈਕਸ
গ্ৰহণযোগ্যতা পৰীক্ষা,ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟ
প্ৰৱেশ প্ৰমাণীকৰণ,ਪਹੁੰਚ ਪ੍ਰਮਾਣੀਕਰਣ
"1. প্ৰৱেশ ক&#39;ড, 2. প্ৰৱেশ ক&#39;ড","1. ਪਹੁੰਚ ਕੋਡ, 2. ਐਕਸੈਸ ਕੋਡ"
প্ৰৱেশ নিয়ন্ত্ৰণ,ਪਹੁੰਚ ਕੰਟਰੋਲ
অভিগম স্কেনিং,ਐਕਸੈਸ ਸਕੈਨਿੰਗ
আনুষংগিক বস্তু,ਸਹਾਇਕ ਉਪਕਰਣ
হিচাপ-নিকাচ,ਲੇਖਾਕਾਰੀ
"1. একাউণ্ট আইডি, 2. একাউণ্টিং চিনাক্তকৰণ","1. ਖਾਤਾ ID, 2. ਲੇਖਾ ਪਛਾਣ"
এক্যুলেটৰ,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
"১/ সঠিকতা, ২. শুদ্ধতা","1. ਸ਼ੁੱਧਤਾ, 2. ਸ਼ੁੱਧਤਾ"
প্ৰৱেশাধিকাৰ,ਪਹੁੰਚ
অভিগম নিয়ন্ত্ৰণ বাইটসমূহ,ਪਹੁੰਚ ਕੰਟਰੋਲ ਬਾਈਟ
প্ৰৱেশ সূচক,ਪਹੁੰਚ ਸੂਚਕ
অভিগম কি&#39;,ਪਹੁੰਚ ਕੁੰਜੀ
"1. অভিগম মেট্ৰিক্স, 2. অভিগম মেট্ৰিক্স","1. ਪਹੁੰਚ ਮੈਟਰਿਕਸ, 2. ਪਹੁੰਚ ਮੈਟਰਿਕਸ"
