Kannada,Bengali
ಅಸಹಜ,অস্বাভাবিক
ಸ್ಥಗಿತಗೊಳಿಸು,গর্ভপাত
ಸವೆದುಹೋಗುವಿಕೆ,ঘর্ষণ
ಹಠಾತ್ತಾಗಿ,আকস্মিক
ಸಂಪೂರ್ಣ ಕ್ಷೇತ್ರ ಶಕ್ತಿ,পরম ক্ষেত্র শক্তি
ಸಂಪೂರ್ಣ ತಾಪಮಾನ,পরম তাপমাত্রা
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,পরম মান
ಹೀರಿಕೊಳ್ಳಿ,শোষণ
ಹೀರಿಕೊಳ್ಳುವ ಸಹ-ಸಮರ್ಥ,শোষণ গুণাঙ্ক
ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ,শোষণ ক্ষতি
ಅಮೂರ್ತ,বিমূর্ত
ವೇಗವರ್ಧಕ ಮಾಪಕ,অ্যাক্সিলোমিটার
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,স্বীকৃতি পরীক্ষা
ಪ್ರವೇಶ,অ্যাক্সেস
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,প্রবেশাধিকার নিয়ন্ত্রণ
ಪ್ರವೇಶ,এক্সেস পয়েন্ট
ಪ್ರವೇಶ ಸಮಯ,প্রবেশাধিকার সময়
ಪ್ರವೇಶಿಸುವಿಕೆ,অ্যাক্সেসযোগ্যতা
ಸಂಚಯಕ ಕೋಶ,একুমুলেটর সেল
ನಿಖರತೆ,সঠিকতা
ನಿಖರವಾದ,নির্ভুল
ವರ್ಣರಂಜಿತ ಮಸೂರದ,অ্যাক্রোমেটিক লেন্স
ಆಮ್ಲ,অ্যাসিড
ಆಮ್ಲ ಪುರಾವೆ,অ্যাসিড প্রুফ
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,অম্লতা
ಸ್ವೀಕೃತ ಬಿಟ್,স্বীকৃতি বিট
Acೇಳ್ಳರದ,অ্যাকোস্টিক
ಅಕೌಸ್ಟಿಕ್ ಸಂವಹನ,অ্যাকোস্টিক যোগাযোগ
ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ,অ্যাকোস্টিক প্রসারণ
ಅಕೌಸ್ಟಿಕ್ ಸಮೀಕರಣ,অ্যাকোস্টিক ইকুয়ালাইজার
ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ,অ্যাকোস্টিক প্রতিক্রিয়া
ಕೊಳೆತ ಫಿಲ್ಟರ್,অ্যাকোস্টিক ফিল্টার
ಸಕಲಿಯ ಪ್ರತಿರೋಧ,শব্দের সংরোধ
ಅಕೌಸ್ಟಿಕ್ ಮರೆಮಾಚುವ,অ্যাকোস্টিক মাস্কিং
ಅಕೌಸ್ಟಿಕ್ ಶಕ್ತಿ,অ্যাকোস্টিক শক্তি
ಅಕೌಸ್ಟಿಕ್ ಆಸ್ತಿ,অ্যাকোস্টিক সম্পত্তি
ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ,অ্যাকোস্টিক রিঅ্যাক্ট্যান্স
ಅಕೌಸ್ಟಿಕ್ ರಿಫ್ಲೆಕ್ಸ್,অ্যাকোস্টিক রিফ্লেক্স
ಅಕೌಸ್ಟಿಕ್ ಟೈಲ್,অ্যাকোস্টিক টাইল
ಸ ೦ ವರ ತರಂಗ,অ্যাকোস্টিক তরঙ্গ
ಅಕೌಸ್ಟಿಕ್ ಹೀರಿಕೊಳ್ಳುವಿಕೆ,শাব্দিক শোষণ
ಅಕೌಸ್ಟಿಕ್ ಅಟೆನ್ಯೂಯೇಷನ್ ​​ಸ್ಥಿರ,শাব্দিক মনোযোগ ধ্রুবক
ಕೊಳೆತ ಡ್ಯಾಂಪಿಂಗ್,শাব্দিক স্যাঁতসেঁতে
ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ,শাব্দিক বিলম্ব লাইন
ಅಕೌಸ್ಟಿಕ್ ಅಸ್ಪಷ್ಟತೆ,শাব্দিক বিকৃতি
ಅಕೌಟಿಕಲ್ ನಾಳ,শাব্দিক নালী
ಅಕೌಟಿಕಲ್ ಶಕ್ತಿ,শাব্দিক শক্তি
ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ,শাব্দিক প্রতিক্রিয়া
ಕೊಳೆತ ಫಿಲ್ಟರ್,শাব্দিক ফিল্টার
ಕೊಳೆತ ಪ್ರತಿರೋಧ,শাব্দিক প্রতিবন্ধকতা
ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ ಸ್ಥಿರ,শাব্দিক প্রচার ধ্রুবক
ಅಕೌಟಿಕಲ್ ಪ್ರತಿರೋಧ,শাব্দিক প্রতিরোধের
ಅಕೌಸ್ಟಿಕ್ ವಿಂಗಡಣೆಯ,শাব্দিকভাবে অন্তরক
ಸ್ರವಿಸುವ,অ্যাকোস্টিকস
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,অধিগ্রহণ
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,সংক্ষিপ্ত বিবরণ
ಕಾರ್ಯ ಪ್ರದೇಶ,অ্যাকশন এরিয়া
ಸಕ್ರಿಯ ತಂತು,সক্রিয় ফিলামেন্ট
ಸಕ್ರಿಯ,সক্রিয়
ಸಕ್ರಿಯ ಪ್ರದೇಶ,সক্রিয় এলাকা
ಸಕ್ರಿಯ ಕಿಟಕಿ,সক্রিয় উইন্ডো
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,অভিযোজনযোগ্যতা
ಅಡಾಪ್ಟರ್ (ಅಡಾಪ್ಟರ್),অ্যাডাপ্টার (অ্যাডাপ্টার)
ಅಡಾಪ್ಟಿವ್ ಡಿಫರೆನ್ಷಿಯಲ್ ಪಲ್ಸ್ ಕೋಡ್ ಮಾಡ್ಯುಲೇಷನ್,অভিযোজিত ডিফারেনশিয়াল পালস কোড মড্যুলেশন
ವಿಳಾಸ ಪುಸ್ತಕ,ঠিকানা বই
ವಿಳಾಸ ಬಸ್,ঠিকানা বাস
ವಿಳಾಸ ಪರಿಹಾರ,ঠিকানা রেজোলিউশন
ಪಕ್ಕದ ಚಾನಲ್ ಹಸ್ತಕ್ಷೇಪ,সংলগ্ন চ্যানেল হস্তক্ষেপ
ಪಕ್ಕದ ಚಾನಲ್ ಆಯ್ಕೆ,সংলগ্ন চ্যানেল নির্বাচন
ಪಕ್ಕದ ಆವರ್ತನ,সংলগ্ন ফ্রিকোয়েন্সি
ಪಕ್ಕದ ಆವರ್ತನ ಚಾನಲ್,সংলগ্ন ফ্রিকোয়েন্সি চ্যানেল
ಪಕ್ಕದ ಚಿತ್ರ ವಾಹಕ,সংলগ্ন ছবি ক্যারিয়ার
ಪಕ್ಕದ ಧ್ವನಿ ವಾಹಕ,সংলগ্ন সাউন্ড ক্যারিয়ার
ಪಕ್ಕದ ನಿಲ್ದಾಣ,সংলগ্ন স্টেশন
ಹೊಂದಿಸಲಾಗುವ,সামঞ্জস্যযোগ্য
ಹೊಂದಾಣಿಕೆ ಕಂಡೆನ್ಸರ್,সামঞ্জস্যযোগ্য কনডেন্সার
ಒತ್ತಡವನ್ನು ಹೊಂದಿಸುವುದು,সামঞ্জস্য চাপ
ವ್ರೆಂಚ್ ಹೊಂದಿಸಲಾಗುತ್ತಿದೆ,সামঞ্জস্য করা রেঞ্চ
ಹೊಂದಾಣಿಕೆ,সামঞ্জস্য
ನಿರ್ವಾಹಕ,প্রশাসক
ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ,উন্নত প্রযুক্তি
ವೈಮಾನಿಕ,এরিয়াল
ವೈಮಾನಿಕ ರಚನೆ,এরিয়াল অ্যারে
ವೈಮಾನಿಕ ಬೂಸ್ಟರ್,এরিয়াল বুস্টার
ವೈಮಾನಿಕ ಪ್ರವಾಹ,এরিয়াল কারেন্ট
