Punjabi,Odiya
ਅਧੂਰਾ ਛੱਡਣਾ,ପରିତ୍ୟାଗ
ਅਧੂਰਾ ਛੱਡੋ,ଟାଇମର୍ ପରିତ୍ୟାଗ କରନ୍ତୁ |
निरपेक्ष an s,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
ਪੂਰਨ ਪਤਾ,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
ਸੰਪੂਰਨ ਸੰਜਮ,ସଂପୂର୍ଣ୍ଣ ଏକତ୍ରିତ ବ୍ୟକ୍ତି |
ਸੰਪੂਰਨ ਕੋਡ,ସଂପୂର୍ଣ୍ଣ କୋଡ୍
ਸੰਪੂਰਨ ਕੋਡਿੰਗ,ସଂପୂର୍ଣ୍ଣ କୋଡିଂ |
ਸੰਪੂਰਨ ਕਮਾਂਡ,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
ਸੰਪੂਰਨ ਕੋਆਰਡੀਨੇਟ,ସଂପୂର୍ଣ୍ଣ ସଂଯୋଜନା |
ਸੰਪੂਰਨ ਡੇਟਾ,ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |
ਪੂਰੀ ਗਲਤੀ,ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |
ਪੂਰਨ ਸਮੀਕਰਨ,ସଂପୂର୍ଣ୍ଣ ଅଭିବ୍ୟକ୍ତି |
ਪੂਰਨ ਹਦਾਇਤ,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶନାମା
ਸੰਪੂਰਨ ਲੋਡਰ,ସଂପୂର୍ଣ୍ଣ ଲୋଡର୍ |
ਸੰਪੂਰਨ ਕ੍ਰਮ,ସଂପୂର୍ଣ୍ଣ କ୍ରମ
ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |
ਸੰਪੂਰਨ ਅਵਧੀ,ସଂପୂର୍ଣ୍ଣ ଶବ୍ଦ
ਸਹੀ ਮੁੱਲ,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
ਸੰਪੂਰਨ ਵੈਕਟਰ,ସଂପୂର୍ଣ୍ଣ ଭେକ୍ଟର |
ਸਾਰ,ବିସ୍ତୃତ
ਐਬਸਟ੍ਰੈਕਟਿੰਗ,ବିସ୍ତୃତ
ਸੰਖੇਪ ਪ੍ਰਤੀਕ,ବିସ୍ତୃତ ପ୍ରତୀକ |
ਪ੍ਰਵੇਗ ਦੀ ਮਿਆਦ,ତ୍ୱରଣ ସମୟ
ਪ੍ਰਵੇਗ ਟਾਈਮ,ତ୍ୱରାନପୂର୍ଣ୍ଣ ସମୟ |
ਲਹਿਜ਼ਾ,ଉଚ୍ଚାରଣ
ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ,ଗ୍ରହଣ ପରୀକ୍ଷା
ਪਹੁੰਚ,ପ୍ରବେଶ
ਐਗ ਬਾਂਹ ਨੂੰ ਐਕਸੈਸ ਕਰੋ,ଆକ୍ସେସ୍ ବାହୁ
ਐਕਸੈਸ ਪ੍ਰਬੰਧ,ପ୍ରବେଶ ବ୍ୟବସ୍ଥା
ਪਹੁੰਚ ਅਥਾਰਟੀ,ପ୍ରବେଶ କର ପ୍ରାଧିକରଣ
ਐਕਸੈਸ ਚਾਰਜ,ପ୍ରବେଶ ଚାର୍ଜ
ਐਕਸੈਸ ਕਲਾਸ,ଶ୍ରେଣୀ ଶ୍ରେଣୀ
ਐਕਸੈਸ ਡੇਟਾ ਬੇਸ ਪ੍ਰਬੰਧਨ,ଡାଟା ବେସ୍ ମ୍ୟାନେଜମେଣ୍ଟକୁ ପ୍ରବେଶ କରନ୍ତୁ |
ਐਕਸੈਸ ਵਾਤਾਵਰਣ,ପ୍ରବେଶ ପରିବେଶ ସେବା
ਐਕਸੈਸ ਪਾੜਾ,ଫାଗ୍ ଆକ୍ସେସ୍ କରନ୍ତୁ |
ਐਕਸੈਸ ਇੰਡੈਕਸ,ପ୍ରବେଶ ସୂଚକାଙ୍କ
ਐਕਸੈਸ ਲਾਈਨ,ଆକ୍ସେସ୍ ଲାଇନ୍ |
ਐਕਸੈਸ ਵਿਧੀ,ମେକାନିଜିମ୍ ଆକ୍ସେସ୍ ଆକ୍ସେସ୍ କରନ୍ତୁ |
ਐਕਸੈਸ ਵਿਧੀ,ପ୍ରବେଶ ପଦ୍ଧତି
ਐਕਸੈਸ ਵਿਧੀ ਰੁਟੀਨ,ଆକ୍ସେସ୍ ପଦ୍ଧତି ରୁଟିନ୍ |
ਐਕਸੈਸ ਮੋਡ,ପ୍ରବେଶ ମୋଡ୍
ਸਹੀ ਪਹੁੰਚ,ଅଧିକାର ପ୍ରବେଶ
ਐਕਸੈਸ ਸਕੈਨ,ପ୍ରବେଶ ସ୍କାନ
ਐਕਸੈਸ ਟਾਈਮ,ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |
ਲੇਖਾ,ହିସାବ
ਲੇਖਾ ਵਿੱਤ ਸਿਸਟਮ,ହିସାବ ଆର୍ଥିକ ବ୍ୟବସ୍ଥା
ਲੇਖਾ ਮਸ਼ੀਨ,ହିସାବ ଯନ୍ତ୍ର
ਅਕਾਊਂਟ ਨੰਬਰ,ଖାତା ସଂଖ୍ୟା
ਦੁਬਾਰਾ ਪੈਦਾ ਕਰਨ ਵਾਲਾ,ପୁନର୍ବାର ଜମା କରିବା |
