English,Tamil
Abort,கருக்கலைப்பு
Abort timer,டைமரை நிறுத்துங்கள்
Absolute address,முழுமையான முகவரி
Absolute addressing,முழுமையான முகவரி
Absolute assembler,முழுமையான அசெம்பிளர்
Absolute code,முழுமையான குறியீடு
Absolute coding,முழுமையான குறியீட்டு முறை
Absolute command,முழுமையான கட்டளை
Absolute coordinate,முழுமையான ஒருங்கிணைப்பு
Absolute data,முழுமையான தரவு
Absolute error,முழுமையான பிழை
Absolute expression,முழுமையான வெளிப்பாடு
Absolute instruction,முழுமையான அறிவுறுத்தல்
Absolute loader,முழுமையான ஏற்றி
Absolute order,முழுமையான வரிசை
Absolute programming,முழுமையான நிரலாக்க
Absolute term,முழுமையான சொல்
Absolute value,துல்லியமான மதிப்பு
Absolute vector,முழுமையான திசையன்
Abstract,சுருக்கம்
Abstracting,சுருக்கம்
Abstract symbol,சுருக்க சின்னம்
Acceleration period,முடுக்கம் காலம்
Acceleration time,முடுக்கம் நேரம்
Accent,உச்சரிப்பு
Acceptance test,ஏற்பு சோதனை
Access,அணுகல்
Access arm,அணுகல் கை
Access arrangement,அணுகல் ஏற்பாடு
Access authority,அணுகல் அதிகாரம்
Access charge,அணுகல் கட்டணம்
Access class,அணுகல் வகுப்பு
Access data base management,தரவு அடிப்படை நிர்வாகத்தை அணுகவும்
Access environment,அணுகல் சூழல்
Access gap,அணுகல் இடைவெளி
Access index,அணுகல் அட்டவணை
Access line,அணுகல் வரி
Access mechanism,அணுகல் பொறிமுறை
Access method,அணுகல் முறை
Access method routine,அணுகல் முறை வழக்கமான
Access mode,அணுகல் பயன்முறை
Access right,அணுகல் உரிமை
Access scan,அணுகல் ஸ்கேன்
Access time,அணுகல் நேரம்
Accounting,கணக்கியல்
Accounting finance system,கணக்கியல் நிதி அமைப்பு
Accounting machine,கணக்கியல் இயந்திரம்
Account number,கணக்கு எண்
Accumulating reproducer,திரட்டுதல் இனப்பெருக்கம்
Accumulator,குவிப்பான்
Accumulator register,குவிப்பான் பதிவு
Accumulator shift instruction,திரட்டல் ஷிப்ட் வழிமுறை
Accuracy,துல்லியம்
Accuracy control character,துல்லியம் கட்டுப்பாட்டு தன்மை
Accuracy control system,துல்லியம் கட்டுப்பாட்டு அமைப்பு
Ace pilot,ஏஸ் பைலட்
Acknowledge character,தன்மையை ஒப்புக் கொள்ளுங்கள்
Acoustic coupler,ஒலி கப்ளர்
Acoustic coupling,ஒலி இணைப்பு
Acoustic delay line,ஒலி தாமத வரி
Acoustic memory,ஒலி நினைவகம்
Acoustic modem,ஒலி மோடம்
Acoustic signal,ஒலி சமிக்ஞை
Acoustic storage,ஒலி சேமிப்பு
Acronym,சுருக்கம்
Action,செயல்
Action cycle,செயல் சுழற்சி
Action line,செயல் வரி
Action message,செயல் செய்தி
Action specification,செயல் விவரக்குறிப்பு
Activation,செயல்படுத்தல்
Active,செயலில்
Active file,செயலில் உள்ள கோப்பு
Active line,செயலில் வரி
Active link,செயலில் இணைப்பு
Active master file,செயலில் உள்ள முதன்மை கோப்பு
Active master item,செயலில் உள்ள முதன்மை உருப்படி
Active satellite,செயலில் உள்ள செயற்கைக்கோள்
Active station,செயலில் நிலையம்
Active storage,செயலில் சேமிப்பு
Activity,செயல்பாடு
Activity level,செயல்பாட்டு நிலை
Activity loading,செயல்பாடு ஏற்றுதல்
Activity ratio,செயல்பாட்டு விகிதம்
Actual address (=absolute address),உண்மையான முகவரி (= முழுமையான முகவரி)
Actual code (=absolute code),உண்மையான குறியீடு (= முழுமையான குறியீடு)
Actual data transfer rate,உண்மையான தரவு பரிமாற்ற வீதம்
Actual decimal point,உண்மையான தசம புள்ளி
Actual instruction (=effective instruction),உண்மையான வழிமுறை (= பயனுள்ள அறிவுறுத்தல்)
Actual key,உண்மையான விசை
Actual time,உண்மையான நேரம்
Actual work time,உண்மையான வேலை நேரம்
Actuating signal,செயல்பாட்டு சமிக்ஞை
Adaptability,தகவமைப்பு
Adapter,பின்னல்
Adaptive channel allocation,தகவமைப்பு சேனல் ஒதுக்கீடு
Adaptive integration,தகவமைப்பு ஒருங்கிணைப்பு
Adaptive transversal equalizer,தகவமைப்பு குறுக்குவெட்டு சமநிலை
Added entry,நுழைவு சேர்க்கப்பட்டது
Addend,கூடுதல்
Adder,அடி
Adder subtracter,சேர்க்கை துணைப்பிரிவு
Add file,கோப்பைச் சேர்க்கவும்
Additional character (= special character),கூடுதல் எழுத்து (= சிறப்பு எழுத்து)
Addition recorder,கூடுதலாக ரெக்கார்டர்
Addition table,கூடுதலாக அட்டவணை
Additive attribute,சேர்க்கை பண்புக்கூறு
Add mode,பயன்முறையைச் சேர்க்கவும்
