Odiya,Malayalam
ଏସିଡଏଡ୍ |,ആസിഡോയിഡ്
ଆଓଲିୟାନ୍ ମାଟି |,അയോലിയൻ മണ്ണ്
ସମୁଦାୟ,ആകെത്തുകയായുള്ള
ଏକୀକରଣ,സമാഹരണം
ଏଗ୍ରୋଲୋଜି,അഗ്രോളജി
କୃଷି,അഗ്രോണമി
ଏକ ରାଶି,എ-ചക്രവാളം
ଆଓ-ରାଶି,Ao-ചക്രവാളം
ଆଓ-ରାଶି |,Aoo-ചക്രവാളം
ମାଟିର ବାୟୁ କ୍ଷମତା |,മണ്ണിന്റെ വായു ശേഷി
ମାଟିର ବାୟୁ ସାମଗ୍ରୀ |,മണ്ണിന്റെ വായു ഉള്ളടക്കം
ବାୟୁ ପିକନୋମିଟର |,എയർ പിക്നോമീറ്റർ
ଆଲିଟିକ୍ ମାଟି |,അല്ലിറ്റിക് മണ്ണ്
ଆଲୁଭିଆଲ୍ ମାଟି |,എക്കൽ മണ്ണ്
ଆମ୍ଫୋଲାଇଟଏଡ୍ |,ആംഫോളിറ്റോയ്ഡ്
ଆନିଅନ୍ |,അനിയോൺ
"ସ୍ପଷ୍ଟ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ ପରିମାଣ ଓଜନ କିମ୍ବା ବହୁଳ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ, &quot;","പ്രത്യക്ഷമായ നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണ വോളിയം ഭാരം അല്ലെങ്കിൽ ബൾക്ക് നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണം,&quot;"
ଆରିସ୍,ആരിസ്
ଆଶଲାର୍ ସୂକ୍ଷ୍ମ ଚୁକ୍ତି |,അഷ്ലാർ നല്ല കൊത്തുപണി
ଆଶଲାର୍ ରାଜକନିକା |,ആഷ്ലാർ കൊത്തുപണി
ଆଜୋନାଲ ମାଟି |,അസോണൽ മണ്ണ്
ପଛ ଆକ୍ଟର୍ |,പിന്നണി നടൻ
ପଛ ଆର୍କ,പിന്നിലെ കമാനം
ବ୍ୟାକ୍ ବ୍ୟାଣ୍ଡ |,ബാക്ക് ബാൻഡ്
ପଛ ବ୍ରଶ୍ |,ബാക്ക് ബ്രഷ്
ପଛକୁ ଯା check ୍ଚ କରନ୍ତୁ |,തിരികെ പരിശോധിക്കുക
ପଛ କାଉଣ୍ଟର |,ബാക്ക് കൗണ്ടർ
ପଛ କାଟିବା |,ബാക്ക് കട്ടിംഗ്
ପଛ ଡ୍ରାଫ୍ଟ ଡ୍ୟାମ୍ପର୍ |,ബാക്ക് ഡ്രാഫ്റ്റ് ഡാംപർ
ପଛ ଡ୍ରେନ୍ |,ബാക്ക് ഡ്രെയിനേജ്
ବ୍ୟାକ୍ ଡ୍ରପ୍ |,ബാക്ക് ഡ്രോപ്പ്
ପଛକୁ ପୁରଣ କରନ୍ତୁ |,തിരികെ പൂരിപ്പിക്കുക
ପଛ ଫିଲେଟ୍ |,ബാക്ക് ഫില്ലറ്റ്
ପଛ ଫ୍ଲାପ୍ ହିଙ୍ଗ୍ |,ബാക്ക് ഫ്ലാപ്പ് ഹിഞ്ച്
ପଛ ପ୍ରବାହ ସଂଯୋଗ |,ബാക്ക് ഫ്ലോ കണക്ഷൻ
ପଛ ପ୍ରବାହ ପ୍ରତିରୋଧକ |,ബാക്ക് ഫ്ലോ പ്രിവന്റർ
ବ୍ୟାକ୍ ଗେଜ୍ |,ബാക്ക് ഗേജ്
ପଛ ଗୁଟର୍ |,പിന്നിലെ ഗട്ടർ
ପଛ ଚୁଲି,പിന്നിലെ അടുപ്പ്
ସମର୍ଥନ,പിന്തുണ
ବ୍ୟାକିଂ ବୋର୍ଡ |,ബാക്കിംഗ് ബോർഡ്
ପଛ ଚାପ |,പിന്നിലെ മർദ്ദം
ପଛ ପ୍ରପ,ബാക്ക് പ്രോപ്പ്
ପଛ ଦୃଶ୍ୟ |,പിന്നാമ്പുറ കാഴ്ച
ପଛ ପାଣି |,പിൻ വെള്ളം
ବାଫଲ୍ |,തടസ്സപ്പെടുത്തുക
ବ୍ୟାଗୱାର୍କ |,ബാഗ് വർക്ക്
ବାଲାଷ୍ଟ,ബാലസ്റ്റ്
ବଲ୍ ମାଟି |,പന്ത് കളിമണ്ണ്
ବଲ୍ କୋଣ କ୍ଲମ୍ପ୍ |,ബോൾ കോൺ ക്ലാമ്പ്
କଣ୍ଟା ତାର,മുള്ളുകമ്പി
ବାର୍ କୁକୁର |,ബാർ നായ
ବ୍ୟାରେଜ୍ ବୋର୍ଡ |,ബാർജ് ബോർഡ്
ବାରିୟମ୍ ସଲଫେଟ୍ ପରୀକ୍ଷା |,ബേരിയം സൾഫേറ്റ് പരിശോധന
ବ୍ୟାରେଜ୍,തടയണ
ବାରେଟ୍ |,ബാരറ്റ്
ଆଧାର,അടിസ്ഥാനം
ଆଧାର ବିନିମୟ |,അടിസ്ഥാന കൈമാറ്റം
ଆଧାର ରେଖା |,അടിസ്ഥാന ലൈൻ
ବେସମେଣ୍ଟ୍ |,നിലവറ
ବେସମେଣ୍ଟ କାନ୍ଥ |,ബേസ്മെൻറ് മതിൽ
ବେସ୍ ପ୍ଲେଟ୍ |,അടിസ്ഥാന പ്ലേറ്റ്
"ବେସ୍ ପ୍ଲେଟ୍, ନିୟନ୍ତ୍ରିତ |","അടിസ്ഥാന പ്ലേറ്റ്, ക്രമീകരിക്കാവുന്ന"
ମୂଳ ପରିପୃଷ୍ଠା |,അടിസ്ഥാന സാച്ചുറേഷൻ
ବାସୋଏଡ୍ |,ബസോയ്ഡ്
ବ୍ୟାଟ୍,ബാറ്റ്
ସ୍ନାନ ଏବଂ WC,ബാത്ത് ആൻഡ് ഡബ്ല്യുസി
ବାଟା ପେଗ୍ |,ബാറ്റർ കുറ്റി
ବାଟା ପାଇର୍ |,ബാറ്റർ പിയർ
ବ୍ୟାଟର ନିୟମ |,ബാറ്റർ ഭരണം
ବାଲ୍କ (ବାଲ୍କ),ബോൾക്ക് (ബാക്ക്)
ବାଇ,ബേ
ଧାରକ,ചുമക്കുന്നയാൾ
ବହନ କରିବାର କ୍ଷମତା |,വഹിക്കാനുള്ള ശേഷി
ଗଦା ବହନ କରିବା |,ബെയറിംഗ് പൈൽ
ଷ୍ଟ୍ରାଟମ୍ ବହନ କରିବା |,ബെയറിംഗ് സ്ട്രാറ്റം
ଶଯ୍ୟା,കിടക്ക
ବିଛଣା ବିମାନ |,ബെഡ്ഡിംഗ് വിമാനം
ଶଯ୍ୟା ଗଣ୍ଠି |,കിടക്ക ജോയിന്റ്
ବେଡ୍ ପଥର |,കിടക്ക പാറ
ବେଡ୍ ରୁମ୍ |,കിടപ്പുമുറി
ମହୁମାଛି,തേനീച്ചമെഴുകിൽ
ବେଲ୍ ବାକ୍ସ |,മണി പെട്ടി
ବାଲ୍ଟି ବାଲିଙ୍ଗ୍ |,ബെല്ലിംഗ് ബക്കറ്റ്
ବେଲୋଫ୍ରାମ୍ |,ബെല്ലോഫ്രം
ବେଞ୍ଚ ଭିତ୍ତିଭୂମି |,ബെഞ്ച് ചെയ്ത അടിത്തറ
ବେଞ୍ଚିଂ,ബെഞ്ചിംഗ്
ବେଞ୍ଚ ମାର୍କ |,ബെഞ്ച് മാർക്ക്
ଲାଭ ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |,ആനുകൂല്യ ചെലവ് വിശകലനം
ବରମ,ബെർം
ବେଭେଲଡ୍ ବନ୍ଦ |,ബെവൽഡ് ക്ലോഷർ
