Odiya,Bengali
ଅସ୍ୱାଭାବିକ |,অস্বাভাবিক
ପରିତ୍ୟାଗ,গর্ভপাত
ଅଳିଆ ଆବେଗ,ঘর্ষণ
ଆକସ୍ମିକ,আকস্মিক
ସଂପୂର୍ଣ୍ଣ କ୍ଷେତ୍ର ଶକ୍ତି |,পরম ক্ষেত্র শক্তি
ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |,পরম তাপমাত্রা
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,পরম মান
ଶୋଷଣ,শোষণ
ଅବଶୋଷଣ ସହ-ଦକ୍ଷ |,শোষণ গুণাঙ্ক
ଶୋଷଣୀୟ କ୍ଷତି |,শোষণ ক্ষতি
ବିସ୍ତୃତ,বিমূর্ত
ଆକ୍ସଲେରୋମିଟର |,অ্যাক্সিলোমিটার
ଗ୍ରହଣ ପରୀକ୍ଷା,স্বীকৃতি পরীক্ষা
ପ୍ରବେଶ,অ্যাক্সেস
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,প্রবেশাধিকার নিয়ন্ত্রণ
ପ୍ରବେଶ ବିନ୍ଦୁ,এক্সেস পয়েন্ট
ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |,প্রবেশাধিকার সময়
ଅଭିଗମ୍ୟତା |,অ্যাক্সেসযোগ্যতা
ଆକ୍ୟୁଲେଟର କକ୍ଷ |,একুমুলেটর সেল
ସଠିକତା,সঠিকতা
ସଠିକ୍,নির্ভুল
ଆଖୋଟୋମାଟିକ୍ ଲେନ୍ସ |,অ্যাক্রোমেটিক লেন্স
ଏସିଡ୍ |,অ্যাসিড
ଏସିଡ୍ ପ୍ରମାଣ |,অ্যাসিড প্রুফ
ଅମ୍ଳତା,অম্লতা
ସ୍ୱୀକୃତି ବିଟ୍,স্বীকৃতি বিট
ଆକାଶବାଣୀ |,অ্যাকোস্টিক
ଆକାଶବାଣୀ ଯୋଗାଯୋଗ |,অ্যাকোস্টিক যোগাযোগ
ଆକାଶବାଣୀ ବିସ୍ତାର,অ্যাকোস্টিক প্রসারণ
ଆକାଶବାଣୀ ସମାନତା |,অ্যাকোস্টিক ইকুয়ালাইজার
ଆକାଶବାଣୀ ମତାମତ |,অ্যাকোস্টিক প্রতিক্রিয়া
ଆକାଶବାଣୀ ଫିଲ୍ଟର |,অ্যাকোস্টিক ফিল্টার
ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |,শব্দের সংরোধ
ଆକାଶବାଣୀ ମାସ୍କିଂ |,অ্যাকোস্টিক মাস্কিং
ଆକାଶବାଣୀ ଶକ୍ତି |,অ্যাকোস্টিক শক্তি
ଆକାଶବାଣୀ ସମ୍ପତ୍ତି |,অ্যাকোস্টিক সম্পত্তি
ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |,অ্যাকোস্টিক রিঅ্যাক্ট্যান্স
ଆକାଶବାଣୀ ପ୍ରତିଫଳନ |,অ্যাকোস্টিক রিফ্লেক্স
ଆକାଶବାଣୀ ଟାଇଲ୍ |,অ্যাকোস্টিক টাইল
ଆକାଶବାଣୀ ତରଙ୍ଗ |,অ্যাকোস্টিক তরঙ্গ
ଆକାଶବାଣୀ ଅବଶୋଷଣ |,শাব্দিক শোষণ
ଆକାଶବାଣୀ ଆଟେନେସନ୍ ସ୍ଥିର |,শাব্দিক মনোযোগ ধ্রুবক
ଆକାଶବାଣୀ ଡମ୍ପିଂ |,শাব্দিক স্যাঁতসেঁতে
ଆକାଶବାଣୀ ବିଳମ୍ବ ରେଖା |,শাব্দিক বিলম্ব লাইন
ଆକାଶବାଣୀ ବିକୃତି |,শাব্দিক বিকৃতি
ଆକାଶବାଣୀ ନଳୀ |,শাব্দিক নালী
ଆକାଶବାଣୀ ଶକ୍ତି |,শাব্দিক শক্তি
ଆକାଶବାଣୀ ମତାମତ |,শাব্দিক প্রতিক্রিয়া
ଆକାଶବାଣୀ ଫିଲ୍ଟର |,শাব্দিক ফিল্টার
ଆକାଶବାଣୀ ପ୍ରତିରୋଧକ |,শাব্দিক প্রতিবন্ধকতা
ଆକାଶବାଣୀ ପ୍ରଚାର ସ୍ଥିର |,শাব্দিক প্রচার ধ্রুবক
ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |,শাব্দিক প্রতিরোধের
ଆକାଶ ଭାବରେ ଇନସୁଲେଡ୍ |,শাব্দিকভাবে অন্তরক
ଆକାଶବାଣୀ |,অ্যাকোস্টিকস
ଅଧିଗ୍ରହଣ,অধিগ্রহণ
ଆକ୍ରୋନିମ୍ |,সংক্ষিপ্ত বিবরণ
କ୍ରିୟା କ୍ଷେତ୍ର,অ্যাকশন এরিয়া
ସକ୍ରିୟ ଚିଲାମେଣ୍ଟ |,সক্রিয় ফিলামেন্ট
ସକ୍ରିୟ,সক্রিয়
ସକ୍ରିୟ କ୍ଷେତ୍ର,সক্রিয় এলাকা
ସକ୍ରିୟ ୱିଣ୍ଡୋ |,সক্রিয় উইন্ডো
ଅନୁକେତ,অভিযোজনযোগ্যতা
