Odiya,Kannada
ପରିତ୍ୟାଗ ଅଙ୍ଗ |,ಸ್ಥಗಿತಗೊಂಡ ಅಂಗ
ପରିତ୍ୟାଗ,ಸ್ಥಗಿತಗೊಂಡ ಬೀಜ
ଗର୍ଭପାତ,ಗರ್ಭಪಾತ
ସଂପୂର୍ଣ୍ଣ ତୃଣ,ಸಂಪೂರ್ಣ ಕಳೆ
ଅବଶୋଷିତ କେସନ,ಹೀರಿಕೊಳ್ಳುವ ಕ್ಯಾಷನ್
ଶୋଷଣ,ಹೀರುವಿಕೆ
Abayssinian mystard |,ಪ್ರಪಾತದ ಸಾಸಿವೆ
ଅରିକାଇଡ୍ |,ಉಜ್ಜೆ
ଉଚ୍ଚାରଣ,ಉಪನಾಮದ
ଉଚ୍ଚାରଣ (ସେଲ୍),ಎದ್ದು ಕಾಣುವುದು (ಕೋಶ)
ଗ୍ରହଣ କରାଯାଇଥିବା ସହନଶୀଳତା |,ಅಂಗೀಕರಿಸಿದ ಸಹಿಷ್ಣುತೆ
ଆନୁଷଙ୍ଗିକ,ಪರಿಕರ
ସୁକମ୍ଲାଇଜେସନ୍,ಒಗ್ಗೂಡಿಸುವಿಕೆ
ଜମା,ಸಂಗ್ರಹಣೆ
ସଠିକତା,ನಿಖರತೆ
Acervulus,ಕಸಚೂಕು
ଯୁକ୍ତିଯୁକ୍ତିକ,ಸಮಗ್ರೀಕರಣ
ଅମ୍ଳଗତ,ಆಮ್ಲೀಕರಣ
ଏସିଡିମିଟର,ಆಚಿಮೀಟರ್ ಚೀಟಿ
ଅମ୍ଳତା,ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ
ଏସିଡୋଫିଲିକ୍ |,ಸಿಹಿನೀರಿನ
ACIDUCED ROX FHSHATE |,ಆಮ್ಲೀಯ
ଅସିଡିଆରି |,ಸಂಚೇಮದ
ଜଳଜଳ |,ಜಲಚರಗಳು
ଅଧିଗ୍ରହଣ,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
ଏକର,ಎಕರೆ
ଏକରାଗେଜ୍,ಎಕರೆ
ଆକ୍ରୋଣ୍ଟ୍ରିକ୍ କ୍ରୋମୋଜୋମ୍ |,ಅಕ್ರೊಸೆಂಟ್ರಿಕ್ ವರ್ಣತಂತು
ଆଖୋପ୍ଟାଲ୍ |,ಖುಷಿಯ
ଆନୋକୋମ୍,ಸುಣ್ಣ
ଆକ୍ଟିନୋମିସେସିସ୍ |,ಅಂಧ
ସକ୍ରିୟ ମୂଳ କ୍ଷେତ୍ର,ಸಕ್ರಿಯ ಮೂಲ ವಲಯ
ତୀବ୍ର,ತೀವ್ರ
ଅନୁକେତ,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
ଆଡାପ୍ଟେସନ୍,ರೂಪಾಂತರ
ଆଡେସନ୍,ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
ଆଦିବ,ಅಡಿ
ଆଡଜଷ୍ଟମେଣ୍ଟ ସମୀକରଣ |,ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ
ଆଡୋବ ମାଟି |,ಮಣ್ಣು
ବ୍ୟଭିଚାର,ವ್ಯಭಿಚಾರಮಾಡುವ
ବିଶ୍ୱସ୍ତତା,ಸಾಹಸದ
Aechidispor,ಅಕ್ಸಿಯೊಸ್ಪೋರ್
ଏଓଲ୍ସିଆସ୍ ପ୍ରକ୍ରିୟା |,ಅಯೋಲಿಯನ್ ಪ್ರಕ್ರಿಯೆ
ଆଦାମୀ,ಅಯೋಲಿಯನ್
ଆରେଟ୍,ಗಾಳಿಗೊಡ್ಡು
ବାୟୁ,ವೈಮಾನಿಕ
ଏରୋମିଟର |,ವಾಯುಮಾಪಕ
ଏରୋସୋଲ୍ |,ವಾಯುಪಾವತಿ
ବାୟେ,ಅಸ್ವಸ್ಥತೆ
ଆୟନୋଜି (ଇଟିଓଲୋଜି),ಏಟಿಯಾಲಜಿ (ಎಟಿಯಾಲಜಿ)
ଆଗ ଶତ୍ରୁମାନଙ୍କର,ಸಂಯಮ
ଆଗ୍ରିଲେସନ୍,ಆಂದೋಲನ
Awarmark,ಅಣಕೇಡು
