Telugu,Bengali
అబార్ట్,গর্ভপাত
అబార్ట్ టైమర్,গর্ভপাত টাইমার
సంపూర్ణ చిరునామా,পরম ঠিকানা
సంపూర్ణ చిరునామా,পরম ঠিকানা
సంపూర్ణ సమీకరించేవాడు,পরম এসেম্বলার
సంపూర్ణ కోడ్,পরম কোড
సంపూర్ణ కోడింగ్,পরম কোডিং
సంపూర్ణ ఆదేశం,পরম কমান্ড
సంపూర్ణ కోఆర్డినేట్,পরম সমন্বয়
సంపూర్ణ డేటా,পরম ডেটা
సంపూర్ణ లోపం,পরম ত্রুটি
సంపూర్ణ వ్యక్తీకరణ,পরম অভিব্যক্তি
సంపూర్ణ సూచన,পরম নির্দেশ
సంపూర్ణ లోడర్,পরম লোডার
సంపూర్ణ క్రమం,পরম আদেশ
సంపూర్ణ ప్రోగ్రామింగ్,পরম প্রোগ্রামিং
సంపూర్ణ పదం,পরম শব্দ
సంపూర్ణ విలువ,পরম মান
సంపూర్ణ వెక్టర్,পরম ভেক্টর
నైరూప్య,বিমূর্ত
సంగ్రహించడం,বিমূর্ত
నైరూప్య చిహ్నం,বিমূর্ত প্রতীক
త్వరణం కాలం,ত্বরণ সময়কাল
త్వరణం సమయం,ত্বরণের সময়
యాస,অ্যাকসেন্ট
అంగీకార పరీక్ష,স্বীকৃতি পরীক্ষা
యాక్సెస్,অ্যাক্সেস
యాక్సెస్ ఆర్మ్,অ্যাক্সেস আর্ম
యాక్సెస్ అమరిక,অ্যাক্সেস ব্যবস্থা
యాక్సెస్ అథారిటీ,অ্যাক্সেস কর্তৃপক্ষ
యాక్సెస్ ఛార్జ్,অ্যাক্সেস চার্জ
యాక్సెస్ క్లాస్,অ্যাক্সেস ক্লাস
డేటా బేస్ మేనేజ్‌మెంట్ యాక్సెస్,অ্যাক্সেস ডেটা বেস ম্যানেজমেন্ট
యాక్సెస్ ఎన్విరాన్మెంట్,অ্যাক্সেস পরিবেশ
యాక్సెస్ గ్యాప్,অ্যাক্সেস ফাঁক
ప్రాప్యత సూచిక,অ্যাক্সেস সূচক
యాక్సెస్ లైన్,অ্যাক্সেস লাইন
యాక్సెస్ మెకానిజం,অ্যাক্সেস প্রক্রিয়া
యాక్సెస్ పద్ధతి,অ্যাক্সেস পদ্ধতি
యాక్సెస్ పద్ధతి దినచర్య,অ্যাক্সেস পদ্ধতির রুটিন
యాక్సెస్ మోడ్,অ্যাক্সেস মোড
హక్కును యాక్సెస్ చేయండి,এক্সেস অধিকার
యాక్సెస్ స్కాన్,অ্যাক্সেস স্ক্যান
ప్రాప్యత సమయం,প্রবেশাধিকার সময়
అకౌంటింగ్,অ্যাকাউন্টিং
అకౌంటింగ్ ఫైనాన్స్ సిస్టమ్,অ্যাকাউন্টিং ফিনান্স সিস্টেম
అకౌంటింగ్ మెషిన్,অ্যাকাউন্টিং মেশিন
ఖాతా సంఖ్య,হিসাব নাম্বার
పునరుత్పత్తిదారుని కూడబెట్టుకోవడం,প্রজননকারী জমে
సంచితం,জমে
సంచిత రిజిస్టర్,সংগ্রহকারী রেজিস্টার
సంచిత షిఫ్ట్ సూచన,সংগ্রহকারী শিফট নির্দেশনা
ఖచ్చితత్వం,সঠিকতা
ఖచ్చితత్వ నియంత్రణ పాత్ర,নির্ভুলতা নিয়ন্ত্রণ চরিত্র
ఖచ్చితత్వ నియంత్రణ వ్యవస్థ,নির্ভুলতা নিয়ন্ত্রণ ব্যবস্থা
ఏస్ పైలట్,এস পাইলট
పాత్రను గుర్తించండి,চরিত্র স্বীকৃতি
ఎకౌస్టిక్ కప్లర్,অ্যাকোস্টিক কাপলার
శబ్ద కలపడం,অ্যাকোস্টিক কাপলিং
శబ్ద ఆలస్యం రేఖ,অ্যাকোস্টিক বিলম্ব লাইন
శబ్ద జ్ఞాపకశక్తి,অ্যাকোস্টিক মেমরি
ఎకౌస్టిక్ మోడెమ్,অ্যাকোস্টিক মডেম
శబ్ద సిగ్నల్,অ্যাকোস্টিক সিগন্যাল
శబ్ద నిల్వ,অ্যাকোস্টিক স্টোরেজ
ఎక్రోనిం,সংক্ষিপ্ত বিবরণ
చర్య,কর্ম
చర్య చక్రం,অ্যাকশন চক্র
యాక్షన్ లైన్,অ্যাকশন লাইন
చర్య సందేశం,অ্যাকশন বার্তা
చర్య స్పెసిఫికేషన్,ক্রিয়া স্পেসিফিকেশন
క్రియాశీలత,অ্যাক্টিভেশন
క్రియాశీల,সক্রিয়
యాక్టివ్ ఫైల్,সক্রিয় ফাইল
యాక్టివ్ లైన్,সক্রিয় লাইন
క్రియాశీల లింక్,সক্রিয় লিঙ্ক
యాక్టివ్ మాస్టర్ ఫైల్,সক্রিয় মাস্টার ফাইল
యాక్టివ్ మాస్టర్ ఐటెమ్,সক্রিয় মাস্টার আইটেম
క్రియాశీల ఉపగ్రహం,সক্রিয় স্যাটেলাইট
యాక్టివ్ స్టేషన్,সক্রিয় স্টেশন
క్రియాశీల నిల్వ,সক্রিয় স্টোরেজ
కార్యాచరణ,ক্রিয়াকলাপ
కార్యాచరణ స్థాయి,কর্মকান্ডের পর্যায়
కార్యాచరణ లోడింగ్,ক্রিয়াকলাপ লোড হচ্ছে
కార్యాచరణ నిష్పత్తి,ক্রিয়াকলাপ অনুপাত
వాస్తవ చిరునామా (= సంపూర్ణ చిరునామా),আসল ঠিকানা (= পরম ঠিকানা)
వాస్తవ కోడ్ (= సంపూర్ణ కోడ్),আসল কোড (= পরম কোড)
వాస్తవ డేటా బదిలీ రేటు,প্রকৃত ডেটা স্থানান্তর হার
వాస్తవ దశాంశ బిందువు,আসল দশমিক পয়েন্ট
వాస్తవ సూచన (= ప్రభావవంతమైన సూచన),প্রকৃত নির্দেশ (= কার্যকর নির্দেশ)
అసలు కీ,আসল কী
అసలు సమయం,প্রকৃত সময়
వాస్తవ పని సమయం,আসল কাজের সময়
సిగ్నల్ యాక్చువేటింగ్,অ্যাকিউটিং সিগন্যাল
అనుకూలత,অভিযোজনযোগ্যতা
అడాప్టర్,অ্যাডাপ্টার
అడాప్టివ్ ఛానల్ కేటాయింపు,অভিযোজিত চ্যানেল বরাদ্দ
