Tamil,Gujarati
குறைப்பு,ખર્ચ
சுருக்கம்,સંક્ષેપ
கடத்தல்,અપહરણ
நிறுத்துதல்,સ્થગ
திறன்,ક્ષમતા
Ab initio,આરંભ
முடியும்,કઠોર
அசாதாரணமானது,અસામાન્ય
ஒழிப்பு,નાબૂદી
இடுகை ஒழிப்பு,નાબૂદી પોસ્ટ
மேலே குறிப்பிட்டுள்ள,ઉપર ઉલ્લેખ કર્યો છે
மேலே மேற்கோள் காட்டப்பட்டுள்ளது,ઉપર જણાવેલ
மேலே கூறினார்,ઉપર જણાવ્યું હતું કે
இல்லாதது,ગેરહાજરી
வராதவர்,ગેરહાજર
இல்லாதது,ગેરહાજરી
இல்லாத அறிக்கை,અનુપસ્થિત નિવેદનો
அறுதி,અબાધિત
முழுமையான ஏகபோகம்,અબાધિત ઈજારો
முழுமையான உரிமை,અબાધિત માલિકી
உறிஞ்சுதல்,સમાવેશ
சுருக்கம்,નિષ્ક્રિય
சுருக்கம்,અખબારો
அபத்தமான,વાહિયાત
ஏராளமாக,વિપુલતા
அதிகார துஷ்பிரயோகம்,સત્તાનો દુરુપયોગ
தவறான மொழி,અપશબ્દો
கல்வி,શૈક્ષણિક
கல்வி விவாதம்,શૈક્ષણિક ચર્ચા
கல்வி விடுப்பு,શૈક્ષણિક રજા
கல்வி தகுதி,શૈક્ષણિક લાયકાત
கல்வி சாதனையை,વિદ્યા
ஏற்றுக்கொள்ளுங்கள்,સહયોગ કરવો
ஏற்றுக்கொள்,સ્વીકારવું
ஏற்றுக்கொள்ளல்,સ્વીકૃતિ
பதவியை ஏற்றுக்கொள்வது,પદની સ્વીકૃતિ
டெண்டரை ஏற்றுக்கொள்வது,પ્રતિજ્ ofા
அணுகல்,પ્રવેશ
அணுகல்,સંચાર
துணை,સહાયક
விபத்து,અકસ્માત
பழக்கவழக்கமயமாக்கல்,સ્વાર્થીકરણ
தங்குமிடம்,આવાસ
துணையுடன்,સંલગ્ન
உடன்பாடு,સંલગ્ન
ஒப்புதல்,અનુસાર
அதன்படி,તદનુસાર
கணக்கு,હિસાબ
பொறுப்புக்கூறல்,જવાબદારી
பொறுப்பு,જવાબદાર
கணக்கியல்,હિસાબની સંખ્યા
கணக்காளர்,હિસાબ રાખનાર
கணக்கு,માટે એકાઉન્ટ
கணக்கு தலை,હિસાબનું માથું
திரட்டப்பட்ட நன்மை,ઉપાર્જિત લાભ
திரட்டப்பட்ட ஓய்வூதியம்,ઉપાર્જિત પેન્શન
குவிப்பு,સંચય
துல்லியம்,ચોકસાઈ
துல்லியமானது,ચોક્કસ
குற்றம்,આક્ષેપ કરવો
குற்றம் சாட்டப்பட்டவர்,આરોપી
சாதனை,સિદ્ધિ
ஒப்புதல்,સ્વીકૃતિ
ஒப்புதல் காரணமாக,સ્વીકૃતિ
அறிமுகம்,પરિચય
கையகப்படுத்தல்,સંપાદન
விடுவித்தல்,મુક્તિ
நாடகம்,કૃત્ય
நடிப்பு கொடுப்பனவு,કાર્યકારી ભથ્થું
செயல்,ક્રિયા
செயல் திட்டம்,કાર્ય યોજના
செயலில்,સક્રિય
சுறுசுறுப்பாக,સક્રિયપણે
ஆர்வலர்,સક્રિયકાર્ય
கடவுளின் செயல்,ભગવાનનો કૃત્ય
தவறான நடத்தை செயல்,ગેરવર્તન
கமிஷன் மற்றும் விடுபடுதல் சட்டம்,કમિશન અને કમિશન અને બાદબાકી
உண்மையான,વાસ્તવિક
உண்மையான,વાસ્તવિક
தழுவல்,અનુકૂલન
கூடுதலாக,વધારા
கூடுதல் கட்டணம்,વધારાનો ખર્ચ
கூடுதல் நிதி,વધારાના નિધિ
கூடுதல் மானியம்,વધારાની અનુદાન
கூடுதல் தகவல்,વધારાની માહિતી
கூடுதல் ஊதியம்,વધારાનો પગાર
கூட்டல் மற்றும் மாற்றம்,ઉમેરો અને ફેરફાર
முகவரி,સંબોધન
முகவரி,સંબોધન કરનાર
வரவேற்பின் முகவரி,સ્વાગતનું સરનામું
போதுமானது,પૂરતું
பின்பற்றவும்,ને અનુરૂપ બનાવવું
தற்காலிக,તદર્થ
தற்காலிக உரிமைகோரல்,તદર્થપત્ર
தற்காலிக குழு,તદર્થ સમિતિ
தற்காலிக அதிகரிப்பு,તદર્થ વધારો
தற்காலிக கட்டணம்,તદ્દન ચુકવણી
அருகில்,અડીને
அருகிலுள்ள (= தொடர்ச்சியான),અડીને (= સુસંગત)
ஒத்திவைப்பு,મોકૂફી
ஒத்திவைப்பு இயக்கம்,મોકૂફીની દરખાસ્ત
தீர்ப்பளிக்கவும்,ન્યાયનિર્ણય કરવો
தீர்ப்பளிக்கவும்,ન્યાયનિર્ણય કરવો
தீர்ப்பு,ન્યાયનિર્ણય
தீர்ப்பாளர்,ન્યાયનિધીકરણ કરનાર
சரிசெய்தல்,સમાયોજન
நிர்வாகி,સંચાલન કરવું
சத்தியப்பிரமாணத்தை நிர்வகிக்கவும்,સોગંદ કરવો
நிர்வாகம்,વહીવટ
நீதி நிர்வாகம்,ન્યાય પ્રણાલી
நிர்வாக,વહીવટી
நிர்வாக நடவடிக்கை,વહીવટી પગલાં
நிர்வாக மதிப்பீடு,વહીવટી મૂલ્યાંકન
நிர்வாக ஒப்புதல்,વહીવટી મંજૂરી
நிர்வாக அதிகாரம்,વહીવટી સત્તા
நிர்வாக கட்டுப்பாடு,વહીવટી નિયંત્રણ
நிர்வாக முடிவு,વહીવટી નિર્ણય
நிர்வாகத் துறை,વહીવટી વિભાગ
நிர்வாகத் தலைவர்,વહીવટી વડા
நிர்வாக தலைமையகம்,વહીવટી મથક
நிர்வாக நடவடிக்கைகள்,વહીવટી પગલાં
நிர்வாக சக்தி,વહીવટી સત્તા
நிர்வாக அனுமதி,વહીવટી મંજૂરી
நிர்வாக நுட்பம்,વહીવટી તકનીક
நிர்வாக தீர்ப்பாயம்,વહીવટી પંચ
ஒப்புதல்,સ્વીકાર્યતા
ஏற்றுக்கொள்ளக்கூடிய செலவு,સ્વીકાર્ય ખર્ચ
அனுமதிக்கவும்,કબૂલવું
அட்டை சேர்க்கவும்,પ્રવેશ કાર્ડ
ஒப்புக்கொள்ளப்பட்டது,સ્વીકૃત
அறிவுறுத்துங்கள்,સલાહ આપવી
தத்தெடுப்பவர்,દત્તક
தத்தெடுப்பவர்,અપનાવનાર
தத்தெடுப்பு,દત્તક
வயது வந்தோர்,પુખ્ત
கலப்படம்,ભેગ
விபச்சாரம்,વ્યભિચાર
வயதுவந்தோர் உரிமை,પુખ્ત મતાધિકાર
விளம்பர மதிப்பீட்டு கடமை,બહાનું
முன்கூட்டியே,આગળ વધવું
முன்கூட்டியே முன்பதிவு,અગ્રિમ બુકિંગ
முன்கூட்டியே நகல்,અગ્રિમ પ્રત
அட்வான்ஸ் அதிகரிப்பு,અગ્રિમ ઈજા
முன் பணம்,અગાઉથી ચુકવણી
பாதகமான நுழைவு,પ્રતિકૂળ નોંધ
பாதகமான கருத்துக்கள்,પ્રતિકૂળ નોંધ
பாதகமான அறிக்கை,પ્રતિકૂળ અહેવાલ
விளம்பரம்,જાહેરખબર
ஆலோசனை,સલાહ
கட்டண ஆலோசனை,ચુકવણી
ஆலோசனை குழு,સલાહકાર સમિતિ
ஆலோசனை கவுன்சில்,સલાહકાર પરિષદ
வக்கீல்,હિમાયતી
விவகாரங்கள்,બાબતો
பிரமாணப் பத்திரம்,સોગંદનામું
இணைப்பு,જોડાણ
உறுதிப்படுத்தல்,સમર્થન
உறுதியான,ખાતરીપૂર્વક
வாங்க,પરવડી
மேற்கூறிய,ઉપરોક્ત
புதிதாக,ફરી
எதிராக,વિરુદ્ધ
வயது,ઉંમર
வயது சான்றிதழ்,વય પ્રમાણપત્ર
வாக்குரிமைக்கான வயது,મતાધિકાર માટે વય
வயது எல்லை,વય -મર્યાદા
ஏஜென்சி,સંસ્થા
நிகழ்ச்சி நிரல்,કાર્યસૂચિ
ஓய்வூதிய வயது,નિવૃત્તિની ઉંમર
மேலதிக வயது,નિવૃત્તિની ઉંમર
திரட்டுதல்,એકંદર
வேதனைக்குள்ளானது,નારાજ
கிளர்ச்சி,આંદોલન
ஏஜிஎம்,અકસ્માત
ஒப்பந்தம்,સહમત
ஒப்பந்த படிவம்,સહમત ફોર્મ
வேளாண்மை,કૃષિ
வேளாண் தொழில்,કૃષિ ઉદ્યોગ
உதவி,સહાય
அலாரம்,ભય
விழிப்புணர்வு,જાગરૂકતા
மாற்றுப்பெயர்,ઉર્ફે
குற்றச்சாட்டு,આરોપ
விசுவாசம்,વાન
கூட்டணி,સુમેળ
தொடர்புடைய சேவைகள்,સંલગ્ન સેવાઓ
அனைத்து உள்ளடக்கிய செலவு,તમામ સમાવિષ્ટ ખર્ચ
அகில இந்திய சேவைகள்,અખરાબ સેવા
ஒதுக்கீடு,ફાળવણી
ஒதுக்கீடு,ફાળવણી
ஒதுக்கீட்டு கடிதம்,ફાળવણીનો પત્ર
ஒதுக்கீடு,ફાળવણી કરનાર
அனுமதிக்கக்கூடியது,માન્ય
அனுமதிக்கக்கூடிய செலவுகள்,માન્ય -ખર્ચ
மேல்முறையீட்டை அனுமதிக்கவும்,અપીલ કરવાની મંજૂરી આપવી
கொடுப்பனவு,છૂટ
அனைத்து உரிமைகளும் பாதுகாக்கப்பட்டவை,બધા હકો અમારી પાસે રાખેલા છે
