English,Gujarati
Abort,ગર્ભપાત
Abort timer,ગર્ભપાત સમય
Absolute address,અબાધિત સંબોધન
Absolute addressing,પૂર્ણ સંબોધન
Absolute assembler,સંપૂર્ણ સંમેલન
Absolute code,પૂર્ણ સંહિતા
Absolute coding,પૂર્ણ સંહિતા
Absolute command,પૂર્ણ આદેશ
Absolute coordinate,સંપૂર્ણ સંકલન
Absolute data,અબાધિત આંકડા
Absolute error,નિરપેક્ષ ભૂલ
Absolute expression,પૂર્ણ અભિવ્યક્તિ
Absolute instruction,અબાધિત સૂચના
Absolute loader,અબાધિત લોડર
Absolute order,સંપૂર્ણ
Absolute programming,પૂર્ણ કાર્યક્રમ
Absolute term,અબાધિત મુદત
Absolute value,અબાધિત મૂલ્ય
Absolute vector,અબાધિત વેક્ટર
Abstract,નિષ્ક્રિય
Abstracting,યોગ્યતા
Abstract symbol,સાર -સારાંશ
Acceleration period,પ્રવેગશ ગાળો
Acceleration time,પ્રવેગકોનો સમય
Accent,ઉચ્ચારણ
Acceptance test,સ્વીકૃતિ કસોટી
Access,પ્રવેશ
Access arm,પ્રવેશ હાથ
Access arrangement,પ્રવેશ -વ્યવસ્થા
Access authority,પ્રવેશ સત્તાવાર
Access charge,પ્રવેશ -ખર્ચ
Access class,પ્રવેશ -વર્ગ
Access data base management,પ્રવેશ -આધાર વ્યવસ્થાપન
Access environment,પર્યાવરણ
Access gap,પ્રવેશ અંતર
Access index,પ્રવેશ -સૂચિ
Access line,પ્રવેશ -રેખા
Access mechanism,પ્રવેશ -પદ્ધતિ
Access method,પ્રવેશ પદ્ધતિ
Access method routine,પ્રવેશ -પદ્ધતિ
Access mode,પ્રવેશ -પદ્ધતિ
Access right,પ્રવેશ -હક
Access scan,પ્રવેશ -સ્કેન
Access time,પ્રવેશ સમય
Accounting,નામું
Accounting finance system,હિસાબ -પદ્ધતિ પદ્ધતિ
Accounting machine,હિસાબ -વ્યવસ્થા
Account number,ખાતા નંબર
Accumulating reproducer,સંચયી પ્રજનનકર્તા
Accumulator,એકઠા કરનાર
Accumulator register,સંચિત રજિસ્ટર
