English,Gujarati
Abelian group,અબેલી જૂથ
abelian semigroup,અબેલી જૂથ
abscissa,હાથ
absolute,"નિરપેક્ષ, નિરપેક્ષ, અચળ, ચોક્કસ"
absolute convergence,સંપૂર્ણ સંકલન
absolute error,સંપૂર્ણ ભૂલ
absolute maximum,સર્વોચ્ચ સર્વોચ્ચ
absolute minimum,એકદમ નીચું
absolute value,સંપૂર્ણ મૂલ્ય
absolute velocity,સંપૂર્ણ વેગ
abstract algebra,અમૂર્ત બીજગણિત
abstract group theory,અમૂર્ત જૂથ સિદ્ધાંત
acceleration,પ્રવેગ
acceleration due to gravity,ગુરુત્વાકર્ષણ પ્રવેગક
acceptable choice set,સ્વીકાર્ય પસંદગીકાર
acceptable quality level,સ્વીકાર્ય ગુણવત્તા સ્તર
acceptable range,સ્વીકાર્ય જગ્યા
acceptable reliability level,માન્ય વિશ્વસનીયતા સ્તર
acceptable sampling,સ્વીકૃતિ નમૂના
accumulated error,સંચિત ભૂલ
accuracy,ચોકસાઈ
acting force,બળ લાગુ કર્યું
action,"ક્રિયા, ખત"
action and reaction,ક્રિયા અને પ્રતિક્રિયા
acturial science,વીમા વિજ્ઞાન
acute angled triangle,તીવ્ર ત્રિકોણ
acyclic,એસાયક્લિક
add,સારાંશ માટે
adder,ઉમેરનાર
addition,"સરવાળો, ઉમેરો, સરવાળો (c.), ઉમેરણ (v.)"
addition formula,યોગનું સૂત્ર
addition of complex numbers,જટિલ સંખ્યાઓનો સરવાળો
addition of functions,કાર્યોનો સરવાળો
addition of matrices,મેટ્રિસિસનો સરવાળો
addition of polynomials,બહુપદીનો સરવાળો
addition of probabilities,સંભાવનાઓનો સરવાળો
addition of vectors,વેક્ટરનો સરવાળો
addition theorem,"સરવાળો પ્રમેય, બેરી સિદ્ધાંત"
additive group,ઉમેરણ જૂથ
additive inverse,ઉમેરણ વ્યસ્ત
additive property,ઉમેરણ
additivity,ઉમેરણ
adjacency matrix,સંલગ્નતા મેટ્રિક્સ
adjacent,"અડીને, અડીને, અડીને"
adjacent angles,અડીને કોણ
adjacent vertex,અડીને શિરોબિંદુ
adjoin,સાંકળવું
adjoining,જોડાયેલ બંધ
adjoint determinant,સામાન્ય નિર્ણાયક
adjoint differential equation,જોડાયેલ વિભેદક સમીકરણ
adjoint equation,જોડાયેલ સમીકરણ
adjoint matrix,કોહોમોજીનીયસ મેટ્રિક્સ
adjoint of matrix,મેટ્રિક્સ સહપ્રવૃત્તિ
adjugate matrix,કોહોમોજીનીયસ મેટ્રિક્સ
admissible decision function,સ્વીકાર્ય નિર્ણય કાર્ય
admissible hypothesis,સ્વીકાર્ય પૂર્વધારણા
aerodynamic force,એરોડાયનેમિક બળ
aerodynamics,એરોડાયનેમિક્સ
affine geometry,સજાતીય ભૂમિતિ
affine mapping,સજાતીય મેપિંગ
affine transformation,સજાતીય પરિવર્તન
aggregating variables,એકંદર ચલ
algebra,"બીજગણિત, બીજગણિત, બીજગણિત, બીજગણિત"
algebraically closed,"સીડી બંધ, બીજરૂપે"
algebraic equation,બીજગણિતીય સમીકરણ
algebraic expression,બીજગણિતીય અભિવ્યક્તિ
algebraic form,બીજગણિત એકરૂપતા
algebraic function,બીજગણિત કાર્ય
algebraic geometry,બીજગણિત ભૂમિતિ
algebraic multiplicity,બીજગણિત બહુમતી
algebraic system,બીજગણિત સિસ્ટમ
all-integer problem,તમામ પૂર્ણાંક સમસ્યા
allocation problem,સોંપણી સમસ્યા વોટ પ્રશ્ન
alphabetical notation,આલ્ફાબેટીકલ નોટેશન
alphabetic character,આલ્ફાબેટીક અક્ષર
alternate angle,વૈકલ્પિક ખૂણા
alternating form,વૈકલ્પિક સજાતીય વૈકલ્પિક સ્વરૂપ
alternating group,વૈકલ્પિક જૂથ
alternating matrix,વૈકલ્પિક મેટ્રિક્સ
alternating series,વૈકલ્પિક શ્રેણી
alternative hypothesis,વૈકલ્પિક પૂર્વધારણા
alternative optima,વૈકલ્પિક શ્રેષ્ઠ
alternative outcome,વૈકલ્પિક પરિણામ
analog-to-digital converter,એનાલોગ-અંક કન્વર્ટર
analogue computer,એનાલોગ કમ્પ્યુટર
analysis,વિશ્લેષણ
analysis of covariance,સહપ્રવર્તન વિશ્લેષણ
analysis of enumeration data,ગણતરી-માહિતી વિશ્લેષણ
analysis of variance,વિચલન વિશ્લેષણ
analytic geometry,વિશ્લેષણાત્મક ભૂમિતિ
analytic function,વિશ્લેષણાત્મક કાર્ય
angle,કોણ
angle of contact,સ્પર્શકોણ
angle of deflection,વિચલન કોણ
angle of depression,હતાશા કોણ
angle of deviation,વિચલન કોણ
angle of diffraction,વિવર્તન કોણ
angle of elevation,એલિવેશન એંગલ
angle of incidence,ઘટના કોણ
angle of projection,પ્રક્ષેપણ કોણ
angle of reflection,પ્રતિબિંબ કોણ
angle of refraction,રીફ્રેક્શન કોણ
angle of rotation,પરિભ્રમણ કોણ
angle of total reflection,પ્રતિબિંબનો સંપૂર્ણ કોણ
angular acceleration,કોણીય પ્રવેગક
angular motion,કોણીય વેગ
angular speed,કોણીય ઝડપ
angular velocity,કોણીય વેગ
annulus,રિંગ આંગળી
answer,જવાબ આપો
anti – derivative,પ્રતિ વ્યુત્પન્ન
antisymmetric function,આઇસોમેટ્રિક કાર્ય
applicable,"આવરી લેવા યોગ્ય, લાગુ, લાગુ"
application,અરજી અરજી
applied dynamic programming,લાગુ ડાયનેમિક પ્રોગ્રામિંગ
applied geometry,લાગુ ભૂમિતિ
applied mathematics,લાગુ ગણિત
applied statistics,લાગુ આંકડા
approximately,"લગભગ, લગભગ"
approximately continuous function,લગભગ સતત કાર્ય
approximate method,"મેક્રો પદ્ધતિ, અંદાજ પદ્ધતિ"
approximate solution,અંદાજિત ઉકેલ
approximation problem,અંદાજની સમસ્યા
approximation property,અંદાજિત મિલકત
aptitude test battery,અભિરુચિ કસોટી
Argand diagram,આર્ગોન ડાયાગ્રામ
arbitrarily chosen,સ્વૈચ્છિક
arbitrary,"રેન્ડમ, રેન્ડમ"
arbitrary constant,મનસ્વી સતત
arbitrary element,મફત તત્વ
arbitrary point,મનસ્વી બિંદુ
Archemedean law,આર્કિમિડીનો કાયદો
Archimedes principle,આર્કિમિડીઝનો કાયદો
arc length,"ચાપ-લંબાઈ, ચાપ-લંબાઈ"
arc of circle,વર્તુળ ચાપ
arc sine distribution,વ્યસ્ત સાઈન વિતરણ
arc sine transformation,વ્યસ્ત સાઈન રૂપાંતરણ
area,"વિસ્તાર, વિસ્તાર"
areal texture,પ્રાદેશિક રૂપરેખાંકન
argument of complex number,જટિલ સંખ્યાનો કોણ
arithmetic mean,અંકગણિત સરેરાશ
arithmetic operation,ડિજિટલ કામગીરી
arithmetic unit,ડિજિટલ એકમ
arrangement,"ગોઠવણી, ગોઠવણી"
array,"એરે, એરે"
artificial satellite,કૃત્રિમ ઉપગ્રહ
artificial variable,કૃત્રિમ ચલ
ascend,ચઢવું
ascending,ચડતા
ascending order of magnitude,તીવ્રતાનો ચડતો ક્રમ
ascending series,ચડતા ગ્રેડ
assembler language,એસેમ્બલર ભાષા
assignment problem,સોંપણી સમસ્યા સોંપણી પ્રશ્ન
associative law,સહયોગી નિયમ
associative law of operators,ઓપરેટરોનો સહયોગી નિયમ
associative operation,સહયોગી કામગીરી
associativity,સોબત
assumed mean,ધાર્યું સરેરાશ
assumed probability distribution,અનુમાનિત સંભાવના વિતરણ
assumption,"કલ્પના, સ્વીકાર્યું"
astrology,જ્યોતિષશાસ્ત્ર
astronautical engineer,એસ્ટ્રોનોટિકલ એન્જિનિયર સ્પેસ એન્જિનિયર
astronomer,ખગોળશાસ્ત્રી*
astronomical clock,ખગોળશાસ્ત્રીય ઘડિયાળ
astronomy,ખગોળશાસ્ત્ર
asymmetrical curve,અસમપ્રમાણ વળાંક
asymmetry,અસમપ્રમાણતા
asymptote,એસિમ્પટોટિક
asymptotic,ઉત્તેજક
asymptotically efficient estimator,પ્રગતિશીલ અંદાજકાર
asymptotically unbiased estimator,પૂર્વગ્રહ પક્ષપાતી અંદાજકાર
asymptotic behavior,પૂર્વવર્તી આચરણ
asymptotic distribution function,આક્રમક વિતરણ કાર્ય
asymptotic expansion,ઉપરની તરફ ફેલાવો
atmospheric pressure,વાતાવરણ નુ દબાણ
at random,અવ્યવસ્થિત રીતે
attribute,મિલકત*
attributes sampling procedure,એટ્રિબ્યુટ-સેમ્પલિંગ-મિકેનિઝમ
augmented matrix,સંવર્ધિત મેટ્રિક્સ
autocorrelation coefficient,સ્વતઃસંબંધ ગુણાંક
autocorrelation function,સ્વતઃસંબંધ કાર્ય
autocovariance,સહપ્રવૃત્તિ
automatic computer,સ્વચાલિત કમ્પ્યુટર
autoregression,ઓટોરીગ્રેશન
auxiliary equation,સહાયક સમીકરણ
average sample number curve (A.S.N. Curve),મીન સેમ્પલ નંબર કર્વ (MPC કર્વ)
axiom,"axiom, axiom"
axiomatic approach,સ્વયંસિદ્ધ અભિગમ
axiom of probability,સંભાવના સ્વયંસિદ્ધ
axis,ધરી
axis of abscissa,ભુજક્ષા
axis of earth,પૃથ્વીની ધરી
axis of revolution,પરિભ્રમણ અક્ષ
axis of rotation,પરિભ્રમણ અક્ષ
axis of spin,સ્પિન અક્ષ
back-substitution,પોસ્ટ રિપ્લેસમેન્ટ
backward difference,પાછળથી
backward-interpolation formula,પાછા નિવેશ સૂત્ર
balance,"સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન"
balanced design,સંતુલિત ડિઝાઇન
balance sheet,સરવૈયા
ballistic missile,મિસાઇલ
ballistics,"બેલિસ્ટિક્સ, હથિયાર"
bar,"કૉલમ, બાર, કોબ, બાર, બાર, બાર, બાર, બાર, બાર, રેખા, રેખા, પરીક્ષણ રેખા, ધાર"
base,"આધાર, આધાર, આધાર, આધાર, આધાર"
base angle,આધાર કોણ
base of logarithm,"લઘુગણકનો આધાર, લઘુગણકનો આધાર"
basic,"મૂળભૂત, મૂળભૂત"
basic feasible solution,આધાર સુસંગત ઉકેલ
basic solution,આધાર ઉકેલ
basic variable,આધાર ચલ
basis,પાયો
basis element,આધાર તત્વ
basis matrix,આધાર મેટ્રિક્સ
basis of a vector space,વેક્ટર જગ્યાનો આધાર
basis of subspace,પેટા-વસ્તીનો આધાર
Bayesian estimate,અનૈતિક
Bayes' law,bez-નિયમ
Bayes' theorem,bez-પ્રમેય
Bernoulli distribution,bernoulli-વિતરણ
Bernoulli number,બર્નોલી નંબરો
Bernoulli probability function,Bernoulli સંભાવના કાર્ય
Bernoulli's equation,બર્નોલી-સમીકરણ
Berry function,બેરી કાર્ય
best fit,શ્રેષ્ઠ સંલગ્નતા
best - fit line,શ્રેષ્ઠ સંલગ્નતા રેખા
best solution,શ્રેષ્ઠ ઉકેલ
best strategies,શ્રેષ્ઠ ટીપ્સ
beta distribution,બીટા વિતરણ
bias,"પૂર્વગ્રહ, પૂર્વગ્રહ"
biased estimate,પક્ષપાતી આકારણી
biharmonic equation,દ્વિપદી સમીકરણ
bijection,એક કવર
bijective map,એક કવર નકશો
bijective mapping,સિંગલ કવર મેપિંગ
bilinear form,ચતુર્ભુજ ચતુર્ભુજ
bilinear function,દ્વિરેખીય કાર્ય
bilinear Hermitian form,દ્વિરેખીય સંન્યાસી એકરૂપતા
binary,"દ્વિ-ચલ, દ્વિસંગી, દ્વિ"
binary code,"બાઈનરી કોડ, બાઈનરી કોડ"
binary coded decimal,"દ્વિસંગી કોડેડ દશાંશ, દ્વિસંગી કોડેડ દશાંશ"
binary coding,બાઈનરી એન્કોડિંગ
binary computer,દ્વિસંગી કમ્પ્યુટર
binary digit,દ્વિસંગી સંખ્યાઓ
binary operation,દ્વિસંગી કામગીરી
binary system,દ્વિસંગી પદ્ધતિ
binary variable,દ્વિસંગી ચલ
binomial coefficient,દ્વિપદી ગુણાંક
binomial distribution,દ્વિપદી વિતરણ
binomial equation,દ્વિપદી સમીકરણ
binomial expansion,દ્વિપદી ભિન્નતા
binomial expression,દ્વિપદી અભિવ્યક્તિ
binomial random variable,દ્વિપદી રેન્ડમ ચલ
binomial theorem,દ્વિપદી પ્રમેય
bisection,"અર્ધ, વિભાજન"
bisection method,"દ્વિભાજ્ય પદ્ધતિ, અર્ધવિભાજન પદ્ધતિ"
bisector,અડધા દ્વિભાજક
biserial,દ્વિપદી
bit,"દ્વાયાંક (દ્વિસંગી અંક), અની, બર્મીઝ, ટુક"
bivariate binomial distribution,દ્વિપદી દ્વિપદી વિતરણ દ્વિપદી
bivariate correlation coefficient,દ્વિવિધ સહસંબંધ ગુણાંક
bivariate distribution,દ્વિવિધ વિતરણ
bivariate normal distribution,બાયવેરિયેટ સામાન્ય-વિતરણ
bivector,બાઇવેક્ટર
Boltzmann equation,બોલ્ટમેન સમીકરણ
Boolean algebra,બુલિયન બીજગણિત*
Bose - Einstein statistics,બોઝ-આઈન્સ્ટાઈન સ્ટેટિસ્ટિક્સ
boundary condition,મર્યાદા પ્રતિબંધો
boundary layer,સીમા સ્તર
boundary line,સીમા રેખા
boundary value,મર્યાદા મૂલ્ય
boundary value problem,સીમા મૂલ્યની સમસ્યા
bounded function,બાઉન્ડેડ ફંક્શન બાઉન્ડેડ ફલ
bounded matrix,"બાઉન્ડેડ મેટ્રિક્સ, બાઉન્ડેડ મેટ્રિક્સ, બાઉન્ડેડ ટેબલ"
bounded region,સીમિત પ્રદેશ સીમિત પ્રદેશ
bounded set,બાઉન્ડેડ સેટ બાઉન્ડેડ સેટ
Brownian motion,બ્રાઉની ગતિ
calculate,ગણતરી કરવી
calculating,ગણતરી
calculating machine,"કેલ્ક્યુલેટર, કેલ્ક્યુલેટર"
calculation,ગણતરી*
calculational procedure,કોમ્પ્યુટેશનલ એક્શન પદ્ધતિ
calculator,"કેલ્ક્યુલેટર, કેલ્ક્યુલેટર"
calculus,"કલન, કલન"
calculus of variation,વિભિન્ન કલન
calorie,કેલરી
cancellation law,નિયમ રદ કરો
canonical equation,પ્રામાણિક સમીકરણ
canonical form,પ્રમાણભૂત સ્વરૂપ
canonical matrix,"કેનોનિકલ મેટ્રિક્સ, કેનોનિકલ મેટ્રિક્સ"
Cantor set,કેન્ટર સેટ
Cantor's ternary set,કેન્ટર ત્રિકોણાકાર સમૂહ
capacitated transportation problem,પ્રતિબંધિત પરિવહન સમસ્યા
capacity,ક્ષમતા
capillary force,રુધિરકેશિકા બળ
cardinal number,"કાઉન્ટ નંબર, કાર્ડિનલ નંબર"
Cartesian axes,કાર્ટેશિયન અક્ષ
Cartesian coordinates,કાર્ટેશિયન કોઓર્ડિનેટ્સ
Cartesian product,કાર્ટેશિયન ઉત્પાદન
Cartesian product of sets,સમૂહોનું કાર્ટેશિયન ગુણાકાર
case study,"કેસ સ્ટડી, કેસ સ્ટડી"
catastrophic fluctuation,આપત્તિજનક ભાષણ
Catenary,કેટિનરી
Cauchy distribution,કોચી વિતરણ
Cauchy formula,કૌશીનું સૂત્ર
Cauchy Goursat theorem,કૌશી-ગુર્સા-પ્રમેય
Cauchy Riemann conditions,કૌશી-રીમેન-બાન
Cauchy sequence,કોચી ક્રમ
Cauchy integral,કૌશી અભિન્ન
Cauchy principal value,કૌશી મુખ્ય-મૂલ્ય
Cauchy residue theorem,કોચી શેષ પ્રમેય
Cayley Hamilton theorem,કેલે-હેમિલ્ટન-પ્રમેય
celestial body,અવકાશી પદાર્થ
celestial measurement,ખગોળશાસ્ત્રીય માપન
celestial mechanics,અવકાશી મિકેનિક્સ
celestial object,અવકાશી પદાર્થ
cell frequency,સેલ આવર્તન
census,"વસ્તી ગણતરી, વસ્તી ગણતરી"
centile,ટકાવારી
centimeter,સેન્ટીમીટર
centimeter gram second system,સેન્ટીમીટર-ગ્રામ-સેકન્ડ પદ્ધતિ
central,"કેન્દ્રિય, કેન્દ્રિત"
central axis,કેન્દ્રીય અક્ષ
central difference,કેન્દ્રીય અંતર
central difference formula,કેન્દ્રીય તફાવત સૂત્ર
central difference table,કેન્દ્રીય વિભેદક કોષ્ટક
central limit theorem,કેન્દ્રીય મર્યાદા પ્રમેય
central moment,કેન્દ્રીય ક્ષણ
central processing unit (C.P.U),કેન્દ્રીય સંસાધન એકમ
central tendency,કેન્દ્રીય વૃત્તિ
centre,કેન્દ્ર*
centre of gravity,ગુરુત્વાકર્ષણ કેન્દ્ર
centre of group,જૂથ કેન્દ્ર
centre of mass,સમૂહ કેન્દ્ર
centre of symmetry,સમપ્રમાણતાનું કેન્દ્ર
centrifugal force,કેન્દ્રત્યાગી બળ
centripetal force,કેન્દ્રબિંદુ બળ
centroid,કેન્દ્રિય મેરીડીયન
certainty,નિશ્ચિતતા
c.g.s. system,cgs પદ્ધતિ
c.g.s. unit,સીજીએસ એકમ
chain rule of differentiation,ભિન્નતાનો સાંકળ નિયમ
chance causes,તક દ્વારા
chance moves,રેન્ડમ ચાલ
change of axes,અક્ષ શિફ્ટ
change of basis,આધાર પરિવર્તન પાયધર-પરિવર્તન
change of order,ક્રમચય
characteristic coefficient,લાક્ષણિક ગુણાંક
determinant,લાક્ષણિકતા નિર્ણાયક
characteristic equation,લાક્ષણિક સમીકરણ
characteristic function,"લાક્ષણિક કાર્ય, લાક્ષણિક કાર્ય"
characteristic of logarithm,લઘુગણકનું પૂર્ણાંક
characteristic polynomial,લાક્ષણિક બહુપદી
characteristic value,લાક્ષણિક મૂલ્ય
characteristic vector,લાક્ષણિક વેક્ટર
character set,પાત્ર સમુદાય
chart,"ચાર્ટ, ચાર્ટ"
chi-square distribution,ચી-સ્ક્વેર વિતરણ
chi-square formula,ચી-સ્ક્વેર ફોર્મ્યુલા
chi-square test,ચી-સ્ક્વેર ટેસ્ટ
chord,તાર*
chord-bisection method,તાર વિભાજન પદ્ધતિ
cipher message (=coded message),લેખિત સંદેશ
cipher (zero),"શૂન્ય, સાઇફર"
circle,વર્તુળ*
circle of convergence,કન્વર્જન્સ વર્તુળ
circuit matrix,સર્કિટ મેટ્રિક્સ
circular,"પરિપત્ર, પરિપત્ર"
circular asymptote,પરિપત્ર એસિમ્પ્ટોટ્સ
circular helix,ગોળાકાર કોન્ડ્યુલાઇન
circular motion,પરિપત્ર ગતિ
circumcentre,પરિઘ કેન્દ્ર
circumcircle,નિવૃત્ત*
circumscribe,"પ્રદક્ષિણા કરવી, આસપાસ દોરવું"
circumscribed,ભૂતકાળ
circumscribed circle,ઘેરાયેલું
classical deductive technique,પ્રખ્યાત કોર્પોરેટ
classical dynamics,ક્લાસિક ગતિશીલતા
classical optimization,ક્લાસિક ઓપ્ટિમાઇઝેશન
classical ruin problem,ક્રોનિક નાણાકીય સમસ્યા
classical statistical mechanics,શાસ્ત્રીય આંકડાકીય મિકેનિક્સ
classification of errors,ભૂલોનું વર્ગીકરણ
class interval,વર્ગ અંતરાલ
class-interval unit,વર્ગ અંતરાલ એકમ
class limit,વર્ગ મર્યાદા
clockwise,ઘડિયાળની દિશામાં
clopen (= closed and open),બંધ
closed,"બંધ, બંધ"
closed convex hull,બંધ સ્તર આવરણ
closed cube,બંધ સમઘન
closed curve,"બંધ વળાંક, બંધ વળાંક"
closed domain,બંધ પ્રાંત
closed figure,બંધ આકાર
closed interval,બંધ અંતરાલ
closed region,"બંધ પ્રદેશ, બંધ પ્રદેશ"
closed set,બંધ સેટ
closed surface,"બંધ પાનું, બંધ પાનું"
closure,નેમેસિસ
closure operator,pronator
closure point (= contact point),બહિર્મુખ બિંદુ
