Bengali,Malayalam
গর্ভপাত,ഉപേക്ഷിക്കുക
গর্ভপাত টাইমার,ടൈമർ നിർത്തുക
পরম ঠিকানা,കേവല വിലാസം
পরম ঠিকানা,കേവല വിലാസം
পরম এসেম্বলার,കേവല അസംബന്ധം
পরম কোড,കേവല കോഡ്
পরম কোডিং,കേവല കോഡിംഗ്
পরম কমান্ড,കേവല കമാൻഡ്
পরম সমন্বয়,കേവല കോർഡിനേറ്റ്
পরম ডেটা,കേവല ഡാറ്റ
পরম ত্রুটি,കേവല പിശക്
পরম অভিব্যক্তি,കേവല പദപ്രയോഗം
পরম নির্দেশ,കേവല പ്രബോധനം
পরম লোডার,കേവല ലോഡർ
পরম আদেশ,കേവല ക്രമം
পরম প্রোগ্রামিং,കേവല പ്രോഗ്രാമിംഗ്
পরম শব্দ,കേവല പദം
পরম মান,യഥാർത്ഥ മൂല്യം
পরম ভেক্টর,കേവല വെക്റ്റർ
বিমূর্ত,വേര്പെട്ടുനില്ക്കുന്ന
বিমূর্ত,അമൃതിയുള്ള
বিমূর্ত প্রতীক,അമൂർത്ത ചിഹ്നം
ত্বরণ সময়কাল,ത്വരിതപ്പെടുത്തൽ കാലയളവ്
ত্বরণের সময়,ത്വരണം സമയം
অ্যাকসেন্ট,സരഭാരം
স্বীকৃতি পরীক্ষা,സ്വീകാര്യത പരിശോധന
অ্যাক্সেস,പ്രവേശനം
অ্যাক্সেস আর্ম,കൈ
অ্যাক্সেস ব্যবস্থা,ആക്സസ് ക്രമീകരണം
অ্যাক্সেস কর্তৃপক্ষ,അതോറിറ്റി ആക്സസ് ചെയ്യുക
অ্যাক্সেস চার্জ,ആക്സസ് ചാർജ്
অ্যাক্সেস ক্লাস,ആക്സസ് ക്ലാസ്
অ্যাক্সেস ডেটা বেস ম্যানেজমেন্ট,ഡാറ്റ ബേസ് മാനേജുമെന്റ് ആക്സസ് ചെയ്യുക
অ্যাক্সেস পরিবেশ,പ്രവേശന അന്തരീക്ഷം
অ্যাক্সেস ফাঁক,വിടവ് ആക്സസ് ചെയ്യുക
অ্যাক্সেস সূচক,ആക്സസ് സൂചിക
অ্যাক্সেস লাইন,ആക്സസ് ലൈൻ
অ্যাক্সেস প্রক্রিয়া,ആക്സസ് സംവിധാനം
অ্যাক্সেস পদ্ধতি,ആക്സസ് രീതി
অ্যাক্সেস পদ্ধতির রুটিন,ആക്സസ് രീതി പതിവ്
অ্যাক্সেস মোড,ആക്സസ് മോഡ്
এক্সেস অধিকার,വലത് ആക്സസ്
অ্যাক্সেস স্ক্যান,ആക്സസ് സ്കാൻ
প্রবেশাধিকার সময়,ആക്സസ് സമയം
অ্যাকাউন্টিং,അക്കൌണ്ടിംഗ്
অ্যাকাউন্টিং ফিনান্স সিস্টেম,അക്ക ing ണ്ടിംഗ് ധനകാര്യ സംവിധാനം
অ্যাকাউন্টিং মেশিন,അക്ക ing ണ്ടിംഗ് മെഷീൻ
হিসাব নাম্বার,അക്കൗണ്ട് നമ്പർ
প্রজননকারী জমে,അടിഞ്ഞുകൂടുന്നത് പുനരുൽപാദനം
জমে,സഞ്ചിതം
সংগ্রহকারী রেজিস্টার,സഞ്ചിത രജിസ്റ്റർ
সংগ্রহকারী শিফট নির্দেশনা,സഞ്ചിത ഷിഫ്റ്റ് നിർദ്ദേശം
সঠিকতা,കൃതത
নির্ভুলতা নিয়ন্ত্রণ চরিত্র,കൃത്യത നിയന്ത്രണ പ്രതീകം
নির্ভুলতা নিয়ন্ত্রণ ব্যবস্থা,കൃത്യത നിയന്ത്രണ സംവിധാനം
এস পাইলট,എയ്സ് പൈലറ്റ്
চরিত্র স্বীকৃতি,പ്രതീകം അംഗീകരിക്കുക
অ্যাকোস্টিক কাপলার,അക്കോസ്റ്റിക് കപ്ലർ
অ্যাকোস্টিক কাপলিং,അക്കോസ്റ്റിക് കപ്ലിംഗ്
অ্যাকোস্টিক বিলম্ব লাইন,അക്ക ou സ്റ്റിക് കാലതാമസം
অ্যাকোস্টিক মেমরি,അക്കോസ്റ്റിക് മെമ്മറി
অ্যাকোস্টিক মডেম,അക്കോസ്റ്റിക് മോഡം
অ্যাকোস্টিক সিগন্যাল,അക്കോസ്റ്റിക് സിഗ്നൽ
অ্যাকোস্টিক স্টোরেজ,അക്ക ou സ്റ്റിക് സ്റ്റോറേജ്
সংক্ষিপ্ত বিবরণ,സംക്ഷേപം
কর্ম,പവര്ത്തി
অ্যাকশন চক্র,പ്രവർത്തന ചക്രം
অ্যাকশন লাইন,ആക്ഷൻ ലൈൻ
অ্যাকশন বার্তা,ആക്ഷൻ സന്ദേശം
ক্রিয়া স্পেসিফিকেশন,പ്രവർത്തന സവിശേഷത
অ্যাক্টিভেশন,സജീവമാക്കല്
সক্রিয়,സജീവമായ
সক্রিয় ফাইল,സജീവ ഫയൽ
সক্রিয় লাইন,സജീവ ലൈൻ
সক্রিয় লিঙ্ক,സജീവ ലിങ്ക്
সক্রিয় মাস্টার ফাইল,സജീവ മാസ്റ്റർ ഫയൽ
সক্রিয় মাস্টার আইটেম,സജീവ മാസ്റ്റർ ഇനം
সক্রিয় স্যাটেলাইট,സജീവ ഉപഗ്രഹം
সক্রিয় স্টেশন,സജീവ സ്റ്റേഷൻ
সক্রিয় স্টোরেজ,സജീവ സംഭരണം
ক্রিয়াকলাপ,പ്രവർത്തനം
কর্মকান্ডের পর্যায়,പ്രവർത്തന നില
ক্রিয়াকলাপ লোড হচ্ছে,പ്രവർത്തന ലോഡിംഗ്
ক্রিয়াকলাপ অনুপাত,പ്രവർത്തന അനുപാതം
আসল ঠিকানা (= পরম ঠিকানা),യഥാർത്ഥ വിലാസം (= കേവല വിലാസം)
আসল কোড (= পরম কোড),യഥാർത്ഥ കോഡ് (= കേവല കോഡ്)
প্রকৃত ডেটা স্থানান্তর হার,യഥാർത്ഥ ഡാറ്റ കൈമാറ്റ നിരക്ക്
আসল দশমিক পয়েন্ট,യഥാർത്ഥ ദശാംശസ്ഥാനം
প্রকৃত নির্দেশ (= কার্যকর নির্দেশ),യഥാർത്ഥ നിർദ്ദേശം (= ഫലപ്രദമായ നിർദ്ദേശം)
আসল কী,യഥാർത്ഥ കീ
প্রকৃত সময়,യഥാർത്ഥ സമയം
আসল কাজের সময়,യഥാർത്ഥ ജോലി സമയം
অ্যাকিউটিং সিগন্যাল,ആരംഭിക്കുന്ന സിഗ്നൽ
অভিযোজনযোগ্যতা,പൊരുത്തപ്പെടലി
অ্যাডাপ্টার,അഡാപ്റ്റർ
অভিযোজিত চ্যানেল বরাদ্দ,അഡാപ്റ്റീവ് ചാനൽ അനുവദിക്കൽ
