Assamese,English
এটা B শ্ৰেণীৰ এম্প্লিফায়াৰ,A B amplifier
বিচ্যুতি,aberration
অস্বাভাৱিক সংক্ৰমণ,abnormal propagation
"অসংলগ্ন, সাধাৰণতে, গাঁতযুক্ত, কাটি পেলোৱা, ভাঙি যোৱা",abrupt
অনুপস্থিত বৰ্ণালী,absent spectrum
"নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত",absolute
নিৰপেক্ষ আৰ্দ্ৰতা,absolute humidity
নিৰপেক্ষ গতি,absolute motion
নিৰপেক্ষ পৰ্যবেক্ষণ,absolute observation
নিৰপেক্ষ উষ্ণতা,absolute temperature
নিৰপেক্ষ শূন্য,absolute zero
শুহি লোৱা,absorb
"শোষক, শোষক",absorber
শোষণ ক্ষমতা,absorbing power
শোষণ ক্ষমতা,absorptance
শোষক,absorptive
শোষণ ক্ষমতা,absorptivity
বহুগুণতা অনুপাত,abundance ratio
ত্বৰান্বিত কৰক,accelerate
খৰধৰকৈ উঠিল,accelerated
বেগ বৃদ্ধি,acceleration
মাধ্যাকৰ্ষণৰ ত্বৰণ,acceleration of gravity
ত্বৰণকাৰী,accelerative
ত্বৰণকাৰী,accelerator
এক্সিলেৰমিটাৰ,accelerometer
প্ৰিষ্ট্ৰেছাৰ,accentuator
গ্ৰহণযোগ্য পৰীক্ষা,acceptance test
গ্ৰহণকাৰী,acceptor
দাতা অণু,acceptor molecule
"প্ৰৱেশ, অপেক্ষা, অভিগম্যতা",access
অভিগম্যতা,accessibility
"অতিৰিক্ত, আনুষংগিক, আনুষংগিক (v.), আনুষংগিক (ed.)",accessory
প্ৰৱেশ সময়,access time
দৰ্শকৰ ভুল,accidental error
সমন্বয়,accommodation
সঞ্চিত কৰা হৈছে,accumulated
"সঞ্চয়, সঞ্চয়",accumulation
এক্যুলেটৰ,accumulator
শুদ্ধতা,accuracy
বাস্তৱতা,accurate
ৰঙীন লেন্স,achromat
achromatic,achromatic
achromaticity,achromatism
একাউষ্টিক,acoustical
শব্দ নিবাৰণ,acoustically insulated
একাউষ্টিক ফ&#39;নন,acoustical phonon
শব্দ একক,acoustical unit
একাউষ্টিক,acoustic
শব্দ উৎপাদক,acoustic generator
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,action and reaction
সক্ৰিয়কৰণ,activation
সক্ৰিয়কৰণ শক্তি,"activation, energy"
"সক্ৰিয়কৰ্তা, সক্ৰিয়কৰ্তা",activator
সক্ৰিয়,active
সক্ৰিয়তা,activity
প্ৰকৃত মানসিক চাপ,actual stress
ফুচফুচাই কোৱা,acute exposure
সামৰণিত,add
"যোগ, যোগ, সমষ্টি (ed.), যোগ (v.)",addition
"সংযোগী সুৰ, অতিৰিক্ত সুৰ (স্বৰ)",additional tone
যোগকৰণ,additive
আঠাযুক্ততা,adhesion
আঠাযুক্ত শক্তি,adhesional energy
আদিয়াবাট,adiabat
adiabatic,adiabatic
তাপ নিৰোধক,adiathermanous
সংলগ্ন কৰা হৈছে,adjacent
নিয়ন্ত্ৰণযোগ্য,adjustable
ভেদ,admittance
শোষণ,adsorption
আগলৈ,advanced
প্ৰগতিশীল,advancing
"আকাশী, বায়ু (v.), আকাশী (ed.)",aerial
এন্টেনা ষ্ট্ৰিম,aerial current
আকাশী জৰীপ,aerial survey
বায়ুৰ বেগ,aerial velocity
বায়ুগতিশীল সহগ,aerodynamic coefficient
বায়ুগতিবিদ্যা,aerodynamic
বায়ুগতিবিদ্যা,aerodynamics
এৰোনটিকেল,aeronautical
এৰোনটিক্স,aeronautics
বায়ুৰ স্পন্দন,aeropulse
"বায়ুমণ্ডল, গেছ&#39;স্ফিয়াৰ",aerosphere
ফোকাচ চিষ্টেম,afocal system
বেক ইগনিচন,after burning
বেক লাইট,after glow
জোকাৰণি,aftershock
"বয়স, বয়স, বয়স, যুগ (ed.), সময়ক প্ৰভাৱিত কৰা (ver.), সময়, সময়ৰ দ্বাৰা প্ৰভাৱিত হোৱা",age
সময় প্ৰভাৱিত,aged
"বয়স বৃদ্ধি, বয়স বৃদ্ধি",ageing (aging)
সময়ৰ প্ৰভাৱ,aging (=ageing)
সময় প্ৰভাৱ পৰীক্ষা,aging test
মাধ্যাকৰ্ষণহীন,agravic
মিলন,aim
"বায়ুমণ্ডলীয় ৰাডাৰ, আকাশী ৰাডাৰ",airborne radar
"আকাশী লক্ষ্য, আকাশী লক্ষ্য",airborne target
বায়ু শ্বাসযন্ত্ৰ,air breather
এয়াৰ কণ্ডিচনাৰ,air conditioning
এয়াৰক্ৰু ট্ৰেন্সফৰ্মাৰ,aircore transformer
বিমান,aircraft
প্ৰান্তিককৰণ,alignment
প্ৰান্তিককৰণৰ ভুল,alignment error
লাইভ চাৰ্কিট,alive circuit
