Punjabi,Marathi
ਅਬੇਲੀ ਸਮੂਹ,abeli गट
ਅਬੇਲੀ ਸਮੂਹ,अबेली गट
ਹੱਥ,हात
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਸਥਿਰ, ਸਟੀਕ","निरपेक्ष, निरपेक्ष, स्थिर, अचूक"
ਪੂਰਨ ਕਨਵਰਜੈਂਸ,परिपूर्ण अभिसरण
ਪੂਰਨ ਗਲਤੀ,परिपूर्ण त्रुटी
ਪਰਮ ਸਰਵਉੱਚ,सर्वोच्च सर्वोच्च
ਸਭ ਤੋਂ ਘੱਟ,परिपूर्ण सर्वात कमी
ਸਹੀ ਮੁੱਲ,परिपूर्ण मूल्य
ਪੂਰਨ ਗਤੀ,परिपूर्ण वेग
ਸਾਰ ਅਲਜਬਰਾ,अमूर्त बीजगणित
ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ,अमूर्त गट सिद्धांत
ਪ੍ਰਵੇਗ,प्रवेग
ਗਰੈਵੀਟੇਸ਼ਨਲ ਪ੍ਰਵੇਗ,गुरुत्वाकर्षण प्रवेग
ਸਵੀਕਾਰਯੋਗ ਚੋਣਕਾਰ,स्वीकार्य निवडकर्ता
ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ,स्वीकार्य गुणवत्ता पातळी
ਸਵੀਕਾਰਯੋਗ ਜਗ੍ਹਾ,स्वीकार्य परिसर
ਵੈਧ ਭਰੋਸੇਯੋਗਤਾ ਪੱਧਰ,वैध विश्वसनीयता पातळी
ਸਵੀਕ੍ਰਿਤੀ ਨਮੂਨਾ,स्वीकृती नमुना
ਸੰਚਿਤ ਗਲਤੀ,संचित त्रुटी
ਸ਼ੁੱਧਤਾ,अचूकता
ਲਾਗੂ ਫੋਰਸ,शक्ती लागू
"ਕਾਰਵਾਈ, ਕੰਮ","कृती, कृती"
ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ,क्रिया आणि प्रतिक्रिया
ਬੀਮਾ ਵਿਗਿਆਨ,विमा विज्ञान
ਤੀਬਰ ਤਿਕੋਣ,तीव्र त्रिकोण
acyclic,अॅसायक्लिक
ਸੰਪੇਕਸ਼ਤ,बेरीज करणे
ਜੋੜਨ ਵਾਲਾ,जोडणारा
"ਜੋੜ, ਜੋੜ, ਜੋੜ (c.), ਜੋੜ (v.)","बेरीज, बेरीज, बेरीज (c.), बेरीज (v.)"
ਯੋਗਾ ਦਾ ਫਾਰਮੂਲਾ,योगाचे सूत्र
ਮਿਸ਼ਰਿਤ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ,जटिल संख्यांची बेरीज
ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ,कार्यांची बेरीज
ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ,मॅट्रिक्सची बेरीज
ਬਹੁਪਦ ਦਾ ਜੋੜ,बहुपदांची बेरीज
