Malayalam,Odiya
എ.സി തുല്യമായ സർക്യൂട്ട്,AC ସମାନ ସର୍କିଟ |
അനലോഗ് ടു ന്യൂമെറിക് കൺവെർട്ടർ,ସାଂଖ୍ୟିକ ରୂପାନ୍ତରକାରୀ ସହିତ ଅନୁରୂପ |
കേവല പൂജ്യം,ସଂପୂର୍ଣ୍ଣ ଶୂନ
ആഗിരണം ഗുണകം,ଶୋଷଣ ଗୁଣବତ୍ତା
ആഗിരണം സ്പെക്ട്രം,ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ |
റിസപ്റ്റർ ആറ്റം,ରିସେପ୍ଟର ପରମାଣୁ |
ആൾട്ടർനേറ്റിംഗ് കറന്റ് കപ്ലിംഗ്,ବ current କଳ୍ପିକ ସାମ୍ପ୍ରତିକ ଯୋଡି |
ഇലക്ട്രോൺ വിളവെടുപ്പ്,ଇଲେକ୍ଟ୍ରନ୍ ଅମଳ
ദ്വാര സംഭരണം,ଗର୍ତ୍ତ ସଂରକ୍ଷଣ
സജീവമാക്കൽ ഊർജ്ജം,ସକ୍ରିୟ ଶକ୍ତି
സജീവ ആംപ്ലിഫയർ,ସକ୍ରିୟ ଏମ୍ପ୍ଲିଫାୟର୍ |
സജീവ ഡയോഡ് സർക്യൂട്ട്,ସକ୍ରିୟ ଡାୟୋଡ୍ ସର୍କିଟ୍ |
സജീവ ഫിൽട്ടർ,ସକ୍ରିୟ ଫିଲ୍ଟର୍ |
സജീവമായ ഉയർന്ന ഫ്രീക്വൻസി പാർക്ക്വെറ്റ് ഫിൽട്ടർ,ସକ୍ରିୟ ହାଇ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍କେଟ୍ ଫିଲ୍ଟର୍ |
സജീവ ലോഡ്,ସକ୍ରିୟ ଭାର
സജീവമായ ലോ ഫ്രീക്വൻസി പാഴ്സ് ഫിൽട്ടർ,ସକ୍ରିୟ ନିମ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍ସ ଫିଲ୍ଟର୍ |
സജീവമായ പ്രദേശം,ସକ୍ରିୟ କ୍ଷେତ୍ର |
അഡാപ്റ്റീവ് ഇലക്ട്രോണിക്സ്,ଆଡାପ୍ଟିଭ୍ ଇଲେକ୍ଟ୍ରୋନିକ୍ସ |
ചേർക്കുന്നയാൾ,ଆଡର୍
ക്രമീകരിക്കാവുന്ന ബാൻഡ് വിപുലീകരണം,ଆଡଜଷ୍ଟେବଲ୍ ବ୍ୟାଣ୍ଡ ଏକ୍ସଟେନ୍ସନ୍ |
നുഴഞ്ഞുകയറ്റം,ଅନୁପ୍ରବେଶ
ഏരിയൽ,ଆରିଏଲ
പെപ് ആവൃത്തി,ପେପ୍ ଫ୍ରିକ୍ୱେନ୍ସି |
എയർ കണ്ടീഷണർ,ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି
വിന്യാസം,ଶ୍ରେଣୀବଦ୍ଧତା |
അൽഗോരിതം,ଆଲଗୋରିଦମ |
എല്ലാ പാസ് ഫിൽട്ടറും,ସମସ୍ତ ପାସ୍ ଫିଲ୍ଟର୍ |
അലോയ് ജംഗ്ഷൻ,ମିଶ୍ରିତ ଜଙ୍କସନ |
ശോഷണം,ଆଘାତ
ആൾട്ടർനേറ്റിംഗ് കറന്റ്,ବ current କଳ୍ପିକ କରେଣ୍ଟ୍ |
അന്തരീക്ഷ ഊഷ്മാവ്,ପରିବେଶର ତାପମାତ୍ରା |
ബൈപോളാർ,ଦ୍ୱିପାକ୍ଷିକ
ആംപ്ലിഫിക്കേഷൻ,ବୃଦ୍ଧି
ആംപ്ലിഫയർ,ଏମ୍ପ୍ଲିଫାୟର୍
ആംപ്ലിഫയർ കാര്യക്ഷമത,ଏମ୍ପ୍ଲିଫାୟର୍ ଦକ୍ଷତା |
അളവുകൾ,ପରିମାପ
ആംപ്ലിറ്റ്യൂഡ് അറ്റൻവേഷൻ,ପ୍ରଶସ୍ତତା ଆଘାତ
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റഡ് AM ഓസിലേറ്റർ,ବିସ୍ତାର ମଡ୍ୟୁଲେଡ୍ ଏମ୍ ଓସିଲେଟର
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേഷൻ,ପ୍ରଶସ୍ତିକରଣ ମୋଡ୍ୟୁଲେସନ
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റർ,ପ୍ରଶସ୍ତିକରଣ ମଡ୍ୟୁଲେଟର
angstrom യൂണിറ്റ്,ଆଙ୍ଗଷ୍ଟ୍ରମ୍ ୟୁନିଟ୍ |
അനലോഗ് സർക്യൂട്ട്,ଆନାଗଲ୍ ସର୍କିଟ୍ |
അനലോഗ് കമ്പ്യൂട്ടർ,ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |
അനലോഗ് ഫിൽട്ടർ,ଆନାଲଗ୍ ଫିଲ୍ଟର୍ |
അനലോഗ് മൾട്ടിമീറ്റർ,ଆନାଗଲ୍ ମଲ୍ଟିମିଟର |
അനലോഗ് സ്വിച്ച്,ଆନାଗଲ୍ ସୁଇଚ୍ |
ഒപ്പം ഗേറ്റും,ଏବଂ ଫାଟକ |
കോണീയ ആവൃത്തി,କୋଣ ଅନୁକୋଣ
"അയോൺ, അയോൺ","ଆୟନ, ଆୟନ"
അനീലിംഗ് താപനില,ଆନ୍ନାଲିଙ୍ଗ୍ ତାପମାତ୍ରା |
ആനോഡ്,anode
ആനോഡ് ആംപ്ലിഫയർ,ଆନାଡ୍ ଏମ୍ପ୍ଲିଫାୟର୍ |
അനോഡൈൻ,anodyne
ആന്റിന,ଆଣ୍ଟେନା |
ആന്റിന ഘടകം,ଆଣ୍ଟେନା ଉପାଦାନ |
ആന്റി-റിഫ്ലക്ടീവ് കോട്ടിംഗ്,ଆଣ୍ଟି-ପ୍ରତିଫଳିତ ଆବରଣ |
ആന്റിലോഗിൻ ആംപ്ലിഫയർ,ଆଣ୍ଟିଲୋଜିନ ଏମ୍ପ୍ଲିଫାୟର୍ |
antiresonant സർക്യൂട്ട്,ଆଣ୍ଟିରେସୋନାଣ୍ଟ ସର୍କିଟ |
ദ്വാരക കാലഘട്ടം,ଦ୍ୱାରକ ଅବଧି |
വെർച്വൽ പവർ,ଭର୍ଚୁଆଲ୍ ଶକ୍ତି |
വയർ കണക്ഷൻ,ତାର ସଂଯୋଗ
ഏകദേശ വോൾട്ടേജ് നേട്ടം,ଆନୁମାନିକ ଭୋଲଟେଜ୍ ଲାଭ |
ആംസ്ട്രോങ് മോഡുലേറ്റർ,ବାହୁବଳୀ ମଡ୍ୟୁଲେଟର
ആന്റിന അറേ,ଆଣ୍ଟେନା ଆରେ |
"വലുപ്പ അനുപാതം, വീക്ഷണ അനുപാതം","ଆକାର ଅନୁପାତ, ଆସପେକ୍ଟ ଅନୁପାତ |"
ഫ്ലോട്ടിംഗ് സർക്യൂട്ട് (സ്വതന്ത്ര ഓപ്പറേറ്റിംഗ് സർക്യൂട്ട്),ଭାସମାନ ସର୍କିଟ (ମାଗଣା ଅପରେଟିଂ ସର୍କିଟ)
ഓട്ടോമാറ്റിക് മൾട്ടിവൈബ്രേറ്റർ,ସ୍ୱୟଂଚାଳିତ ମଲ୍ଟିଭାଇବ୍ରେଟର |
ഫ്ലോട്ടിംഗ് മൾട്ടിവൈബ്രേറ്റർ,ଭାସମାନ ମଲ୍ଟିଭାଇବ୍ରେଟର |
അസമമായ ജംഗ്ഷൻ,ଅସୀମିତ ଜଙ୍କସନ
അസിൻക്രണസ് കാൽക്കുലേറ്റർ,ଅସନ୍ତୁଳିତ କାଲକୁଲେଟର |
ആണവ,ପରମାଣୁ
ആറ്റോമിക നമ്പർ,ପରମାଣୁ ସଂଖ୍ୟା
ആറ്റോമിക് ഘടന,ପରମାଣୁ ଗଠନ
ഓഡിയോ ആംപ്ലിഫയർ,ଅଡିଓ ଏମ୍ପ୍ଲିଫାୟର୍ |
ഓഡിയോ ആംപ്ലിഫയർ,ଅଡିଓ ଏମ୍ପ୍ଲିଫାୟର୍ |
ഓഡിയോ കാസറ്റ്,ଅଡିଓ କ୍ୟାସେଟ୍ |
ഓഡിയോ സർക്യൂട്ട്,ଅଡିଓ ସର୍କିଟ |
കേൾക്കാവുന്ന ആവൃത്തി,ଶ୍ରବଣ ଫ୍ରିକ୍ୱେନ୍ସି |
ഓട്ടോമാറ്റിക് വോൾട്ടേജ് നിയന്ത്രണം,ସ୍ୱୟଂଚାଳିତ ଭୋଲଟେଜ୍ ନିୟନ୍ତ୍ରଣ |
ഹിമപാതം,ବାଘ
ശരാശരി ഡിറ്റക്ടർ,ହାରାହାରି ଡିଟେକ୍ଟର |
അക്ഷീയ മോഡ്,ଅକ୍ଷୀୟ ମୋଡ୍ |
അക്ഷീയ അനുപാതം,ଅକ୍ଷୀୟ ଅନୁପାତ |
ആന്റിന,ଆଣ୍ଟେନା |
ബാക്ക് ഇലക്ട്രോമോട്ടീവ് ഫോഴ്സ്,ପଛକୁ ଇଲେକ୍ଟ୍ରୋମୋଟିଭ୍ ଫୋର୍ସ |
പിൻ പ്രദേശം,ପଛ କ୍ଷେତ୍ର
തിരികെ ചിതറിക്കിടക്കുക,ପଛ ବିଛାଇବା |
പശ്ചാത്തല ചാർജ്,ପୃଷ୍ଠଭୂମି ଚାର୍ଜ |
സൈഡ് ശബ്ദം,ପାର୍ଶ୍ୱ ଶବ୍ଦ |
പിന്നോക്കാവസ്ഥ,ପ୍ରତ୍ୟାବର୍ତ୍ତନ
