Malayalam,Hindi
ഉപേക്ഷിക്കുക,विफलन
ടൈമർ നിർത്തുക,विफलन कालद
കേവല വിലാസം,निरपेक्ष पता
കേവല വിലാസം,निरपेक्ष पताभिगमन
കേവല അസംബന്ധം,निरपेक्ष कोडांतरक
കേവല കോഡ്,निरपेक्ष कूट
കേവല കോഡിംഗ്,निरपेक्ष कूटलेखन
കേവല കമാൻഡ്,निरपेक्ष समादेश
കേവല കോർഡിനേറ്റ്,निरपेक्ष निर्देशांक
കേവല ഡാറ്റ,निरपेक्ष आंकड़े
കേവല പിശക്,निरपेक्ष त्रुटि
കേവല പദപ്രയോഗം,निरपेक्ष व्यंजक
കേവല പ്രബോധനം,निरपेक्ष अनुदेश
കേവല ലോഡർ,निरपेक्ष भारक
കേവല ക്രമം,निरपेक्ष आदेश
കേവല പ്രോഗ്രാമിംഗ്,निरपेक्ष क्रमादेशन
കേവല പദം,निरपेक्ष पद
യഥാർത്ഥ മൂല്യം,निरपेक्ष मान
കേവല വെക്റ്റർ,निरपेक्ष सदिश
വേര്പെട്ടുനില്ക്കുന്ന,"सारांश, अमूर्त"
അമൃതിയുള്ള,"सारांशन, अमूर्तकरण, साराहरण"
അമൂർത്ത ചിഹ്നം,अमूर्त प्रतीक
ത്വരിതപ്പെടുത്തൽ കാലയളവ്,त्वरण अवधि
ത്വരണം സമയം,त्वरण काल
സരഭാരം,उच्चारण चिह्न
സ്വീകാര്യത പരിശോധന,स्वीकरण परीक्षण
പ്രവേശനം,अभिगम
കൈ,अभिगम बाहु
ആക്സസ് ക്രമീകരണം,अभिगम व्यवस्था
അതോറിറ്റി ആക്സസ് ചെയ്യുക,अभिगम प्राधिकारक
ആക്സസ് ചാർജ്,अभिगम शुल्क
ആക്സസ് ക്ലാസ്,अभिगम वर्ग
ഡാറ്റ ബേസ് മാനേജുമെന്റ് ആക്സസ് ചെയ്യുക,अभिगम आँकड़ासंचय प्रबंध
പ്രവേശന അന്തരീക്ഷം,अभिगम परिवेश
വിടവ് ആക്സസ് ചെയ്യുക,अभिगम अंतराल
ആക്സസ് സൂചിക,अभिगम सूचक
ആക്സസ് ലൈൻ,अभिगम लाइन
ആക്സസ് സംവിധാനം,अभिगम यांत्रिकत्व
ആക്സസ് രീതി,अभिगम विधि
ആക്സസ് രീതി പതിവ്,अभिगम विधि नेमका
ആക്സസ് മോഡ്,अभिगम विधा
വലത് ആക്സസ്,अभिगम अधिकार
ആക്സസ് സ്കാൻ,अभिगम क्रमवीक्षण
ആക്സസ് സമയം,अभिगम काल
