Punjabi,English
ਏ ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,A B amplifier
ਵਿਗਾੜ,aberration
ਅਸਧਾਰਨ ਸੰਚਾਰ,abnormal propagation
"ਅਣ-ਅਟੈਚਡ, ਆਮ ਤੌਰ &#39;ਤੇ, ਟੋਏ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ",abrupt
ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ,absent spectrum
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ",absolute
ਪੂਰਨ ਨਮੀ,absolute humidity
ਪੂਰਨ ਗਤੀ,absolute motion
ਪੂਰਨ ਨਿਰੀਖਣ,absolute observation
ਪੂਰਨ ਤਾਪਮਾਨ,absolute temperature
ਪੂਰਨ ਜ਼ੀਰੋ,absolute zero
ਸੋਖਣਾ,absorb
"ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ",absorber
ਸਮਾਈ ਸਮਰੱਥਾ,absorbing power
ਸਮਾਈ,absorptance
ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ,absorptive
ਸਮਾਈ,absorptivity
ਗੁਣਾ ਅਨੁਪਾਤ,abundance ratio
ਤੇਜ਼ ਕਰੋ,accelerate
ਜਲਦੀ,accelerated
ਪ੍ਰਵੇਗ,acceleration
ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ,acceleration of gravity
ਐਕਸਲੇਟਰ,accelerative
ਐਕਸਲੇਟਰ,accelerator
ਐਕਸਲੇਰੋਮੀਟਰ,accelerometer
prestresser,accentuator
ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ,acceptance test
ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ,acceptor
ਦਾਨੀ ਅਣੂ,acceptor molecule
"ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚਯੋਗਤਾ",access
ਪਹੁੰਚਯੋਗਤਾ,accessibility
"ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v.), ਸਹਾਇਕ ਉਪਕਰਣ (ed.)",accessory
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,access time
ਵਿਜ਼ਟਰ ਗਲਤੀ,accidental error
ਵਿਵਸਥਾ,accommodation
ਇਕੱਠਾ ਕੀਤਾ,accumulated
"ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ",accumulation
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,accumulator
ਸ਼ੁੱਧਤਾ,accuracy
ਅਸਲੀਅਤ,accurate
ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ,achromat
ਅਕ੍ਰੋਮੈਟਿਕ,achromatic
ਰੰਗੀਨਤਾ,achromatism
ਧੁਨੀ,acoustical
ਸਾਊਂਡਪਰੂਫ਼,acoustically insulated
ਧੁਨੀ ਫੋਨੋਨ,acoustical phonon
ਆਵਾਜ਼ ਯੂਨਿਟ,acoustical unit
ਧੁਨੀ,acoustic
ਆਵਾਜ਼ ਜਨਰੇਟਰ,acoustic generator
ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ,action and reaction
ਸਰਗਰਮੀ,activation
ਸਰਗਰਮੀ ਊਰਜਾ,"activation, energy"
"ਐਕਟੀਵੇਟਰ, ਐਕਟੀਵੇਟਰ",activator
ਕਿਰਿਆਸ਼ੀਲ,active
ਸਰਗਰਮੀ,activity
ਅਸਲ ਤਣਾਅ,actual stress
ਘੁਸਰ-ਮੁਸਰ,acute exposure
ਸੰਪੇਕਸ਼ਤ,add
"ਜੋੜ, ਜੋੜ, ਕੁੱਲ (ਐਡੀ.), ਜੋੜ (v.)",addition
"ਸੰਯੋਜਕ ਟੋਨ, ਵਾਧੂ ਸੁਰ (ਸਵਰ)",additional tone
additive,additive
adhesion,adhesion
ਚਿਪਕਣ ਵਾਲੀ ਊਰਜਾ,adhesional energy
adiabat,adiabat
adiabatic,adiabatic
ਗਰਮੀ ਇੰਸੂਲੇਟਿੰਗ,adiathermanous
ਲਗਾਵ,adjacent
ਵਿਵਸਥਿਤ,adjustable
ਪ੍ਰਵੇਸ਼,admittance
ਸੋਸ਼ਣ,adsorption
ਅੱਗੇ,advanced
ਪ੍ਰਗਤੀਸ਼ੀਲ,advancing
"ਆਕਾਸ਼ੀ, ਹਵਾ (ਵੀ.), ਏਰੀਅਲ (ਐਡੀ.)",aerial
ਐਂਟੀਨਾ ਸਟ੍ਰੀਮ,aerial current
ਹਵਾਈ ਸਰਵੇਖਣ,aerial survey
ਹਵਾ ਦੀ ਗਤੀ,aerial velocity
ਐਰੋਡਾਇਨਾਮਿਕ ਗੁਣਾਂਕ,aerodynamic coefficient
ਐਰੋਡਾਇਨਾਮਿਕ,aerodynamic
ਐਰੋਡਾਇਨਾਮਿਕਸ,aerodynamics
ਏਅਰੋਨੌਟਿਕਲ,aeronautical
ਐਰੋਨਾਟਿਕਸ,aeronautics
ਹਵਾ ਦੀ ਨਬਜ਼,aeropulse
"ਵਾਯੂਮੰਡਲ, ਗੈਸੋਸਫੀਅਰ",aerosphere
ਫੋਕਸ ਸਿਸਟਮ,afocal system
ਵਾਪਸ ਇਗਨੀਸ਼ਨ,after burning
ਵਾਪਸ ਰੋਸ਼ਨੀ,after glow
ਉਲਝਣ,aftershock
"ਉਮਰ, ਉਮਰ, ਉਮਰ, ਯੁੱਗ (ਐਡੀ.), ਸਮੇਂ ਨੂੰ ਪ੍ਰਭਾਵਿਤ ਕਰਨ ਲਈ (ਵਰਤ.), ਸਮਾਂ, ਸਮੇਂ ਦੁਆਰਾ ਪ੍ਰਭਾਵਿਤ ਹੋਣ ਲਈ",age
ਸਮਾਂ ਪ੍ਰਭਾਵਿਤ ਹੋਇਆ,aged
"ਬੁਢਾਪਾ, ਬੁਢਾਪਾ",ageing (aging)
ਸਮਾਂ ਪ੍ਰਭਾਵ,aging (=ageing)
ਸਮਾਂ ਪ੍ਰਭਾਵ ਟੈਸਟ,aging test
ਗੰਭੀਰਤਾ ਰਹਿਤ,agravic
ਸੁਲ੍ਹਾ,aim
"ਏਅਰਬੋਰਨ ਰਾਡਾਰ, ਏਰੀਅਲ ਰਾਡਾਰ",airborne radar
"ਏਰੀਅਲ ਟੀਚਾ, ਏਰੀਅਲ ਟੀਚਾ",airborne target
ਹਵਾ ਸਾਹ ਲੈਣ ਵਾਲਾ,air breather
ਏਅਰ ਕੰਡੀਸ਼ਨਿੰਗ,air conditioning
ਏਅਰਕ੍ਰੂ ਟ੍ਰਾਂਸਫਾਰਮਰ,aircore transformer
ਜਹਾਜ਼,aircraft
ਅਲਾਈਨਮੈਂਟ,alignment
ਅਲਾਈਨਮੈਂਟ ਗਲਤੀ,alignment error
ਲਾਈਵ ਸਰਕਟ,alive circuit
ਪੂਰੀ ਕੱਚ ਦੀ ਟਿਊਬ,all glass tube
ਸਾਰੀ ਧਾਤ ਦੀ ਟਿਊਬ,all metal tube
ਠੀਕ ਕਰਨ ਲਈ,allocate
"ਮਿਸਰਤੁ (ਸੰਪਾਦਕ), ਮਿਸ਼ਰਤਵਨ (ਸੀ.ਆਰ.)",alloy
ਮਿਸ਼ਰਤਵਨ,alloying
ਸਰਵ ਵਿਆਪਕ ਮਾਧਿਅਮ,all-pervading medium
ਓਮਨੀ ਐਂਟੀਨਾ,all-wave antenna
ਅਲਮੈਨਕ,almanac
ਅਲਫ਼ਾ,alpha
ਅਲਫ਼ਾ-ਗਤੀਵਿਧੀ,alpha-activity
ਅੱਖਰ ਅੰਕੀ,alphabetical
ਅਲਫ਼ਾ ਰੇ,alpha ray
ਬਦਲੋ,alteration
"ਬਦਲਵਾਂ, ਬਦਲਵਾਂ",alternating
ਅਲਟਰਨੇਟਰ,alternator
ਅਲਟੀਮੀਟਰ,altigraph
ਅਲਟੀਮੀਟਰ,altimeter
ਅਲਟਾਈਮੇਟਰੀ,altimetry
"ਉਚਾਈ, ਉਚਾਈ, ਉਚਾਈ, ਉਚਾਈ",altitude
ਅੰਕਗਣਿਤ ਤਰਕ ਇਕਾਈ (ALU),ALU (Arithmatic Logic Unit)
amaget ਨਿਯਮ,Amagat law
ਵਾਤਾਵਰਣ,ambient
amicron,amicron
ammeter,amméter
ਐਂਪੀਅਰ,ampere
ਐਂਪੀਅਰ-ਲਾਅ,Ampere's rule
amphibian ion,amphoteric ion
ਵਾਧਾ,amplification
ਐਂਪਲੀਫਾਇਰ,amplifier
"ਕੋਣ, ਮਾਪ",amplitude
a ਐਮ.ਯੂ. (ਪਰਮਾਣੂ ਪੁੰਜ ਯੂਨਿਟ),a. m. u. (atomic mass unit)
ਅਨੁਕੂਲ,analog (=analogue)
ਸਮਾਨਤਾ,analogy
ਵਿਸ਼ਲੇਸ਼ਕ,analyser
ਵਿਸ਼ਲੇਸ਼ਣ,analysis
ਵਿਸ਼ਲੇਸ਼ਣੀ,analytical
ਗੈਰ-ਪੁਆਇੰਟ,anastigmatic
ਅਸਧਾਰਨ,anastigmatism
ਅਤੇ ਦਰਵਾਜ਼ਾ,AND gate
ਗੈਰ-ਧੁਨੀ,anechoic
ਅਸਧਾਰਨ ਲਚਕਤਾ,anelasticity
ਨਿਹਾਈਡ੍ਰਸ,aneroid
ਕੋਣ,angle
ਐਂਗਸਟ੍ਰੋਮ ਯੂਨਿਟ,Angstrom unit
ਕੋਣੀ,angular
protractor vernier,angular vernier
ਵਿਵਾਦਪੂਰਨ,anharmonic
ਬੇਇੱਜ਼ਤੀ,anharmonicity
ਅਕ੍ਰੋਮੈਟਿਕ ਚੁੰਬਕੀਕਰਨ,anhysteresis
ਢਿੱਲੀ,anhysteretic
anion,anion
ਅਸਮਿਤ,anisodimensional
ਆਈਸੋਟ੍ਰੋਪਿਕ,anisotropic
isotropism,anisotropy
ਮਿਟਾਉਣਾ,annihilation
ਸਾਜ਼ਿਸ਼ਕਰਤਾ,annunciator
ਐਨੋਡ,anode
anodization,anodize
ਅਸੰਗਤ,anomalous
ਆਪਟੀਕਲ ਸਿਸਟਮ,anoptic system
ਐਂਟੀਨਾ,antenna
ਐਂਟੀਬੇਰੀਅਨ,antibaryon
ਵਿਰੋਧੀ ਬੰਧਨ ਜਾਇਦਾਦ,antibinding property
ਵਿਰੋਧੀ ਬਾਂਡ,anitibonding
ਉਲਟ ਸ਼ਕਤੀ,antiferroelectricity
ਡਾਇਮੈਗਨੈਟਿਕ,antiferromagnetic
ਡਾਇਮੈਗਨੈਟਿਕ ਸਮੱਗਰੀ,antiferromagnetics
ਸਾੜ ਵਿਰੋਧੀ,antifoggant
ਐਂਟੀਗ੍ਰੈਵਿਟੀ,antigravity
antilamda ਕਣ,anti-lambda particle
ਐਲੇਲੈਪਟਨ,anti-lepton
ਡਾਇਮੈਗਨੈਟਿਕ,antimagnetic
ਐਂਟੀਮੈਟਰ,antimatter
ਵਿਰੋਧੀ ਮਿਜ਼ਾਈਲ,antimissile
antineutron,antineutron
pulsating,antinode
antinucleon,antinucleon
ਵਿਰੋਧੀ ਕਣ,antiparticle
ਐਂਟੀਪ੍ਰੋਟੋਨ,antiproton
ਪ੍ਰਤੀਬਿੰਬ ਵਿਰੋਧੀ,antireflection
ਵਿਰੋਧੀ ਸਮਰੂਪ,antisymmetric
ਗੈਰ-ਆਵਰਤੀ,aperiodical
anachronism,aperiodicity
perforated ਸਕੈਨਿੰਗ ਡਿਸਕ,apertural disc
ਦੁਆਰਕ,aperture
"ਸਿਖਰ, ਸਿਖਰ, ਸਾਹਮਣੇ",apex
"ਉੱਚਾ ਸੂਰਜ, ਉੱਚਾ ਸੂਰਜ",aphelion
