Odiya,Bengali
ଆବେଲି ଗୋଷ୍ଠୀ |,আবেলি গ্রুপ
ଆବେଲି ଗୋଷ୍ଠୀ |,আবেলি গ্রুপ
ହାତ,হাত
"ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସଠିକ୍ |","পরম, পরম, ধ্রুবক, সুনির্দিষ্ট"
ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |,পরম মিলন
ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |,পরম ত্রুটি
ସର୍ବୋଚ୍ଚ ସର୍ବୋଚ୍ଚ,সর্বোচ্চ সর্বোচ্চ
ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |,পরম সর্বনিম্ন
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,পরম মান
ସଂପୂର୍ଣ୍ଣ ବେଗ,পরম বেগ
ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |,বিমূর্ত বীজগণিত
ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |,বিমূর্ত গ্রুপ তত্ত্ব
ତ୍ୱରଣ,ত্বরণ
ମାଧ୍ୟାକର୍ଷଣ ତ୍ୱରଣ |,মহাকর্ষীয় ত্বরণ
ଗ୍ରହଣୀୟ ଚୟନକର୍ତ୍ତା |,গ্রহণযোগ্য নির্বাচক
ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |,গ্রহণযোগ্য মানের স্তর
ଗ୍ରହଣୀୟ ପରିସର,গ্রহণযোগ্য প্রাঙ্গনে
ବ valid ଧ ବିଶ୍ୱସନୀୟତା ସ୍ତର |,বৈধ নির্ভরযোগ্যতা স্তর
ଗ୍ରହଣ ନମୁନା,গ্রহণযোগ্যতা নমুনা
ସଂଗୃହିତ ତ୍ରୁଟି |,সঞ্চিত ত্রুটি
ସଠିକତା,সঠিকতা
ପ୍ରୟୋଗ ଶକ୍ତି,প্রযুক্ত বল
"କାର୍ଯ୍ୟ, କାର୍ଯ୍ୟ","কর্ম, কাজ"
କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା,কর্ম এবং প্রতিক্রিয়া
ବୀମା ବିଜ୍ଞାନ |,বীমা বিজ্ঞান
ତୀବ୍ର ତ୍ରିରଙ୍ଗା |,তীব্র ত্রিভুজ
acyclic,অ্যাসাইক্লিক
ସଂକ୍ଷେପରେ,যোগফল
ଆଡର୍,যোগকারী
"ରାଶି, ଯୋଗ, ସମୀକରଣ (ଗ।), ଯୋଗୀ (v।)","যোগফল, যোগ, যোগফল (গ.), যোগ (v.)"
ଯୋଗର ସୂତ୍ର,যোগের সূত্র
ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ସମଷ୍ଟି |,জটিল সংখ্যার যোগফল
କାର୍ଯ୍ୟଗୁଡ଼ିକର ସମଷ୍ଟି,ফাংশনের যোগফল
ମାଟ୍ରିକ୍ସର ରାଶି,ম্যাট্রিক্সের যোগফল
ବହୁଜନର ସମଷ୍ଟି |,বহুপদীর সমষ্টি
ସମ୍ଭାବ୍ୟତାର ସମଷ୍ଟି,সম্ভাবনার যোগফল
ଭେକ୍ଟରର ରାଶି,ভেক্টরের সমষ্টি
"ଯୋଗ ଥିଓରେମ୍, ବିରି ଥିଓରୀ,","যোগ উপপাদ্য, বেরি তত্ত্ব"
ଯୋଗୀ ଗୋଷ୍ଠୀ |,সংযোজনকারী গ্রুপ
ଯୋଗୀ ଓଲଟା |,সংযোজন বিপরীত
ଯୋଗନୀୟତା |,যোগযোগ্যতা
ଯୋଗନୀୟତା |,যোগযোগ্যতা
ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |,অন্তিক ম্যাট্রিক্স
"ସଂଲଗ୍ନ, ସଂଲଗ୍ନ, ସଂଲଗ୍ନ","সংলগ্ন, সংলগ্ন, সংলগ্ন"
