Malayalam,Punjabi
ഉപേക്ഷിക്കുക,ਅਧੂਰਾ ਛੱਡਣਾ
ടൈമർ നിർത്തുക,ਅਧੂਰਾ ਛੱਡੋ
കേവല വിലാസം,निरपेक्ष an s
കേവല വിലാസം,ਪੂਰਨ ਪਤਾ
കേവല അസംബന്ധം,ਸੰਪੂਰਨ ਸੰਜਮ
കേവല കോഡ്,ਸੰਪੂਰਨ ਕੋਡ
കേവല കോഡിംഗ്,ਸੰਪੂਰਨ ਕੋਡਿੰਗ
കേവല കമാൻഡ്,ਸੰਪੂਰਨ ਕਮਾਂਡ
കേവല കോർഡിനേറ്റ്,ਸੰਪੂਰਨ ਕੋਆਰਡੀਨੇਟ
കേവല ഡാറ്റ,ਸੰਪੂਰਨ ਡੇਟਾ
കേവല പിശക്,ਪੂਰੀ ਗਲਤੀ
കേവല പദപ്രയോഗം,ਪੂਰਨ ਸਮੀਕਰਨ
കേവല പ്രബോധനം,ਪੂਰਨ ਹਦਾਇਤ
കേവല ലോഡർ,ਸੰਪੂਰਨ ਲੋਡਰ
കേവല ക്രമം,ਸੰਪੂਰਨ ਕ੍ਰਮ
കേവല പ്രോഗ്രാമിംഗ്,ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
കേവല പദം,ਸੰਪੂਰਨ ਅਵਧੀ
യഥാർത്ഥ മൂല്യം,ਸਹੀ ਮੁੱਲ
കേവല വെക്റ്റർ,ਸੰਪੂਰਨ ਵੈਕਟਰ
വേര്പെട്ടുനില്ക്കുന്ന,ਸਾਰ
അമൃതിയുള്ള,ਐਬਸਟ੍ਰੈਕਟਿੰਗ
അമൂർത്ത ചിഹ്നം,ਸੰਖੇਪ ਪ੍ਰਤੀਕ
ത്വരിതപ്പെടുത്തൽ കാലയളവ്,ਪ੍ਰਵੇਗ ਦੀ ਮਿਆਦ
ത്വരണം സമയം,ਪ੍ਰਵੇਗ ਟਾਈਮ
സരഭാരം,ਲਹਿਜ਼ਾ
സ്വീകാര്യത പരിശോധന,ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ
