Punjabi,Marathi
"1. ਅਬੈਕਸ, 2. ਗਿਣਤੀ","1.अॅबॅकस, 2. मोजणी"
ਅਸਧਾਰਨ ਅੰਤ,असामान्य शेवट
ਰੁਕਾਵਟ,इंटरसेप्ट
"1. ਸੰਪੂਰਨ, 2. ਸੁਪਰੀਮ","1. निरपेक्ष, 2. सर्वोच्च"
ਪੂਰਾ ਪਤਾ,परिपूर्ण पत्ता
ਸੰਪੂਰਨ ਪਤਾਯੋਗਤਾ,परिपूर्ण पत्ता योग्यता
ਪੂਰਨ ਅਸੈਂਬਲਰ,परिपूर्ण असेंबलर
"1. ਸੰਪੂਰਨ ਕੋਡ, 2. ਪੂਰਨ ਕੋਡ","1. संपूर्ण कोड, 2. परिपूर्ण कोड"
ਪੂਰਨ ਹੁਕਮ,निरपेक्ष आज्ञा
"1. ਸੰਪੂਰਨ ਅੰਕੜੇ, 2. ਪੂਰਨ ਡਾਟਾ","1. परिपूर्ण आकडे, 2. परिपूर्ण डेटा"
ਪੂਰਨ ਹਦਾਇਤ,परिपूर्ण सूचना
ਪੂਰਨ ਮੋਡ,परिपूर्ण मोड
ਪੂਰਨ ਮਾਰਗ,परिपूर्ण मार्ग
"1. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ","1. परिपूर्ण प्रोग्रामिंग, 2. परिपूर्ण प्रोग्रामिंग"
ਐਬਸਟਰੈਕਟ ਕਲਾਸ,अमूर्त वर्ग
ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ,अमूर्त डेटा प्रकार
ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ,अमूर्त मशीन
ਸੰਖੇਪ ਚਿੰਨ੍ਹ,अमूर्त चिन्ह
ਸੰਖੇਪ ਸੰਟੈਕਸ,अमूर्त वाक्यरचना
ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟ,स्वीकृती चाचणी
ਪਹੁੰਚ ਪ੍ਰਮਾਣੀਕਰਣ,प्रवेश प्रमाणपत्र
"1. ਪਹੁੰਚ ਕੋਡ, 2. ਐਕਸੈਸ ਕੋਡ","1. प्रवेश कोड, 2. प्रवेश कोड"
ਪਹੁੰਚ ਕੰਟਰੋਲ,प्रवेश नियंत्रण
ਐਕਸੈਸ ਸਕੈਨਿੰਗ,प्रवेश स्कॅनिंग
ਸਹਾਇਕ ਉਪਕਰਣ,उपकरणे
ਲੇਖਾਕਾਰੀ,लेखा
"1. ਖਾਤਾ ID, 2. ਲੇਖਾ ਪਛਾਣ","1. खाते आयडी, 2. लेखा ओळख"
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,संचयक
"1. ਸ਼ੁੱਧਤਾ, 2. ਸ਼ੁੱਧਤਾ","1. अचूकता, 2. अचूकता"
ਪਹੁੰਚ,प्रवेश
ਪਹੁੰਚ ਕੰਟਰੋਲ ਬਾਈਟ,प्रवेश नियंत्रण बाइट्स
ਪਹੁੰਚ ਸੂਚਕ,प्रवेश सूचक
ਪਹੁੰਚ ਕੁੰਜੀ,प्रवेश की
"1. ਪਹੁੰਚ ਮੈਟਰਿਕਸ, 2. ਪਹੁੰਚ ਮੈਟਰਿਕਸ","1. प्रवेश मॅट्रिक्स, 2. प्रवेश मॅट्रिक्स"
ਪਹੁੰਚ ਮੋਡ,प्रवेश मोड
ਪਹੁੰਚ ਅਧਿਕਾਰ,प्रवेश विशेषाधिकार
ਪਹੁੰਚ ਸੁਰੱਖਿਆ,प्रवेश सुरक्षा
"1. ਐਕਸੈਸ ਸਰਵਰ, 2. ਸਰਵਰ ਤੱਕ ਪਹੁੰਚ","1. ऍक्सेस सर्व्हर, 2. प्रवेश सर्व्हर"
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,प्रवेश वेळ
ਮਾਨਤਾ,पोचपावती
ਧੁਨੀ ਵਿਗਿਆਨ,ध्वनीशास्त्र
"1. ਸੰਖੇਪ ਰੂਪ, 2. ਸੰਖੇਪ, 3. ਤੋਂ ਛੋਟਾ","1. संक्षेप, 2. संक्षेप, 3. पासून लहान"
ਕਾਰਵਾਈ ਸੁਨੇਹਾ,क्रिया संदेश
ਸਰਗਰਮੀ,सक्रियकरण
ਸਰਗਰਮ ਸਰਵਰ ਪੰਨਾ,सक्रिय सर्व्हर पृष्ठ
ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ,सक्रिय आवृत्ती
acyclic,अॅसायक्लिक
"1. ਏਸਾਈਕਲਿਕ ਗ੍ਰਾਫ਼, 2. acyclic ਗ੍ਰਾਫ਼","1. अॅसायक्लिक आलेख, 2. अॅसायक्लिक आलेख"
ਅਦਾ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ,अडा संगणक भाषा
"1. ਆਪਟੀਮਾਈਜ਼ਰ, 2. ਆਪਟੀਮਾਈਜ਼ਰ","1. ऑप्टिमायझर, 2. अनुकूलक"
ਜੋੜ),बेरीज करण्यासाठी)
sum ਫਾਈਲ,बेरीज फाइल
"1. ਐਡੀਸ਼ਨ ਓਪਰੇਸ਼ਨ, 2. ਸੰਯੁਕਤ ਕਾਰਵਾਈ","1. अॅडिशन ऑपरेशन, 2. बेरीज ऑपरेशन"
ਜੋੜਨ ਵਾਲਾ,जोडणारा
ਜਾਣੋ,जाणून घ्या
ਪਤਾ ਬੱਸ,पत्ता बस
ਐਡਰੈੱਸ ਫਾਈਲ,पत्ता फाइल
ਪਤਾ ਫਾਰਮੈਟ,पत्त्याचे स्वरूप
ਪਤਾ ਜਨਰੇਟਰ,पत्ता जनरेटर
ਐਡਰੈੱਸ ਲਾਈਨ,पत्ता ओळ
ਪਤਾ ਮੈਪਿੰਗ,पत्ता मॅपिंग
ਪਤਾ ਸੂਚਕ,पत्ता सूचक
ਪਤਾ ਰਜਿਸਟਰ,पत्ता नोंदवही
ਪਤਾ ਟੁੱਟਣ,पत्ता ब्रेकडाउन
ਪਤਾ ਅਨੁਵਾਦ,पत्ता अनुवाद
"1. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ, 2. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ","1. पत्ता मेमरी, 2. पत्ता करण्यायोग्य मेमरी"
ਸੰਬੋਧਨ ਕਰਦੇ ਹੋਏ,संबोधित
"1. ਪੂਰਤੀ ਮਾਪਦੰਡ, 2. ਅਨੁਕੂਲਤਾ ਮਾਪਦੰਡ","1. पर्याप्ततेचे निकष, 2. पर्याप्तता निकष"
ਲਗਾਵ,संलग्नक
"1. ਪ੍ਰਬੰਧਨ, 2. ਕੰਟਰੋਲ","1. व्यवस्थापन, 2. नियंत्रण"
"1. ਮੈਨੇਜਰ, 2. ਕੰਟਰੋਲਰ","1. व्यवस्थापक, 2. नियंत्रक"
ਅਡੋਬ ਐਕਰੋਬੈਟ,adobe acrobat
ਅਡੋਬ ਫੋਟੋਸ਼ਾਪ,अडोब फोटोशाॅप
ABAP (ਐਡਵਾਂਸਡ ਬਿਜ਼ਨਸ ਪ੍ਰੋਗਰਾਮਿੰਗ),ABAP (प्रगत व्यवसाय प्रोग्रामिंग)
"1. ਐਡਵਾਂਸਡ ਡੇਟਾ, 2. ਤਕਨੀਕੀ ਡਾਟਾ","1. प्रगत डेटा, 2. प्रगत डेटा"
ਤਕਨੀਕੀ ਜਾਣਕਾਰੀ ਸਿਸਟਮ,प्रगत माहिती प्रणाली
ਐਡਵਾਂਸਡ ਟੈਕਨਾਲੋਜੀ (ਏ.ਟੀ.),प्रगत तंत्रज्ञान (AT)
ਕਾਰਵਾਈ,क्रिया
ਏਕੀਕਰਨ,एकत्रीकरण
ਏਅਰਬੋਰਨ ਕੰਪਿਊਟਰ ਸਿਸਟਮ,एअरबोर्न संगणक प्रणाली
aldus page-make,aldus page-make
ਚੇਤਾਵਨੀ ਬਾਕਸ,अलर्ट बॉक्स
ਐਲਗੋਲ (ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ),अल्गोल (संगणक भाषा)
"1. ਐਲਗੋਰਿਦਮ, 2. ਐਲਗੋਰਿਦਮ","1. अल्गोरिदम, 2. अल्गोरिदम"
"1. ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ, 2. ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ","1. अल्गोरिदम विश्लेषण, 2. अल्गोरिदम विश्लेषण"
ਐਲਗੋਰਿਦਮ ਕੁਸ਼ਲਤਾ,अल्गोरिदम कार्यक्षमता
"1. ਏਲੀਯਾਸ, 2. ਉਪਨਾਮ, 3. ਉਰਫ","1. इलियास, 2. टोपणनाव, 3. उर्फ"
ਅਲਾਈਨਮੈਂਟ,संरेखन
"1. ਵੰਡ, 2. ਵੰਡ","1. वाटप, 2. वाटप"
"1. ਵਰਣਮਾਲਾ, 2. ਵਰਣਮਾਲਾ ਕ੍ਰਮ","1. वर्णमाला, 2. अक्षर क्रमानुसार"
ਅੱਖਰ ਅੰਕੀ,अल्फान्यूमेरिक
"1. ਅਲਫਾਨਿਊਮੇਰਿਕ ਕੀਬੋਰਡ, 2. ਅੱਖਰ ਅੰਕੀ ਕੀਬੋਰਡ","1. अल्फान्यूमेरिक कीबोर्ड, 2. अल्फान्यूमेरिक कीबोर्ड"
ਅਲਫ਼ਾ-ਟੈਸਟਿੰਗ (ਪਹਿਲਾ ਪੱਧਰ ਦਾ ਟੈਸਟ),अल्फा-चाचणी (पहिली स्तर चाचणी)
"1. ਅਲਫ਼ਾ ਸੰਸਕਰਣ, 2. ਅਲਫ਼ਾ ਫਾਰਮ","1. अल्फा आवृत्ती, 2. अल्फा फॉर्म"
alt ਕੁੰਜੀ,alt की
altavista,altavista
ਬਹੁਲਤਾ,बहुविधता
ਅਸਪਸ਼ਟ ਵਿਆਕਰਣ,अस्पष्ट व्याकरण
ਅਮਰੀਕਨ ਨੈਸ਼ਨਲ ਸਟੈਂਡੀਜ਼ ਇੰਸਟੀਚਿਊਟ (ANSI),अमेरिकन नॅशनल स्टँडीज इन्स्टिट्यूट (ANSI)
ਅਮਰੀਕਨ ਸਟੈਂਡਰਡ ਕੱਟ (ascii),अमेरिकन स्टँडर्ड कट (ascii)
"1. ਸਮਾਨ, 2. ਐਨਾਲਾਗ","1. समानार्थी, 2. अॅनालॉग"
"1. ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ, 2. ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ","1. अॅनालॉग संगणक, 2. अॅनालॉग संगणक"
"1. ਐਨਾਲਾਗ ਯੰਤਰ, 2. ਐਨਾਲਾਗ ਜੰਤਰ","1. अॅनालॉग उपकरण, 2. अॅनालॉग डिव्हाइस"
"1. ਐਨਾਲਾਗ ਮਾਡਮ, 2. ਐਨਾਲਾਗ ਮਾਡਮ","1. अॅनालॉग मॉडेम, 2. अॅनालॉग मॉडेम"
ਐਨਾਲਾਗ ਤੋਂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ,अॅनालॉग ते डिजिटल कन्व्हर्टर
ਅੰਤ (ਡਿਜੀਟਲ/ਪਲੇਨ ਤਰਕ &#39;ਅਤੇ&#39; ਵਰਤਿਆ ਗਿਆ),शेवट (डिजिटल/प्लेन लॉजिक &#39;आणि&#39; वापरलेले)
ਅੰਤ ਸਰਕਟ,एंड सर्किट
ਅੰਤ ਗੇਟ ਅਤੇ ਗੇਟ,शेवटचे गेट आणि गेट
ਅੰਤ ਨਹੀਂ ਓਪਰੇਸ਼ਨ (ਬੇਹੱਦ),आणि ऑपरेशन नाही (वगळणे)
"1. ਐਨੀਮੇਸ਼ਨ, 2. ਵਾਈਬ੍ਰੇਸ਼ਨ","1. अॅनिमेशन, 2. कंपन"
ਨੋਟ,नोंद
ਅਸੰਗਤਤਾ,विसंगती
ਪਿਛਲਾ,मागील
ਅਗਾਊਂ ਪੇਜਿੰਗ,आगाऊ पेजिंग
