Marathi,English
"1.अॅबॅकस, 2. मोजणी",abacus
असामान्य शेवट,abnormal termination
इंटरसेप्ट,abort
"1. निरपेक्ष, 2. सर्वोच्च",absolute
परिपूर्ण पत्ता,absolute address
परिपूर्ण पत्ता योग्यता,absolute addressing
परिपूर्ण असेंबलर,absolute assembler
"1. संपूर्ण कोड, 2. परिपूर्ण कोड",absolute code
निरपेक्ष आज्ञा,absolute command
"1. परिपूर्ण आकडे, 2. परिपूर्ण डेटा",absolute data
परिपूर्ण सूचना,absolute instruction
परिपूर्ण मोड,absolute mode
परिपूर्ण मार्ग,absolute path
"1. परिपूर्ण प्रोग्रामिंग, 2. परिपूर्ण प्रोग्रामिंग",absolute programming
अमूर्त वर्ग,abstract class
अमूर्त डेटा प्रकार,abstract data type
अमूर्त मशीन,abstract machine
अमूर्त चिन्ह,abstract symbol
अमूर्त वाक्यरचना,abstract syntax
स्वीकृती चाचणी,acceptance testing
प्रवेश प्रमाणपत्र,access authentication
"1. प्रवेश कोड, 2. प्रवेश कोड",access code
प्रवेश नियंत्रण,access control
प्रवेश स्कॅनिंग,access scan
उपकरणे,accessory
लेखा,account
"1. खाते आयडी, 2. लेखा ओळख",account ID
संचयक,accumulator
"1. अचूकता, 2. अचूकता",accuracy
प्रवेश,acess
प्रवेश नियंत्रण बाइट्स,acess control byte
प्रवेश सूचक,acess index
प्रवेश की,acess key
"1. प्रवेश मॅट्रिक्स, 2. प्रवेश मॅट्रिक्स",acess matrix
प्रवेश मोड,acess mode
प्रवेश विशेषाधिकार,acess privilege
प्रवेश सुरक्षा,acess security
"1. ऍक्सेस सर्व्हर, 2. प्रवेश सर्व्हर",acess server
प्रवेश वेळ,acess time
पोचपावती,acknowledgement
ध्वनीशास्त्र,acoustics
"1. संक्षेप, 2. संक्षेप, 3. पासून लहान",acronym
क्रिया संदेश,action message
सक्रियकरण,activation
सक्रिय सर्व्हर पृष्ठ,active server page (ASP)
सक्रिय आवृत्ती,active version
अॅसायक्लिक,acyclic
"1. अॅसायक्लिक आलेख, 2. अॅसायक्लिक आलेख",acyclic graph
अडा संगणक भाषा,Ada language
"1. ऑप्टिमायझर, 2. अनुकूलक",adapter
बेरीज करण्यासाठी),add
बेरीज फाइल,add file
"1. अॅडिशन ऑपरेशन, 2. बेरीज ऑपरेशन",add operation
जोडणारा,adder
जाणून घ्या,address
पत्ता बस,address bus
पत्ता फाइल,address file
पत्त्याचे स्वरूप,address format
पत्ता जनरेटर,address generator
पत्ता ओळ,address line
पत्ता मॅपिंग,address mapping
पत्ता सूचक,address pointer
