Punjabi,English
ਅਬੇਲੀ ਸਮੂਹ,Abelian group
ਅਬੇਲੀ ਸਮੂਹ,abelian semigroup
ਹੱਥ,abscissa
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਸਥਿਰ, ਸਟੀਕ",absolute
ਪੂਰਨ ਕਨਵਰਜੈਂਸ,absolute convergence
ਪੂਰਨ ਗਲਤੀ,absolute error
ਪਰਮ ਸਰਵਉੱਚ,absolute maximum
ਸਭ ਤੋਂ ਘੱਟ,absolute minimum
ਸਹੀ ਮੁੱਲ,absolute value
ਪੂਰਨ ਗਤੀ,absolute velocity
ਸਾਰ ਅਲਜਬਰਾ,abstract algebra
ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ,abstract group theory
ਪ੍ਰਵੇਗ,acceleration
ਗਰੈਵੀਟੇਸ਼ਨਲ ਪ੍ਰਵੇਗ,acceleration due to gravity
ਸਵੀਕਾਰਯੋਗ ਚੋਣਕਾਰ,acceptable choice set
ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ,acceptable quality level
ਸਵੀਕਾਰਯੋਗ ਜਗ੍ਹਾ,acceptable range
ਵੈਧ ਭਰੋਸੇਯੋਗਤਾ ਪੱਧਰ,acceptable reliability level
ਸਵੀਕ੍ਰਿਤੀ ਨਮੂਨਾ,acceptable sampling
ਸੰਚਿਤ ਗਲਤੀ,accumulated error
ਸ਼ੁੱਧਤਾ,accuracy
ਲਾਗੂ ਫੋਰਸ,acting force
"ਕਾਰਵਾਈ, ਕੰਮ",action
ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ,action and reaction
ਬੀਮਾ ਵਿਗਿਆਨ,acturial science
ਤੀਬਰ ਤਿਕੋਣ,acute angled triangle
acyclic,acyclic
ਸੰਪੇਕਸ਼ਤ,add
ਜੋੜਨ ਵਾਲਾ,adder
"ਜੋੜ, ਜੋੜ, ਜੋੜ (c.), ਜੋੜ (v.)",addition
ਯੋਗਾ ਦਾ ਫਾਰਮੂਲਾ,addition formula
ਮਿਸ਼ਰਿਤ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ,addition of complex numbers
ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ,addition of functions
ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ,addition of matrices
ਬਹੁਪਦ ਦਾ ਜੋੜ,addition of polynomials
ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ,addition of probabilities
ਵੈਕਟਰਾਂ ਦਾ ਜੋੜ,addition of vectors
"ਜੋੜ ਥਿਊਰਮ, ਬੇਰੀ ਥਿਊਰੀ,",addition theorem
additive ਗਰੁੱਪ,additive group
additive ਉਲਟ,additive inverse
ਜੋੜਨ ਦੀ ਯੋਗਤਾ,additive property
ਜੋੜਨ ਦੀ ਯੋਗਤਾ,additivity
ਆਸਪਾਸ ਮੈਟ੍ਰਿਕਸ,adjacency matrix
"ਨੇੜੇ, ਨਾਲ ਲੱਗਦੇ, ਨਾਲ ਲੱਗਦੇ",adjacent
ਨੇੜੇ ਦੇ ਕੋਣ,adjacent angles
ਨੇੜੇ ਦਾ ਸਿਰਾ,adjacent vertex
ਜੋੜਨ ਲਈ,adjoin
"ਨੱਥੀ ਨੱਥੀ,",adjoining
ਆਮ ਨਿਰਣਾਇਕ,adjoint determinant
ਅਟੈਚਡ ਡਿਫਰੈਂਸ਼ੀਅਲ ਸਮੀਕਰਨ,adjoint differential equation
ਜੁੜੇ ਸਮੀਕਰਨ,adjoint equation
ਕੋਹੋਮੋਜੀਨੀਅਸ ਮੈਟਰਿਕਸ,adjoint matrix
ਮੈਟ੍ਰਿਕਸ ਕੋਵੇਰੀਅੰਸ,adjoint of matrix
ਕੋਹੋਮੋਜੀਨੀਅਸ ਮੈਟਰਿਕਸ,adjugate matrix
ਸਵੀਕਾਰਯੋਗ ਫੈਸਲੇ ਫੰਕਸ਼ਨ,admissible decision function
ਸਵੀਕਾਰਯੋਗ ਪਰਿਕਲਪਨਾ,admissible hypothesis
ਐਰੋਡਾਇਨਾਮਿਕ ਫੋਰਸ,aerodynamic force
ਐਰੋਡਾਇਨਾਮਿਕਸ,aerodynamics
ਸਮਰੂਪ ਜਿਓਮੈਟਰੀ,affine geometry
ਸਮਰੂਪ ਮੈਪਿੰਗ,affine mapping
ਸਮਰੂਪ ਤਬਦੀਲੀ,affine transformation
ਕੁੱਲ ਵੇਰੀਏਬਲ,aggregating variables
"algebra, algebra, algebra, algebra",algebra
"ਬੀਜੀ ਬੰਦ, ਬੀਜੀ",algebraically closed
ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ,algebraic equation
ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ,algebraic expression
ਬੀਜਗਣਿਤ ਸਮਰੂਪਤਾ,algebraic form
ਬੀਜਗਣਿਤ ਫੰਕਸ਼ਨ,algebraic function
ਬੀਜਗਣਿਤ ਜਿਓਮੈਟਰੀ,algebraic geometry
ਬੀਜਗਣਿਤ ਬਹੁਲਤਾ,algebraic multiplicity
ਬੀਜਗਣਿਤ ਪ੍ਰਣਾਲੀ,algebraic system
ਸਾਰੇ ਪੂਰਨ ਅੰਕ ਸਮੱਸਿਆ,all-integer problem
"ਅਸਾਈਨਮੈਂਟ ਸਮੱਸਿਆ ਵਾਟ ਸਵਾਲ,",allocation problem
ਵਰਣਮਾਲਾ ਸੰਕੇਤ,alphabetical notation
ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ,alphabetic character
ਬਦਲਵੇਂ ਕੋਣ,alternate angle
"ਬਦਲਵੇਂ ਸਮਰੂਪ ਬਦਲਵੇਂ ਰੂਪ,",alternating form
ਵਿਕਲਪਕ ਸਮੂਹ,alternating group
ਵਿਕਲਪਕ ਮੈਟ੍ਰਿਕਸ,alternating matrix
ਵਿਕਲਪਿਕ ਲੜੀ,alternating series
ਵਿਕਲਪਕ ਅਨੁਮਾਨ,alternative hypothesis
ਵਿਕਲਪਿਕ ਸਰਵੋਤਮ,alternative optima
ਵਿਕਲਪਿਕ ਨਤੀਜਾ,alternative outcome
ਐਨਾਲਾਗ-ਅੰਕ ਕਨਵਰਟਰ,analog-to-digital converter
"ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ,",analogue computer
ਵਿਸ਼ਲੇਸ਼ਣ,analysis
ਸਹਿਵਿਹਾਰ ਵਿਸ਼ਲੇਸ਼ਣ,analysis of covariance
ਗਣਨਾ-ਡਾਟਾ ਵਿਸ਼ਲੇਸ਼ਣ,analysis of enumeration data
ਪਰਿਵਰਤਨ ਵਿਸ਼ਲੇਸ਼ਣ,analysis of variance
ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਜਿਓਮੈਟਰੀ,analytic geometry
ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਫੰਕਸ਼ਨ,analytic function
ਕੋਣ,angle
ਸਪਰਸ਼ ਕੋਣ,angle of contact
ਡਿਫਲੈਕਸ਼ਨ ਕੋਣ,angle of deflection
ਡਿਪਰੈਸ਼ਨ ਕੋਣ,angle of depression
ਭਟਕਣ ਕੋਣ,angle of deviation
ਵਿਭਿੰਨ ਕੋਣ,angle of diffraction
ਉਚਾਈ ਕੋਣ,angle of elevation
ਘਟਨਾ ਦਾ ਕੋਣ,angle of incidence
ਪ੍ਰੋਜੈਕਸ਼ਨ ਦਾ ਕੋਣ,angle of projection
ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ,angle of reflection
ਅਪਵਰਤਨ ਦਾ ਕੋਣ,angle of refraction
ਰੋਟੇਸ਼ਨ ਕੋਣ,angle of rotation
ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਪੂਰਨ ਕੋਣ,angle of total reflection
ਕੋਣੀ ਪ੍ਰਵੇਗ,angular acceleration
ਕੋਣੀ ਵੇਗ,angular motion
ਕੋਣੀ ਗਤੀ,angular speed
ਕੋਣੀ ਵੇਗ,angular velocity
ਰਿੰਗ ਉਂਗਲ,annulus
ਜਵਾਬ,answer
ਵਿਰੋਧੀ ਡੈਰੀਵੇਟਿਵ,anti – derivative
isometric ਫੰਕਸ਼ਨ,antisymmetric function
"ਕਵਰ ਕਰਨ ਯੋਗ, ਲਾਗੂ, ਲਾਗੂ",applicable
"ਐਪਲੀਕੇਸ਼ਨ ਐਪਲੀਕੇਸ਼ਨ,",application
ਲਾਗੂ ਡਾਇਨਾਮਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ,applied dynamic programming
ਲਾਗੂ ਕੀਤੀ ਜਿਓਮੈਟਰੀ,applied geometry
ਲਾਗੂ ਗਣਿਤ,applied mathematics
ਲਾਗੂ ਅੰਕੜੇ,applied statistics
"ਲਗਭਗ, ਲਗਭਗ",approximately
ਲਗਭਗ ਲਗਾਤਾਰ ਫੰਕਸ਼ਨ,approximately continuous function
"ਮੈਕਰੋ ਵਿਧੀ, ਅਨੁਮਾਨ ਵਿਧੀ",approximate method
ਅੰਦਾਜ਼ਨ ਹੱਲ,approximate solution
ਲਗਭਗ ਸਮੱਸਿਆ,approximation problem
