Gujarati,Telugu
અસામાન્ય,అసాధారణ
ગર્ભપાત,అబార్ట్
ઘર્ષણ,అబ్రేషన్
અચાનક,ఆకస్మిక
સંપૂર્ણ ક્ષેત્ર શક્તિ,సంపూర్ణ క్షేత్ర బలం
સંપૂર્ણ તાપમાન,సంపూర్ణ ఉష్ణోగ్రత
અબાધિત મૂલ્ય,సంపూర్ణ విలువ
શોષવું,గ్రహించండి
સહ-કાર્યક્ષમ,శోషణ సహ-సమర్థత
શોષણ,శోషణ నష్టం
નિષ્ક્રિય,నైరూప్య
પ્રવેગમાપક,యాక్సిలెరోమీటర్
સ્વીકૃતિ કસોટી,అంగీకార పరీక్ష
પ્રવેશ,యాక్సెస్
વપરાશ નિયંત્રણ,యాక్సెస్ నియంత్రణ
પ્રવેશ -બિંદુ,యాక్సెస్ పాయింట్
પ્રવેશ સમય,ప్రాప్యత సమయం
ઉપલ્બધતા,సౌలభ్యాన్ని
સંકુચિત સેલી,సంచిత కణం
ચોકસાઈ,ఖచ్చితత్వం
ચોક્કસ,ఖచ్చితమైనది
ઘેટાંના લેન્સ,అచ్రోమాటిక్ లెన్స్
તેજાબ,ఆమ్లము
એસિડ પ્રૂફ,యాసిడ్ ప్రూఫ్
અમલ્ય,ఆమ్లత్వం
સ્વીકૃતિ,రసీదు బిట్
ધ્વનિશાસ્ત્ર,శబ్ద
ધ્વનિશાસ્ત્ર,ఎకౌస్టిక్ కమ్యూనికేషన్
ધ્વનિ -પ્રસરણ,శబ్ద వ్యాప్తి
ધ્વનિ -બરાબરી,ఎకౌస్టిక్ ఈక్వలైజర్
ધ્વનિ -પ્રતિસાદ,శబ్ద అభిప్రాయం
ધ્વનિ ફિલ્ટર,శబ్ద వడపోత
ધ્વનિ અવરોધ,శబ్ద ఇంపెడెన్స్
ધ્વનિ -માસ્કીંગ,ఎకౌస్టిక్ మాస్కింగ్
ધ્વનિની શક્તિ,శబ్ద శక్తి
ધ્વનિપક્ષીય મિલકત,శబ్ద ఆస్తి
ધ્વનિની પ્રતિક્રિયા,శబ్ద ప్రతిచర్య
ધ્વનિ -પ્રતિબિંબ,ఎకౌస్టిక్ రిఫ్లెక్స్
ધ્વનિ ટાઇલ,శబ్ద టైల్
ધ્વનિ તરંગ,శబ్ద వేవ్
શ્રવ -શોષણ,శబ్ద శోషణ
શ્રવણશક્તિ એટેન્યુએશન,శబ్ద అటెన్యుయేషన్ స్థిరాంకం
શ્રવણની ભીનાશ,శబ్ద డంపింగ్
ધ્વનિ વિલંબ રેખા,శబ్ద ఆలస్యం రేఖ
ધ્વનિની વિકૃતિ,శబ్ద వక్రీకరణ
શ્રવણ નલિક,శబ్ద వాహిక
શ્રવણશક્તિ,శబ్ద శక్తి
શ્રવણશક્તિ,శబ్ద అభిప్రాయం
શ્રદ્ધ ફિલ્ટર,శబ్ద వడపోత
શ્રવણનો અવરોધ,శబ్ద ఇంపెడెన్స్
ધ્વનિ -પ્રચાર,శబ్ద ప్రచారం స్థిరాంకం
શ્રવણ પ્રતિકાર,శబ్ద నిరోధకత
ધ્વનિભ્રમણાથી ઇન્સ્યુલેટેડ,శబ్దపరంగా ఇన్సులేట్ చేయబడింది
ધ્વનિશાસ્ત્ર,ధ్వని
સંપાદન,సముపార్జన
ટૂંકાક્ષર,ఎక్రోనిం
કાર્યવાહી ક્ષેત્ર,కార్యాచరణ ప్రాంతం
સક્રિય ફિલામેન્ટ,సక్రియం చేయబడిన ఫిలమెంట్
સક્રિય,క్రియాశీల
સક્રિય ક્ષેત્ર,క్రియాశీల ప్రాంతం
સક્રિય બારી,క్రియాశీల విండో
અનુકૂલનક્ષમતા,అనుకూలత
એડેપ્ટર (એડેપ્ટર),అడాప్టర్
અનુકૂલનશીલ વિભેદક પલ્સ મોડ્યુલેશન,అడాప్టివ్ డిఫరెన్షియల్ పల్స్ కోడ్ మాడ్యులేషన్
સરનામા પુસ્તિકા,చిరునామా పుస్తకం
સરનાવ બસ,చిరునామా బస్సు
ઠરાવ,చిరునామా తీర్మానం
સંલગ્ન ચેનલ દખલ,ప్రక్కనే ఉన్న ఛానల్ జోక్యం
સંલગ્ન ચેનલ પસંદગી,ప్రక్కనే ఉన్న ఛానల్ సెలెక్టివిటీ
સંલગ્ન આવર્તન,ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ
સંલગ્ન આવર્તન ચેનલ,ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ ఛానల్
અડીને ચિત્ર વાહક,ప్రక్కనే ఉన్న పిక్చర్ క్యారియర్
અડીને ધ્વનિ વાહક,ప్రక్కనే ఉన్న సౌండ్ క్యారియర్
સંલગ્ન મથક,ప్రక్కనే ఉన్న స్టేషన్
ગોઠવણપાત્ર,సర్దుబాటు
ગોઠવણપાત્ર કન્ડેન્સર,సర్దుబాటు కండెన్సర్
ગોઠવણ,సర్దుబాటు ఒత్తిడిని
સમાયોજન,రెంచ్ సర్దుబాటు
સમાયોજન,సర్దుబాటు
વહીવટકર્તા,నిర్వాహకుడు
અદ્યતન ટેકનોલોજી,అధునాతన సాంకేతిక పరిజ్ఞానం
