English,Telugu
Abort,అబార్ట్
Abort timer,అబార్ట్ టైమర్
Absolute address,సంపూర్ణ చిరునామా
Absolute addressing,సంపూర్ణ చిరునామా
Absolute assembler,సంపూర్ణ సమీకరించేవాడు
Absolute code,సంపూర్ణ కోడ్
Absolute coding,సంపూర్ణ కోడింగ్
Absolute command,సంపూర్ణ ఆదేశం
Absolute coordinate,సంపూర్ణ కోఆర్డినేట్
Absolute data,సంపూర్ణ డేటా
Absolute error,సంపూర్ణ లోపం
Absolute expression,సంపూర్ణ వ్యక్తీకరణ
Absolute instruction,సంపూర్ణ సూచన
Absolute loader,సంపూర్ణ లోడర్
Absolute order,సంపూర్ణ క్రమం
Absolute programming,సంపూర్ణ ప్రోగ్రామింగ్
Absolute term,సంపూర్ణ పదం
Absolute value,సంపూర్ణ విలువ
Absolute vector,సంపూర్ణ వెక్టర్
Abstract,నైరూప్య
Abstracting,సంగ్రహించడం
Abstract symbol,నైరూప్య చిహ్నం
Acceleration period,త్వరణం కాలం
Acceleration time,త్వరణం సమయం
Accent,యాస
Acceptance test,అంగీకార పరీక్ష
Access,యాక్సెస్
Access arm,యాక్సెస్ ఆర్మ్
Access arrangement,యాక్సెస్ అమరిక
Access authority,యాక్సెస్ అథారిటీ
Access charge,యాక్సెస్ ఛార్జ్
Access class,యాక్సెస్ క్లాస్
Access data base management,డేటా బేస్ మేనేజ్‌మెంట్ యాక్సెస్
Access environment,యాక్సెస్ ఎన్విరాన్మెంట్
Access gap,యాక్సెస్ గ్యాప్
Access index,ప్రాప్యత సూచిక
Access line,యాక్సెస్ లైన్
Access mechanism,యాక్సెస్ మెకానిజం
Access method,యాక్సెస్ పద్ధతి
Access method routine,యాక్సెస్ పద్ధతి దినచర్య
Access mode,యాక్సెస్ మోడ్
Access right,హక్కును యాక్సెస్ చేయండి
Access scan,యాక్సెస్ స్కాన్
Access time,ప్రాప్యత సమయం
Accounting,అకౌంటింగ్
Accounting finance system,అకౌంటింగ్ ఫైనాన్స్ సిస్టమ్
Accounting machine,అకౌంటింగ్ మెషిన్
Account number,ఖాతా సంఖ్య
Accumulating reproducer,పునరుత్పత్తిదారుని కూడబెట్టుకోవడం
Accumulator,సంచితం
Accumulator register,సంచిత రిజిస్టర్
Accumulator shift instruction,సంచిత షిఫ్ట్ సూచన
Accuracy,ఖచ్చితత్వం
Accuracy control character,ఖచ్చితత్వ నియంత్రణ పాత్ర
Accuracy control system,ఖచ్చితత్వ నియంత్రణ వ్యవస్థ
Ace pilot,ఏస్ పైలట్
Acknowledge character,పాత్రను గుర్తించండి
Acoustic coupler,ఎకౌస్టిక్ కప్లర్
Acoustic coupling,శబ్ద కలపడం
Acoustic delay line,శబ్ద ఆలస్యం రేఖ
Acoustic memory,శబ్ద జ్ఞాపకశక్తి
Acoustic modem,ఎకౌస్టిక్ మోడెమ్
Acoustic signal,శబ్ద సిగ్నల్
Acoustic storage,శబ్ద నిల్వ
Acronym,ఎక్రోనిం
Action,చర్య
Action cycle,చర్య చక్రం
Action line,యాక్షన్ లైన్
Action message,చర్య సందేశం
Action specification,చర్య స్పెసిఫికేషన్
Activation,క్రియాశీలత
Active,క్రియాశీల
Active file,యాక్టివ్ ఫైల్
Active line,యాక్టివ్ లైన్
Active link,క్రియాశీల లింక్
Active master file,యాక్టివ్ మాస్టర్ ఫైల్
Active master item,యాక్టివ్ మాస్టర్ ఐటెమ్
Active satellite,క్రియాశీల ఉపగ్రహం
Active station,యాక్టివ్ స్టేషన్
Active storage,క్రియాశీల నిల్వ
Activity,కార్యాచరణ
Activity level,కార్యాచరణ స్థాయి
Activity loading,కార్యాచరణ లోడింగ్
Activity ratio,కార్యాచరణ నిష్పత్తి
Actual address (=absolute address),వాస్తవ చిరునామా (= సంపూర్ణ చిరునామా)
Actual code (=absolute code),వాస్తవ కోడ్ (= సంపూర్ణ కోడ్)
Actual data transfer rate,వాస్తవ డేటా బదిలీ రేటు
Actual decimal point,వాస్తవ దశాంశ బిందువు
Actual instruction (=effective instruction),వాస్తవ సూచన (= ప్రభావవంతమైన సూచన)
Actual key,అసలు కీ
Actual time,అసలు సమయం
Actual work time,వాస్తవ పని సమయం
Actuating signal,సిగ్నల్ యాక్చువేటింగ్
Adaptability,అనుకూలత
Adapter,అడాప్టర్
Adaptive channel allocation,అడాప్టివ్ ఛానల్ కేటాయింపు
Adaptive integration,అడాప్టివ్ ఇంటిగ్రేషన్
Adaptive transversal equalizer,అడాప్టివ్ ట్రాన్స్వర్సల్ ఈక్వలైజర్
Added entry,ఎంట్రీ జోడించబడింది
Addend,అనుబంధం
Adder,Adder
Adder subtracter,అడెర్ సబ్‌ట్రాక్టర్
Add file,ఫైల్ జోడించండి
Additional character (= special character),అదనపు అక్షరం (= ప్రత్యేక అక్షరం)
Addition recorder,అదనంగా రికార్డర్
Addition table,అదనంగా పట్టిక
Additive attribute,సంకలిత లక్షణం
Add mode,మోడ్‌ను జోడించండి
Add operation,ఆపరేషన్ జోడించండి
Address,చిరునామా
Addressability measure,చిరునామా కొలత
Addressable horizontal position,చిరునామా క్షితిజ సమాంతర స్థానం
Addressable point,చిరునామా పాయింట్
Addressable position,చిరునామా స్థానం
Addressable register,చిరునామా రిజిస్టర్
Addressable storage,చిరునామా నిల్వ
Addressable vertical position,చిరునామా నిలువు స్థానం
Address bus,చిరునామా బస్సు
Address code,చిరునామా కోడ్
Address comparator,చిరునామా కంపారిటర్
Address computation,చిరునామా గణన
Address constant,చిరునామా స్థిరాంకం
Address conversion,చిరునామా మార్పిడి
Address data,చిరునామా డేటా
Addressed memory,చిరునామా మెమరీ
Address effective,చిరునామా ప్రభావవంతంగా ఉంటుంది
Address field,చిరునామా ఫీల్డ్
Address format,చిరునామా ఆకృతి
Address free program,చిరునామా ఉచిత ప్రోగ్రామ్
Addressing,చిరునామా
Addressing  Character,చిరునామా  పాత్ర
Addressing interrupt,అంతరాయాన్ని పరిష్కరించడం
Addressing loop,చిరునామా లూప్
Addressing virtual memory,వర్చువల్ మెమరీని పరిష్కరించడం
Address interlacing,చిరునామా ఇంటర్లేసింగ్
Addressless instruction format,చిరునామా లేని సూచనల ఆకృతి
Address line,చిరునామా లైన్
Address mapping,చిరునామా మ్యాపింగ్
Address mark,చిరునామా గుర్తు
Address modification,చిరునామా మార్పు
Address part,చిరునామా భాగం
Address pointer,చిరునామా పాయింటర్
Address register,చిరునామా రిజిస్టర్
Address signal,చిరునామా సిగ్నల్
Address size,చిరునామా పరిమాణం
Address space,చిరునామా స్థలం
Address space identifier,చిరునామా స్పేస్ ఐడెంటిఫైయర్
Address stop,చిరునామా స్టాప్
Address trace,చిరునామా ట్రేస్
Address track,చిరునామా ట్రాక్
Address translation,చిరునామా అనువాదం
Address translator,చిరునామా అనువాదకుడు
Add-subtract time,జోడించు-ఉపశమనం సమయం
Add time,సమయాన్ని జోడించండి
Adjacency,ప్రక్కనే
Adjacency structure,ప్రక్కనే ఉన్న నిర్మాణం
Adjacent channel,ప్రక్కనే ఉన్న ఛానల్
Adjacent domain,ప్రక్కనే ఉన్న డొమైన్
Adjacent matrix,ప్రక్కనే ఉన్న మాతృక
Adjacent node,ప్రక్కనే ఉన్న నోడ్
Adjacent subarea,ప్రక్కనే ఉన్న సబ్‌యారియా
Adjoint (system),అడ్జాయింట్ (సిస్టమ్)
Adjust,సర్దుబాటు
Adjustable extent,సర్దుబాటు పరిధి
Adjust text mode,టెక్స్ట్ మోడ్‌ను సర్దుబాటు చేయండి
Administrative data processing,అడ్మినిస్ట్రేటివ్ డేటా ప్రాసెసింగ్
Administrative operation,పరిపాలనా ఆపరేషన్
Administrative operator,అడ్మినిస్ట్రేటివ్ ఆపరేటర్
Administrative operator station,అడ్మినిస్ట్రేటివ్ ఆపరేటర్ స్టేషన్
Administrative support system,పరిపాలనా మద్దతు వ్యవస్థ
Advanced communication service,అధునాతన కమ్యూనికేషన్ సేవ
Advanced information system,అధునాతన సమాచార వ్యవస్థ
Advanced optical character reader,అధునాతనమైన ఆప్టికల్ క్యారెక్టర్ రీడర్
Advanced scientific computer,అధునాతన శాస్త్రీయ కంప్యూటర్
Aerial,ఆకాశయాన
Aggregate,మొత్తం
Aggregate expression,మొత్తం వ్యక్తీకరణ
Aiming circle,లక్ష్య వృత్తం
Aiming field (= aiming symbol),లక్ష్యం ఫీల్డ్ (= లక్ష్యం చిహ్నం)
Aiming symbol,లక్ష్యం చిహ్నం
Airborne computer system,వాయుమార్గాన కంప్యూటర్ వ్యవస్థ
Algebraic eigenvalue problem,బీజగణిత ఈజెన్వాల్యూ సమస్య
Algebraic  Integration,బీజగణితం  అనుసంధానం
Algebraic language,బీజగణిత భాష
Algebraic manipulation,బీజగణిత మానిప్యులేషన్
Algebraic manipulation language,బీజగణిత మానిప్యులేషన్ భాష
Algebraic oriented language,బీజగణిత ఆధారిత భాష
Algebraic shift,బీజగణిత షిఫ్ట్
Algebraic sign convention,బీజగణిత సంకేత సమావేశం
Algol,ఆల్గోల్
Algol feature,ఆల్గోల్ ఫీచర్
Algol Programming,ఆల్గోల్ ప్రోగ్రామింగ్
Algorithm,అల్గోరిథం
Algorithm associative language,అల్గోరిథం అసోసియేటివ్ లాంగ్వేజ్
Algorithm classification,అల్గోరిథం వర్గీకరణ
Algorithm complexity,అల్గోరిథం సంక్లిష్టత
Algorithm computability,అల్గోరిథం కంప్యూటబిలిటీ
Algorithmic analysis,అల్గోరిథమిక్ విశ్లేషణ
Algorithmic approach,అల్గోరిథమిక్ విధానం
Algorithmic language,అల్గోరిథమిక్ భాష
Algorithmic routine,అల్గోరిథమిక్ దినచర్య
Algorithmic theory,అల్గోరిథమిక్ సిద్ధాంతం
Alias,అలియాస్
Aliasing,అలియాసింగ్
Alias name (= alternative name),అలియాస్ పేరు (= ప్రత్యామ్నాయ పేరు)
Alignment,అమరిక
Allocate,కేటాయించండి
Allocation structure,కేటాయింపు నిర్మాణం
All-purpose computer,ఆల్-పర్పస్ కంప్యూటర్
Alphabetic character,అక్షర పాత్ర
Alphabetic character set,అక్షర అక్షర సమితి
Alphabetic character subset,అక్షర అక్షర ఉపసమితి
Alphabetic code,అక్షర కోడ్
Alphabetic shift,అక్షర షిఫ్ట్
Alphabetic string,అక్షర స్ట్రింగ్
Alphabetic word,అక్షర పదం
Alphabetization,వర్ణమాల
Alphageometrics,ఆల్ఫాజియోమెట్రిక్స్
