Kannada,Malayalam
ದಾಟುವುದು,ശീതീകരണം
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,ചുരുക്കല്
ಅಪಹರಣ,പിടിച്ചുകൊണ്ടുപോകല്
ನಿರುತ್ಸಾಹಗೊಳಿಸುವಿಕೆ,Aveyne
ಸಾಮರ್ಥ್ಯ,കഴിവ്
ಎಬಿ ಇನಿಶಿಯೋ,Ab initio
ಸಮರ್ಥ,കഴിവുള്ള
ಅಸಹಜ,വിലക്ഷണമായ
ನಿರ್ಮೂಲನ,നിർത്തലാക്കൽ
ರದ್ದುಮಾಡುವಿಕೆ,നിർത്തലാക്കൽ പോസ്റ്റ്
ಮೇಲೆ ತಿಳಿಸಿದ,മുകളിൽ സൂചിപ്പിച്ച
ಮೇಲೆ ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ,മുകളിൽ ഉദ്ധരിച്ചത്
ಮೇಲೆ ಹೇಳಿದರು,മുകളിൽ പറഞ്ഞത്
ಅನುಪಸ್ಥಿತಿ,അസാന്നിദ്ധം
ಗೈರುಹಾಜರಿ,ഹാജരാകാത്ത
ಗೈರುಹಾಜರಿ,ഹാജരാകാത്തീയത
ಗೈರುಹಾಜರಿ ಹೇಳಿಕೆ,ഹാജരാകാതിരിക്കുക
ಸಂಪೂರ್ಣ,കേശവം
ಸಂಪೂರ್ಣ ಏಕಸ್ವಾಮ್ಯ,കേവല കുത്തക
ಸಂಪೂರ್ಣ ಮಾಲೀಕತ್ವ,കേവല ഉടമസ്ഥാവകാശം
ಹೀರುವಿಕೆ,ആഗിരണം
ಅಮೂರ್ತ,വേര്പെട്ടുനില്ക്കുന്ന
ಅಮೂರ್ತತೆ,അനുഗമിക്കുന്നു
ಅಸಂಬದ್ಧ,അസംബന്ധം
ಹೇರಳವಾಗಿರುವುದು,സമൃദ്ധി
ಅಧಿಕಾರದ ದುರುಪಯೋಗ,അധികാര ദുരുപയോഗം
ನಿಂದಕ ಭಾಷೆ,അധിക്ഷേപകരമായ ഭാഷ
ಶೈಕ್ಷಣಿಕ,പണ്ഡിതോചിതമായ
ಶೈಕ್ಷಣಿಕ ಚರ್ಚೆ,അക്കാദമിക് ചർച്ച
ಶೈಕ್ಷಣಿಕ ರಜೆ,അക്കാദമിക് അവധി
ಶೈಕ್ಷಣಿಕ ಅರ್ಹತೆ,വിദ്യാഭ്യാസ യോഗ്യത
ಶೈಕ್ಷಣಿಕ ದಾಖಲೆ,അക്കാദമിക് റെക്കോർഡ്
ತಪ್ಪೊಟ್ಟು,നിര്വഹിക്കുക
ಒಪ್ಪಿಕೊಳ್ಳಿ,അംഗീകരിക്കുക
ಸ್ವೀಕಾರಾರ್ಹತೆ,കൈക്കൊള്ളല്
ಕಚೇರಿಯ ಸ್ವೀಕಾರ,ഓഫീസിന്റെ സ്വീകാര്യത
ಟೆಂಡರ್ ಸ್ವೀಕಾರ,ടെണ്ടർ സ്വീകാര്യത
ಪ್ರವೇಶ,പ്രവേശനം
