Marathi,Odiya
"1.अॅबॅकस, 2. मोजणी","1. ଆବାକସ୍, ୨। ଗଣନା"
असामान्य शेवट,ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |
इंटरसेप्ट,ବାଧା
"1. निरपेक्ष, 2. सर्वोच्च","1. ସଂପୂର୍ଣ୍ଣ, 2 ସର୍ବୋଚ୍ଚ"
परिपूर्ण पत्ता,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
परिपूर्ण पत्ता योग्यता,ସଂପୂର୍ଣ୍ଣ ଠିକଣା ଯୋଗ୍ୟତା |
परिपूर्ण असेंबलर,ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |
"1. संपूर्ण कोड, 2. परिपूर्ण कोड","1. ସଂପୂର୍ଣ୍ଣ କୋଡ୍, 2 ସଂପୂର୍ଣ୍ଣ କୋଡ୍"
निरपेक्ष आज्ञा,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |
"1. परिपूर्ण आकडे, 2. परिपूर्ण डेटा","1. ସଂପୂର୍ଣ୍ଣ ସଂଖ୍ୟା, 2 ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |"
परिपूर्ण सूचना,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
परिपूर्ण मोड,ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |
परिपूर्ण मार्ग,ସଂପୂର୍ଣ୍ଣ ପଥ
"1. परिपूर्ण प्रोग्रामिंग, 2. परिपूर्ण प्रोग्रामिंग","1. ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ, 2 ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |"
अमूर्त वर्ग,ବିସ୍ତୃତ ଶ୍ରେଣୀ |
अमूर्त डेटा प्रकार,ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |
अमूर्त मशीन,ବିସ୍ତୃତ ମେସିନ୍ |
अमूर्त चिन्ह,ବିସ୍ତୃତ ପ୍ରତୀକ |
अमूर्त वाक्यरचना,ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |
स्वीकृती चाचणी,ଗ୍ରହଣ ପରୀକ୍ଷା
प्रवेश प्रमाणपत्र,ପ୍ରବେଶ ପ୍ରମାଣପତ୍ର
"1. प्रवेश कोड, 2. प्रवेश कोड","1. ପ୍ରବେଶ ସଂକେତ, 2 ପ୍ରବେଶ କୋଡ୍"
प्रवेश नियंत्रण,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
प्रवेश स्कॅनिंग,ସ୍କାନିଂ ଆକ୍ସେସ୍ କରନ୍ତୁ |
उपकरणे,ଆନୁଷଙ୍ଗିକ
लेखा,ହିସାବ
"1. खाते आयडी, 2. लेखा ओळख","1. ଖାତା ID, 2 ଆକାଉଣ୍ଟିଂ ପରିଚୟ"
संचयक,ଜମାକାରୀ
"1. अचूकता, 2. अचूकता","1. ସଠିକତା, 2 ସଠିକତା"
प्रवेश,ପ୍ରବେଶ
