Gujarati,Hindi
"1.એબેકસ, 2. ગણતરી","1.एबेकस, 2. गिनतारा"
અસામાન્ય અંત,असामान्य समापन
ઇન્ટરસેપ્ટ,अवरोधन
"1. સંપૂર્ણ, 2. સર્વોચ્ચ","1. निरपेक्ष, 2. परम"
સંપૂર્ણ સરનામું,निरपेक्ष पता
સંપૂર્ણ સંબોધનક્ષમતા,निरपेक्ष पताभिगमन
સંપૂર્ણ એસેમ્બલર,निरपेक्ष कोडांतरक
"1. સંપૂર્ણ કોડ, 2. સંપૂર્ણ કોડ","1. निरपेक्ष कूट, 2. निरपेक्ष कोड"
સંપૂર્ણ આદેશ,निरपेक्ष समादेश
"1. સંપૂર્ણ આંકડા, 2. સંપૂર્ણ ડેટા","1.निरपेक्ष आंकडे, 2. निरपेक्ष डाटा"
સંપૂર્ણ સૂચના,निरपेक्ष अनुदेश
સંપૂર્ણ મોડ,निरपेक्ष विधा
સંપૂર્ણ માર્ગ,निरपेक्ष पथ
"1. સંપૂર્ણ પ્રોગ્રામિંગ, 2. સંપૂર્ણ પ્રોગ્રામિંગ","1. निरपेक्ष क्रमादेशन, 2. निरपेक्ष प्रोग्रामन"
અમૂર્ત વર્ગ,अमूर्त वर्ग
અમૂર્ત ડેટા પ્રકાર,अमूर्त आंकड़ा प्रकार
અમૂર્ત મશીન,अमूर्त मशीन
અમૂર્ત પ્રતીક,अमूर्त प्रतीक
અમૂર્ત વાક્યરચના,अमूर्त वाक्य विन्यास
સ્વીકૃતિ કસોટી,स्वीकृति परीक्षण
પ્રવેશ પ્રમાણપત્ર,अभिगम प्रमाणन
"1. એક્સેસ કોડ, 2. ઍક્સેસ કોડ","1. अभिगम कूट, 2. अभिगम कोड"
વપરાશ નિયંત્રણ,अभिगम नियंत्रण
ઍક્સેસ સ્કેનિંગ,अभिगम क्रमवीक्षण
એસેસરીઝ,सहयंत्र
નામું,लेखा
"1. એકાઉન્ટ ID, 2. એકાઉન્ટિંગ ઓળખ","1. एकाउंट आई डी, 2. लेखा पहचान"
સંચયક,संचायक
"1. ચોકસાઈ, 2. ચોકસાઈ","1. विशुद्धता, 2. यर्थाथता"
ઍક્સેસ,अभिगम
એક્સેસ કંટ્રોલ બાઇટ્સ,अभिगम नियंत्रण बाइट
ઍક્સેસ સૂચક,अभिगम सूचक
ઍક્સેસ કી,अभिगम कुंजी
"1. એક્સેસ મેટ્રિક્સ, 2. એક્સેસ મેટ્રિક્સ","1.अभिगम आव्यूह, 2. अभिगम मैट्रिक्स"
ઍક્સેસ મોડ,अभिगम विधा
ઍક્સેસ વિશેષાધિકારો,अभिगम विशेषाधिकार
ઍક્સેસ સુરક્ષા,अभिगम सुरक्षा
"1. એક્સેસ સર્વર, 2. સર્વર ઍક્સેસ કરો","1. अभिगम परिसेवक, 2. अभिगम सर्वर"
ઍક્સેસ સમય,अभिगम काल
સ્વીકૃતિ,अभिस्वीकृति
ધ્વનિશાસ્ત્ર,ध्वनिकी
"1. ટૂંકાક્ષર, 2. સંક્ષેપ, 3. થી ટૂંકું","1. परिवर्णी शब्द, 2. संक्षिप्त रूप, 3. लघु रूप"
ક્રિયા સંદેશ,क्रिया संदेश
સક્રિયકરણ,सक्रियण
સક્રિય સર્વર પૃષ્ઠ,सक्रिय सर्वर पृष्ठ
સક્રિય સંસ્કરણ,सक्रिय वर्जन
એસાયક્લિક,अचक्रीय
"1. એસાયક્લિક ગ્રાફ, 2. એસાયક્લિક ગ્રાફ","1. अचक्रीय आलेख, 2. अचक्रीय ग्राफ"
અદા કોમ્પ્યુટર ભાષા,एडा कंप्यूटर भाषा
"1. ઑપ્ટિમાઇઝર, 2. ઑપ્ટિમાઇઝર","1. अनुकूलक, 2. अनुकूलित्र"
સરવાળે),योग (करना)
સરવાળો ફાઇલ,योग संचिका
"1. એડિશન ઓપરેશન, 2. સરવાળો કામગીરી","1. जोड़ संक्रिया, 2. योग संक्रिया"
ઉમેરનાર,योजक
જાણો,पता
સરનામું બસ,पता बस
સરનામું ફાઇલ,पता संचिका
સરનામું ફોર્મેટ,पता आरूप
સરનામું જનરેટર,पता जनक
એડ્રેસ લાઇન,पता पंक्ति
સરનામું મેપિંગ,पता प्रतिचित्रण
સરનામું સૂચક,पता संकेतक
સરનામું રજીસ્ટર,पता पंजी
સરનામું ભંગાણ,पता विघटन
સરનામા અનુવાદ,पता अनुवाद
"1. એડ્રેસેબલ મેમરી, 2. એડ્રેસેબલ મેમરી","1. पतायुक्त स्मृति, 2. पतायुक्त मेमोरी"
સંબોધન,पताभिगमन
"1. પર્યાપ્તતા માપદંડ, 2. પર્યાપ્તતા માપદંડ","1. पर्याप्तता निकष, 2. पर्याप्तता कसौटी"
જોડાણ,संलग्न
"1. મેનેજમેન્ટ, 2. નિયંત્રણ","1. प्रबंधन, 2. नियंत्रण"
"1. મેનેજર, 2. નિયંત્રક","1. प्रबंधक, 2. नियंत्रक"
એડોબ એક્રોબેટ,ऐडोब एक्रोबेट
એડોબ ફોટોશોપ,ऐडोब फोटोशोप
ABAP (એડવાન્સ્ડ બિઝનેસ પ્રોગ્રામિંગ),ए बी ए पी (उन्नत व्यवसाय प्रोग्रामन)
"1. અદ્યતન ડેટા, 2. અદ્યતન ડેટા","1. उन्नत आंकड़ा, 2. उन्नत डाटा"
અદ્યતન માહિતી સિસ્ટમ,उन्नत सूचना तंत्र
એડવાન્સ ટેકનોલોજી (AT),उन्नत प्रौद्योगिकी (ए टी)
ક્રિયા,कर्मक
એકત્રીકરણ,समुच्चयन
એરબોર્ન કમ્પ્યુટર સિસ્ટમ,विमानवाहित कंप्यूटर तंत्र
aldus પૃષ્ઠ બનાવવું,एल्डस पेज-मेक
ચેતવણી બોક્સ,सचेत पेटी
અલ્ગોલ (કોમ્પ્યુટર ભાષા),ऐल्गॉल (कंप्यूटर भाषा)
"1. અલ્ગોરિધમ , 2. અલ્ગોરિધમ","1.  एल्गोरिथ्म, 2. कलन विधि"
"1. અલ્ગોરિધમ વિશ્લેષણ, 2. અલ્ગોરિધમ વિશ્લેષણ","1.  एल्गोरिथ्म विश्लेषण, 2. कलन विधि विश्लेषण"
અલ્ગોરિધમ કાર્યક્ષમતા,एल्गोरिथ्म दक्षता
"1. ઈલિયાસ, 2. ઉપનામ, 3. ઉર્ફે","1. एलिआस, 2. उपनाम, 3. उर्फ"
ગોઠવણી,संरेखण
"1. ફાળવણી, 2. ફાળવણી","1. आवंटन, 2. नियतन"
"1. આલ્ફાબેટીક, 2. મૂળાક્ષરોનો ક્રમ","1.अक्षरात्मक, 2. वर्णानुक्रम"
આલ્ફાન્યૂમેરિક,अक्षरांकीय
"1. આલ્ફાન્યૂમેરિક કીબોર્ડ ,2. આલ્ફાન્યૂમેરિક કીબોર્ડ","1.अक्षरांकीय कुंजीपटल, 2. अक्षराकीय की-बोर्ड"
આલ્ફા-પરીક્ષણ (પ્રથમ સ્તર પરીક્ષણ),अल्फा-परीक्षण (प्रथम स्तरीय परीक्षण)
"1. આલ્ફા સંસ્કરણ, 2. આલ્ફા ફોર્મ","1. अल्फा वर्जन, 2. अल्फा रूप"
alt કી,आल्ट कुंजी
અલ્ટાવિસ્ટા,आल्टाविस्टा
બહુવિધતા,अनेकार्थकता
અસ્પષ્ટ વ્યાકરણ,संदिग्ध व्याकरण
અમેરિકન નેશનલ સ્ટેન્ડીઝ ઇન્સ્ટિટ્યુટ (ANSI),अमेरिकन नेशनल स्टेंडीस इंस्टीट्यूट (ए.एन.एस.आई.)
