Tamil,Assamese
A B வகுப்பு பெருக்கி,এটা B শ্ৰেণীৰ এম্প্লিফায়াৰ
பிறழ்வு,বিচ্যুতি
அசாதாரண பரிமாற்றம்,অস্বাভাৱিক সংক্ৰমণ
"இணைக்கப்படாத, பொதுவாக, குழி, துண்டிக்கப்பட்ட, எலும்பு முறிவு","অসংলগ্ন, সাধাৰণতে, গাঁতযুক্ত, কাটি পেলোৱা, ভাঙি যোৱা"
ஸ்பெக்ட்ரம் காணவில்லை,অনুপস্থিত বৰ্ণালী
"முழுமையான, முழுமையான, நிலையான, சரியான","নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত"
முழுமையான ஈரப்பதம்,নিৰপেক্ষ আৰ্দ্ৰতা
முழுமையான வேகம்,নিৰপেক্ষ গতি
முழுமையான கவனிப்பு,নিৰপেক্ষ পৰ্যবেক্ষণ
முழுமையான வெப்பநிலை,নিৰপেক্ষ উষ্ণতা
முழுமையான பூஜ்ஜியம்,নিৰপেক্ষ শূন্য
உறிஞ்சி,শুহি লোৱা
"உறிஞ்சும், உறிஞ்சும்","শোষক, শোষক"
உறிஞ்சும் திறன்,শোষণ ক্ষমতা
உறிஞ்சுதல்,শোষণ ক্ষমতা
உறிஞ்சக்கூடியது,শোষক
உறிஞ்சும் தன்மை,শোষণ ক্ষমতা
பன்மடங்கு விகிதம்,বহুগুণতা অনুপাত
முடுக்கி,ত্বৰান্বিত কৰক
விரைந்தார்,খৰধৰকৈ উঠিল
முடுக்கம்,বেগ বৃদ্ধি
ஈர்ப்பு முடுக்கம்,মাধ্যাকৰ্ষণৰ ত্বৰণ
முடுக்கி,ত্বৰণকাৰী
முடுக்கி,ত্বৰণকাৰী
முடுக்கமானி,এক্সিলেৰমিটাৰ
முன் அழுத்தம் கொடுப்பவர்,প্ৰিষ্ট্ৰেছাৰ
ஏற்றுக்கொள்ளக்கூடிய சோதனை,গ্ৰহণযোগ্য পৰীক্ষা
ஏற்பவர்,গ্ৰহণকাৰী
நன்கொடையாளர் மூலக்கூறு,দাতা অণু
"அணுகல், காத்திருப்பு, அணுகல்","প্ৰৱেশ, অপেক্ষা, অভিগম্যতা"
அணுகல்,অভিগম্যতা
"கூடுதல், துணை, துணை (v.), துணைக்கருவிகள் (ed.)","অতিৰিক্ত, আনুষংগিক, আনুষংগিক (v.), আনুষংগিক (ed.)"
அணுகல் நேரம்,প্ৰৱেশ সময়
பார்வையாளர் பிழை,দৰ্শকৰ ভুল
சரிசெய்தல்,সমন্বয়
திரட்டப்பட்டது,সঞ্চিত কৰা হৈছে
"திரட்சி, குவிப்பு","সঞ্চয়, সঞ্চয়"
திரட்டி,এক্যুলেটৰ
துல்லியம்,শুদ্ধতা
யதார்த்தம்,বাস্তৱতা
நிறமற்ற லென்ஸ்,ৰঙীন লেন্স
வண்ணமயமான,achromatic
வண்ணமயமான தன்மை,achromaticity
ஒலியியல்,একাউষ্টিক
ஒலி எதிர்ப்பு,শব্দ নিবাৰণ
ஒலி ஃபோனான்,একাউষ্টিক ফ&#39;নন
ஒலி அலகு,শব্দ একক
ஒலியியல்,একাউষ্টিক
ஒலி ஜெனரேட்டர்,শব্দ উৎপাদক
செயல் மற்றும் எதிர்வினை,ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া
செயல்படுத்துதல்,সক্ৰিয়কৰণ
செயல்படுத்தும் ஆற்றல்,সক্ৰিয়কৰণ শক্তি
"செயல்படுத்துபவர், செயல்படுத்துபவர்","সক্ৰিয়কৰ্তা, সক্ৰিয়কৰ্তা"
செயலில்,সক্ৰিয়
செயற்பாடு,সক্ৰিয়তা
உண்மையான மன அழுத்தம்,প্ৰকৃত মানসিক চাপ
கிசுகிசுத்தல்,ফুচফুচাই কোৱা
மொத்தத்தில்,সামৰণিত
"தொகை, கூட்டல், மொத்த (பதிப்பு), சேர்க்கை (v.)","যোগ, যোগ, সমষ্টি (ed.), যোগ (v.)"
"இணைந்த தொனி, கூடுதல் தொனி (உயிர்)","সংযোগী সুৰ, অতিৰিক্ত সুৰ (স্বৰ)"
சேர்க்கை,যোগকৰণ
ஒட்டுதல்,আঠাযুক্ততা
பிசின் ஆற்றல்,আঠাযুক্ত শক্তি
அடியாபட்,আদিয়াবাট
அடியாபாடிக்,adiabatic
வெப்ப காப்பு,তাপ নিৰোধক
இணைப்பு,সংলগ্ন কৰা হৈছে
அனுசரிப்பு,নিয়ন্ত্ৰণযোগ্য
ஊடுருவல்,ভেদ
உறிஞ்சுதல்,শোষণ
முன்னோக்கி,আগলৈ
முற்போக்கானது,প্ৰগতিশীল
"ஆகாஷி, காற்று (வி.), வான்வழி (பதிப்பு)","আকাশী, বায়ু (v.), আকাশী (ed.)"
ஆண்டெனா ஸ்ட்ரீம்,এন্টেনা ষ্ট্ৰিম
வான்வழி ஆய்வு,আকাশী জৰীপ
காற்று வேகம்,বায়ুৰ বেগ
ஏரோடைனமிக் குணகம்,বায়ুগতিশীল সহগ
காற்றியக்கவியல்,বায়ুগতিবিদ্যা
காற்றியக்கவியல்,বায়ুগতিবিদ্যা
வானூர்தி,এৰোনটিকেল
ஏரோநாட்டிக்ஸ்,এৰোনটিক্স
காற்று துடிப்பு,বায়ুৰ স্পন্দন
"வளிமண்டலம், வாயுக்கோளம்","বায়ুমণ্ডল, গেছ&#39;স্ফিয়াৰ"
கவனம் அமைப்பு,ফোকাচ চিষ্টেম
மீண்டும் பற்றவைப்பு,বেক ইগনিচন
பின் ஒளி,বেক লাইট
அதிர்ச்சி,জোকাৰণি
"வயது, வயது, வயது, சகாப்தம் (பதிப்பு), நேரத்தை பாதிக்க (ver.), நேரம், காலத்தால் பாதிக்கப்படுவது","বয়স, বয়স, বয়স, যুগ (ed.), সময়ক প্ৰভাৱিত কৰা (ver.), সময়, সময়ৰ দ্বাৰা প্ৰভাৱিত হোৱা"
நேரம் பாதிக்கப்பட்டது,সময় প্ৰভাৱিত
"முதுமை, முதுமை","বয়স বৃদ্ধি, বয়স বৃদ্ধি"
நேர விளைவு,সময়ৰ প্ৰভাৱ
நேர விளைவு சோதனை,সময় প্ৰভাৱ পৰীক্ষা
புவியீர்ப்பு இல்லாதது,মাধ্যাকৰ্ষণহীন
நல்லிணக்கம்,মিলন
"வான்வழி ரேடார், வான்வழி ரேடார்","বায়ুমণ্ডলীয় ৰাডাৰ, আকাশী ৰাডাৰ"
"வான் இலக்கு, வான் இலக்கு","আকাশী লক্ষ্য, আকাশী লক্ষ্য"
காற்று சுவாசக் கருவி,বায়ু শ্বাসযন্ত্ৰ
ஏர் கண்டிஷனிங்,এয়াৰ কণ্ডিচনাৰ
காற்று எதிர்ப்பு மின்மாற்றி,এয়াৰক্ৰু ট্ৰেন্সফৰ্মাৰ
விமானம்,বিমান
சீரமைப்பு,প্ৰান্তিককৰণ
சீரமைப்பு பிழை,প্ৰান্তিককৰণৰ ভুল
நேரடி சுற்று,লাইভ চাৰ্কিট
முழு கண்ணாடி குழாய்,সম্পূৰ্ণ কাঁচৰ নলী
முழு உலோக குழாய்,গোটেই ধাতুৰ নলী
சரி செய்ய,ঠিক কৰা
"மிஸ்ரது (பதிப்பு), மிஷ்ரத்வான் (சிஆர்.)","মিশ্ৰতু (সম্পা.), মিশ্ৰত্বন (ক্ৰ.)"
மிஷ்ரத்வான்,মিশ্ৰত্ৱন
எங்கும் நிறைந்த ஊடகம்,সৰ্বব্যাপী মাধ্যম
ஆம்னி ஆண்டெனா,omni এন্টেনা
பஞ்சாங்கம்,আলমানাক
ஆல்பா,আলফা
ஆல்பா-செயல்பாடு,আলফা-কাৰ্য্যকলাপ
எண்ணெழுத்து,আলফানিউমেৰিক
ஆல்பா கதிர்,আলফা ৰশ্মি
மாற்றம்,সলা
"மாற்று, மாற்று","বিকল্প, বিকল্প"
மின்மாற்றி,অলটাৰেটৰ
உயரமானி,উচ্চতামাপক
உயரமானி,উচ্চতামাপক
அல்டிமெட்ரி,উচ্চতা মাপকাঠী
"உயரம், உயரம், உயரம், உயரம்","উচ্চতা, উচ্চতা, উচ্চতা, উচ্চতা"
எண்கணித ரீசனிங் யூனிட் (ALU),গাণিতিক যুক্তি একক (ALU)
அமுத விதி,amaget নিয়ম
சூழல்,পৰিৱেশ
அமிக்ரான்,amicron
அம்மீட்டர்,এমিটাৰ
ஆம்பியர்,এম্পিয়াৰ
ஆம்பியர்-சட்டம்,এম্পিয়াৰ-আইন
நீர்வீழ்ச்சி அயனி,উভচৰ আয়ন
பெருக்கம்,এম্প্লিফিকেশন
பெருக்கி,এম্প্লিফায়াৰ
"கோணம், பரிமாணம்","কোণ, মাত্ৰা"
அ. எம்.யு. (அணு நிறை அலகு),ক. এম ইউ. (পাৰমাণৱিক ভৰ একক)
இணக்கமான,উপযুক্ত
ஒப்புமை,উপমা
ஆய்வாளர்,বিশ্লেষক
பகுப்பாய்வு,বিশ্লেষণ
பகுப்பாய்வு,বিশ্লেষণাত্মক
புள்ளி அல்லாத,নন-পইন্ট
முரண்பாடான,অস্বাভাৱিক
மற்றும் கதவு,আৰু দুৱাৰ
ஒலி அல்லாத,অ-ধ্বনিযুক্ত
ஒழுங்கற்ற நெகிழ்ச்சி,বিষম স্থিতিস্থাপকতা
நீரற்ற,জলহীন
கோணம்,কোণ
angstrom அலகு,angstrom একক
கோணல்,কৌণিক
நீடிப்பான் வெர்னியர்,প্ৰট্ৰেক্টৰ vernier
சர்ச்சைக்குரிய,বিতৰ্কহীন
மரியாதையற்ற,অসন্মানজনক
வண்ணமயமான காந்தமாக்கல்,ৰঙীন চুম্বকীয়কৰণ
மந்தமான,শিথিলতা
அயனி,এনিয়ন
சமச்சீரற்ற,অসমতাপূৰ্ণ
ஐசோட்ரோபிக்,সমতলীয়
ஐசோட்ரோபிசம்,সমচক্ৰীয়তা
நீக்குதல்,মচি পেলোৱা
சதிகாரர்கள்,ষড়যন্ত্ৰকাৰী
நேர்மின்முனை,এনোড
அனோடைசேஷன்,এনোডাইজেচন
சீரற்ற,অসামঞ্জস্যপূৰ্ণ
ஒளியியல் அமைப்பு,অপটিকেল চিষ্টেম
ஆண்டெனா,এন্টেনা
ஆன்டிபெரியன்,এন্টিবেৰিয়ান
பிணைப்பு எதிர்ப்பு சொத்து,এন্টি-বণ্ডিং বৈশিষ্ট্য
எதிர் பத்திரம்,কাউণ্টাৰ বণ্ড
தலைகீழ் சக்தி,ৰিভাৰ্ছ পাৱাৰ
காந்தவியல்,ডাইমেগনেটিক
காந்தப் பொருள்,ডাইমেগনেটিক পদাৰ্থ
