Kannada,Punjabi
ಆಸಿಡಾಯ್ಡ್,ਐਸਿਡੌਇਡ
ಅಯೋಲಿಯನ್ ಮಣ್ಣು,ਏਓਲੀਅਨ ਮਿੱਟੀ
ಒಟ್ಟು,ਕੁੱਲ
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,ਐਗਰੀਗੇਸ਼ਨ
ಕೃಷಿಶಾಸ್ತ್ರ,ਖੇਤੀ ਵਿਗਿਆਨ
ಕೃಷಿಶಾಸ್ತ್ರ,ਖੇਤੀ ਵਿਗਿਆਨ
ಎ-ಹಾರಿಜಾನ್,ਏ-ਹੋਰੀਜ਼ਨ
Ao-ಹಾರಿಜಾನ್,ਆਉ-ਦਿਮਾਗ
Aoo-ಹಾರಿಜಾನ್,ਆਉ—ਅੰਦਾਜ਼
ಮಣ್ಣಿನ ಗಾಳಿಯ ಸಾಮರ್ಥ್ಯ,ਮਿੱਟੀ ਦੀ ਹਵਾ ਦੀ ਸਮਰੱਥਾ
ಮಣ್ಣಿನ ಗಾಳಿಯ ಅಂಶ,ਮਿੱਟੀ ਦੀ ਹਵਾ ਸਮੱਗਰੀ
ಏರ್ ಪಿಕ್ನೋಮೀಟರ್,ਏਅਰ ਪਿਕਨੋਮੀਟਰ
ಆಲಿಟಿಕ್ ಮಣ್ಣು,ਐਲੀਟਿਕ ਮਿੱਟੀ
ಮೆಕ್ಕಲು ಮಣ್ಣು,ਐਲਵੀਅਲ ਮਿੱਟੀ
ಆಂಫೋಲಿಟಾಯ್ಡ್,ਐਮਫੋਲੀਟੋਇਡ
ಅಯಾನ್,ਐਨੀਅਨ
"ಸ್ಪಷ್ಟವಾದ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆಯ ಪರಿಮಾಣದ ತೂಕ ಅಥವಾ ಬೃಹತ್ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆ,&quot;","ਸਪੱਸ਼ਟ ਖਾਸ ਗਰੈਵਿਟੀ ਵਾਲੀਅਮ ਭਾਰ ਜਾਂ ਬਲਕ ਖਾਸ ਗਰੈਵਿਟੀ,&quot;"
ಅರ್ರಿಸ್,ਅਰਿਸ
ಆಶ್ಲರ್ ಉತ್ತಮವಾದ ಕಲ್ಲು,ਐਸ਼ਲਰ ਵਧੀਆ ਚਿਣਾਈ
ಆಶ್ಲರ್ ಕಲ್ಲು,ਐਸ਼ਲਰ ਚਿਣਾਈ
ಅಜೋನಲ್ ಮಣ್ಣು,ਅਜੋਨਲ ਮਿੱਟੀ
ಹಿಂದೆ ನಟ,ਪਿਛਲਾ ਅਦਾਕਾਰ
ಹಿಂದಿನ ಕಮಾನು,ਪਿਛਲਾ arch
ಬ್ಯಾಕ್ ಬ್ಯಾಂಡ್,ਬੈਕ ਬੈਂਡ
ಬ್ಯಾಕ್ ಬ್ರಷ್,ਪਿੱਛੇ ਬੁਰਸ਼
ಹಿಂತಿರುಗಿ ಪರಿಶೀಲಿಸಿ,ਵਾਪਸ ਜਾਂਚ
ಹಿಂದಿನ ಕೌಂಟರ್,ਪਿੱਛੇ ਕਾਊਂਟਰ
ಬೆನ್ನು ಕತ್ತರಿಸುವುದು,ਵਾਪਸ ਕੱਟਣਾ
ಬ್ಯಾಕ್ ಡ್ರಾಫ್ಟ್ ಡ್ಯಾಂಪರ್,ਬੈਕ ਡਰਾਫਟ ਡੈਂਪਰ
ಬ್ಯಾಕ್ ಡ್ರೈನ್,ਬੈਕ ਡਰੇਨ
ಬ್ಯಾಕ್ ಡ್ರಾಪ್,ਬੈਕ ਡਰਾਪ
ಹಿಂದೆ ಭರ್ತಿ,ਵਾਪਸ ਭਰੋ
ಬ್ಯಾಕ್ ಫಿಲೆಟ್,ਬੈਕ ਫਿਲਲੇਟ
ಬ್ಯಾಕ್ ಫ್ಲಾಪ್ ಹಿಂಜ್,ਬੈਕ ਫਲੈਪ ਹਿੰਗ
ಬ್ಯಾಕ್ ಫ್ಲೋ ಸಂಪರ್ಕ,ਵਾਪਸ ਵਹਾਅ ਕੁਨੈਕਸ਼ਨ
ಬ್ಯಾಕ್ ಫ್ಲೋ ತಡೆಗಟ್ಟುವಿಕೆ,ਬੈਕ ਵਹਾਅ ਰੋਕਣ ਵਾਲਾ
ಬ್ಯಾಕ್ ಗೇಜ್,ਬੈਕ ਗੇਜ
ಹಿಂಭಾಗದ ಗಟಾರ,ਪਿਛਲਾ ਗਟਰ
ಹಿಂಬದಿ ಒಲೆ,ਪਿਛਲਾ ਚੁੱਲ੍ਹਾ
ಹಿಮ್ಮೇಳ,ਬੈਕਿੰਗ
ಬ್ಯಾಕಿಂಗ್ ಬೋರ್ಡ್,ਬੈਕਿੰਗ ਬੋਰਡ
ಬೆನ್ನಿನ ಒತ್ತಡ,ਪਿੱਠ ਦਾ ਦਬਾਅ
ಬ್ಯಾಕ್ ಪ್ರಾಪ್,ਬੈਕ ਪ੍ਰੋਪ
ಹಿಂದಿನ ದೃಷ್ಟಿ,ਪਿੱਛੇ ਦੀ ਨਜ਼ਰ
ಹಿಂಬದಿ ನೀರು,ਵਾਪਸ ਪਾਣੀ
ಅಡ್ಡಿಪಡಿಸು,ਘਬਰਾਹਟ
ಬ್ಯಾಗ್ವರ್ಕ್,ਬੈਗਵਰਕ
ನಿಲುಭಾರ,ਬੈਲਸਟ
ಬಾಲ್ ಕ್ಲೇ,ਬਾਲ ਮਿੱਟੀ
ಬಾಲ್ ಕೋನ್ ಕ್ಲಾಂಪ್,ਬਾਲ ਕੋਨ ਕਲੈਂਪ
ಮುಳ್ಳುತಂತಿ,ਕੰਡਿਆਲੀ ਤਾਰ
ಬಾರ್ ನಾಯಿ,ਬਾਰ ਕੁੱਤਾ
ಬಾರ್ಜ್ ಬೋರ್ಡ್,ਬਾਰਜ ਬੋਰਡ
ಬೇರಿಯಮ್ ಸಲ್ಫೇಟ್ ಪರೀಕ್ಷೆ,ਬੇਰੀਅਮ ਸਲਫੇਟ ਟੈਸਟ
ಬ್ಯಾರೇಜ್,ਬੈਰਾਜ
ಬ್ಯಾರೆಟ್,ਬੈਰੇਟ
ಬೇಸ್,ਅਧਾਰ
ಮೂಲ ವಿನಿಮಯ,ਬੇਸ ਐਕਸਚੇਂਜ
ಬೇಸ್ ಲೈನ್,ਬੇਸ ਲਾਈਨ
ನೆಲಮಾಳಿಗೆ,ਬੇਸਮੈਂਟ
ನೆಲಮಾಳಿಗೆಯ ಗೋಡೆ,ਬੇਸਮੈਂਟ ਦੀ ਕੰਧ
ಬೇಸ್ ಪ್ಲೇಟ್,ਬੇਸ ਪਲੇਟ
"ಬೇಸ್ ಪ್ಲೇಟ್, ಹೊಂದಾಣಿಕೆ","ਬੇਸ ਪਲੇਟ, ਅਨੁਕੂਲ"
ಮೂಲ ಶುದ್ಧತ್ವ,ਬੇਸ ਸੰਤ੍ਰਿਪਤਾ
ಬಸಾಯಿಡ್,ਬੇਸੌਇਡ
ಬ್ಯಾಟ್,ਬੱਲਾ
ಬಾತ್ ಮತ್ತು WC,ਇਸ਼ਨਾਨ ਅਤੇ ਡਬਲਯੂ.ਸੀ
ಬ್ಯಾಟರ್ ಪೆಗ್,ਬੈਟਰ ਪੈਗ
ಬ್ಯಾಟರ್ ಪಿಯರ್,ਬੈਟਰ ਪੀਅਰ
ಬ್ಯಾಟರ್ ನಿಯಮ,ਬੈਟਰ ਨਿਯਮ
ಬಾಲ್ಕ್ (ಬಾಲ್ಕ್),ਬਾਲਕ (ਬਾਲਕ)
ಕೊಲ್ಲಿ,ਬੇ
ಬೇರರ್,ਧਾਰਕ
ತಾಳಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ,ਬੇਅਰਿੰਗ ਸਮਰੱਥਾ
ಬೇರಿಂಗ್ ಪೈಲ್,ਬੇਅਰਿੰਗ ਪਾਇਲ
ಬೇರಿಂಗ್ ಸ್ಟ್ರಾಟಮ್,ਬੇਅਰਿੰਗ ਸਟ੍ਰੈਟਮ
ಹಾಸಿಗೆ,ਬਿਸਤਰਾ
ಹಾಸಿಗೆ ವಿಮಾನ,ਬਿਸਤਰੇ ਦਾ ਜਹਾਜ਼
ಬೆಡ್ ಜಂಟಿ,ਬਿਸਤਰਾ ਜੋੜ
ಬೆಡ್ ರಾಕ್,ਬੈੱਡ ਰੌਕ
ಮಲಗುವ ಕೋಣೆ,ਬੈੱਡ ਰੂਮ
ಜೇನುಮೇಣ,ਮੋਮ
ಬೆಲ್ ಬಾಕ್ಸ್,ਘੰਟੀ ਬਾਕਸ
ಬೆಲ್ಲಿಂಗ್ ಬಕೆಟ್,ਘੰਟੀ ਵਾਲੀ ਬਾਲਟੀ
ಬೆಲ್ಲೋಫ್ರಾಮ್,ਬੇਲੋਫ੍ਰਾਮ
ಬೆಂಚ್ಡ್ ಅಡಿಪಾಯ,ਬੈਂਚਡ ਫਾਊਂਡੇਸ਼ਨ
ಬೆಂಚಿಂಗ್,ਬੈਂਚਿੰਗ
ಮಾನದಂಡ,ਬੇਂਚਮਾਰਕ
ಲಾಭದ ವೆಚ್ಚದ ವಿಶ್ಲೇಷಣೆ,ਲਾਭ ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ
ಬೆರ್ಮ್,ਬਰਮ
ಬೆವೆಲ್ಡ್ ಮುಚ್ಚುವಿಕೆ,Bevelled ਬੰਦ
"ಬಿ-ಹಾರಿಜಾನ್,&quot;ಬಿ-","ਬੀ-ਹੋਰੀਜ਼ਨ,&quot;ਬੀ-"
ಬಿಯಾಟ್,ਬਾਇਟ
ಬೈಂಡರ್,ਬਿੰਦਰ
ಬೈಂಡಿಂಗ್ ವಸ್ತು,ਬਾਈਡਿੰਗ ਸਮੱਗਰੀ
ಬಯೋಟ್ ಸಿದ್ಧಾಂತ,ਬਾਇਓਟ ਦਾ ਸਿਧਾਂਤ
ಬಿಟುಮೆನ್,ਬਿਟੂਮਨ
ಕಪ್ಪು ಹತ್ತಿ ಮಣ್ಣು,ਕਾਲੀ ਕਪਾਹ ਦੀ ਮਿੱਟੀ
ಕಪ್ಪು ಭೂಮಿ,ਕਾਲੀ ਧਰਤੀ
ಕಪ್ಪು ಟರ್ಫ್ ಮಣ್ಣು,ਕਾਲੀ ਮੈਦਾਨ ਵਾਲੀ ਮਿੱਟੀ
ಬ್ಲೇಡ್,ਬਲੇਡ
ಬ್ಲಾಸ್ಟ್ ಫರ್ನೇಸ್ ಸ್ಲ್ಯಾಗ್ ಸಿಮೆಂಟ್,ਬਲਾਸਟ ਫਰਨੇਸ ਸਲੈਗ ਸੀਮਿੰਟ
ಬ್ಲಾಕ್ ರಚನೆ,ਬਲਾਕੀ ਬਣਤਰ
