Telugu,English
అబార్ట్,Abort
అబార్ట్ టైమర్,Abort timer
సంపూర్ణ చిరునామా,Absolute address
సంపూర్ణ చిరునామా,Absolute addressing
సంపూర్ణ సమీకరించేవాడు,Absolute assembler
సంపూర్ణ కోడ్,Absolute code
సంపూర్ణ కోడింగ్,Absolute coding
సంపూర్ణ ఆదేశం,Absolute command
సంపూర్ణ కోఆర్డినేట్,Absolute coordinate
సంపూర్ణ డేటా,Absolute data
సంపూర్ణ లోపం,Absolute error
సంపూర్ణ వ్యక్తీకరణ,Absolute expression
సంపూర్ణ సూచన,Absolute instruction
సంపూర్ణ లోడర్,Absolute loader
సంపూర్ణ క్రమం,Absolute order
సంపూర్ణ ప్రోగ్రామింగ్,Absolute programming
సంపూర్ణ పదం,Absolute term
సంపూర్ణ విలువ,Absolute value
సంపూర్ణ వెక్టర్,Absolute vector
నైరూప్య,Abstract
సంగ్రహించడం,Abstracting
నైరూప్య చిహ్నం,Abstract symbol
త్వరణం కాలం,Acceleration period
త్వరణం సమయం,Acceleration time
యాస,Accent
అంగీకార పరీక్ష,Acceptance test
యాక్సెస్,Access
యాక్సెస్ ఆర్మ్,Access arm
యాక్సెస్ అమరిక,Access arrangement
యాక్సెస్ అథారిటీ,Access authority
యాక్సెస్ ఛార్జ్,Access charge
యాక్సెస్ క్లాస్,Access class
డేటా బేస్ మేనేజ్‌మెంట్ యాక్సెస్,Access data base management
యాక్సెస్ ఎన్విరాన్మెంట్,Access environment
యాక్సెస్ గ్యాప్,Access gap
ప్రాప్యత సూచిక,Access index
యాక్సెస్ లైన్,Access line
యాక్సెస్ మెకానిజం,Access mechanism
యాక్సెస్ పద్ధతి,Access method
యాక్సెస్ పద్ధతి దినచర్య,Access method routine
యాక్సెస్ మోడ్,Access mode
హక్కును యాక్సెస్ చేయండి,Access right
యాక్సెస్ స్కాన్,Access scan
ప్రాప్యత సమయం,Access time
అకౌంటింగ్,Accounting
అకౌంటింగ్ ఫైనాన్స్ సిస్టమ్,Accounting finance system
అకౌంటింగ్ మెషిన్,Accounting machine
ఖాతా సంఖ్య,Account number
పునరుత్పత్తిదారుని కూడబెట్టుకోవడం,Accumulating reproducer
సంచితం,Accumulator
సంచిత రిజిస్టర్,Accumulator register
సంచిత షిఫ్ట్ సూచన,Accumulator shift instruction
ఖచ్చితత్వం,Accuracy
ఖచ్చితత్వ నియంత్రణ పాత్ర,Accuracy control character
ఖచ్చితత్వ నియంత్రణ వ్యవస్థ,Accuracy control system
ఏస్ పైలట్,Ace pilot
పాత్రను గుర్తించండి,Acknowledge character
ఎకౌస్టిక్ కప్లర్,Acoustic coupler
శబ్ద కలపడం,Acoustic coupling
శబ్ద ఆలస్యం రేఖ,Acoustic delay line
శబ్ద జ్ఞాపకశక్తి,Acoustic memory
ఎకౌస్టిక్ మోడెమ్,Acoustic modem
శబ్ద సిగ్నల్,Acoustic signal
శబ్ద నిల్వ,Acoustic storage
ఎక్రోనిం,Acronym
చర్య,Action
చర్య చక్రం,Action cycle
యాక్షన్ లైన్,Action line
చర్య సందేశం,Action message
చర్య స్పెసిఫికేషన్,Action specification
క్రియాశీలత,Activation
క్రియాశీల,Active
యాక్టివ్ ఫైల్,Active file
యాక్టివ్ లైన్,Active line
క్రియాశీల లింక్,Active link
యాక్టివ్ మాస్టర్ ఫైల్,Active master file
యాక్టివ్ మాస్టర్ ఐటెమ్,Active master item
క్రియాశీల ఉపగ్రహం,Active satellite
యాక్టివ్ స్టేషన్,Active station
క్రియాశీల నిల్వ,Active storage
కార్యాచరణ,Activity
కార్యాచరణ స్థాయి,Activity level
కార్యాచరణ లోడింగ్,Activity loading
కార్యాచరణ నిష్పత్తి,Activity ratio
వాస్తవ చిరునామా (= సంపూర్ణ చిరునామా),Actual address (=absolute address)
వాస్తవ కోడ్ (= సంపూర్ణ కోడ్),Actual code (=absolute code)
వాస్తవ డేటా బదిలీ రేటు,Actual data transfer rate
వాస్తవ దశాంశ బిందువు,Actual decimal point
వాస్తవ సూచన (= ప్రభావవంతమైన సూచన),Actual instruction (=effective instruction)
అసలు కీ,Actual key
అసలు సమయం,Actual time
వాస్తవ పని సమయం,Actual work time
సిగ్నల్ యాక్చువేటింగ్,Actuating signal
అనుకూలత,Adaptability
అడాప్టర్,Adapter
అడాప్టివ్ ఛానల్ కేటాయింపు,Adaptive channel allocation
అడాప్టివ్ ఇంటిగ్రేషన్,Adaptive integration
అడాప్టివ్ ట్రాన్స్వర్సల్ ఈక్వలైజర్,Adaptive transversal equalizer
ఎంట్రీ జోడించబడింది,Added entry
అనుబంధం,Addend
Adder,Adder
అడెర్ సబ్‌ట్రాక్టర్,Adder subtracter
ఫైల్ జోడించండి,Add file
అదనపు అక్షరం (= ప్రత్యేక అక్షరం),Additional character (= special character)
అదనంగా రికార్డర్,Addition recorder
అదనంగా పట్టిక,Addition table
సంకలిత లక్షణం,Additive attribute
మోడ్‌ను జోడించండి,Add mode
ఆపరేషన్ జోడించండి,Add operation
చిరునామా,Address
చిరునామా కొలత,Addressability measure
చిరునామా క్షితిజ సమాంతర స్థానం,Addressable horizontal position
చిరునామా పాయింట్,Addressable point
చిరునామా స్థానం,Addressable position
చిరునామా రిజిస్టర్,Addressable register
చిరునామా నిల్వ,Addressable storage
చిరునామా నిలువు స్థానం,Addressable vertical position
చిరునామా బస్సు,Address bus
చిరునామా కోడ్,Address code
చిరునామా కంపారిటర్,Address comparator
చిరునామా గణన,Address computation
చిరునామా స్థిరాంకం,Address constant
చిరునామా మార్పిడి,Address conversion
చిరునామా డేటా,Address data
చిరునామా మెమరీ,Addressed memory
చిరునామా ప్రభావవంతంగా ఉంటుంది,Address effective
చిరునామా ఫీల్డ్,Address field
చిరునామా ఆకృతి,Address format
చిరునామా ఉచిత ప్రోగ్రామ్,Address free program
చిరునామా,Addressing
చిరునామా  పాత్ర,Addressing  Character
అంతరాయాన్ని పరిష్కరించడం,Addressing interrupt
చిరునామా లూప్,Addressing loop
వర్చువల్ మెమరీని పరిష్కరించడం,Addressing virtual memory
చిరునామా ఇంటర్లేసింగ్,Address interlacing
చిరునామా లేని సూచనల ఆకృతి,Addressless instruction format
చిరునామా లైన్,Address line
చిరునామా మ్యాపింగ్,Address mapping
చిరునామా గుర్తు,Address mark
చిరునామా మార్పు,Address modification
చిరునామా భాగం,Address part
చిరునామా పాయింటర్,Address pointer
చిరునామా రిజిస్టర్,Address register
చిరునామా సిగ్నల్,Address signal
చిరునామా పరిమాణం,Address size
చిరునామా స్థలం,Address space
చిరునామా స్పేస్ ఐడెంటిఫైయర్,Address space identifier
చిరునామా స్టాప్,Address stop
చిరునామా ట్రేస్,Address trace
చిరునామా ట్రాక్,Address track
చిరునామా అనువాదం,Address translation
చిరునామా అనువాదకుడు,Address translator
జోడించు-ఉపశమనం సమయం,Add-subtract time
సమయాన్ని జోడించండి,Add time
ప్రక్కనే,Adjacency
ప్రక్కనే ఉన్న నిర్మాణం,Adjacency structure
ప్రక్కనే ఉన్న ఛానల్,Adjacent channel
ప్రక్కనే ఉన్న డొమైన్,Adjacent domain
ప్రక్కనే ఉన్న మాతృక,Adjacent matrix
ప్రక్కనే ఉన్న నోడ్,Adjacent node
ప్రక్కనే ఉన్న సబ్‌యారియా,Adjacent subarea
అడ్జాయింట్ (సిస్టమ్),Adjoint (system)
సర్దుబాటు,Adjust
సర్దుబాటు పరిధి,Adjustable extent
టెక్స్ట్ మోడ్‌ను సర్దుబాటు చేయండి,Adjust text mode
అడ్మినిస్ట్రేటివ్ డేటా ప్రాసెసింగ్,Administrative data processing
పరిపాలనా ఆపరేషన్,Administrative operation
అడ్మినిస్ట్రేటివ్ ఆపరేటర్,Administrative operator
అడ్మినిస్ట్రేటివ్ ఆపరేటర్ స్టేషన్,Administrative operator station
పరిపాలనా మద్దతు వ్యవస్థ,Administrative support system
అధునాతన కమ్యూనికేషన్ సేవ,Advanced communication service
అధునాతన సమాచార వ్యవస్థ,Advanced information system
అధునాతనమైన ఆప్టికల్ క్యారెక్టర్ రీడర్,Advanced optical character reader
