Marathi,Tamil
ऍसिडॉइड,அமிலத்தன்மை
एओलियन माती,அயோலியன் மண்
एकूण,மதிப்பீட்டு
एकत्रीकरण,திரட்டுதல்
कृषीशास्त्र,வேளாண்மை
कृषीशास्त्र,வேளாண்மை
A-क्षितिज,A- அடிவானம்
Ao-क्षितिज,Ao- அடிவானம்
Aoo-क्षितिज,Aoo- அடிவானம்
मातीची हवेची क्षमता,மண்ணின் காற்று திறன்
मातीतील हवेचे प्रमाण,மண்ணின் காற்றின் உள்ளடக்கம்
एअर पिकनोमीटर,காற்று பிக்னோமீட்டர்
ऍलिटिक माती,அல்லிடிக் மண்
गाळाची माती,வண்டல் மண்
अॅम्फोलायटॉइड,ஆம்போலிடாய்டு
आयन,அயன்
"स्पष्ट विशिष्ट गुरुत्व खंड वजन किंवा मोठ्या प्रमाणात विशिष्ट गुरुत्व,&quot;","வெளிப்படையான குறிப்பிட்ட ஈர்ப்பு அளவு எடை அல்லது மொத்த குறிப்பிட்ட ஈர்ப்பு,&quot;"
ऍरिस,அரிஸ்
Ashlar दंड दगडी बांधकाम,Ashlar நன்றாக கொத்து
Ashlar दगडी बांधकाम,ஆஷ்லர் கொத்து
अझोनल माती,அசோனல் மண்
मागचा अभिनेता,பின் நடிகர்
मागची कमान,பின் வளைவு
बॅक बँड,பின் இசைக்குழு
मागे ब्रश,பின் தூரிகை
परत तपासणी,மீண்டும் சரிபார்க்கவும்
मागे काउंटर,பின் கவுண்டர்
परत कटिंग,முதுகு வெட்டுதல்
बॅक ड्राफ्ट डँपर,பின் வரைவு damper
मागे निचरा,பின் வடிகால்
बॅक ड्रॉप,பின் துளி
परत भरा,பின் நிரப்பவும்
बॅक फिलेट,பின் ஃபில்லட்
बॅक फ्लॅप बिजागर,பின் மடல் கீல்
परत प्रवाह कनेक्शन,பின் ஓட்ட இணைப்பு
परत प्रवाह प्रतिबंधक,பின் ஓட்டம் தடுப்பான்
बॅक गेज,பின் அளவுகோல்
मागे गटार,பின்புற சாக்கடை
मागे चूल,பின் அடுப்பு
पाठीराखा,ஆதரவு
बॅकिंग बोर्ड,பேக்கிங் போர்டு
पाठीचा दाब,பின் அழுத்தம்
बॅक प्रोप,பின் முட்டு
मागची दृष्टी,பின் பார்வை
परत पाणी,பின் நீர்
गोंधळ,குழப்பம்
बॅगवर्क,பை வேலை
गिट्टी,பேலாஸ்ட்
बॉल क्ले,பந்து களிமண்
बॉल कोन क्लॅम्प,பந்து கூம்பு கவ்வி
काटेरी तार,முள்வேலி
बार कुत्रा,பார் நாய்
बार्ज बोर्ड,விசைப்படகு பலகை
बेरियम सल्फेट चाचणी,பேரியம் சல்பேட் சோதனை
बॅरेज,சரமாரி
बॅरेट,பாரெட்
पाया,அடித்தளம்
बेस एक्सचेंज,அடிப்படை பரிமாற்றம்
बेस लाइन,அடிப்படை வரி
तळघर,அடித்தளம்
तळघर भिंत,அடித்தள சுவர்
तळपट्टी,அடித்தட்டு
"बेस प्लेट, समायोज्य","அடிப்படை தட்டு, சரிசெய்யக்கூடியது"
बेस संपृक्तता,அடிப்படை செறிவு
बेसॉइड,பாசாய்டு
वटवाघूळ,வௌவால்
बाथ आणि WC,பாத் மற்றும் WC
पिठात पेग,இடி ஆப்பு
पिठात घाट,பேட்டர் பையர்
पिठात नियम,பேட்டர் விதி
बल्क (बाल्क),பால்க் (பால்க்)
खाडी,விரிகுடா
वाहक,தாங்குபவர்
सहन करण्याची क्षमता,தாங்கும் திறன்
पत्करणे ब्लॉकला,தாங்கும் பைல்
बेअरिंग स्ट्रॅटम,தாங்கி அடுக்கு
पलंग,படுக்கை
बेडिंग विमान,படுக்கை விமானம்
बेड संयुक्त,படுக்கை கூட்டு
बेड रॉक,படுக்கை பாறை
बेड रूम,படுக்கை அறை
मेण,தேன் மெழுகு
बेल बॉक्स,மணி பெட்டி
बेलिंग बादली,பெல்லிங் வாளி
बेलोफ्राम,பெல்லோஃப்ராம்
बेंच केलेला पाया,பெஞ்ச் அடித்தளம்
बेंचिंग,பெஞ்சிங்
बेंच मार्क,பெஞ்ச் மார்க்
लाभ खर्चाचे विश्लेषण,நன்மை செலவு பகுப்பாய்வு
बर्म,பெர்ம்
Bevelled बंद,வளைந்த மூடல்
"B-क्षितिज,&quot;B-","பி-ஹரைசன்,&quot;பி-"
बायट,பயாட்
बाईंडर,பைண்டர்
बंधनकारक साहित्य,பிணைப்பு பொருள்
बायोटचा सिद्धांत,பயோட்டின் கோட்பாடு
बिटुमेन,பிடுமின்
काळी कापूस माती,கருப்பு பருத்தி மண்
काळी पृथ्वी,கருப்பு பூமி
काळी हरळीची माती,கருப்பு தரை மண்
ब्लेड,கத்தி
ब्लास्ट फर्नेस स्लॅग सिमेंट,ஊது உலை கசடு சிமெண்ட்
ब्लॉक रचना,தடுப்பு அமைப்பு
बोगी प्रतिकार,போகி எதிர்ப்பு
बोग-लोह धातू,போக்-இரும்பு தாது
बाँड,பத்திரம்
बंधपत्रित सदस्य,பிணைக்கப்பட்ட உறுப்பினர்
बंध पोस्ट टेंशनिंग,பிணைக்கப்பட்ட பிந்தைய பதற்றம்
बोंड दगड,பத்திர கல்
बांधलेले पाणी,கட்டுப்பட்ட நீர்
पेटी गटर,பெட்டி சாக்கடை
ब्रेस,பிரேஸ்
वीट-ऑन-एज,விளிம்பில் செங்கல்
लगाम,கடிவாளம்
तेज,பிரகாசம்
तपकिरी माती,பழுப்பு மண்
इमारत,கட்டிடம்
इमारत सर्वेक्षक,கட்டிட சர்வேயர்
बफर,தாங்கல்
बफर वक्र,தாங்கல் வளைவு
बफरिंग,தாங்கல்
बफरिंग क्षमता,தாங்கல் திறன்
बंदर,பண்டர்
बट्रेस,பட்டர்ஸ்
सी-क्षितिज,சி-அடிவானம்
केबल,கேபிள்
केबल मोल्डिंग,கேபிள் மோல்டிங்
केबल टाकणे,கேபிளிங்
केबिन,அறை
केबिन हुक,கேபின் ஹூக்
कपाट,மந்திரி சபை
कॅबोल्ट सोडला,கபோல்ட் வெளியேறினார்
कॅफेटेरिया,சிற்றுண்டியகம்
पिंजरा,கூண்டு
पिंजरा बांधकाम,கூண்டு கட்டுமானம்
काईनचे सूत्र,கெய்னின் சூத்திரம்
कैसन,கெய்சன்
कॅसन रोग,கெய்சன் நோய்
Caisson पाया,கெய்சன் அடித்தளம்
Caisson ढीग,கெய்சன் குவியல்
चुनखडीची वीट,சுண்ணாம்பு செங்கல்
चुनखडीयुक्त चिकणमाती,சுண்ணாம்பு களிமண்
चुनखडीयुक्त कवच,சுண்ணாம்பு மேலோடு
कॅल्सिफिकेशन,கால்சிஃபிகேஷன்
कॅल्सीनेशन,கால்சினேஷன்
कॅल्सीन,கால்சின்
कॅल्साइट,கால்சைட்
कॅल्शियम-अल्युमिनेट सिमेंट,கால்சியம்-அலுமினேட் சிமெண்ட்
कॅल्शियम-सिलिकेट वीट,கால்சியம்-சிலிகேட் செங்கல்
कॅल्शियम-सिलिकेट हायड्रेट,கால்சியம்-சிலிகேட் ஹைட்ரேட்
कॅलिचे,கலிச்சே
कॅलिफोर्निया बेअरिंग रेशो,கலிபோர்னியா தாங்கி விகிதம்
कॅलिपर,காலிபர்
कॅलरीमीटर,கலோரிமீட்டர்
कांबर,கேம்பர்
कालवा,கால்வாய்
छत,விதானம்
कॅन्टिलिव्हर फूटिंग,கான்டிலீவர் அடிவாரம்
टोपी,தொப்பி
क्षमता,திறன்
एइल ट्रॅकची क्षमता,ஆயில் பாதையின் திறன்
कॅप केबल,தொப்பி கேபிள்
केशिका,கேபிலரிட்டி
केशिका ब्रेक,தந்துகி முறிவு
केशिका प्रवाह,தந்துகி ஓட்டம்
केशिका ओलावा किंवा केशिका पाणी,தந்துகி ஈரப்பதம் அல்லது தந்துகி நீர்
केशिका छिद्र जागा,தந்துகி துளை இடம்
केशिका सच्छिद्रता,கேபிலரி போரோசிட்டி
केशिका जागा,தந்துகி வெளி
वेग कॅप्चर करा,பிடிப்பு வேகம்
कार्बोनेशन,கார்பனேற்றம்
कार्बन ब्लॅक,கார்பன் கருப்பு
कास्टबल रेफ्रेक्ट्री,காஸ்ட்பிள் பயனற்ற
कास्ट-इन-प्लेस किंवा कास्ट-इन-सिटू,காஸ்ட்-இன்-பிளேஸ் அல்லது காஸ்ட்-இன்-சிட்டு
कास्ट-इन-प्लेस मेख,காஸ்ட்-இன்-பிளேஸ் பைல்
