Hindi,Tamil
आबेली समूह,அபேலி குழு
आबेली सामिसमूह,அபேலி குழு
भुज,கை
"निरपेक्ष, परम, अचर, परिशुद्‌ध","முழுமையான, முழுமையான, நிலையான, துல்லியமான"
निरपेक्ष अभिसरण,முழுமையான ஒருங்கிணைப்பு
निरपेक्ष त्रुटि,முழுமையான பிழை
परम उच्चिष्ठ,உச்ச உச்ச
परम निम्निष्ठ,முற்றிலும் குறைந்த
निरपेक्ष मान,துல்லியமான மதிப்பு
निरपेक्ष वेग,முழுமையான வேகம்
अमूर्त बीजगणित,சுருக்க இயற்கணிதம்
अमूर्त समूह सिद्‌धांत,சுருக்க குழு கோட்பாடு
त्वरण,முடுக்கம்
गुरुत्वीय त्वरण,ஈர்ப்பு முடுக்கம்
स्वीकार्य वरण-समुच्चय,ஏற்றுக்கொள்ளக்கூடிய தேர்வாளர்
स्वीकार्य गुणता स्तर,ஏற்றுக்கொள்ளக்கூடிய தர நிலை
स्वीकार्य परिसर,ஏற்றுக்கொள்ளக்கூடிய வளாகம்
मान्य विश्वसनीयता स्तर,சரியான நம்பகத்தன்மை நிலை
स्वीकरण-प्रतिचयन,ஏற்பு மாதிரி
संचित त्रुटि,திரட்டப்பட்ட பிழை
यथार्थता,துல்லியம்
लगा हुआ बल,பயன்படுத்தப்படும் சக்தி
" क्रिया , कर्म","செயல், செயல்"
क्रिया और प्रतिक्रिया,செயல் மற்றும் எதிர்வினை
बीमा विज्ञान,காப்பீட்டு அறிவியல்
न्यूनकोण त्रिभुज,கடுமையான முக்கோணம்
अचक्रीय,அசைக்ளிக்
"योग करना, जोड़ना",மொத்தத்தில்
योजक,சேர்ப்பான்
"योग, जोड़, संकलन (स.), योगात्मक (वि.)","தொகை, கூட்டல், கூட்டுத்தொகை (c.), கூட்டல் (v.)"
योग का सूत्र,யோகா சூத்திரம்
सम्मिश्र संख्याओं का योग,கலப்பு எண்களின் கூட்டுத்தொகை
फलनों का योग,செயல்பாடுகளின் கூட்டுத்தொகை
आव्यूहों का योग,மெட்ரிக்குகளின் கூட்டுத்தொகை
बहुपदों का योग,பல்லுறுப்புக்கோவைகளின் தொகை
प्रायिकताओं का योग,நிகழ்தகவுகளின் கூட்டுத்தொகை
सदिशों का योग,திசையன்களின் தொகை
"योग प्रमेय बेरीज सिद्‌धांत,","தொகை தேற்றம், பெர்ரி கோட்பாடு"
योज्य समूह,சேர்க்கை குழு
योज्य व्युत्क्रम,தலைகீழ் சேர்க்கை
"योज्यता, योगशीलता",சேர்க்கை
योज्यता,சேர்க்கை
आसन्नता आव्यूह,அருகாமை அணி
" संलग्न, निकटवर्ती , आसन्न","அருகாமை, அருகாமை, அருகாமை"
आसन्न कोण,அருகில் உள்ள கோணம்
आसन्न शीर्ष,அருகில் உள்ள உச்சி
सहबद्‌ध करना,தொடர்புபடுத்த
"संलग्न संलग्नीत,",இணைக்கப்பட்ட உறை
सहखंडज सारणिक,பொதுவான தீர்மானிப்பான்
संलग्न अवकल समीकरण,இணைக்கப்பட்ட வேறுபாடு சமன்பாடு
संलग्न समीकरण,இணைக்கப்பட்ட சமன்பாடு
सहखंडज आव्यूह,ஒரே மாதிரியான அணி
आव्यूह सहखंडज,அணி ஒருங்கிணைப்பு
सहखंडज आव्यूह,ஒரே மாதிரியான அணி
ग्राह्य निर्णय फलन,ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு
ग्राह्य परिकल्पना,ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்
वायुगतिक बल,காற்றியக்க விசை
वायु गतिकी,காற்றியக்கவியல்
सजातीय ज्यामिति,ஒரே மாதிரியான வடிவியல்
सजातीय प्रतिचित्रण,ஒரே மாதிரியான மேப்பிங்
सजातीय रूपांतरण,ஒரே மாதிரியான மாற்றம்
समुच्चयी चर,மொத்த மாறி
" बीजगणित, ऐलजेब्रा , बीजावली , बीजक्रिया","இயற்கணிதம், இயற்கணிதம், இயற்கணிதம், இயற்கணிதம்"
"बीजतः संवृत, बीजतः","விதை மூடிய, விதை"
बीजीय समीकरण,இயற்கணித சமன்பாடு
बीजीय व्यंजक,இயற்கணித வெளிப்பாடு
बीजीय समघात,இயற்கணித ஒருமைப்பாடு
बीजीय फलन,இயற்கணித செயல்பாடு
बीजीय ज्यामिति,இயற்கணித வடிவியல்
बीजीय बहुकता,இயற்கணித பன்மை
बीजीय निकाय,இயற்கணித அமைப்பு
सर्व-पूर्णांक समस्या,அனைத்து முழு எண் பிரச்சனை
"नियतन समस्या वाटपप्रश्न,",ஒதுக்கீட்டுச் சிக்கல் வாட் கேள்வி
अक्षरात्मक संकेत पद्‌धति,அகரவரிசைக் குறியீடு
अक्षरात्मक संप्रतीक,அகரவரிசை எழுத்து
एकांतर कोण,மாற்று கோணங்கள்
"एकांतर समघात प्रत्यावर्ती रूप,",மாற்று ஒரே மாதிரியான மாற்று வடிவம்
एकांतर समूह,மாற்று குழு
एकांतर आव्यूह,மாற்று அணி
एकांतर श्रेणी,மாற்று தொடர்
वैकल्पिक परिकल्पना,மாற்று கருதுகோள்
वैकल्पिक इष्टमत,மாற்று உகந்தது
वैकल्पिक परिणाम,மாற்று முடிவு
अनुरूप-अंकीय परिवर्तक,அனலாக்-இலக்க மாற்றி
"अनुरूप कम्प्यूटर,",அனலாக் கணினி
विश्लेषण,பகுப்பாய்வு
सहप्रसरण-विश्लेषण,இணைநிலை பகுப்பாய்வு
गणन-आंकड़ों का विश्लेषण,கணக்கெடுப்பு-தரவு பகுப்பாய்வு
प्रसरण-विश्लेषण,மாறுபாடு பகுப்பாய்வு
विश्लेषिक ज्यामिति,பகுப்பாய்வு வடிவியல்
विश्लेषिक फलन,பகுப்பாய்வு செயல்பாடு
कोण,கோணம்
स्पर्श-कोण,தொடுகோடு கோணம்
विक्षेप-कोण,விலகல் கோணம்
अवनमन-कोण,மனச்சோர்வு கோணம்
विचलन-कोण,விலகல் கோணம்
विवर्तन-कोण,விலகல் கோணம்
उन्नयन-कोण,உயர கோணம்
आपतन-कोण,நிகழ்வு கோணம்
प्रक्षेप-कोण,திட்ட கோணம்
परावर्तन-कोण,பிரதிபலிப்பு கோணம்
अपवर्तन-कोण,ஒளிவிலகல் கோணம்
घूर्णन-कोण,சுழற்சி கோணம்
पूर्ण परावर्तन-कोण,பிரதிபலிப்பு முழுமையான கோணம்
कोणीय त्वरण,கோண முடுக்கம்
कोणीय गति,கோண வேகம்
कोणीय चाल,கோண வேகம்
कोणीय वेग,கோண வேகம்
वलयिका,மோதிர விரல்
उत्तर,பதில்
प्रति-अवकलज,எதிர் வழித்தோன்றல்
प्रतिसममित फलन,ஐசோமெட்ரிக் செயல்பாடு
"आच्छाद्य , अनु प्रयोज्य, लागू","மறைக்கக்கூடிய, பொருந்தக்கூடிய, பொருந்தக்கூடிய"
"अनुप्रयोग उपयोजन,",விண்ணப்ப விண்ணப்பம்
अनुप्रयुक्त गतिशील प्रोग्रामन,பயன்பாட்டு டைனமிக் நிரலாக்கம்
अनुप्रयुक्त ज्यामिति,பயன்படுத்தப்படும் வடிவியல்
अनुप्रयुक्त गणित,பயன்பாட்டு கணிதம்
अनुप्रयुक्त सांख्यिकी,பயன்பாட்டு புள்ளிவிவரங்கள்
"सन्निकटतः, लगभग","தோராயமாக, தோராயமாக"
सन्निकटतः संतत फलन,தோராயமாக தொடர்ச்சியான செயல்பாடு
"स्थूल विधि, सन्निकट विधि","மேக்ரோ முறை, தோராய முறை"
सन्निकट हल,தோராயமான தீர்வு
सन्निकटन-समस्या,தோராயமான பிரச்சனை
सन्निकटन-गुणधर्म,தோராயமான சொத்து
अभिक्षमता-परीक्षावली,திறன் சோதனை
आरगाँ आरेख,ஆர்கான் வரைபடம்
स्वेच्छगहीतृ,தன்னார்வ
"स्वेच्छ, यादृच्छिक","சீரற்ற, சீரற்ற"
स्वेच्छ अचर,தன்னிச்சையான மாறிலி
स्वेच्छ अवयव,இலவச உறுப்பு
स्वेच्छ बिन्दु,தன்னிச்சையான புள்ளி
आर्किमीडी नियम,ஆர்க்கிமிடின் சட்டம்
आर्किमीडीज़ का नियम,ஆர்க்கிமிடிஸ் சட்டம்
"चाप-दैर्घ्य, चाप-लम्बाई","வில்-நீளம், வில்-நீளம்"
वत्तृ चाप,வட்ட வில்
प्रतिलोम ज्या बंटन,தலைகீழ் சைன் விநியோகம்
प्रतिलोम ज्या रूपांतरण,தலைகீழ் சைன் மாற்றம்
" क्षेत्र , क्षेत्रफल","பகுதி, பகுதி"
क्षेत्रीय विन्यास,பிராந்திய கட்டமைப்பு
सम्मिश्र संख्या का कोणांक,ஒரு கலப்பு எண்ணின் கோணம்
समांतर माध्य,எண்கணித சராசரி
अंकीय संक्रिया,டிஜிட்டல் செயல்பாடு
अंकीय एकक,டிஜிட்டல் அலகு
"विन्यास, व्यवस्था","கட்டமைப்பு, ஏற்பாடு"
"व्यूह , सरणी","வரிசை, வரிசை"
कृत्रिम उपग्रह,செயற்கை செயற்கைக்கோள்
कृत्रिम चर,செயற்கை மாறி
आरोहण करना,ஏறுவதற்கு
आरोही,ஏறுமுகம்
परिमाण का आरोही क्रम,அளவின் ஏறுவரிசை
आरोही श्रेणी,ஏறும் தரம்
कोडांतरक भाषा,அசெம்பிளர் மொழி
"नियतन समस्या नियतन प्रश्न,",ஒதுக்கீட்டுச் சிக்கல் ஒதுக்கீட்டுக் கேள்வி
साहचर्य नियम,துணை விதி
संकारकों का साहचर्य नियम,ஆபரேட்டர்களின் துணை விதி
साहचर्य-संक्रिया,துணை செயல்பாடு
सहचारिता,தோழமை
कल्पित माध्य,சராசரியாக கருதப்படுகிறது
कल्पित प्रायिकता बंटन,நிகழ்தகவு விநியோகம் என்று கருதப்படுகிறது
" कल्पना , गृहीत,","கற்பனை செய்து, ஒப்புக்கொண்ட"
ज्योतिष,ஜோதிடம்
"अंतरिक्षयानिक इंजीनियर अंतराळी अभियंता,",விண்வெளி பொறியாளர் விண்வெளி பொறியாளர்
खगोलज्ञ*,வானியலாளர்*
खगोलीय घड़ी,வானியல் கடிகாரம்
खगोलिकी,வானியல்
असममित वक्र,சமச்சீரற்ற வளைவு
असममिति,சமச்சீரற்ற தன்மை
अनंतस्पर्शी,அறிகுறியற்ற
उपगामी,மோசமாக்கும்
उपगामी दक्ष आकलक,முற்போக்கான மதிப்பீட்டாளர்
उपगामी अनभिनत आकलक,பிற்போக்கு சார்பு மதிப்பீட்டாளர்
उपगामी आचरण,பிற்போக்கு நடத்தை
उपगामी बंटन-फलन,தீவிர விநியோக செயல்பாடு
उपगामी प्रसार,மேல்நோக்கி பரவியது
वायु मंडलीय दाब,வளிமண்டல அழுத்தம்
"यदृच्छया,",தற்செயலாக
गुण*,சொத்து*
गुण-प्रतिचयन-क्रियाविधि,பண்பு-மாதிரி-பொறிமுறை
संवर्धित आव्यूह,ஆக்மென்ட் மேட்ரிக்ஸ்
स्वसहसंबंध गुणांक,தன்னியக்க தொடர்பு குணகம்
स्वसहसंबंध फलन,தன்னியக்க தொடர்பு செயல்பாடு
स्वसहप्रसरण,இணை மாறுபாடு
स्वचालित अभिकलित्र,தானியங்கி கணினி
स्वसमाश्रयण,தன்னியக்க பின்னடைவு
सहायक समीकरण,துணை சமன்பாடு
