Punjabi,Malayalam
ਅਬੇਲੀ ਸਮੂਹ,അബെലി ഗ്രൂപ്പ്
ਅਬੇਲੀ ਸਮੂਹ,അബെലി ഗ്രൂപ്പ്
ਹੱਥ,കൈ
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਸਥਿਰ, ਸਟੀਕ","കേവലം, കേവലം, സ്ഥിരം, കൃത്യമായ"
ਪੂਰਨ ਕਨਵਰਜੈਂਸ,കേവലമായ ഒത്തുചേരൽ
ਪੂਰਨ ਗਲਤੀ,സമ്പൂർണ്ണ പിശക്
ਪਰਮ ਸਰਵਉੱਚ,പരമോന്നത പരമോന്നത
ਸਭ ਤੋਂ ਘੱਟ,ഏറ്റവും താഴ്ന്നത്
ਸਹੀ ਮੁੱਲ,യഥാർത്ഥ മൂല്യം
ਪੂਰਨ ਗਤੀ,കേവല വേഗത
ਸਾਰ ਅਲਜਬਰਾ,അമൂർത്ത ബീജഗണിതം
ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ,അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം
ਪ੍ਰਵੇਗ,ത്വരണം
ਗਰੈਵੀਟੇਸ਼ਨਲ ਪ੍ਰਵੇਗ,ഗുരുത്വാകർഷണ ത്വരണം
ਸਵੀਕਾਰਯੋਗ ਚੋਣਕਾਰ,സ്വീകാര്യമായ സെലക്ടർ
ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ,സ്വീകാര്യമായ നിലവാരം
ਸਵੀਕਾਰਯੋਗ ਜਗ੍ਹਾ,സ്വീകാര്യമായ പരിസരം
ਵੈਧ ਭਰੋਸੇਯੋਗਤਾ ਪੱਧਰ,സാധുവായ വിശ്വാസ്യത നില
ਸਵੀਕ੍ਰਿਤੀ ਨਮੂਨਾ,സ്വീകാര്യത സാമ്പിൾ
ਸੰਚਿਤ ਗਲਤੀ,സഞ്ചിത പിശക്
ਸ਼ੁੱਧਤਾ,കൃത്യത
ਲਾਗੂ ਫੋਰਸ,പ്രയോഗിച്ച ബലം
"ਕਾਰਵਾਈ, ਕੰਮ","പ്രവൃത്തി, പ്രവൃത്തി"
ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ,പ്രവർത്തനവും പ്രതികരണവും
ਬੀਮਾ ਵਿਗਿਆਨ,ഇൻഷുറൻസ് ശാസ്ത്രം
ਤੀਬਰ ਤਿਕੋਣ,നിശിത ത്രികോണം
acyclic,അസൈക്ലിക്
ਸੰਪੇਕਸ਼ਤ,സംഗ്രഹിക്കാനായി
ਜੋੜਨ ਵਾਲਾ,ചേർക്കുന്നയാൾ
"ਜੋੜ, ਜੋੜ, ਜੋੜ (c.), ਜੋੜ (v.)","തുക, കൂട്ടിച്ചേർക്കൽ, സംഗ്രഹം (സി.), സങ്കലനം (വി.)"
ਯੋਗਾ ਦਾ ਫਾਰਮੂਲਾ,യോഗയുടെ ഫോർമുല
ਮਿਸ਼ਰਿਤ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ,സങ്കീർണ്ണ സംഖ്യകളുടെ ആകെത്തുക
ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ,പ്രവർത്തനങ്ങളുടെ ആകെത്തുക
ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ,മെട്രിക്സുകളുടെ ആകെത്തുക
