English,Hindi
abrasive sand,अपघर्षी बालू
abundance (ecol),बाहुल्य
acud fumarole,अम्ल वाष्पमुख
aerobic,वायुजीवी
aglet,एग्लेट
alluvial gold,जलोढ़ स्वर्ण
alluvial ore deposit,जलोढ़ अयस्क निक्षेप
alluvial tin,जलोढ़ टिन
aluminous cement,प्रत्यत्सर्जन सीमेन्ट
alundum,ऐलन्डम
amortization tonnage,प्रत्युत्सर्जन टनमान
angular vein,कोणीय शिरा
animikite,आनिमिकाइट
anthraciferous,ऐन्थ्रासाइटमय
anthracite,ऐन्थ्रासाइट
anthracite coal,ऐन्थ्रासाइट-कोयला
apomagmatic,अपमैग्मी
apomagmatic deposit,अपमैग्मी निक्षेप
areal prospecting,क्षेत्रीय पूर्वेक्षण
areal sampling,क्षेत्रीय प्रतिचयन
argentimetric process,रजतमापीय प्रक्रम
arseniferous,आर्सेनिकमय
arsenious,आर्सेनिकी
ascension,आरोहण
ascension theory,आरोहण-सिद्धांत
ash,"राख, भस्म"
ash-analysis,राख विश्लेषण
ash-breccia matrix,भस्म संकोणाश्म आघात्री
ash constituents,भस्म रचक
ash content,भस्म अंश
asphalt(asphaltum),ऐस्फाल्ट
asphalt base,ऐस्फाल्ट मूल
asphalt base crude oil,ऐस्फाल्ट मूल अपरिष्कृत तैल
asphalt base petroleum,"ऐस्फाल्टी पैट्रोलियम, ऐस्फाल्ट मूल पेट्रोलियम"
asphalt cement,ऐस्फाल्ट सीमेन्ट
asphalt converter,ऐस्फाल्ट परिवर्तक
asphaltic,ऐस्फाल्टीय
asphaltic oil,ऐस्फाल्टी तैल
asphaltic pyrobitumen,ऐस्फाल्टी पाइरोबिटुमेन
asphaltic sand,ऐस्फाल्टी बालू
asaphaltic sandstone,ऐस्फाल्टी बालुकाश्म
asphaltite,ऐस्फाल्टाइट
assay,आमापन
assay foot,आमापन-फुट
assay grade,आमापन-कोटि
assay inch,आमापन-इंच
assay limit,आमापन-सीमा
assay ton,आमापन-टन
assay value,आमापन-मूल्य
assortment,वर्गीकरण
assumed value,कल्पित मान
auriferous,स्वर्णमय
aurigerous,"स्वर्णमय, स्वर्णयुक्त"
autogenous vein,स्वजात शिरा
back of lode,लोड-पृष्ठ
ball ironstone,बॉल लोहाश्म
ballmine,बॉल लोहाश्म
ball vein,बॉल शिरा
banded,पट्टित
banded vein,पट्टित शिरा
bar,"स्तंभ, शलाका, सिल सिल्ली, दंड, छड़, पट्टी, रोधिका, भित्ति, बार, रेखा, रेखिका, परीक्षण रेखा, धार"
barren,अनुत्पादक
barren vein,अनयस्की शिरा
basal venation,आधारी शिराविन्यास
basen bullion,अपरिष्कृत बुलियन
baseness,"किट्टभता, मलिनता"
bass(=bast),बास
bastard coal,"घटिया कोयला, बैस्टर्ड कोयला"
bastard granite,बैस्टर्ड ग्रेनाइट
bastard quartz,बैस्टर्ड स्फटिक
bat,बैट
bath brick,बाथ इष्टिका
bath metal,बाथ धातु
battery ore,बैटरी अयस्क
beach deposits,पुलिन-निक्षेप
beach placer,पुलिन-प्लेसर
bean iron ore,बीन लोह अयस्क
bean ore,बीन अयस्क
bean -shot,बीन शॉट
beat,"लोडदृश्यांश, बीट"
bedded deposit,संस्तरित निक्षेप
bedded magnetite ore,संस्तरित मैग्नेटाइट अयस्क
bedded vein,संस्तरित शिरा
bedford limestone,बेडफोर्ड चूनाश्म
bed vein,संस्तर शिरा
beef,तंतु कैल्साइट
bell metal,"घंटा-कांस्य, घंटा-धातु"
bell mould,बेल मोल्ड
belt,"कटिबंध, मेखला, पट्टी, पट्टा"
bench placer,वेदिका प्लेसर
beneficiation,सज्जीकरण
benitotite,बेनीटॉटीइट
berlin blue,बर्लिन नील
berlinite,बर्लिनाइट
bessemer ore,बेसेमर अयस्क
bessemer process,बेसेमर-प्रक्रम
beta argentite,बीटा-आर्जेंटाइट
beta calaverite,बीटा-केलावेराइट
beta corundum,बीटा-कोरंडम
betterness (of gold),परिशुद्धता
bill,बिल
bimaceral,दविमैसेर
bismuth blende,बिस्मय ब्लेंड
bismuth glance,बिस्मथ ग्लांस
bismuthinite,बिस्मथिनाइट
bismuthite,बिस्मथाइट
bismuth ochre,बिस्मथ गैरिक
bismuth spar,बिस्मथ स्पार
