English,Hindi
Abaxial,अपाक्ष
Abiogenesis,अजीवात्जनन
Abiotic,"अजीवीय, अजैव"
Abscess,विद्रधि
Acervulus,एसरवलस
Acetics,ऐसीटिकजन
Acetification,ऐसीटीकरण
Acid curd,अम्लाक्त दही
Acid curding,दधि अम्लाक्तन
Acid dye,अम्ल रंजक
Acid fast,अम्लस्थायी
Abrasive cone,अपघर्षी शंकु
Acidiosis,अम्लक्तता
Acquired immunity,अर्जित प्रतिरक्षा
Acronematic flagella,"अग्रसूत्री कशाम, एक्रोनिमेटिक कशाभ"
Acropetal,अग्राभिसारी
Actinomycetes,ऐक्टिनोमाइसिटीज
Actinomycin D,एक्टिनोमाइसिन डी
Activated sludge process,सक्रियित आपंक प्रक्रम
Active immunity,सक्रिय प्रतिरक्षा
Active transport,सक्रिय गमन
Adaptation,अनुकूलन
Adaptive engzyme,"सहेतुक एन्जाइम, अनुकूली एंजाइम"
Adaxial,अभ्यक्ष
Adenine,एडेनीन
Adenosine,ऐडेनोसिन
Adenosine triphosphate,ऐडेनोसिन ट्राइफॉस्फेट
Adjuvant,ऐड्जुवैन्ट
Aerobic,वायुजीवी
Aerobic respiration,"वायुश्वसन, ऑक्सीश्वसन"
Aerosol,ऐरोसोल
Aflatoxin,"एफ्लाटॉक्सिन, एफलाविष"
Agar,ऐगार
Agent of inoculation,संरोपण का कारक
Agglutination,"समूहन, आश्लेषण"
Agglutinin,"एग्लुटिनिन, समूहनिन"
Aggressin,एग्रेसिन
AIDS (Acquired Immuno Deficiency Syndrome),एड्स (अर्जित प्रतिरक्षी-न्यूनता संलक्षण)
Akinete,निश्चेष्ट बीजाणु
Ale,यवसुरा
Algae,"शैवाल, काई"
Algal granule,शैवाल कणिक
Algicide,शैवालनाशी
Algin,एल्जिन
Alginate,ऐल्जिनेट
Algology,शैवाल विज्ञान
Alleles,"युग्म विकल्पी, विकल्पी"
Allergen,"प्रत्यूर्जक, एलर्जन"
Allergy,"प्रत्यूर्जता, एलर्जी"
Allografts,पररोपण
Allosteric control,एलोस्टेरिक नियंत्रण
Allosteric enzymes,एलोस्टेरिक एंजाइम
Allosteric site,एलोस्टेरिक स्थल
Alopecia,खल्वाटता
Alveolus,"कूपिका, ऐल्वियोलस"
Amber codon,"एम्बर कोडॉन, एम्बर प्रकूट"
Amber mutation,एम्बर उत्परिवर्तन
Aminoglycoside antibiotic,एमीनो ग्लाइकोसाइड प्रतिजैविक
Ammonification,अमोनीकरण
Amoeboid,अमीबाभ
Amphitrichous flagella,उभकशाभी
Amphitrichous flagellation,उभकशाभी कशाभीयन
Amplification,प्रवर्धन
Amylase,ऐमिलेस
Amylolytic,ऐमिल अपघटनीय
Anabolism,उपचय
Anaerobe,"अवायुजीव, अनॉक्सीजीव"
Anaerobic,"अवायु, अनॉक्सीय"
Anaerobic respiration,"अनॉक्सीय श्वसन, अवायु श्वसन"
Analogs,"तुल्यरूप, अनुरूप"
Anamnestic response,स्मृति अनुक्रिया
Anaphylatoxin,ऐनाफाइलेटॉक्सिन
Anaphylaxis,"तीव्रग्राहीता, ऐनाफाइलेक्सिस"
Anaplasia,एनाप्लेसिया
Anastomosis,शाखामिलन
Androsporangium,पुंबीजाणुधानी
Androspore,पुंबीजाणु
Anisogamy,"असमयुग्मन, असमयुग्मकता"
Angstrom (A),ऐंग्सट्रम (ए)
Angstrom unit (Aº),ऐंग्सट्रम मात्रक (Aº)
Annealing,"अनीलन, तापानुशीतन"
Antagonism,"विरोध, विरोधिता"
Antagonistic symbiosis,विरोधी सहजीविता
Antheridium,पुंधानी
Antherozoid,पुमणु
Anthramycin,एन्थ्रामाइसिन
Antibiosis,प्रतिजीविता
Antibiotic,प्रतिजैविक
Antibody,प्रतिरक्षी
Anticoding strand,प्रतिकोडॉन रज्जुक
Anticodon,प्रतिकोडॉंन
Antigen,प्रतिजन
Antigenic determinant,प्रतिजनीनिर्धारक
Antigenic drift,प्रतिजनी विचलन
Antigen shift,प्रतिजन उत्क्रमण
Antimicrobial agent,प्रतिसूक्ष्मजीवी कर्मक
Antiparallel (DNA Strand),प्रतिसमांतर (डी.एन.ए. रज्जुक)
Antiseptic,प्रतिरोधी
Antiserum,प्रतिसीरम
Antitermination protein,"एन्टीटर्मिनेशन प्रोटीन, समापनरोधी प्रोटीन"
Antitoxin,"प्रतिआविष, एन्टीटॉक्सिन"
AP endonuclease,ए. पी. एन्डोन्यूक्लिएज
Aperture,"द्वारक, छिद्र"
Apical growth,"अग्रवृद्धि, शीर्षवृद्धि"
Aplanogamete,अचल युग्मक
Aplanospore,अचल बीजाणु
Aplastic anemia,अविकासी अरक्तता
Apoenzyme,एपोएन्जाइम
Apoinducer,एपोइन्ड्यूसर
Apophysis,अधः स्फीतिका
Apothecium,एपोथीसियम
Arachnida,एरेक्निडा
Arbovirus,संवाविषाणु (आर्बोवाइरस)
Arbuscule (=arbuscle),"कूर्चक, अर्बस्कल"
Archaebacteria,"आद्य जीवाणु, आर्की बैक्टीरिया"
Arthropod,संधिपाद
Archegonium,स्त्रीधानी
Areola,गर्तिका
Arthrospore,संधि बीजाणु
Artificial active immunity,कृत्रिम सक्रिय प्रतिरक्षा
Artificial transformation,कृत्रिम रूपांतरण
Ascetic fluid,जलोदर तरल
Ascomycetes,ऐस्कोमाइसिटीज
Ascospore,ऐस्कस बीजाणु
Ascus,ऐस्कस
Asepsis,अपूति
Aseptic,अपूतित
Aseptic meningitis,अपूतित मस्तिष्कावरणशोध
Asexual,अलैंगिक
Asexual reproduction,अलैंगिक जनन
Assay,आमापन
Assimilation,स्वांगीकरण
Aster,तारक
Asthama,दमा
Asymptomatic,अलक्षणी
Atopy,ऐटोपी
Attenuated microbe,क्षीणीकृत सूक्ष्मजीव
Attenuation,"क्षीणन, क्षीणता"
Attenuator,क्षीणकारी
Autoclave,आटोक्लेव
Autogenous control,स्वगत नियंत्रण
Autogenous vaccine,स्वगत वैक्सीन
Autoimmune disease,स्वप्रतिरक्षी रोग
Autolysis,"आत्मलयन, स्वलयन"
Autoradiography,"स्वविकिरणी चित्रण, ऑटोरेडियोग्राफी"
Autospore,जनकाभ बीजाणु
Autotrophic,स्वपोषित
Autotrophy,स्वपोषण
Auxiliary cell,सहायक कोशिका
Auxotrophic mutant,वर्धपोषित उत्परिवर्ती
Axenic culture,असंदूषित संवर्ध
Axial fibril,अक्षीय तंतुक
Axoneme,अक्षसूत्र
Auxotrophs,असर्वसंश्लेषी
Azygospore,अयुग्माणु
Bacillus,"बैसिलस, दंडाणु"
Back mutation,प्रतीप उत्परिवर्तन
Bacterial filter,जीवाणु-निस्यंदक
Bactericidal,जीवाणुनाशी
Bacteriemia,जीवाणु रक्तता
Bacterin,बैक्टेरिन
Bacteriochlorophyll,जीवाणुपर्णहरित
Bacteriocin,बैक्टीरियोसिन
Bacteriocinogenic factor,बैक्टीरियोसाइनोजेनिक कारक
Bacteriolysin,"बैक्टीरियोलायसिन, जीवाणुलायी"
Bacteriolytic,जीवाणुलयनी
Bacteriophage,जीवाणुभोजी
Bacteriostasis,जीवाणु निरोध
Bacteriostatic,जीवाणुस्तम्भक
Bacterium,जीवाणु
Bacteriurea,जीवाणुमेह
Bacteroid,"जीवाणुसम, बैक्टीरासम"
Balanced growth,संतुलित वृद्धि
Barm,"किण्वावशेष, बार्म"
Barophil,दाबरागी
Base pair (bp),क्षारक युग्म (बीपी)
Basic dye,क्षारकीय रंजक
Basidiomycetes,बेसीडिओमाइसिटीज
Basidiospore,बेसिडियम-बीजाणु
Basidium,बेसीडियम
Basophils,"क्षारकरंजी, बेसोफिल"
Bayer s junction,बेअर संधि
BCG (bacillus of calmette & guerin),बीसीजी (बेसिलस ऑफ केलमेट और ग्वेरिन)
Benthos,नितलक
Bergey s mannual,बर्गी पुस्तिका
Beta heamolysis,बीटा रुधिरलयन
Bidirectional replication,द्विदिशी प्रतिकृति
Bilharzia,बिलहार्जिआ
Binary fission,द्वि-विभाजन
Binomial system of nomenclature,द्विपद-नामपद्धति
