English,Hindi
Ababdeh,अबैबडे (जनजाति)
Ababula,आबाबूला (नीग्रो जाति)
Abailabel observation,प्राप्य प्रेक्षण
Abandoned marginal gorge,परित्यक्त उपांत महाखड्ड
Abime,वित्तल
Ablation,"अपक्षरण, अपक्षरणावशेष*"
Ablation moraine,अपक्षरण हिमोढ़
Ablation season,अपक्षरण-ऋतु
Abney Hand level,ऐबनी-हैन्ड लेवेल
Abney mounting,ऐबनी आरोपण
Abnormal density,अप्रसामान्य घनत्व
Abo,आबो
Aboriginal,आदिवासी; आदिम
Aboriginal Andamanese,आदि अण्डमानवासी
Aboriginal inhabitant,आदि निवासी
Aboriginal life,आदिवासी जीवन
Aboriginal population,आदिवासी जनसंख्या
Aboriginal tribe,आदिम जनजाति
Aborigince,आदिवासी
Abrade,अपगर्षण*
Abrasion low level,निम्नतल अपघर्षण*
Abrasion platform,अपगर्षण वेदी*
Abrasion streak and scratch,अपगर्षण रैखा और खरोंच
Abrasion tableland,अपघर्षण पठार
Abri,ऐब्री
Abrogation,निराकरण
Abrupt face,"खड़ा फलक, खड़ा पार्श्व"
Absolute density,निरपेक्ष घनत्व*
Absolute drought,निरपेक्ष सूखा
Absolute extreme,निरपेक्ष पराकाष्ठा
Absolute instability,निरपेक्ष अस्थायित्व
Absolute isohypse,निरपेक्ष समोच्चता दाब रेखा
Absolute length,निरपेक्ष लंबाई
Absolute orientation,निरपेक्ष दिग्विन्यास
Absolute permeability,निरपेक्ष पारगम्यता
Absolute stability,निरपेक्ष स्थायित्व
Absolute vorticity,निरपेक्ष भ्रमिलता
Absondaring,एबेसन्डैरन (संधि)
Absorbed clay,अवशेषित मृत्तिका*
Absorbed water,अवशोषित जल
Absorption of moisture,नमी-अवशोषण
Absorptive force-field,अवशोषी बल-क्षेत्र
Absorptive surface,अवशोषी पृष्ठ
Abstract of horizontal angle,क्षैतिज कोण सारांश
Abstracted map,संक्षिप्त मानचित्र
Abysm,नितल
Abysmal basin,नितलीय बेसिन
Abyss,"वितल, अतल*"
Abyssal deeps,वितलीय दह
Abyssal deposit,वितलीय निक्षेप
Abyssal plain,"वितलीय मैदान, वितल मैदान"
Abyssal slope,वितलीय ढाल
Abyssinian (Ethiopian),ऐबिसिनी (इथियोपी)
Abyssobenthic,"ऐबिसोबेंथिक, विनितलस्थ"
Acacia,ऐकेशिया
Acanoeing,डोंगी चालन
Acanthephyra,ऐकैन्थेफ़िरा
Acattred group,प्रकीर्ण वर्ग
