English,Hindi
Absolute flat land map,पूर्ण सपाटभूमि मानचित्र
Abstracted map,संक्षिप्त सारांशित मानचित्र
Accent,उच्चारण चिन्ह
Accessibility map,अभिगम्यता मानचित्र
Accessories,उपांग
Achromatic,अरंजित
Adjacent angel,असन्न कोण
Adjacent area inset,आसन्न उपमानचित्र
Adjacent centre,आसन्न केंद्र
Adjacent sheet,आसन्न पत्रक
Adjacent station,"समोपस्व चांदा, समीपस्थ अवस्थान"
Adjustable cross staff,"समायोज्य समकोण दंड, समायोज्य क्रॉसस्टाफ"
Adjustable flexible curve,समायोज्य लचीला वक्र
Adjustable magnifier,समायोज्य आवर्धक
Adjustment,समायोजन
Adjustment of edge,कोर समायोजन
Adjustment of error,त्रुटि समायोजन
Administrative index,प्रशासनिक सूचक
Aerial photograph (=air photo),वायु फोटोग्राफ (=वायु फोटो)
Aerial photography (=air photography),वायु फोटोचित्रण वायुमानचित्रण
Aerial photo survey (=air photosurvey),वायु फोटो सर्वेक्षण
Aerial survey (air survey),वायु सर्वेक्षण
Aerocartograph,एयरोकार्टोग्राफ/ वायुमानचित्र यंत्र
Aerocartographer,एयरोकार्टोग्राफर/ वातमानचित्रकार
Aerodrome survey,हवाई अड्डा सर्वेक्षण
Aeronautical,वैमानिक
Aeronautical beacon,वैमानिक बीकन / संकेत स्तंभ
Aeornautical chart,वैमानिक चार्ट
Age - pyramid (age sex pyramid),आयु पिरैमिड - (आयु सैक्स पिरैमिड)
Aggregate line - graph,समुच्चय रेखा ग्राफ
Agonic line,शून्य दिक्पाती रेखा
Agricultural map,कृषि मानचित्र
Air base,वायु आधार
Air - bourne survey,विमानवाहित सर्वेक्षण / वायुवाहित सर्वेक्ष
Air current map,वायुधारमानचित्र
Air mapping,वायु मानचित्रण
Air - navigation chart,वायु नौसंचालन संचित्र
Airphoto analysis,वायु फोटो विश्लेषण
Air - photo camera,वायु फोटो कैमरा
Air-photo map,वायु - फोटो मानचित्र
Air - photo reading,वायु - फोटो पठन
Air photo traingulation,वायु - फोटो त्रिभुजन
Air plane photograph,वायुयान मानचित्र
Air plane photography,वायुयान फोटोचित्रण
Air station,वायु अवस्थान / वायु स्टेशन
Air survery section,वायु सर्वेक्षण खंड
Air travel map,विमान यात्रा मानचित्र
Airway map,वायुमार्ग मानचित्र
Aitoff's equal area projection,ऐटाँफ समक्षेत्र प्रक्षेप
Aitoff's projection,ऐटॉफ प्रक्षेप
