English,Hindi
Abdomen,उदर
Abdominal,उदरीय
Abdominal breathing,उदरीय श्‍वसन
Abdominal cavity,उदरगुहा
Abdominal wall,उदरभित्ति
Abdominal wall tumour abducells,उदरभित्ति अर्बुद
Aberrant,विपथी
Aberration,विपथन
Aberration,"विपथी, विपथनशील"
Ability,"सामर्थ्य, क्षमता"
Abiotic origin,अजीवी उत्पत्ति
Ablation,अंशोच्छेदन
Abnormal,अपसामान्य
Abnormal cell,अपसामान्य कोशिका
Abnormality,अपसामान्यता
Abo blood group system,ABO रक्‍त वर्ग प्रणाली
Abolish,नष्‍ट करना
Abort,वृद्‍धिरोध
Abort,गर्भपात
Abortifacient,गर्भस्रावक
Abortifacient,गर्भपाती
Abortion,गर्भपात
Abortion,वृद्‍धिरोध
Abortive,गर्भपाती
Abortive,वृद्‍धिरोधी
Abortive,रुद्‍धवृद्‍धि
Abortus fever (brucella fever),बूसेला ज्वर
Abrase,"अपघर्षण करना, घर्षण करना"
Abrasion,अपघर्षण
Abrasive,अपघर्षी
Abrasive powder,अपघर्षी चूर्ण
Abruptio placentae,अपरा- पृथक् भवन
Abscess,विद्रधि
Abscess formation,विद्रधि उद्‍भव
Abscissa,भुज
Absolute,परम
Absolute,पूर्ण
Absolute,परिशुद्‍ध
Absolute alcohol,परिशुद्‍ध एल्कोहॉल
Absolute count,परिशुद्‍ध गणना
Absolute lympho cytosis,परम लसकोशिका बहुलता
Absolute neutrophil count,परम उदासीन रागी गणन
Absolute value,"परिशुद्‍ध मान,परममूल्य"
Absorb,अवशोषण करना
Absorbability,अवशोषणीयता
Absorbable,अवशोषीय
Absorbance,अवशोषणांक
Absorbed,अवशोषित
Absorbed fluorescent treponemal antibody test (FTA-ABS test),अवशोषित प्रतिदीप्‍त कुंतलाणु प्रतिपिंड परीक्षण (एफटीए - एबीएस टेस्ट)
Absorbency (absorbance),"अवशोषकता, अवशोषणांक"
Absorbent,अवशोषक
Absorptiometry,अवशोषामिति
Absorption,अवशोषण
Absorption band,अवशोषण पट्‍टी
Absorption spectrum,अवशोषण स्पेक्ट्रम
Absorptive,अवशोषी
Abstinence,"संयम, परहेज"
Acantho,एकेन्थो
Acanthocephala,"एकेन्थोसिफेला, कंटकपालवर्ग"
Acanthocheilonema perstans,एकेन्थोकीलोनीमा पर्सटेन्स
Acanthocheilonema streptocerum,एकेन्थोकीलोनीमा स्ट्रेप्टोसीरम
Acanthocyte,शूललोहित कोशिका
Acanthoma,"एकेन्थोमा, कणिकर्बुर्द"
Acanthosis,"एकेन्थोसिस, शूल कोशिका वृद्‍धि"
Acanthosis nigricans,एकेन्थोसिस नाइग्रिकेन्स
Acardia,"अहृदयता, हृदयहीनता"
Acardiac,"अहृदय, हृदयहीन"
Acardius amorphus,अहृदगर्भ अनाकार
Acarus scabiei,"ऐकेरस स्केबियाइ, पामा जीवाणु"
Accelerate,त्वरण करना
Accelerated,त्वरणित
Acceleration,त्वरण
Accelerative,त्वरणकारी
Accelerator globulin (ac globulin),त्वरक आवर्तुली
Accentuate,"तीव्रकरण, प्रबलन"
Accentuated,"तीव्रीकृत, प्रबलित"
Accentuation,"तीव्रीकरण, प्रबलन"
Accept,"स्वीकार करना, ग्रहण करना"
Acceptance,स्वीकृति
Acceptor,ग्राही
Access,प्रवेश
Accessibilty,प्रवेश्यता
Accessory,"सहायक, अपर, अतिरिक्‍त"
Accessory body,सहायक पिंड
Accessory cell (subsidiary cell),सहायक कोशिका
Accessory character,"सहायक लक्षण, सहायक वैशिष्‍ट्‍य"
Accessory chromosome (chromosome) sex,अतिरिक्‍त गुणसूत्र
Accessory factor,अतिरिक्‍त कारक
Accident,अपघात
Accident,दुर्घटना
Accidental,आकस्मिक
Accidental haemorrhage,आकस्मिक रक्‍तस्राव
Accidental host,"अनियोजित परपोषी, आकस्मिक पोषद"
Accidental parasite,अनियोजित परजीवी
Acclimate,"दशानुकूलन, पर्यानुकूलन"
Acclimatization,"परिस्थिति अनुकूलन,पर्यानुकूलन,दशानुकूलन"
Acclimatize,"पर्यानुकूलन, दशानुकूलन"
Acclimatized,"पर्यानुकूलित, दशानुकूलित"
Accommodate,"समंजन करना, समायोजन करना"
Accommodating,समंजन शील
Accommodation,समंजन
Accommodative,"समायोजक, समंजनकर्ता"
Accompany,"सहगमन, सहवर्ती"
Accumulate,संचय करना
Accumulated,संचित
Accumulation,"संचय, संचयन"
Accumulative,"संचयक, संचयी"
Accumulator,संचायक
Accuracy,"यथार्थता, अचूकता"
Acellular,अकोशीय
Acentric,अकेंद्री
Acetabulum,"उलूखल, ऐसिटेबुलम"
Acetic anhydride,ऐसेटिक ऐनहाइड्राइड
Aceto-acetic,ऐसिटो - ऐसेटिक
Aceto-acetic acid,ऐसिटो - ऐसेटिक अम्ल
Acetobacter,ऐसिटोबैक्टर
Acetone,ऐसिटोन
Acetonemia (acetonaemia),ऐसिटोनरक्‍तता
Acetonemic,ऐसिटोनरक्‍तिक
Acetonglycosuria,ऐसिटोनग्‍लुकोजमूत्रता
Acetonuria,ऐसिटोन मूत्रता
Acetylation,ऐसिटिलीकरण
Acetylcholine,ऐसिटिलकोलीन
Acetylcholine esterase,ऐसिटिलकोलीन एस्टरेज
Acetyl conzyme A,ऐसिटिल सहएंजाइम A
Acetylphenyl hydrazine,ऐसिटिलफेनिल हायड्राजीन
AC globulin,"एसी आवर्तुली, त्वरक आवर्तुली"
Achalasia,"ऐकेलेसिया, अशिथिलता"
Achalasia of esophagus (achalasia of the cardia),अधिजठर शिथिलन - अक्षमता
Ache,वेदना
Achlorhydria,जठर अनम्लता
Acholia,अपित्तता
Acholic,अपित्त
Acholuria,अपित्त मूत्रता
Acholuric,अपित्त मूत्रित
Acholuric jaundice,अपिमूत्त मूत्रित कामला
Achondroplasia (chondrodysplasia),उपास्थि अविकसन
Achondroplastic,उपास्थि अविकसन
Achondroplasty,उपास्थि अविकसन
Achrestic,उपयोजन अक्षम
Achrestic anaemia,उपयोजन अक्षमता पांडुरोग
Achroma,अवर्णता
Achromasia,"अत्वग्वर्णता, अरंजकता, त्वचा - अवर्णता"
Achromate,"वर्णांध, वर्णान्ध"
Achromatic,अवर्णी
Achromatic lens,अवर्णी लेन्स
Achromatism,अवर्णता
Achromatiophil,अवर्णरागी
Achromatophilia,अवर्णरागिता
Achromatosis,वर्णन्यूनता
Achromia,अवर्णता
Achromic,"अवर्णिक, अवर्णी"
Achromobacter,"एक्रोमोबेक्टर, अवर्णीशाकाणु"
Achromobacteriaceal,"एक्रोमोबेक्टरकुल, अवर्णीशाकाणुकुल"
Achromycin,ऐक्रोमाइसीन
Achylanemia,जठरस्रवणहीन रक्‍तता
Achylia (achylosis),"वसालसीकाहीनता, स्रवणहीनता"
Achylia gastria,जठररसहीनता
Acid,"अम्ल, एसिड"
Acidaemia,अम्लरक्‍तता
Acid-base balance,अम्लक्षार संतुलन
Acid dye,अम्लरंजक
Acidemia (acidaemia),अम्लरक्‍तता
Acid excertion test,अम्ल उत्सर्जन परीक्षण
Acid-fast,अम्लस्थायी
Acid fast bacilli,अम्लस्थायी दंडाणु
Acid fermentation,अम्ल किण्वन
Acid forming,अम्लकारी
Acid haematin,अम्ल हेमेटिन
Acidic,अम्लीय
Acidification,"अम्लीकरण, अम्लीभवन, अम्लन"
Acidified,"अम्लित, अम्लयुक्‍त"
Acidify,अम्लन
Acidity,अम्लता
Acidmucin,अम्लश्‍लेष्मा
Acidophil (acidophile),अम्लरागी
Acidophil cell,अम्लरागी कोशिका
Acidophilic (acidophilous),अम्लरागी
Acidois (acidaemia),अम्लरक्‍तता
Acidotic,अम्लरक्‍तक
Acidotic breathing,अम्लरक्‍तक श्‍वसन
Acidphosphatase,ऐसिडफॉस्फेटेज
Acid serum test (ham test),अम्ल सीरम परीक्षण (हैमटेस्ट)
Acinar,"कोष्‍ठक, कोष्‍ठकी"
Acinar cell,कोष्‍ठक कोशिका
Acinetobacter (actinobacillus),एसिनेटोबेक्टर
Acinetobacter anitras,ऐसिनेटोबेक्टर ऐनिट्रस
Acinetobacter lingiersi,"ऐसिनेटोबेक्टर लिंगीरसी, किरण दंडाणु लिंगीरसी"
Acinetobacter lwoffi,ऐसिनटोबेक्टर लोफी
Acinetobacter mallei (actinobacillus mallei),एसिनेटोबेक्टर मेली (ऐक्टिनोबेसिलस मेली)
Acinetobacter parapertussis,एसिनेटोबेक्टर पेरापरटुसीस
Acinese (acinons),कोष्‍ठकीय
Acinous (acinose),कोष्‍ठकीय
Acinus,कोष्‍ठक
Acene,एक्‍नी
Acoustic (auditory),"श्रवण, श्राव्य, ध्वनिक"
Acoustic area (acoustic center),श्रवण केंद्र
Acoustic centre (acoustic area),श्रवण केंद्र
Acoustic nerve tumour (acoustic neurinoma),श्रवणतंत्रिका अर्बुद
Acquire,उपार्जन
Acquired,उपार्जित
Acquired character,"अर्जित लक्षण, उपार्जित लक्षण, उपार्जित वैशिष्‍ट्‍य"
Acquired immunity,उपार्जित प्रतिक्षमता
Acquired leucoderma (vitiligo),उपार्जित श्‍वित्र
