English,Hindi
Aberration,विपथन
Abience,"अपसरण, पराड़मुखता"
Ability,"योग्यता, सामर्थ्‍य"
Ability test,योग्‍यता परीक्षण
Ability traits,योग्यता विशेषक गुण
Abiotrophy,जीव-अपोषण
Abjection,उत्साहहीनता
Abklingen,"संवेदन-क्षयण, स्वर-क्षयण"
Ablation experiments,अंशोच्छेदन प्रयोग
Ablutomania,प्रक्षालनोन्माद
Abmodality,अपप्रकारिता
Abnormal behaviour,असामान्य व्यवहार
Abnormality,असामान्यता
Abnormal psychology,असामान्य मनोविज्ञान
Abortive jump,परिहारी प्लुति
Abreaction,भावविरेचन
Abrosia,निराहारता
Abscissa,भुज
Absentmindedness,अन्यमनस्कता
Absolute refractory period,निरपेक्ष अननुक्रिया अवधि
Absolute threshold,निरपेक्ष सीमा
Abstinence,"उपरति, वर्जन"
Abstract word,अमूर्त शब्द
Abstraction,"सारग्रहण, पृथक्‍करण"
Absurdities test,विसंगति परीक्षण
Abulia,संकल्प असामर्थ्‍य
Abuse,दुरुपयोग
Abuse syndrome,दुरूपयोग संलक्षण
Acalculia,गणना-असामर्थ्‍य
Acatamathesia,"दु:परिसंवेदिता, अर्थग्रहण-असामर्थ्‍य"
Acataphasia,वाक्यरचना असामर्थ्‍य
Acathexis,रागाभाव; भावाभिनिवेशहीनता
Acathisia,अनिषदता
Accentuation effect,आधातन प्रभाव
Accentuation principle,आधातन सिद्धांत
Accessibility,अभिगम्‍यता
Accessory sense,सहायक संवेदनांग
Accidental error,आकस्‍मिक त्रुटि
Acclimation (acclimatization),पर्यनुकूलन
Accommodation,समंजन
Accomplishment quotient,निष्पत्‍ति-लब्धि
Accretionary growth,अभिवर्धी वृद्धि
Acculturation,परसंस्कृतिग्रहण
Acedia,एसीडिया
Achievement age,उपलब्धि-आयु
Achievement motivation,उपलब्धि-अभिप्रेरणा
Achievement test,उपलब्धि परीक्षण
Achloropsia,हरितांधता
Achromatism,"अवर्णकता, वर्णांधता"
Acmesthesia,तीक्ष्णरस्‍पर्श संवेदिता
Acoasm,ध्वनिभ्रम
Acolasia,अतिस्वानुरक्‍ति
Acoria,भस्मक
Acoumeter,श्रव्यतामापी
Acousmatamnesia,ध्वनिस्मृतिलोप
Acoustic reflex,"ध्‍वनि प्रतिवर्त, श्रवण प्रतिवर्त"
Acquiescent response set,अनुकूल अनुक्रिया विन्यास
Acquisition curve,संप्राप्‍ति वक्र
Acro agnosis(ia),गतिबोध अक्षमता
Acroanesthesia,प्रांतांग-असंवेदिता
Acromial reflex,अंसकूट प्रतिवर्त
Acromicria,प्रांतांगह्रस्‍वता
Acroparesthesia,प्रांतांग अपसंवेदिता
Acrophobia,उत्तुंगता-भीति
Act psychology,क्रियापरक मनोविज्ञान
Acting out,बहिर्गत अभिनय
Action current,क्रिया धारा
Action potential,क्रियाविभव
Action research,क्रियानिष्‍ठ अनुसंधान
Action specific energy,क्रिया विशिष्‍ट ऊर्जा
Activational role of sex harmones,सेक्स हारमोन की सक्रिय कारक भूमिका
Activationist hypothesis,सक्रियणवादी प्राक्कल्पना
Activity cage,क्रियामापी पिंजरा
Activity cycles,क्रियाकलाप चक्र
Activity drive,क्रियाकलाप अंतर्नोद
Activity group therapy,क्रियाकलाप समूह चिकित्सा
Actone,"अभ्यनुकूलित क्रिया, प्रतिवर्तसम अनुक्रिया"
Actor-observer effect,कर्ता-प्रेक्षक प्रभाव
Actual neurosis,कायिक तंत्रिकाताप
Acuesthesia,तीक्ष्णता-संवेदिता
Acuity,तीक्ष्णता
Acuity grating,भेदप्रत्यक्षण सीमारेखांकन
Acupuncture anesthesia,सूचीवेध असंवेदिता
Acute,"तीव्र, प्राय:उग्र"
Acute stress disorder,तीव्र दबाव विकार
Acyanopsia,नीलांधता
Adaptability,"अनुकूलनशीलता, अनुकूलनक्षमता"
Adaptation,अनुकूलन
Adaptometer,अनुकूलनमापी
Addictive behaviour,व्यसनी व्यवहार
Addicts anonymous,व्यसनी अनामिक
Addison’s disease,एडिसन-रोग
Adequate stimulus,पर्याप्त उद्दीपन
Adhesion principle,आसंजन-सिद्धांत
Adience,अभिसरण
Adiposis dolorosa,स्थूलकायिक ह्रास
Adjustment,समायोजन
Adjustment disorder,समायोजन विकार
Adolescence,किशोरावस्था
Adrenal cortex,अधिवृक्क वल्कुट
Adrenal gland,अधिवृक्क ग्रंथि
Aesthesiometer,स्पर्शसंवेदनमापी
Aesthesiometry,स्पर्शसंवेदनमिति
Affect,भाव
Affect equivalent,भाव तुल्यक
Affect-infusion model,भाव संलयन प्रतिरूप
Affection,अनुराग
Affective arousal theory,भाव-प्रोद्दीपन सिद्धांत
Affective association,भाव-साहचर्य
Affective disorder,भाव-विकार
Affectivity,भावात्मकता
Afference,अभिवाह
Afferent,अभिवाही
Afferent code,अभिवाही कूट
Affiliative behaviour,संबंधक व्यवहार
Affiliative need,संबंधक आवश्यकता
Affirming the antecedent,पूर्ववृत्‍त-पुष्‍टि
Affirming the consequent,अनुवृत्‍त-पुष्‍टि
Affordance,शक्यता
