English,Hindi
Abdomen,उदर
Abdominal leg,उदर-पाद
Abiogenesis,अजीवात्जनन
Abiotic,"जीवेतर, अजैव"
Abnormality,अपसामान्यता
Abrasion resistance,अपघर्षण प्रतिरोध
Abscess,"फोड़ा, विद्रधि"
Abscission,विलगन
Absciss layer,विलग-परत
Absorb,"अवशोषण करना, अवचूषण करना"
Acaricide,"एकेरसनाशी, बरूथीनाशी"
Accessory gland,सहायक ग्रंथि
Accumulation,"संचयन, जमाव"
Acid,"अम्ल, स्थायी जीवाणु"
Acid fast bacteria,अम्लकारी स्थायी जीवाणु
Acid forming bacteria,अम्लकारी जीवाणु
Acidic,"अम्लीय, तेजाबी, ऐसिडी"
Acidimetry,अम्लमिति
Acidity,अम्लता
Acid proof,"अम्लसह, ऐसिड प्रूफ"
Acid resistant,अम्ल प्रतिरोधी
Acid rinse,"अम्ल प्रक्षालन, तेजीबी धुलाई"
Acid salt,अम्लीय लवण
Acid soil,"मल-मृदा, अम्लीय मिट्टी"
Acid treated,अम्ल-उपचारित
Acid treatment,"अम्ल-उपचार, अम्लोपचार"
Acid treatment bath,"अम्लोपचार पात्र, अम्ल-उपचार पात्र"
Acquired character,अपार्जित लक्षण
Acre,एकड़
Acreage,क्षेत्रफल (एकड़ में)
Activator,"सक्रियकारक, सक्रियक"
Active ingedient,सक्रिय संघटक
Activity,सक्रियता
Acute,"तीव्र, निशिताग्"
Acute exposure,अति प्रभावन
Adaptability,अनुकूलनशीलता
Adaptation,अनुकूलन
Additive gene,"योज्य जीन, जुड़नेवाला जीन"
Adhesive substance,"आसंजक, आसंजी पदार्थ, चिपकनेवाला पदार्थ"
Adipose tissue,वसामय ऊतक
Administration,"प्रयोग, खिलाना, देना, लगाना"
Adopt,"अधिग्रहण करना, ग्रहण करना"
Adopted,"अधिगृहीत, ग्रहण किया हुआ"
Adoption,अधिग्रहण
adras,अदरास (आधा रेशमी आधा सूती वस्त्र)
aeciospore,"ईशियमी बीजाणु, ईशियोस्पोर"
aecium,ईशियम
aedeagus,"लिंगाग्रिका,ईडिएगस"
aeration,"वायुमिश्रण ,वातन"
aerobic,वायुजीवी
aerobic bacteria,वायुजीवी जीवाणु
Aerolium,ईशियम
Aeropile,वायुरंध्र
Aerosol,"वायु-विलय, वायु घोल, एरोसोल"
Aestivation,ग्रीष्म निष्क्रियता
Aestivation,2. पुष्पदल विन्यास
Afforestation,वनरोपण
Afforestation activity,वनरोपण कार्यकलाप
Agar,एगार
Age,"आयु, वयस, उम्र"
Agglutination,"समूहन, आश्लेषण"
Agricultural science,कषि विज्ञान
Agricultural Scientist,कृषि वैज्ञानिक
Agriculture,"कृषि, खेती"
Agriculturist,"कृषक, किसान, कृषिविज्ञानी"
Agro-based,कृषि-आधारित
Agroclimatic,कृषि जलवायु-संबंधी
Agroclimatic zone,कृषि जलवायु-क्षेत्र
Agro industrial economy,कृषि-औद्योगिक अर्थव्यवस्था
Agro industry,कृषि उदायोग
Agronomic soil science,सस्य-मृदा विज्ञान
Agronomy,सस्यविज्ञान
Agropedology,कृषि-मृदा विज्ञान
Aherua,अहरूआ
Aided grainage,सहायता-प्राप्त बीजागार
Air conditioned,वातानुकूलित
Airconditioner,"वातानुकूलित्र, एयर कंडीशनर"
Aircooler,"वायुशीतित्र, एयर कूलर"
Air layering,"गूंटी बांधना, एयर लेयरिंग"
Alary muscle,पक्षाकार पेशी
Albinism,रंजकहीनता
Albumen,"श्वेतक, ऐल्बुमेन"
Albumin,ऐल्बुमिन
Alicyclic,ऐलिसाइक्लिक
Alimentary canal,आहार नाल
Alimentation,भरण-पोषण
Aliphatic,ऐलिफैटिक
Alkali,"क्षार, एल्कली"
Alkalimetry,क्षारमिति
Alkaline,क्षारीय
Alkaline soil,क्षारीय मृदा
Alkalinity,क्षारीयता
Allatectovary,अंडाशय अच्छेदन
Allele,"युग्मविकल्पी, विकल्पी"
Allergy,एलर्जी
Allitic soil,एलाइटिक मृदा
Allogamy,पर निषेचन
Allotropy,अपररूपता
Alloy,मिश्रातु
All silk,विशुद्ध रेशम
Alluvial soil,जलोढ मृदा
Alternation,एकान्तरण
Altitude,"ऊँचाई, तुंगता"
Alum,फिटकरी
Amalgam,"पारद-मिश्रण, अमलगम, पारा-मिश्रण"
Amalgam,2. सम्मिश्र
Amelioration,सुधार
Amendment element,सुधारक तत्व
Ametabolion,अकायान्तरण
Ametabolous,अकायान्तरणी
Amino acid,"एमिनो अम्ल, एमिनो ऐसिड"
Ampatia,अम्पतिया (तसर कोसा की दूसरी फसल)
Amphidiploid,उभयद्विगुणित
Amphoteric,उभयधर्मी
Amputation,"अंगोच्छेदन, अंग काटना"
Amylase,एमिलेस
Anabolism,"चय, उपचय"
Anaerobic,अवायुजीवी
Anal lip,गुद कपाट
Analogue,"अनुरूप, तुल्यरूप"
Analysis,विश्लेषण
Anamorphism,प्रकायांतरण
Anamorphosis,अधिकायांतरण
Anaphe silk,"आनाफे सिल्क, अनोफे रेशम, (अफ्रीका में जंगली रेशमकीटों से उत्पादित रेशम)"
Anatomy,"शारीर रचना विज्ञान, शारीर"
Anchor,"लंगर, स्थिरक"
Androgen,"एंड्रोजन, पुंजन"
Androgenesis,पुंजनन
Androgenous,पुंजनक
Androsphore,पुमंगधर
Androspore,पुंबीजाणु
Anemometer,"पवनवेगमापी, एनीमोमीटर"
Aneuploid,असुगुणित
Anhydrous,निर्जल
Anion,ऋणायन
Antagonism,विरोध
Antechamber,उपकक्ष
Antemeridian,पूर्वाहन
Antenna,"श्रृंगिका, ऐटेना"
Anterior silk gland,अग्र रेशम ग्रंथि
Anther,परागकोश
Antheridiophore,पुंधानीधर
Antheridium,पुंधानी
Antibacterial,प्रतिजीवाणुक
Antibiotic,प्रतिजैविक
Antibiotic drug,प्रतिजैविक औषधि
Antibiotics,प्रतिजैविकीः प्रतिजैविक औषधि
Antibody,प्रतिरक्षी
Anticrease,"शिकनरोधी, वलनरोधी"
Antigen,प्रतीजन
Antihaemorrhagic factor,रक्तस्रावरोधी कारक
Anti-protozoan drug,प्रोटोजोआरोधी औषधि
Antiseptic,"पूतिरोधी, ऐन्टीसेप्टिक"
Antiserum,प्रतिसीरम
Antistatic,प्रतिस्थैतिक
Antisterility,प्रतिवंध्यता
Antithesis,प्रतिपक्ष
Antithesis,2. प्रतिस्थापना
Antitranspirant,प्रतिवाष्प-उत्सर्जक
Antivital,प्रतिविषाणुक
Ant-well,चींटीरोधक जलपात्र
Anus,गुदा
Aorta,महाधमनी
Apetalous,दलहीन
Aphid,"लाही, माहू, चेंपा, ऐफिड"
Aphis,एफिस
Aphyllous,अपर्णी
Apiculture,"मधुमक्खी पालन, मौन पालन"
Apolysis,प्रमोचन
Apparatus,अधः स्फीतिका
Appendage,उपकरण
Appetite,उपांग
Appetizer,"क्षुधा, भूख"
Appliance,"क्षुधावर्धक, भूख बढ़ाने वाला"
Application,साधन-सामग्रीः साधित्र
Aqueous,"अनुप्रयोग, इस्तेमाल, उपयोग"
Arid,जलीय
Arboriculture,वृक्ष-संबर्धन
Aird,शुष्क
Aird soil,शुष्क मृदा
Aird zone,शुष्क क्षेत्र
Aromatic,"ऐरोमैटिक, सुरभित"
Aromatic compound,"ऐरोमैटिक यौगिक, सुरभि-यौगिक"
Arthropoda,"आर्थ्रोपोडा, संधिपाद (संघ)"
Articulated leg,संधित पाद
Artificial coupling,कृत्रिम युग्मन
Artificial diet,कृत्रिम आहार
Artificial hatching,कृत्रिम (अंडा) स्फुटन
Artificial pollination,कृत्रिम परागण
Art silk,कृत्रिम रेशम
Ascocarp,ऐस्कोकार्प
