English,Hindi
A.c (alternating current) coupling,ए.सी. (प्रत्यावर्ती धारा) युग्मन
Aberration,"विपथन, अपेरण"
Ablation,"अपक्षरण, अपक्षरित"
Ablation rocket,अपक्षरण रॉकेट
Abnormal ionospheric layer,अपसामान्य आयनमंडली परत
Abort,विफलन
Absent subscriber service,अनुपस्थित उपभोक्ता सेवा
Absolute acoustic pressure level,पूर्ण ध्वानिक दाबस्तर
Absolute field stength,निरपेक्ष क्षेत्र तीव्रता
Absolute instruction,निरपेक्ष अनुदेश
Absolute magnitude,निरपेक्ष परिमाण
Absolute power level,निरपेक्ष शक्तिस्तर
Absolute temperature,परम ताप
Absolute voltage level,निरपेक्ष वोल्टता स्तर
Absorbing layer,अवशोषी परत
Absorptance,अवशोषणांश
Absorption,अवशोषण
Absorption band,अवशोषण बैंड
Absorption limiting frequency,अवशोषण सीमांत आवृत्ति
Absorptivity,अवशोषकता
Acceleration sensor,त्वरण संवेदक
Accelerometer,त्वरणमापी
Acceptable distortion,स्वीकार्य विरूपण
Acceptable interference,स्वीकार्य व्यतिकरण
Acceptable signal-interference ratio,स्वीकार्य संकेत व्यतिकरण अनुपात
Acceptance,स्वीकरण
Acceptance angle,स्वीकरण कोण
Acceptance test,स्वीकरण परीक्षण
Acceptance test sequence,स्वीकरण परीक्षण अनुक्रम
Accepted interference,स्वीकृत व्यतिकरण
Accepted spurious frequency deviation,स्वीकृत भ्रामक आवृत्ति विचलन
Access channel,अभिगम चैनल
Access code,अभिगम कोड
Access information channel,अभिगम सूचना चैनल
Access point,अभिगम बिंदु
Access time,अभिगम काल
Access to recorded information,अभिलिखित सूचना तक पहुंच
Accessibility,अभिगम्यता
Accomodation coefficient,समंजन गुणांक
Accompanying sound,सह ध्वनि
Accumulator,संचायक
Accuracy,परिशुद्धता
Acknowedgment bit,अभिस्वीकृति बिट
Acoustic wave,ध्वनि तरंग
Acousto-optical system,ध्वनि प्रकाश तंत्र
Acquisition,"अर्जन, उपार्जन"
Acquisition,2. अधिग्रहण
Acquisition of signal,संकेतार्जन
Acquisition station,अर्जन केंद्र
Acquisition time,अर्जन काल
Across track,पारपथ
Activation,सक्रियण
Active channel,सक्रिय चैनल
Active control,सक्रिय नियंत्रण
Active control loop,सक्रिय नियंत्रण पाश
Active echo ranging system,सक्रिय प्रतिध्वनि परासन तंत्र
Active life time (of satellite),सक्रिय आयु (उपग्रह की)
Active maintenance time,सक्रिय अनुरक्षण काल
Active microwave sensor,सक्रिय सूक्ष्मतरंग संवेदक
Active satellite,सक्रिय उपग्रह
Active sensor,सक्रिय संवेदक
Active surface,सक्रिय पृष्ठ
Active telephone channel,सक्रिय टेलीफोन चैनल
Activity factor,सक्रियता गुणक
Actuate,"चालू करना, प्रवृत्त करना"
Actuation time,प्रवर्तन काल
Actuator,प्रवर्तक
Adapter,"अनुकूलक, एडैप्टर"
Adaptive array,अनुकूली सरणी
Adaptive coding,अनुकूली कोडन
Adaptive control electronics,अनुकूली नियंत्रण इलैक्ट्रोंनिकी
Adaptive message-loading technique,अनुकूली संदेश भारण तकनीक
Adaptive transmission,अनुकूली संचरण
Adder,योजक
Additive & multiplicative interference,योज्य तथा गुणनात्मक व्यतिकरण
Additive radio noise,योज्य रेडियो रव
Address,पता
Address & command words,पता और समादेश शब्द
Address instruction,पता अनुदेश
Adhesive tape,"आसंजक फीता, चस्पी फीता"
Adjacent channel interference,सलंग्न चैनल व्यतिकरण
Adjacent channel isolation,संलग्न चैनल विलगन
Adjacent channel radio-frequency protection ratio,संलगन चैनल रेडियो आवृत्तिरक्षण अनुपात
Adjacent channel signal,संलग्न चैनल संकेत
Adjacent frequencies,सलंग्न आवृत्ति
Adjacent frequency channel,सलंग्न आवृत्ति चैनल
Adjacent signal selectivity,संलग्न संकेत वरणात्मकता
Advance mobile phone service (amps),उन्नत चलफोन सेवा (ए.एम.पी.एस)
Adverse propagation condition,प्रतिकूल संचरण दशा
Aero space medicine,वातांतरिक्ष औषधि
Aerobalistics,वायु प्राक्षोपिकी
Aerocall system,हवाईकॉल तंत्र
Aerodynamic brake,वायुगतिक ब्रेक
Aerodynamic coefficient,वायुगतिक गुणांक
Aerodynamic comfogiratopm,वायुगतिक विन्यास
Aerodynamic drag,वायुगतिक कर्षण
Aerodynamic force,वायुगतिक बल
Aerodynamic pressure,वायुगतिक दाब
Aerodynamic vehicle,वायुगतिक वाहन
Aeroelasticity,वायुप्रत्यास्थता
Aeronautical earth station,वैमानिक भू-केंद्र
Aeronautical emergency frequency,वैमानिक आपातकालीन आवृत्ति
Aeronautical fixed service,वैमानिक नियत सेवा
Aeronautical fixed station,वैमानिक नियत केंद्र
Aeronautical mobile service,वैमानिक चल सेवा
Aeronautical mobile system,वैमानिक चल तंत्र
Aeronautical radar beacon (arb),वैमानिक रेडार बीकन (एआरबी)
Aeronautical radiobeacon station,वैमानिक रेडियोबीकन केंद्र
Aeronautical radionavigation service,वैमानिक रेडियो संचालन सेवा
Aeronautical radionavigation satellite service,वैमानिक रेडियो संचालन उपग्रह सेवा
Aeronautical station,वैमानिक केंद्र
Aeronomy satellite,वायुनिकी उपग्रह
Aeropause,वायु सीमांत
Aerosphere,वातमंडल
Aeropulse,वायु स्पंद
Aerosol,ऐरोसॉल
Aerospace electromagnetic survey,वातांतरिक्ष वैद्युत चुंबकीय सर्वेक्षण
Aerothermochemistry,वायूष्मा रसायन
Aerothermodynamics,वायूष्मागतिकी
Aerozone,वायुक्षेत्र
Af protection ratio,ए एक (श्रव्य-आवृत्ति) रक्षण अनुपात
Af tone,ए एक (श्रव्य-आवृत्ति) टोन
Aging failure,कालप्रभावन विफलता
Air lock,वायुपाश
Air pollutant,वायु प्रदूषक
Air thermostatic control,वायु ऊष्मास्थैतिक नियंत्रण
Air to air communication system,वायु से वायु संचार तंत्र
Air to ground,वायु से भूमि
Air to ground transmission,वायु-भूसंचरण
Air transportable earth station,वायुपरिवहनीय भू-केंद्र
Air-ground communication,वायू-भू संचार
Air-ground path,वायु-भूपथ
