English,Hindi
A. wave,A तरंग
A.P view (anterior-posterior view),A.P. दृश्य (अग्र-पश्च दृश्य)
"a'potu mania (=pathological intoxication, delirium tremens)",एल्कोहॉली उन्माद
abacterial,अजीवाणुज
abacterial cystitis,अजीवाणुज मूत्राशय शोथ
abactio,गर्भशातन
abactio mentis,मानसिक विपथन
abasia,चलन-अक्षमता
abasia atactica,गतिविभ्रमी चलन-अक्षमता
abatement,उपशमन
abatement notice,उपशमन सूचना
abattoir (=slaughter house),"वधशाला, कसाईखाना"
abaxial surface,अपाक्ष पृष्ठ
Abbe refractometer,ऐबे अपवर्तनांकमापी
Abbot-Raunson tube,एबॉट-रॉसन नलिका
abbreviation,संक्षेप
abdomen,उदर
abdominal,उदरीय
abdominal angina,उदरीय ऐन्जाइना
abdominal aorta,उदर महाधमनी
abdominal apoplexy,उदरीय रक्ताघात
abdominal auscultation,उदरीय परिश्रवण
abdominal binder,उदरीय बंधक
abdominal cervicopexy,उदरीय गर्भाशयग्रीवास्थिरीकरण
abdominal compression,उदरीय संपीडन
abdominal cramp,"उदरीय उद्वेष्ट, उदरोद्वेष्ट"
abdominal epilepsy,उदरीय अपस्मार
abdominal examination,उदर परीक्षा
abdominal exercise,उदर व्यायाम
abdominal external ring,बाह्य उदरीय वलय
abdominal field block,उदरक्षेत्र (संवेदना) रोध
abdominal gestation,उदरीय सगर्भता
abdominal girth,उदर परिधि
abdominal hysterectomy,उदरमार्गी गर्भाशयोच्छेदन
abdominal hysterotomy,उदरीय गर्भाशयच्छेदन
abdominal incision,उदरीय भेदन
abdominal internal ring,आभ्यंतर उदरीय वलय
abdominal migraine,उदरीय माइग्रेन
abdominal myomectomy,उदरमार्गी पेशीइर्बुदोच्छेदन
abdominal nephrotomy,उदरीय वृक्कछेदन
abdominal neurosis,उदर विक्षिप्ति
abdominal pad,उदर पैड
abdominal reflex,उदरीय प्रतिवर्त
abdominal respiration,उदरीय श्वसन
abdominal respirator,उदर श्वसित्र
abdominal retractor,उदरीय आकुंचक
abdominal surgery,"उदरीय शस्त्रकर्म, उदरीय शस्त्रविज्ञान"
abdominal tap,उदरीय वेध
abdominal tonsil,उदर तुंडिकेरी
abdominal transhiatol vagotomy,उदरीय पारछिद्र वेगसछेदन
abdomino anterior,अग्रोदरी
abdomino-posterior,पश्चोदरी
abdominocentesis,उदरवेधन
abdominothoracic,उदरवक्ष
abdonmial ostium,(डिंबवाहिनी) उदरमुख
abdpminoscopy,उदरांतर्दर्शन
abducent,अपवर्तनी
abducent nerve,अपवर्तनी तंत्रिका
abduct,अपावर्तन
abduction,अपावर्तन
abduction fracture (femoral neck),अभीवर्ती अस्थिभंग (ऊर्वस्थि ग्रीवा)
abduction osteotomy,अपवर्तनी अस्थिविच्छेदन
abductor,अपावर्तक
abductor brevis,लघु अभिवर्तनी
abductor digiti minimi,कनिष्ठपवर्तनी
abductor hallucis,पादांगुष्ठापवर्तनी
abductor hallucis,पादांगुष्ठाभिवर्तनी
abductor longus,दीर्घाभिवर्तनी
abductor magnus,बृहत् अभिवर्तनी
abductor pollicis brevis,लघु अंगुष्ठापवर्तनी
abductor pollieis,अंगुष्ठाभिवर्तनी
abembryonic,अपभ्रूण
aberrant,विपथी
aberrant artery,विपथी धमनी
aberrant conduction,विपथ चालन
aberrant goitre,विपथी गलगंड
aberrant pneumonia,विपथी न्युमोनिया
aberrant pyramidal fibre,विपथी पिरामिडी तंतु
aberrant vesicle,विपथ पुटिका
aberration,विपथन
aberrometer,विपथनमापी
abetment of suicide,आत्महत्या का दुष्प्रेरण
abietic acid,एबिएटिक अम्ल
abigne erythema,"अबिग्नी त्वग्रक्तिमा, तापज त्वग्रक्तिमा"
accelerating ability,त्वरण सामर्थ्य
abiogenesis,अजीवात् जनन
abiosis,अजीवता
abiotic,अजीवी
abiotrophy,अजीवपोषण
Abkhasian people,अबखासी जन
Abkhsian people,अबखासी जन
ablactation,अपस्तन्यन
ablatic,वियोजन
ablatic placentae,(कालपूर्व) अपरावियोजन
ablatic retinae,दृष्टिपटल वियोजन
ablation,अंशोच्छेदन
ablation study,अंशोच्छेदन अध्ययन
ablepheron (=ablepharia),अवर्त्मता
ablolute amenorrhoea,पूर्ण अनार्तव
ablution,धावन
ablution water,"प्रक्षालित जल, धौत जल"
abnormal,अपसामान्य
abnormal development,अपसामान्य मानव परिवर्धन
abnormal gradient,अपसामान्य प्रवणता
abnormal haemoglobin,अपसामान्य हीमोग्लोबिन
abnormal precordial pulsation,अपसामान्य पुरोहृद् स्पंदन
abnormal pregnancy,अपसामान्य सगर्भता
