English,Hindi
Abnormal,अपसामान्य
Abort,विफलन
Abrasion," अपघर्षण , घिसाई"
Abrupt," असंलग्न , अचानक, सहसा   , विच्छिन्न"
Absolute field strength,निरपेक्ष क्षेत्र सामर्थ्य
Absolute temperature,परम ताप
Absolute value,निरपेक्ष मान
Absorb,"अवशोषित करना, अवशोषण करना"
Absorption co-efficient,अवशोषण गुणांक
Absorption loss,अवशोषण हानि
Abstract," अमूर्त , सारांश, सार, संक्षेप"
Accelerometer,त्वरणमापी
Acceptance test,स्वीकृति परीक्षण
Access,अभिगम
Access control,अभिगम नियंत्रण
Access point,अभिगम बिंदु
Access time,अभिगम काल
Accessibility,अभिगम्यता
Accumulator cell,संचायक सेल
Accuracy,यथार्थता
Accurate,यथार्थ
Achromatic lens,अवर्णक लेन्स
Acid,"अम्ल, ऐसिड"
Acid proof,अम्लसह
Acidity,अम्लता
Acknowledgement bit,"पावती द्वयंक, पावती बिट"
Acoustic,ध्वानिक
Acoustic communication,ध्वानिक संचार
Acoustic diffusion,ध्वानिक विसरण
Acoustic equalizer,ध्वानिक समकारी
Acoustic feedback,"ध्वानिक पुनर्भरण, ध्वानिक पुनर्निवेश"
Acoustic filter,"ध्वानिक फिल्टर, ध्वानिक निस्यंदक"
Acoustic impedance,ध्वानिक प्रतिबाधा
Acoustic masking,"ध्वानिक आवरण, ध्वानिक प्रच्छादन"
Acoustic power,ध्वानिक षक्ति
Acoustic property,ध्वानिक गुणधर्म
Acoustic reactance,ध्वानिक प्रतिघात
Acoustic reflex,ध्वानिक प्रतिवर्त
Acoustic tile,ध्वानिक टाइल
Acoustic wave,ध्वानिक तरंग
Acoustical absorption,ध्वानिक अवशोषण गुणांक
Acoustical attenuation constant,ध्वानिक                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            क्षीणनांक
Acoustical damping,ध्वानिक अवमंदन
Acoustical delay line,ध्वानिक विलंब लाइन
Acoustical distortion,ध्वानिक विरूपण
Acoustical duct,ध्वनि-वाहिनी
Acoustical energy,ध्वानिक ऊर्जा
Acoustical feedback,ध्वानिक पुनर्निवेश
Acoustical filter,"ध्वानिक फिल्टर, ध्वानिक  निस्यंदक"
Acoustical impedance,ध्वानिक प्रतिबाधा
Acoustical propagation constant,ध्वानिक संचरण नियतांक
Acoustical resistance,ध्वानिक प्रतिरोध
Acoustically insulated,ध्वानिकतः रुद्ध
Acoustics,"ध्वानिकी, ध्वनि विज्ञान"
Acquisition,"अधिग्रहण, अर्जन, उपार्जन"
Acronym,संक्षिप्त रूप
Action area,कार्य क्षेत्र
Activated filament,"सक्रियकृत तंतु, सक्रियित तंतु"
