English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
Abatement,कमी,"બંધ પડવું તે, રદ્દ કરવું તે, સમાપ્તિ, ઘટાડો","कमी करणे, मंदी","ਉਪਸ਼ਮਨ, ਘਾਟ",অবসান,"उणें/कमी जावप/करप,उणावप","ತಗ್ಗಿಸುವುದು, ಕಡಿಮೆಯಾಗುವುದು, ಅಂತ್ಯಗೊಳಿಸುವುದು, ವಿನಾಯಿತಿ","പരിത്യജനം, ഉപേക്ഷിക്കൽ, കയ്യൊഴിയൽ","1. குறைப்பு, தணித்தல் 2. கழிவு 3. தள்ளுபடி செய்தல்","తొలగింపు, ముగింపు, తగ్గింపు",تخفیف، کمی,"পৰিত্যাগকৰ,পৰিহাৰকৰ, এৰ ৰ","ହ୍ରାସ, ଉପଶମନ","1. उपशमन, निग्रह2. कमी"
Above par,अधिमूल्य पर,અધિમૂલ્ય પર,अधिमूल्य पर,ਵੱਧ ਮੁੱਲ ਉੱਤੇ,অধিমূল্য পর,अधिमूल्य पर,ಅಧಿಮೂಲ್ಯ ಪರ,അധിമൂല്യ പര,அதிமூல்ய பர,అధిమూల్య పర,ادھمولیہ پر,অধিমূল্য পর,ଅଧିମୂଲ୍ୟ,अधिमूल्य पर
Absolute acceptance,"निरपेक्ष सकार, निरपेक्ष स्वीकृति","નિરપેક્ષ સકાર, નિરપેક્ષ સ્વીકૃતિ","निरपेक्ष सकार, निरपेक्ष स्वीकृति","ਨਿਰਪੇਕ੍਷ ਸਕਾਰ, ਨਿਰਪੇਕ੍਷ ਸ੍ਵੀਕ੃ਤਿ","নিরপেক্ষ সকার, নিরপেক্ষ স্বীকৃতি","निरपेक्ष सकार, निरपेक्ष स्वीकृति","ನಿರಪೇಕ್ಷ ಸಕಾರ, ನಿರಪೇಕ್ಷ ಸ್ವೀಕೃತಿ","നിരപേക്ഷ സകാര, നിരപേക്ഷ സ്വീകൃതി","நிரபேக்ஷ ஸகார, நிரபேக்ஷ ஸ்வீக்ருதி","నిరపేక్ష సకార, నిరపేక్ష స్వీకృతి",نرپیکش سکار، نرپیکش سویکرتی,"নিরপক্ষ সকার, নিরপক্ষ স্ীকৃতি",ନିରଙ୍କୁଶ ସ୍ୱୀକୃତି,"निरपेक्ष सकार, निरपेक्ष स्वीकृति"
Absolute ownership,पूर्ण स्वामित्व,"અઘાટ માલિકી, પૂર્ણ માલિકી, સંપૂર્ણ સ્વામીત્વ","पूर्ण स्वामित्व, संपूर्ण अधिकार",ਪੂਰਨ ਮਾਲਿਕੀ,পূর্ণমালিকানা,"पुराय मालकीहक्क,पुराय धनीपण","ಸಂಪೂರ್ಣ ಸ್ವಾಮ್ಯ, ಸಂಪೂರ್ಣ ಒಡೆತನ",പൂര്‍ണ്ണമായ ഉടമസ്ഥാവകാശം,"முழு உடைமை, முழு உரிமை",పూర్తి యాజమాన్యం,مکمل مالکانہ حق,পূর্ণমালিকীস্বত্ব,ନିରଙ୍କୁଶ ମାଲିକାନା,पूर्ण स्वामित्व
Absorption,अवशोषण,"સમાવેશ, સમાસ","शोषण, समावेशन","ਲੀਣ ਹੋਣਾ, ਵਿੱਚੇ ਸਮਾ ਜਾਣਾ, ਸਮੋ-ਲੈਣਾ",অন্তর্ভূক্তিকরণ,"1. च्यूसप,शोशून घेवप,2. अवशोषण","ಹೀರಿಕೆ, ರಕ್ತಗತ, ಅವಶೋಷಣೆ",ലയനം,"1. ஏற்றுக்கொள்ளல் 2. உறிஞ்சல், உட்கொள்ளல்,","లోపలికి గ్రహించుట,పీల్చుట",جاذبیت,"বিশোষণ, শোষণ, অৱশোষণ",ଅବଶୋଷଣ,"1. समावेश 2. सोसन, पाचन"
Acceptance,"सकार, स्वीकृति","સ્વીકાર, સ્વીકૃતિ","स्वीकृति, स्वीकार","ਮੰਜੂਰੀ, ਗਰਹਿਣ ਕਰਨਾ(ਕਨੂੰਨ) ਸਵੀਕਾਰਨ, ਪ੍ਰਵਾਗੀਤ","স্বীকার(-পত্র),গ্রহণ,স্বীকৃতি,প্রাপ্তিস্বীকার","स्विकार,हयकार/मान्यताय","ಸ್ವೀಕಾರ, ಅಂಗೀಕಾರ, ಒಪ್ಪಿಗೆ","സ്വീകരിക്കൽ, പ്രതിഗ്രഹണം","ஏற்றுக்கொள்ளுதல், ஒப்புக்கொள்ளுதல்","స్వీకృతి,అంగీకారం,స్వీకారం",منظوری,"গ্রহণ, স্বীকৃতি",ସ୍ୱୀକୃତି,"मञ्जूरी, मान्यता, स्वीकृति"
Acceptance supra protest,"नकारोत्तर सकार, नकारोत्तर स्वीकृत","નકારોત્તર સકાર, નકારોત્તર સ્વીકૃત","नकारोत्तर सकार, नकारोत्तर स्वीकृत","ਨਕਾਰੋਤ੍ਤਰ ਸਕਾਰ, ਨਕਾਰੋਤ੍ਤਰ ਸ੍ਵੀਕ੃ਤ","নকারোত্তর সকার, নকারোত্তর স্বীকৃত","नकारोत्तर सकार, नकारोत्तर स्वीकृत","ನಕಾರೋತ್ತರ ಸಕಾರ, ನಕಾರೋತ್ತರ ಸ್ವೀಕೃತ","നകാരോത്തര സകാര, നകാരോത്തര സ്വീകൃത","நகாரோத்தர ஸகார, நகாரோத்தர ஸ்வீக்ருத","నకారోత్తర సకార, నకారోత్తర స్వీకృత",نکاروتر سکار، نکاروتر سویکرت,"নকারত্তর সকার, নকারত্তর স্ীকৃত",ପ୍ରତିବାଦୋତ୍ତର ସ୍ୱୀକୃତି,"नकारोत्तर सकार, नकारोत्तर स्वीकृत"
Accidental means,दुर्घटना निमित्त,દુર્ઘટના નિમિત્ત,दुर्घटना निमित्त,ਦੁਰ੍ਘਟਨਾ ਨਿਮਿਤ੍ਤ,দুর্ঘটনা নিমিত্ত,दुर्घटना निमित्त,ದುರ್ಘಟನಾ ನಿಮಿತ್ತ,ദുര്ഘടനാ നിമിത്ത,துர்கடநா நிமித்த,దుర్ఘటనా నిమిత్త,درگھٹنا نمت,দুর্ঘটনা নিমিত্ত,ଦୁର୍ଘଟନା ନିମିତ୍ତ,दुर्घटना निमित्त
Accommodation,वित्त-निभाव,"નિવાસન, આવાસ, સ્થાન, સગવડ, અનુકૂલન, સમાયોજન","स्थान, जागा, निवास","ਰਿਹਾਇਸ, ਗੁਜਾਰਾ","বাসস্থান,স্থান-সংস্থান",राबित्याची तजवीज,"ವಸತಿ, ಸ್ಥಳಾವಕಾಶ","വാസം, സ്ഥലസൌകര്യം, താമസസൌകര്യം","1. இடவசதி, குடியிருப்பு 2. ஒத்துப்போதல்","అనుకూలం,వసతి,సర్దుబాటు",توفیق,"ব্যৱস্থাপন,সংস্থাপন,স্থান,থকাঠাই",ବ୍ୟବସ୍ଥାପନା,"1. आवास, डेरा 2. मिलाउनु, राख्नु"
Accord and satisfaction,एवज़ी राजीनामा,એવજ઼ી રાજીનામા,एवज़ी राजीनामा,ਏਵਜ਼ੀ ਰਾਜੀਨਾਮਾ,এবজ়ী রাজীনামা,एवज़ी राजीनामा,ಏವಜ಼ೀ ರಾಜೀನಾಮಾ,ഏവജീ രാജീനാമാ,ஏவஜீ ராஜீநாமா,ఏవజీ రాజీనామా,ایوزی راجینامہ,জ়ী রাজীনামা,ଏବଜ଼ୀ ରାଜୀନାମା,एवज़ी राजीनामा
Account,"लेखा, खाता, हिसाब, सौदा-अवधि","હિસાબ, ખાતુ, હેવાલ, વૃતાંત","जमाखर्च, लेखा","ਲੇਖਾ, ਖਾਤਾ, ਹਿਸਾਬ","হিসাব,গণন","1. लेखा,खातें 2. हिशोब",ಖಾತೆ,"അക്കൌണ്ട്, കണക്ക്, ലേഖ","கணக்கு, விவரம், கணிப்பு, மதிப்பீடு","లెక్క,లెక్కింపు,గణన,ఖాతా",کھاتہ۔ اکا‎‌‍ؤنٹ۔ حساب,"হিচাব,জমাখৰচ,গণনা",ସମାଯୋଜନନ ହିସାବ,"1. लेखा,हिसाबकिताब 2. वृतान्त, बखान"
Accountancy,"लेखाविधि, लेखाशास्त्र; लेखा-कार्य","નામું, હિસાબ-પદ્ધતિ, હિસાબ લેખન","लेखाशास्त्र, लेखा विधी","ਲੇਖਾ ਵਿਧੀ, ਲੇਖਾ ਕਾਰਜ",হিসাবশাস্ত্র,"लेखाशास्त्र,हिशोबशास्त्र",ವಾಣಿಣ್ಯ ಲೆಕ್ಕಗಣಿತ,"കണക്ക്, കണക്കെഴുത്ത്, അക്കൌണ്ടന്‍സി",கணக்கியல்,"ఎక్కౌంటెన్సీ,లెక్కలు రాసే పద్ధతి,లెక్కలు రాసే పని",محاسبی(کھاتہ بہی سے متعلق) حساب کتاب,"গণিতকবিদ্যা,জমাখৰচৰখাৰবিদ্যা","ହିସାବ ଶାସ୍ତ୍ର, ହିସାବ ବିଧି, ହିସାବ ବିଜ୍ଞାନ",1. लेखा विधि 2. लेखा कार्य
Account days,निपटारा-अवधि,નિપટારા-અવધિ,निपटारा-अवधि,ਨਿਪਟਾਰਾ-ਅਵਧਿ,নিপটারা-অবধি,निपटारा-अवधि,ನಿಪಟಾರಾ-ಅವಧಿ,നിപടാരാ-അവധി,நிபடாரா-அவதி,నిపటారా-అవధి,نپٹارا-اودھی,নিপটারা-অধি,ନିପଟାରା-ଅବଧି,निपटारा-अवधि
Accounting,लेखाकरण,લેખાકરણ,लेखाकरण,ਲੇਖਾਕਰਣ,লেখাকরণ,लेखाकरण,ಲೇಖಾಕರಣ,ലേഖാകരണ,லேகாகரண,లేఖాకరణ,لیکھاکرن,লখাকরণ,ହିସାବ ରକ୍ଷଣ,लेखाकरण
Accounting period,लेखा-अवधि,લેખા-અવધિ,लेखा-अवधि,ਲੇਖਾ-ਅਵਧਿ,লেখা-অবধি,लेखा-अवधि,ಲೇಖಾ-ಅವಧಿ,ലേഖാ-അവധി,லேகா-அவதி,లేఖా-అవధి,لیکھا-اودھی,লখা-অধি,ଲେଖା-ଅବଧି,लेखा-अवधि
Accounting unit,लेखाकरण इकाई ; लेखाकरण एकक,લેખાકરણ ઇકાઈ ; લેખાકરણ એકક,लेखाकरण इकाई ; लेखाकरण एकक,ਲੇਖਾਕਰਣ ਇਕਾਈ ; ਲੇਖਾਕਰਣ ਏਕਕ,লেখাকরণ ইকাঈ ; লেখাকরণ একক,लेखाकरण इकाई ; लेखाकरण एकक,ಲೇಖಾಕರಣ ಇಕಾಈ ; ಲೇಖಾಕರಣ ಏಕಕ,ലേഖാകരണ ഇകാഈ ; ലേഖാകരണ ഏകക,லேகாகரண இகாஈ ; லேகாகரண ஏகக,లేఖాకరణ ఇకాఈ ; లేఖాకరణ ఏకక,لیکھاکرن اکائی ؛ لیکھاکرن ایکک,লখাকরণ ইকাঈ ; লখাকরণ কক,ଲେଖାକରଣ ଇକାଈ ; ଲେଖାକରଣ ଏକକ,लेखाकरण इकाई ; लेखाकरण एकक
