English,Hindi
A list of cases disposed of is placed below,निपटाए गए मामलों की एक सूची नीचे रखी है
A-bomb,अणु बम
A-digit selector,ए-अंक वरित्र
A-scope,"A-दर्शी, A-स्कोप"
A-service area,A-प्रसारण क्षेत्र
A-side,"A-पक्ष, A-साइड"
A. P. (advanced post),अग्रवर्ती चौकी (अ० चौ०)
a.c. generating set,प्र० धा० (प्रत्यावर्ती धारा) जनित्र सेट
a.c. generator,प्र० धा० जनित्र
a.c. repeater unit,प्र०धा० पुनरावर्तक इकाई
A.P. (armour piercing) shot,कवचभेदी गोला
A.P. bearing board,अग्रवर्ती चौकी बेयरिंग बोर्ड
A.P. Signaller,अग्रवर्ती चौकी सिगनलर
A.P.B.C. (armour piercing ballistic cap),कवचभेदी प्रक्षेपास्‍त्र टोपी
A.P.C.U. (AP control unit),अग्रवर्ती चौकी नियंत्रक यूनिट
A.P.S. Weight (aircraft prepared for service weight),"उड़ान तैयार भार, ए० पी० एस० वेट"
A.T.W. (ahead throwing weapon) attack,अग्र प्रक्षेपास्‍त्र आक्रमण
A/S (angle of sight) adding scale,दर्शाकोण जोड़ स्केल
abac scale,एबेक स्केल
abaft (N),पश्‍च
abandon ship,पोत-त्याग
abbreviated procedure,संक्षिप्‍त प्रक्रिया
ABC Instructor Course,प्रारंभिक शिक्षक कोर्स
abdominal proleg,उदरीय उपटांग
abeam (N),"समकोण पर, आड़ा"
Able Seaman,एबल सीमेन
ablution point,पखारन स्थल
abnormal,अपसामान्य
abnormal dispersion,अपसामान्य प्रकीर्णन
abnormal issue,अपसामान्य निर्गम
abnormal polarization,अपसामान्य धुवण
abnormal series,अपसामान्य श्रेणी
abnormality,अपसामान्यता
aboard,"यान पर, पोत पर"
abolition,"उन्मूलन, समाप्‍ति"
abort (take off),(उड़ान) रोक
about face (=about turn),पीछे मुड़ पीछे मुड़ना
About turn,पीछे मुड़
Above cited/above quoted,ऊपर उद्‍धृत/ऊपर दिया हुआ
above deck,डेकोपरि
Above given,उपरिलिखित/ऊपर दिया हुआ
Above said,उपर्युक्‍त
abox (N),कैची कसना
abrading action,अपघर्षण किया
abrasive,"अपघर्षी, रेगमाल"
abrasive cloth,रेगमाल कपड़ा
abrasive paper,रेगमाल कागज
abrasive sand paper,अपघर्षी रेगमाल
abreast,साथ-साथ
abridged version,"संक्षिप्‍त रूप, संक्षिप्‍त संस्करण"
abroholos,"अल्पकालिक झंझा, एब्रोहोलोस"
absconder,फरार
absence,"अनुपस्थिति, गैर-हाज़िरी"
absence with permission,"छुट्‍टी, अवकाश"
absence without permission,नागा
absent,"अनुपस्थित, गैरहाज़िर"
absent on duty,अन्यत्र ड्‍यूटी पर
absentee flag,अनुपस्थिति-सूचक ध्वज
absentee pennant,अनुपस्थिति-सूचक पताका
absentees and deserters,गैर-हाज़िर और भगोड़े
absolute altitude,भू-सापेक्ष तुंगता
absolute angle of attack,निरपेक्ष आपात कोण
absolute ballistics,निरपेक्ष प्राक्षेपिकी
absolute calibration,निरपेक्ष अंशशोधन निरपेक्ष अंशांकन
absolute capsule,निरपेक्ष कैप्सूल
absolute ceiling,"उच्‍चतम (उड़ान) सीमा, निरपेक्ष ऊँचाई"
