English,Hindi
Abatement,कमी
Above par,अधिमूल्य पर
Absolute acceptance,"निरपेक्ष सकार, निरपेक्ष स्वीकृति"
Absolute ownership,पूर्ण स्वामित्व
Absorption,अवशोषण
Acceptance,"सकार, स्वीकृति"
Acceptance supra protest,"नकारोत्तर सकार, नकारोत्तर स्वीकृत"
Accidental means,दुर्घटना निमित्त
Accommodation,वित्त-निभाव
Accord and satisfaction,एवज़ी राजीनामा
Account,"लेखा, खाता, हिसाब, सौदा-अवधि"
Accountancy,"लेखाविधि, लेखाशास्त्र; लेखा-कार्य"
Account days,निपटारा-अवधि
Accounting,लेखाकरण
Accounting period,लेखा-अवधि
Accounting unit,लेखाकरण इकाई ; लेखाकरण एकक
Account in operation,सक्रिय खाता
Account rendered,"प्रस्तुत हिसाब, प्रस्तुत लेखा"
Account sales,बिक्री-विवरण
Accounts payable,देनदारो लेखे
Accounts receivable,लेनदारी लेखे
Account stated (or accepted),"स्वीकृत लेखा, स्वीकृत हिसाब"
Accrual,उपचय
Accrual basis accounting,उपचय-आधार लेखाकरण
Accrued dividend,उपचित लाभांश
Accrued income,उपचित आय
Accumulated dividend,संचित लाभांश
Accumulation,"संचय, संचयन"
Acknowledgement,"अभिस्वीकृति; पावती, प्राप्ति-सूचना"
Acquired surplus,अवाप्त अधिशेष
Acquisition,"अर्जन, उपार्जन, अधिग्रहण"
Acquittance,"फारखती, भुगतान"
Active deposit (= derivative deposit),व्युत्पन्न जमा
Active market,सक्रिय बाजार
Active money,सक्रिय द्रव्य
Active trade balance,अनुकूल व्यापार-शेष
Act of god,दैवी संकट
Acts of firm,फ़र्म के कृत्य
Actual delivery,वास्तविक सुपुर्दगी
Actuary,बीमांकक
Adjuster,"समायोजक ; दावा समायोजक, क्षति समायोजक"
Adjusting (journal) entry,"समायोजक (जर्नल) प्रविष्टि, समायोजक (जर्नल) इंदराज"
Adjustment,समायोजन
Adjustment of account,लेखा-समायोजन
Administered price,निर्देशित क़ीमत
Ad valorem,"यथामूल्य, मूल्यानुसार"
Ad valorem duty,"यथामूल्य शुल्क, मूल्यानुसार शुल्क"
Advance,"अग्रिम, पेशगी; उधार, ऋण"
Advantage of location,स्थिति-सुलाभ
Adventure,"जोखिम लदान, एडवेंचर"
Adverse balance of payments,प्रतिकूल भिगतान-संतुलन
Advertising,"विज्ञापन, विज्ञापन-कार्य; विज्ञापन देना"
Advice,सूचना
Aero insurance,उड्डयन बीमा
After date,तिथ्युत्तर
After sight,दर्शनोत्तर
Agency,"अभिकरण, एजेन्सी"
Agent,"अभिकर्ता, एजेन्ट"
Agreement,क़रार
Agreement to sell,बिक्री-क़रार
All commodity rates,"समस्त पण्य दर, समस्त जिन्स दर"
Allied products,सहबद्ध उत्पाद
Allocation,"बँटवारा, विनिधान"
All or any part,पूर्णोवा अंशोवा
All or none,पूर्णोवा शून्योवा
All risk insurance,सर्वजोखिम बीमा
Alternative drawee,विकल्पी अदाकर्ता
Amalgamation,समामेलन
Amortization,परिशोधन
Amount,"राशि, रकम; परिमाण, मात्रा; मिश्रधन"
Ancillary industry,आनुषंगिक उद्योग
Ancillary products,आनुषंगिक उत्पाद
Annual stock-taking,वार्षिक माल-पड़ताल
Annuity,वार्षिकी
Annuity deposit scheme,वार्षिकी जमा योजना
Annuity due,देय वार्षिकी
Anticipation,"समय-पूर्व भुगतान, पूर्व प्रावधान"
Anti-inflationary measures,"प्रतिस्फीति उपाय, स्फीति-निवारक उपाय"
Apex bank,शिखर बैंक
Application money,आवेदन-राशि
Apportionment,प्रभाजन
Appraisement,"कूतना, आँकना, निरूपण"
Appreciation,"वृद्धि, मूल्यवृद्धि"
Appropriation,विनियोजन
Appropriation account,विनियोजन लेखा
