English,Hindi
Abacus,"गिनतारा, एबेक्स"
Aberrant copy,सदोष प्रति
Abbreviated catalogue card,संक्षिप्त प्रसुची पत्रक
Abbreviated entry,संक्षिप्‍त प्रविष्‍ट
Abbreviated title,संक्षिप्‍त शीर्षक
Abbreviation,"संक्षेपण, संक्षिप्‍त रुप"
Abridged dictionary,"संक्षिप्‍त शब्दकोश, लघु कोश"
Abridged edition,लघु संस्करण
Abridgement,संक्षिप्‍त
Abridger,संक्षेपक
Absolute location,निरपेक्ष आमाप
Absolute size,यथार्थ आमाप
Abstract,सार
Abstract bulletin,सार बुलेटिन
Abstract classification,अमूर्त वर्गीकरण
Abstract entity,अमूर्त वस्तु
Abstracting,सारकरण
Abstracting and indexing periodical,सारकरण एवं अनुक्रमणीकरण पत्रिका
Abstracting bulletin,सार बुलेटिन
Abstracting periodical (= abstract periodical),सार पत्रिका
Abstracting service,सार - सेवा
Abstraction,सार ग्रहण
Abstract journal,सार पत्रिका
Abstract journal,शोध - सार पत्रिका
Abstractor,सारकर्ता
Academic library,शैक्षिक पुस्तकालय
Academy publication,अकादमी प्रकाशन
Access,"अभिगम, पहुँच"
Accessibility,"अभिगम्यता, पहुँच"
Accessible,अभिगम्य
Accession,परिग्रहण
Accession,अभिगमन
Accession arrangement,परिग्रहण व्यवस्था
Accession bulletin,परिग्रहण बुलेटिन
Accession date,परिग्रहण तिथि
Accession department,परिग्रहण विभाग
Accessioning,परिग्रहण प्रक्रिया
Accession list,परिग्रहण सूची
Accession number,परिग्रहण संख्या
Accession number section,परिग्रहण संख्या अनुभाग
Accession order,परिग्रहण क्रम
Accession record,परिग्रहण अभिलेख
Accession register,"परिग्रहण पंजी,परिग्रहण पंजिका"
Accession section,परिग्रहण अनुभाग
Access point,अभिगम बिंदु
Access time,अभिगम काल
Access tools,अभिगम साधन
Accommodation,समंजन
Accommodation,"आवास, स्थान"
Accompanying material,सह - सामग्री
Accomplish,सम्पन्‍न करना
Accountability,जवाबदेही
Accounting,लेखाकरण
Accounting programme,लेखा क्रमादेश
Accreditation,प्रत्यायन
Accumulation,संचय
Acquisition,संप्राप्‍ति
Acquisition control,संप्राप्‍ति नियंत्रण
Acquisition department,संप्राप्‍ति विभाग
Acquisition work,संप्राप्‍ति कार्य
Acronym,परिवर्णी (शब्द)
Act,अधिनियम
Action - actor - tool principle,क्रिया - कर्ता साधऩ सिद्‍धांत
Action period,क्रिया अवधि
Active element,सक्रिय अवयव
Actual search,वास्तविक खोज
Actual time,वास्तविक समय
Add device,योजक युक्‍ति
Added copy,इतर प्रति
Added entry,इतर प्रविष्‍टि
Adder,योजक
Add' instruction,जोड़िए' निर्देश
Addition,"जोड़, योग"
Addition,परिवर्धन
Addition,नवागत
Additional class index entry,अतिरिक्‍त वर्ग निर्देश प्रविष्‍टि
Additional copy,अतिरिक्‍त प्रति
Additions,नवागत प्रकाशन
Additions,परिवर्धन
Address bus,पता बस
Address code,पता कोड
Add-to' instruction,में जोड़िए' निर्देश
Adequate,पर्याप्‍त
Adequately,पर्याप्‍त रुप से
Ad - hoc,तदर्थ
Adjacency,आसन्‍नता
Adjunct,अनुलग्‍न
Adjustability,"समायोजन - क्षमता, समायोजनीयता"
Adjustable sheaf catalogue,समायोज्य शीफ प्रसूची
Adjustable shelf,समायोज्य शेल्फ
Adjustment,समायोजन
Administration,प्रशासन
Administrative,प्रशासनिक
Administrative data processing,प्रशासनिक आंकड़ा संसाधन
Administrator,प्रशासक
Admission,प्रवेश
Admission card,"प्रवेश पत्रक, प्रवेश कार्ड"
Admission slip,प्रवेश - पर्ची
Adoliscent library,किशोर पुस्तकालय
Adult encyclopaedia,प्रौढ़ विश्‍वकोश
Advance copy,अग्रिम प्रति
Advanced book,उच्‍चस्तरीय पुस्तक
Advanced cataloguing,उन्‍नत प्रसूचीकरण
Advanced communication service,उन्‍नत संचार सेवा
Advanced feed tape,अग्रिम भरण टेप
Advanced information system,उन्‍नत सूचनी तंत्र
Advanced optical character reader,उन्‍नत प्रकाशिक संप्रतीक पठित्र
Advanced scientific computer,उन्‍नत वैज्ञानिक अभिकलित्र
Advancement,"उन्‍नति, विकास"
Advent,टागमन
Adviser (= advisor),सलाहकार
Advisorycommittee,सलाहकार समिति
Advisory service,सलाहकार सेवा
Aerograph,वातलेखित्र
