English,Hindi
above par,अधिमूल्यपर
abridged multiplication,संक्षिप्‍तगुणन
abridged notation,संक्षिप्‍तसंकेतन
abscissa,भुज
abscissa of boundedness,परिबद्धताभुज
absolute,"निरपेक्ष, परम, परिशुद्ध"
absolute calculus,निरपेक्षकलन
absolute constant,निरपेक्षअचर
absolute covariant,निरपेक्षसहचर
absolute inequality,निरपेक्षअसमिका
absolute integral invariant,निरपेक्षसमाकलनिश्‍चर
absolute perturbation,निरपेक्षक्षोभ
absolute space,निरपेक्षसमष्‍टि
absolute value valuation,निरपेक्षमानमानांकन
absolutely closed,निरपेक्षत: संवृत
absolutely closed space,निरपेक्षत: संवृतसमष्‍टि
absolutely continuous function,निरपेक्षत: संततफलन
absolutely convex set,निरपेक्षत: अवमुखसमुच्चय
absolutely integrable function,निरपेक्षत: समाकलनीयफलन
absolutely maximum,परमउच्चिष्‍ठ
absolutely minimal model,निरपेक्षत: अल्पिष्‍ठनिदर्श/मॉडल
absolutely minimum,परमनिम्निष्‍ठ
absolutely unbiased estimator,निरपेक्षअनभिनतआकलक
absorbing barrier,अवशोषीअवरोध
abstract linear space,अमूर्तरैखिकसमष्‍टि
abstract space,अमूर्तसमष्‍टि
abstract variety,अमूर्तउपसमष्‍टि
abstraction,"संक्षिप्‍तीकरण, अपाहरण, साराहरण"
abundant,"आधिक्य, प्रचुरता"
acceptability,स्वीकार्यता
acceptable choice set,स्वीकार्यवरण-समुच्चय
acceptable quality level,स्वीकार्यगुणतास्तर
acceptable range,स्वीकार्यपरिसर
acceptable reliability level,स्वीकार्यविश्‍वसनीयतास्तर
acceptance boundary,स्वीकरणपरिसीमा
acceptance criterion,स्वीकरणनिकष
acceptance decision,स्वीकरणनिर्णय
acceptance inspection,स्वीकरणनिरीक्षण
acceptance inspection scheme,स्वीकरणनिरीक्षणयोजना
acceptance plan,स्वीकरणआयोजना
acceptance procedure,स्वीकरणप्रक्रिया
acceptance region,स्वीकरणक्षेत्र
acceptance rejection method,z-स्वीकृतित्यागविधि
acceptance sampling,स्वीकरणप्रतिचयन
acceptance specifications,स्वीकरणविनिर्देश
acceptance-rejection,स्वीकृति-अस्वीकृति
accordance,संगति
action space,क्रियासमष्‍टि
actual operation,वास्तविकसंक्रिया
ad hoc network,"तदर्थनेटवर्क, तदर्थजालक्रम"
ad valorem duty,मूल्यानुसारशुल्क
add,"योगकरना, जोड़ना"
addend,योज्‍य
adder,योजक
addition,"(n.) योग, जोड़, संकलन(adj)योगात्मक"
addition in n-space,n-समष्‍टियोग
additional computation,अतिरिक्‍तअभिकलन
additional constraint,अतिरिक्‍तव्यवरोध
additional sample,अतिरिक्‍तप्रतिदर्श
additional variable,अतिरिक्‍तचर
additive algorithm method,योज्यऐल्गोरिथ्मविधि
additive valuation,योज्यमानांकन
adjacency matrix,आसन्नताआव्यूह
adjoin,सहबद्धकरना
adjoining,संलग्न
adjoint,"संलग्नक, संलग्न, सहखंडज"
adjoint boundary function,संलग्नपरिसीमाफलन
adjoint of matrix,सहखंडजआव्यूह
adjoint space,संलग्नसमष्‍टि
adjustment time,समायोजनकाल
administrative decision,प्रशासनिकनिर्णय
admissible decision function,ग्राह्यनिर्णयफलन
admissible hypothesis,ग्राह्यपरिकल्पना
admittance matrix,प्रवेश्यताआव्यूह
advance estimate,अग्रिमआकलन
affine,"अफाइन, सजातीय"
affine space,सजातीयउपसमष्‍टि
affine subspace,सजातीयउपसमष्‍टि
aimed at precision,लक्ष्यभूतपरिशुद्धता
air network,"एयरनेटवर्क, एयरजालक्रम"
aircraft landing,"वायुयानलैंडिग, वायुयानअवतरण"
airline reservation,एयरलाइनआरक्षण
airline ticketing,एयरलाइनटिकटिंग
algebraic element,बीजीयअवयव
algebraic space,बीजीयसमष्‍टि
algebraic system,बीजीयनिकाय
algorithm,ऐल्गोरिथ्म
alignment chart,संरेखणचार्ट
all-integer problem,सर्वपूर्णांकसमस्या
allocate,नियतकरना
allowable,अनुज्ञेय
alternative decision,वैकल्पिकनिर्णय
alternative hypothesis,वैकल्पिकपरिकल्पना
alternative optima,वैकल्पिकइष्‍टतम
alternative outcome,वैकल्पिकपरिणाम
ambiguity,संदिग्धता
ambiguous,संदिग्ध
ample server queue,प्रचुरसर्वरपंक्‍ति
analogue simulation,अनलॉगअनुकार
analogy,"सादृश्य, अनुरूपता, समवृत्‍तिता"
analyse,विश्‍लेषणकरना
analysis,विश्‍लेषण
analysis of covariance,सहप्रसरण-विश्‍लेषण
analysis of variance,प्रसरण-विश्‍लेषण
analytic hierarchy process,विश्‍लेषिकपदानुक्रमप्रक्रम
analytic solution,वैश्‍लेषिकहल
analytical,"विश्‍लेषिक, वैश्‍लेषिक"
analytical method,विश्‍लेषिकविधि
analytically tractable proxy,विश्‍लेष्‍णत:प्रतिपत्रपुस्तिका
analyticity,विश्‍लेष्यता
animation,सजीवन
annealing,अनीलीकरण
annual inventory holding cost,वार्षिकतालिकाधारणलागत
annual ordering cost,वार्षिकक्रमणलागत
annuity bond,वार्षिकीबंध-पत्र
annuity contract,वार्षिकीसंविदा
annuity due,"वार्षिकीदेय, देयवार्षिकी"
annuity policy,वार्षिकीपालिसी
anomaly,असंगति
anti-value,"उपस्फोटरोधीमान,प्रतिमान"
anticipatory data,प्रत्याशामूलकआंकड़े
anticipatory decision,प्रत्याशामूलकनिर्णय
apex,"शीर्ष, शिखर, अग्रक"
applicable,"आच्छाद्य, अनुप्रयोज्य, लागू"
applicable data,अनुप्रयोज्यआंकडे़
application,अनुप्रयोग
applied,अनुप्रयुक्‍त
approach,उपगमन
appropriate distribution,उपयुक्‍तवितरण
approximate solution,सन्निकटहल
approximate strategy,सन्निकटयुक्‍ति
approximation,सन्निकटन
approximation of binomial,द्विपदसन्निकटन
arbitrarily chosen,स्वेच्छगृहीत
arbitrary,"स्वेच्छ,यादृच्छिक"
arbitrary allocation,स्वेच्छनियतन
arbitrary arrival,स्वेच्छआगमन
arbitrary service time,स्वेच्छसेवाकाल
area sampling,क्षेत्र-प्रतिचयन
areal sampling,क्षेत्रीयप्रतिचयन
arena,ऐरेना
arithmetic,अंकगणित
arithmetic operations,अंकीयसंक्रिया
array,"व्यूह, सरणी"
arrival event,आगमनघटना
arrival point probability,आगमनबिंदुप्रायिकता
arrival rate,आगमनदर
arrival time,आगमनकाल
arriving pattern,आगामीपैटर्न
artificial constraint,कृत्रिमव्यवरोध
artificial neural network,कृत्रिमन्यूरलनेटवर्क
artificial variable,कृत्रिमचर
ascend,आरोहणकरना
ascendance,आरोहण
ascending,आरोही
ascending order,आरोहीक्रम
aspect,अभिमुखता
aspiration model,"चूषणप्रतिरूप, चूषणमॉडल"
assembly capacity,समुच्चयधारिता
assembly line,संकलनलाइन
assertion,निश्‍चयात्मककथन
assignment model,नियतनमॉडल
assignment problem,नियतनसमस्या
associated function,सहचारीफलन
associated matrix,सहचारीआव्यूह
associated value,सहचारीमान
assume,"मानना, कल्पनाकरना"
assumption,कल्पना
asymmetry,असममिति
asymptotic line,उपगामीरेखा
asymptotic result,उपगामीपरिणाम
asymptotically normal,उपगामीअभिलंब
asynchronous,अतुल्यकालिक
at par,सममूल्यपर
attribute,गुण
attribute in simulation,गुणअनुकार
augmented index,संवर्धितसूचकांक
auto correlation,स्वसहसंबंध
automobile,"आटोमोबाइल, स्‍वचालित वाहन"
automobile inspection,स्वचालितवाहननिरीक्षण
auxiliary condition,गौणप्रतिबंध
average,औसत
average inventory level,औसततालिकास्तर
average revenue,औसतराजस्व
average time,औसतकाल
average utilization,औसतउपयोग
averse,विमुख
awaking inspection,सतर्कनिरीक्षण
axiom,"अभिगृहीत, स्‍वयंसिद्ध"
azimuth error,दिगंश-त्रुटि
backordering,पश्‍चक्रमण
