English,Hindi
A.A. (author's alteration),लेखककृत परिवर्तन (ले.प.)
abandonment,"त्याग, परित्याग"
abbreviation,संक्षेप
abrasive (P.P),"अपघर्षी, अपघर्षक"
abrasive paper (P.P),रेगमार
abridgement,संक्षेपण
absolute privilege,"निरपेक्ष विशेषाधिकार, पूर्ण विशेषाधिकार"
absorbency (P.P),अवशोषकता
absorbent paper (P.P),अवशोषक कागज
accelerated motion (I.&B.),त्वरित् गति
accent,"स्वराघात, लहजा"
acceptance,स्वीकृति
accepted stock,"स्वीकारी माल, तैयार लुगदी"
acceptor circuit (I.&B.),स्वीकारी परिपथ
accessory advertising,"अतिरिक्त विज्ञापन, उप विज्ञापन"
accidental sampling (P.P.),आकस्मिक प्रतिचयन
accompaniment (I.&B.),संगत
accompanist (I.&B.),संगतकार
accordion fold (P.P.),एकार्डियन मोड़
account,"लेखा, विवरण"
"account, chronological","तैथिक विवरण, कालक्रम विवरण"
account book paper,लेखा-बही कागज
accreditation,"प्रत्यायन, मान्यता"
accredited press correspondent,"प्रत्यायित प्रेस संवाददाता, मान्य प्रेस संवाददाता"
accumulator (I.&B.),संचायक
ace newsman,"श्रेष्ठ पत्रकार, श्रेष्ठ समाचार जन"
acetate sheet (P.P.),ऐसीटेट शीट
acid dyestuff (P.P.),अम्लीय रंजक द्रव्य
acid-free paper (P.P.),अम्ल मुक्त कागज
acid plant (P.P.),अम्ल संयंत्र
acid-proof paper (P.P.),अम्लसह कागज
acid size (P.P.),अम्ल माड़ी
acknowledgement of source,सूत्र का उल्लेख
acoustic feed back (I.&B.),ध्वनि पुनः निवेशन
acoustics (of room) I.&B.),"ध्वानिकता (कमरे की), ध्वानिकी (विज्ञान)"
acoustic tile (I.&B.),ध्वनिसोख टाइल
acoustic wave (I.&B.),ध्वनि तरंग
actinometer paper (P.P.),"ऐक्टिनोमीटर कागज, किरण क्रियामापी (फोटो) कागज"
active paper (P.P.),आर्द्रता संवेदी कागज
act of vandalism,गुंडागर्दी
actuality recording (I.&B.),"स्थल पर रिकार्डिंग, मौके पर रिकार्डिंग"
actuate,"चालू करना, प्रवृत्त करना"
adansonia,एडेन्सोनिया
adaptation,रूपान्तर
adapter,"(I, &B, ), ऐडेप्टर, रूपान्तरकार
(I, &B, ), ऐडेप्टर कागज"
adcut (=log=logotype),नाम शैली
"add, to","बढ़ाना, जोड़ना"
addressing,"पता-मुद्रण, पता लेखन"
adressograph,पता-लेखित्र
addressograph operator,पतालेखित्र प्रचालक
adequate sample,पर्याप्त नमूना
adherography (P.P.),आसंजन प्रविधि
adhesive (P.P.),"आसंजनशील, आसंजक"
ad interim copyright clause,अन्तरिम कापीराइट धारा
adipo-cellulose,एडीपो सलुलोस
adjacencies,सहवर्ती कार्यक्रम
adjustable bed (P.P.),समायोज्य तल
adjusting nut,"समायोजक ढ़िबरी, समायोजक नट"
adless paper,विज्ञापन रहित समाचार पत्र
ad libs,आशु टिप्पणी
administration branch,प्रशासन शाखा
advance copy,अग्रिम प्रति
advance release,अग्रिम संवाद
advance story,अग्रिम समाचार
advancing the cylinder (P.P.),बेलन को आगे बढ़ाना
adventurous correspondent,साहसी संवाददाता
advertise,"विज्ञापन करना, विज्ञापन देना"
advertisement,विज्ञापन
"advertisement, casual","आकस्मिक विज्ञापन, यदाकदा विज्ञापन"
"advertisement, classified",वर्गीकृत विज्ञापन
