Punjabi,Odiya
ਪਰੇਸ਼ਾਨੀ,ଆବଦ୍ଧ
ਸੰਖੇਪ,ସଂକ୍ଷିପ୍ତକରଣ
ਅਗਵਾ,ଅପହରଣ
ਧਾਰਨਾ,ଆବେରୀ
ਯੋਗਤਾ,ଦକ୍ଷତା
ਏਬੀ ਦੀ ਸ਼ੁਰੂਆਤ,Ab initio
ਯੋਗ,ସକ୍ଷମ
ਅਸਧਾਰਨ,ଅସ୍ୱାଭାବିକ |
ਖਤਮ,ଚତୁରତା
ਅਬੋਲੋਜੀਫ ਪੋਸਟ,ଅବ ilt ଧ କିଜ୍ ପୋଷ୍ଟ |
ਉੱਪਰ ਦੱਸਿਆ ਗਿਆ,ଉପରେ ଉଲ୍ଲେଖ କରାଯାଇଛି |
ਉੱਪਰ ਹਵਾਲਾ ਦਿੱਤਾ,ଉଦ୍ଧୃତ ଉଦ୍ଧୃତ |
ਉਪਰੋਕਤ ਕਿਹਾ,ଉପରେ କହିଲା
ਗੈਰਹਾਜ਼ਰੀ,ଅନୁପସ୍ଥିତି
ਗੈਰਹਾਜ਼ਰ,ଅଧ୍ୟାପୀ
ਗੈਰਹਾਜ਼ਰ,ଅନୁପସ୍ଥିତତା
ਗੈਰਹਾਜ਼ਰ ਬਿਆਨ,ଅନୁପସ୍ଥିତ ବିବୃତ୍ତି
ਅਸੀਮ,ସଂପୂର୍ଣ୍ଣ
ਪੂਰੀ ਏਕਾਅਧਿਕਾਰ,ସଂପୂର୍ଣ୍ଣ ଏକଚାଟିଆ |
ਸੰਪੂਰਨ ਮਾਲਕੀ,ସଂପୂର୍ଣ୍ଣ ମାଲିକାନା
ਸਮਾਈ,ଶୋଷଣ
ਸਾਰ,ବିସ୍ତୃତ
ਸੰਖੇਪ,ବିସ୍ତୃତ
ਬੇਹੂਦਾ,ଅବ urd ଧ |
ਬਹੁਤਾਤ,ପ୍ରଚୁରତା
ਸ਼ਕਤੀ ਦੀ ਦੁਰਵਰਤੋਂ,ଶକ୍ତିର ଅପବ୍ୟବହାର |
ਗਾਲਾਂ ਕੱ .ਣ ਵਾਲੀ ਭਾਸ਼ਾ,ଅପମାନଜନକ ଭାଷା |
ਅਕਾਦਮਿਕ,ଏକାଡେମିକ୍ |
ਅਕਾਦਮਿਕ ਵਿਚਾਰ ਵਟਾਂਦਰੇ,ଏକାଡେମିକ୍ ଆଲୋଚନା
ਅਕਾਦਮਿਕ ਛੁੱਟੀ,ଏକାଡେମିକ୍ ଛୁଟି |
ਅਕਾਦਮਿਕ ਯੋਗਤਾ,ଏକାଡେମିକ୍ ଯୋଗ୍ୟତା |
ਅਕਾਦਮਿਕ ਰਿਕਾਰਡ,ଏକାଡେମିକ୍ ରେକର୍ଡ |
ਐੱਸ,ଧ୍ୟାନଦେଇ
ਸਵੀਕਾਰ ਕਰੋ,ଗ୍ରହଣ କର
ਮਨਜ਼ੂਰ,ଗ୍ରହଣ
ਦਫਤਰ ਦੀ ਪ੍ਰਵਾਨਗੀ,ଅଫିସ୍ ଗ୍ରହଣ
ਟੈਂਡਰ ਦੀ ਪ੍ਰਵਾਨਗੀ,ଟେଣ୍ଡର ଗ୍ରହଣ
ਪਹੁੰਚ,ପ୍ରବେଶ
ਐਕਸੈਸਿੰਗ,ପ୍ରବେଶ
ਸਹਾਇਕ,ଆନୁଷଙ୍ଗିକ
ਹਾਦਸਾ,ଦୁର୍ଘଟଣା
ਅਨੁਕੂਲਤਾ,ସୁକମ୍ଲାଇଜେସନ୍
ਰਿਹਾਇਸ਼,ଆବାସ
ਦੇ ਨਾਲ,ସାଥୀ
ਸਮਝੌਤਾ,ଆକର୍ଡ
ਦੇ ਅਨੁਸਾਰ,ସମ୍ପତ୍ତୀ
ਇਸ ਅਨੁਸਾਰ,ସେହି ଅନୁଯାୟୀ |
ਖਾਤਾ,ଖାତା
ਜਵਾਬਦੇਹੀ,ଉତ୍ତରଦାୟିତ୍ୱ
ਜਵਾਬਦੇਹ,ଉତ୍ତରଦାୟୀ |
ਖਾਤੇ ਦੀ,ଆକାଉଣ୍ଟାଣ୍ଟି
