Bengali,Marathi
অবসান,Uptement
সংক্ষেপণ,संक्षेप
অপহরণ,अपहरण
অবসান,अबाधित
ক্ষমতা,क्षमता
অ্যাব initio,अब इनिशिओ
সক্ষম,सक्षम
অস্বাভাবিক,असामान्य
বিলুপ্তি,निर्मूलन
বিলোপ পোস্ট,रद्दबातल पोस्ट
উপর্যুক্ত,वर दिल्याप्रमाणे
উপরে উদ্ধৃত,वर उद्धृत
উপরে বলেছেন,वरील म्हणाले
অনুপস্থিতি,अनुपस्थिती
অনুপস্থিত,अनुपस्थित
অনুপস্থিতি,अनुपस्थिति
অনুপস্থিত বিবৃতি,अनुपस्थित विधान
পরম,परिपूर्ण
পরম একচেটিয়া,परिपूर्ण मक्तेदारी
পরম মালিকানা,परिपूर्ण मालकी
শোষণ,शोषण
বিমূর্ত,गोषवारा
অ্যাবস্ট্রাক্টস্টেটমেন্ট,अमूर्त स्टेटमेंट
অযৌক্তিক,बेशुद्ध
প্রাচুর্য,विपुलता
ক্ষমতার অপব্যবহার,शक्तीचा गैरवापर
অবমাননাকর ভাষা,अपमानास्पद भाषा
একাডেমিক,शैक्षणिक
একাডেমিক আলোচনা,शैक्षणिक चर्चा
একাডেমিক ছুটি,शैक्षणिक रजा
শিক্ষাগত যোগ্যতা,शैक्षणिक पात्रता
একাডেমিক রেকর্ড,शैक्षणिक नोंद
প্রশংসা,प्रवेश
গ্রহণ,स्वीकारा
গ্রহণযোগ্যতা,स्वीकृती
অফিস গ্রহণ,कार्यालय स्वीकारणे
দরপত্র গ্রহণ,निविदा स्वीकारणे
অ্যাক্সেস,प्रवेश
প্রবেশ,प्रवेश
আনুষঙ্গিক,Ory क्सेसरी
দুর্ঘটনা,अपघात
প্রশংসাপত্র,सहनशीलता
থাকার ব্যবস্থা,निवास
সহকারী,सोबत
চুক্তি,करार
অ্যাকশন,अनुयायी
তদনুসারে,त्यानुसार
অ্যাকাউন্ট,खाते
দায়িত্ব,उत्तरदायित्व
দায়ী,जबाबदार
হিসাবরক্ষণ,अकाउंटन्सी
হিসাবরক্ষক,अकाउंटंट
কি কারণে,साठी खाते
