Punjabi,Hindi
ਅਸਧਾਰਨ,अपसामान्य
ਅਧੂਰਾ ਛੱਡਣਾ,विफलन
ਘ੍ਰਿਣਾ,"अपघर्षण, घिसाई"
ਅਚਾਨਕ,"असंलग्न, अचानक, सहसा, विच्छिन्न"
ਪੂਰੀ ਫੀਲਡ ਤਾਕਤ,निरपेक्ष क्षेत्र सामर्थ्य
ਪੂਰਨ ਤਾਪਮਾਨ,परम ताप
ਸਹੀ ਮੁੱਲ,निरपेक्ष मान
ਸੋਖਣਾ,"अवशोषित करना, अवशोषण करना"
ਸਮਾਈ ਸਹਿਕਾਰਤਾ,अवशोषण गुणांक
ਸਮਾਈ ਨੁਕਸਾਨ,अवशोषण हानि
ਸਾਰ,"अमूर्त, सारांश, सार, संक्षेप"
ਐਕਸੀਲਾਮੀਟਰ,त्वरणमापी
ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ,स्वीकृति परीक्षण
ਪਹੁੰਚ,अभिगम
ਐਕਸੈਸ ਕੰਟਰੋਲ,अभिगम नियंत्रण
ਐਕਸੈਸ ਪੁਆਇੰਟ,अभिगम बिंदु
ਐਕਸੈਸ ਟਾਈਮ,अभिगम काल
ਪਹੁੰਚਯੋਗਤਾ,अभिगम्यता
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਸੈੱਲ,संचायक सेल
ਸ਼ੁੱਧਤਾ,यथार्थता
ਸਹੀ,यथार्थ
ਅਕੀਰੋਮੈਟਿਕ ਲੈਂਜ਼,अवर्णक लेन्स
ਐਸਿਡ,"अम्ल, ऐसिड"
ਐਸਿਡ ਦਾ ਸਬੂਤ,अम्लसह
ਐਸਿਡਿਟੀ,अम्लता
ਪ੍ਰਵਾਨਗੀ ਬਿੱਟ,"पावती द्वयंक, पावती बिट"
ਧੁਨੀ,ध्वानिक
ਧੁਨੀ ਸੰਚਾਰ,ध्वानिक संचार
ਧੁਨੀ ਫੈਲਾਉਣ,ध्वानिक विसरण
ਧੁਨੀ ਬਰਾਬਰੀ,ध्वानिक समकारी
ਧੁਨੀ ਫੀਡਬੈਕ,"ध्वानिक पुनर्भरण, ध्वानिक पुनर्निवेश"
ਧੁਨੀ ਫਿਲਟਰ,"ध्वानिक फिल्टर, ध्वानिक निस्यंदक"
ਧੁਨੀ ਰੁਕਾਵਟ,ध्वानिक प्रतिबाधा
ਧੁਨੀ ਮਾਸਕਿੰਗ,"ध्वानिक आवरण, ध्वानिक प्रच्छादन"
ਧੁਨੀ ਸ਼ਕਤੀ,ध्वानिक षक्ति
ਧੁਨੀ ਸੰਪਤੀ,ध्वानिक गुणधर्म
ਧੁਨੀ ਪ੍ਰਤੀਕਰਮ,ध्वानिक प्रतिघात
ਧੁਨੀ ਪ੍ਰਤੀਬਿੰਬ,ध्वानिक प्रतिवर्त
ਧੁਨੀ ਟਾਈਲ,ध्वानिक टाइल
ਧੁਨੀ ਲਹਿਰ,ध्वानिक तरंग
ਧੁਨੀ ਸਮਾਈ,ध्वानिक अवशोषण गुणांक
ਧੂ-ਰਹਿਤ ਅਟੁੱਟ ਨਿਰੰਤਰ,ध्वानिक                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            क्षीणनांक
ਧੁਨੀ ਗਿੱਲੀ,ध्वानिक अवमंदन
ਧੁਨੀ ਦੇਰੀ ਦੀ ਲਾਈਨ,ध्वानिक विलंब लाइन
ਧੁਨੀ ਵਿਗਾੜ,ध्वानिक विरूपण
ਧੁਨੀ ਨਲੀ,ध्वनि-वाहिनी
ਧੁਨੀ energy ਰਜਾ,ध्वानिक ऊर्जा
ਧੁਨੀ ਫੀਡਬੈਕ,ध्वानिक पुनर्निवेश
ਧੁਨੀ ਫਿਲਟਰ,"ध्वानिक फिल्टर, ध्वानिक  निस्यंदक"
ਧਾਰਨਾ,ध्वानिक प्रतिबाधा
ਧੁਨੀ ਪ੍ਰਸਾਰ ਨੂੰ ਸਥਿਰ,ध्वानिक संचरण नियतांक
ਧੁਨੀ ਪ੍ਰਤੀਰੋਧ,ध्वानिक प्रतिरोध
ਧੁਨੀ,ध्वानिकतः रुद्ध
ਧੁਨੀ,"ध्वानिकी, ध्वनि विज्ञान"
ਗ੍ਰਹਿਣ,"अधिग्रहण, अर्जन, उपार्जन"
ਐਕਰੋਨਾਈਮ,संक्षिप्त रूप
ਕਾਰਵਾਈ ਖੇਤਰ,कार्य क्षेत्र
ਸਰਗਰਮ ਤੰਦ,"सक्रियकृत तंतु, सक्रियित तंतु"
ਕਿਰਿਆਸ਼ੀਲ,सक्रिय
ਐਕਟਿਵ ਖੇਤਰ,सक्रिय क्षेत्र
ਐਕਟਿਵ ਵਿੰਡੋ,सक्रिय विंडो
ਅਨੁਕੂਲਤਾ,अनुकूलनीयता
ਅਡੈਪਟਰ (ਅਡੈਪਟਰ),"अनुकूलक, अनुकूलित्र"
