Punjabi,Gujarati
ਏ ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,A B વર્ગ એમ્પ્લીફાયર
ਵਿਗਾੜ,વિકૃતિ
ਅਸਧਾਰਨ ਸੰਚਾਰ,અસામાન્ય ટ્રાન્સમિશન
"ਅਣ-ਅਟੈਚਡ, ਆਮ ਤੌਰ &#39;ਤੇ, ਟੋਏ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ","જોડાણ વિનાનું, સામાન્ય રીતે, ખાડો, અંગવિચ્છેદન, અસ્થિભંગ"
ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ,ગુમ થયેલ સ્પેક્ટ્રમ
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ","નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ"
ਪੂਰਨ ਨਮੀ,સંપૂર્ણ ભેજ
ਪੂਰਨ ਗਤੀ,સંપૂર્ણ ગતિ
ਪੂਰਨ ਨਿਰੀਖਣ,સંપૂર્ણ અવલોકન
ਪੂਰਨ ਤਾਪਮਾਨ,સંપૂર્ણ તાપમાન
ਪੂਰਨ ਜ਼ੀਰੋ,સંપૂર્ણ શૂન્ય
ਸੋਖਣਾ,શોષી લેવું
"ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ","શોષક, શોષક"
ਸਮਾਈ ਸਮਰੱਥਾ,શોષણ ક્ષમતા
ਸਮਾਈ,શોષણ
ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ,શોષક
ਸਮਾਈ,શોષકતા
ਗੁਣਾ ਅਨੁਪਾਤ,ગુણાકાર ગુણોત્તર
ਤੇਜ਼ ਕਰੋ,વેગ આપો
ਜਲਦੀ,ઉતાવળ કરી
ਪ੍ਰਵੇਗ,પ્રવેગ
ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ,ગુરુત્વાકર્ષણ પ્રવેગક
ਐਕਸਲੇਟਰ,પ્રવેગક
ਐਕਸਲੇਟਰ,પ્રવેગક
ਐਕਸਲੇਰੋਮੀਟਰ,એક્સેલરોમીટર
prestresser,prestresser
ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ,સ્વીકાર્ય પરીક્ષણ
ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ,સ્વીકારનાર
ਦਾਨੀ ਅਣੂ,દાતા પરમાણુ
"ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚਯੋਗਤਾ","પ્રવેશ, રાહ, સુલભતા"
ਪਹੁੰਚਯੋਗਤਾ,ઉપલ્બધતા
"ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v.), ਸਹਾਇਕ ਉਪਕਰਣ (ed.)","ફાજલ, સહાયક, સહાયક (v.), ઉપસાધનો (ed.)"
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,ઍક્સેસ સમય
ਵਿਜ਼ਟਰ ਗਲਤੀ,મુલાકાતી ભૂલ
ਵਿਵਸਥਾ,ગોઠવણ
ਇਕੱਠਾ ਕੀਤਾ,સંચિત
