Hindi,Bengali
वैस्‍टम‍िन्‍स्‍टर मठ,ওয়েস্টমিনস্টারের অ্যাবে
मालखाना,বর্জনীয়
दासता का उन्मूलन,দাসত্বের সমাপ্তি
आदिवासी,আদিবাসী
अब्राहम काल,আব্রাহাম যুগ
प्रवासी ज़मींदार,অনুপস্থিত জমির মালিক
अकादमी; विद्वत्परिषद,একাডেমী
अक्रा सम्मेलन,আকরা সম্মেলন
"प्रोद्भूत सामग्री, उपचित सामग्री",সঞ্চয়
"परसंस्कृति-ग्रहण, उत्संस्करण",সংগ্রহ
एसेलडामा,অ্যাসেলডামা
एकियायी,আচিয়ান (=আচিয়ান)
एकीयायी लीग,আচিয়ান লীগ (=আচিয়ান লীগ)
एक्रोपोलिस,অ্যাক্রোপলিস
"शाही रोज़नामचा, दैनिक समाचार",Acta Diurna
सीनेट का कार्यवृत्त,Acta Senatus
"अपर प्रपत्र, एक्टे एडिशनेल",অ্যাক্ট অ্যাডিশনেল
सक्रिय रिकार्ड,সক্রিয় রেকর্ড (=বর্তমান রেকর্ড)
अपकीर्त्ति अधिनियम,প্রাপ্তির কাজ
दंड विमुक्ति एवं विस्मरण अधिनियम,ক্ষতিপূরণ এবং বিস্মৃতির আইন
"राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट",নিষ্পত্তির আইন
संविदा मुद्रा,বিজ্ঞাপন চুক্তি সীল
आडुलम गुटवादी,আদুল্লামাইটস
विपक्षी,প্রতিপক্ষ
2. शत्रु,প্রতিপক্ষ
युग,Aeon
इरेरियम,এরারিয়াম
"आकाशी युद्ध, हवाई लड़ाई",বায়বীয় যুদ্ধ
"एटोलियन लीग, एटोलियायी संघ",এটোলিয়ান লীগ
"काल, युग",বয়স
"काल-प्रभावन, जीर्णन",বার্ধক্য (=বার্ধক্য)
जीर्णन-प्रक्रिया,বার্ধক্য প্রক্রিয়া
एजिलायी,এগেলাই
शौर्य युग,বীরত্বের বয়স
"प्रबोध युग, ज्ञानोदय युग",এনলাইটমেন্টের বয়স
पेरीक्लीज़ युग,পেরিক্লেসের বয়স
तर्क प्रधान युग,কারণ বয়স
भूमि सुधारवाद,কৃষিবাদ
भूमि सुधारवादी आंदोलन,কৃষি আন্দোলন
एलबियन,অ্যালবিয়ন
अलबम,অ্যালবাম
"पौर मुख्य, विशिष्ट पौर, आल्‍डर्मन",অল্ডারম্যান
कुलांकित आयुध,লোভনীয় অস্ত্র
मैत्री,বন্ধুত্ব
एम्फिकटिआनी परिषद,অ্যাম্ফিক্টোনিক কাউন্সিল
ऊपर देo : Amphictyonic Council,Amphictyonic লীগ
"रंगवाट, रंगभूमि, अखाड़ा",অ্যাম্ফিথিয়েটার
