English,Malayalam
Abelian group,അബെലി ഗ്രൂപ്പ്
abelian semigroup,അബെലി ഗ്രൂപ്പ്
abscissa,കൈ
absolute,"കേവലം, കേവലം, സ്ഥിരം, കൃത്യമായ"
absolute convergence,കേവലമായ ഒത്തുചേരൽ
absolute error,സമ്പൂർണ്ണ പിശക്
absolute maximum,പരമോന്നത പരമോന്നത
absolute minimum,ഏറ്റവും താഴ്ന്നത്
absolute value,യഥാർത്ഥ മൂല്യം
absolute velocity,കേവല വേഗത
abstract algebra,അമൂർത്ത ബീജഗണിതം
abstract group theory,അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം
acceleration,ത്വരണം
acceleration due to gravity,ഗുരുത്വാകർഷണ ത്വരണം
acceptable choice set,സ്വീകാര്യമായ സെലക്ടർ
acceptable quality level,സ്വീകാര്യമായ നിലവാരം
acceptable range,സ്വീകാര്യമായ പരിസരം
acceptable reliability level,സാധുവായ വിശ്വാസ്യത നില
acceptable sampling,സ്വീകാര്യത സാമ്പിൾ
accumulated error,സഞ്ചിത പിശക്
accuracy,കൃത്യത
acting force,പ്രയോഗിച്ച ബലം
action,"പ്രവൃത്തി, പ്രവൃത്തി"
action and reaction,പ്രവർത്തനവും പ്രതികരണവും
acturial science,ഇൻഷുറൻസ് ശാസ്ത്രം
acute angled triangle,നിശിത ത്രികോണം
acyclic,അസൈക്ലിക്
add,സംഗ്രഹിക്കാനായി
adder,ചേർക്കുന്നയാൾ
addition,"തുക, കൂട്ടിച്ചേർക്കൽ, സംഗ്രഹം (സി.), സങ്കലനം (വി.)"
addition formula,യോഗയുടെ ഫോർമുല
addition of complex numbers,സങ്കീർണ്ണ സംഖ്യകളുടെ ആകെത്തുക
addition of functions,പ്രവർത്തനങ്ങളുടെ ആകെത്തുക
addition of matrices,മെട്രിക്സുകളുടെ ആകെത്തുക
addition of polynomials,ബഹുപദങ്ങളുടെ ആകെത്തുക
addition of probabilities,സാധ്യതകളുടെ ആകെത്തുക
addition of vectors,വെക്റ്ററുകളുടെ ആകെത്തുക
addition theorem,"സം സിദ്ധാന്തം, സരസഫല സിദ്ധാന്തം"
additive group,സങ്കലന ഗ്രൂപ്പ്
additive inverse,വിപരീത വിപരീതം
additive property,കൂട്ടിച്ചേർക്കൽ
additivity,കൂട്ടിച്ചേർക്കൽ
adjacency matrix,തൊട്ടടുത്തുള്ള മാട്രിക്സ്
adjacent,"തൊട്ടടുത്തുള്ള, തൊട്ടടുത്തുള്ള, തൊട്ടടുത്തുള്ള"
adjacent angles,അടുത്തുള്ള കോൺ
adjacent vertex,തൊട്ടടുത്തുള്ള ശീർഷകം
adjoin,സഹകരിക്കാൻ
adjoining,ഘടിപ്പിച്ച വലയം
adjoint determinant,പൊതുവായ ഡിറ്റർമിനന്റ്
adjoint differential equation,ഡിഫറൻഷ്യൽ സമവാക്യം ചേർത്തു
adjoint equation,ഘടിപ്പിച്ച സമവാക്യം
adjoint matrix,ഏകീകൃത മാട്രിക്സ്
adjoint of matrix,മാട്രിക്സ് കോവേരിയൻസ്
adjugate matrix,ഏകീകൃത മാട്രിക്സ്
admissible decision function,സ്വീകാര്യമായ തീരുമാന പ്രവർത്തനം
admissible hypothesis,സ്വീകാര്യമായ സിദ്ധാന്തം
aerodynamic force,എയറോഡൈനാമിക് ശക്തി
aerodynamics,എയറോഡൈനാമിക്സ്
affine geometry,ഏകതാനമായ ജ്യാമിതി
affine mapping,ഏകതാനമായ മാപ്പിംഗ്
affine transformation,ഏകതാനമായ പരിവർത്തനം
aggregating variables,മൊത്തം വേരിയബിൾ
algebra,"ബീജഗണിതം, ബീജഗണിതം, ബീജഗണിതം, ബീജഗണിതം"
algebraically closed,"സീഡി അടഞ്ഞ, വിത്ത്"
algebraic equation,ബീജഗണിത സമവാക്യം
algebraic expression,ബീജഗണിത പദപ്രയോഗം
algebraic form,ബീജഗണിത ഏകത
algebraic function,ബീജഗണിത പ്രവർത്തനം
algebraic geometry,ബീജഗണിത ജ്യാമിതി
algebraic multiplicity,ബീജഗണിത ബഹുത്വം
algebraic system,ബീജഗണിത വ്യവസ്ഥ
all-integer problem,എല്ലാ-പൂർണ്ണസംഖ്യാ പ്രശ്നം
allocation problem,അസൈൻമെന്റ് പ്രശ്നം വാട്ട് ചോദ്യം
alphabetical notation,അക്ഷരമാലാ ക്രമം
alphabetic character,അക്ഷരമാലാക്രമം
alternate angle,ഇതര കോണുകൾ
alternating form,ഇതര ഏകതാനമായ ഇതര രൂപം
alternating group,ഇതര ഗ്രൂപ്പ്
alternating matrix,ഇതര മാട്രിക്സ്
alternating series,ഇതര പരമ്പര
alternative hypothesis,ഇതര സിദ്ധാന്തം
alternative optima,ബദൽ ഒപ്റ്റിമം
alternative outcome,ഇതര ഫലം
analog-to-digital converter,അനലോഗ് അക്ക കൺവെർട്ടർ
analogue computer,അനലോഗ് കമ്പ്യൂട്ടർ
analysis,വിശകലനം
analysis of covariance,സഹവർത്തിത്വ വിശകലനം
analysis of enumeration data,എണ്ണൽ-വിവര വിശകലനം
analysis of variance,വ്യതിയാന വിശകലനം
analytic geometry,അനലിറ്റിക്കൽ ജ്യാമിതി
analytic function,വിശകലന പ്രവർത്തനം
angle,കോൺ
angle of contact,ടാൻജന്റ് കോൺ
angle of deflection,വ്യതിചലന കോൺ
angle of depression,വിഷാദം ആംഗിൾ
angle of deviation,വ്യതിയാനം കോൺ
angle of diffraction,ഡിഫ്രാക്ഷൻ ആംഗിൾ
angle of elevation,എലവേഷൻ കോൺ
angle of incidence,സംഭവത്തിന്റെ കോൺ
angle of projection,പ്രൊജക്ഷൻ കോൺ
angle of reflection,പ്രതിഫലനത്തിന്റെ കോൺ
angle of refraction,അപവർത്തന കോൺ
angle of rotation,റൊട്ടേഷൻ കോൺ
angle of total reflection,പ്രതിഫലനത്തിന്റെ സമ്പൂർണ്ണ കോൺ
angular acceleration,കോണീയ ത്വരണം
angular motion,കോണീയ പ്രവേഗം
angular speed,കോണീയ വേഗത
angular velocity,കോണീയ പ്രവേഗം
annulus,മോതിര വിരൽ
answer,ഉത്തരം
anti – derivative,കൌണ്ടർ ഡെറിവേറ്റീവ്
antisymmetric function,ഐസോമെട്രിക് ഫംഗ്ഷൻ
applicable,"കവർ ചെയ്യാവുന്ന, ബാധകമായ, ബാധകമായ"
application,അപേക്ഷ അപേക്ഷ
applied dynamic programming,പ്രയോഗിച്ച ഡൈനാമിക് പ്രോഗ്രാമിംഗ്
applied geometry,പ്രയോഗിച്ച ജ്യാമിതി
applied mathematics,പ്രയോഗിച്ച ഗണിതശാസ്ത്രം
applied statistics,പ്രയോഗിച്ച സ്ഥിതിവിവരക്കണക്കുകൾ
approximately,"ഏകദേശം, ഏകദേശം"
approximately continuous function,ഏകദേശം തുടർച്ചയായ പ്രവർത്തനം
