Hindi,Malayalam
आबेली समूह,അബെലി ഗ്രൂപ്പ്
आबेली सामिसमूह,അബെലി ഗ്രൂപ്പ്
भुज,കൈ
"निरपेक्ष, परम, अचर, परिशुद्‌ध","കേവലം, കേവലം, സ്ഥിരം, കൃത്യമായ"
निरपेक्ष अभिसरण,കേവലമായ ഒത്തുചേരൽ
निरपेक्ष त्रुटि,സമ്പൂർണ്ണ പിശക്
परम उच्चिष्ठ,പരമോന്നത പരമോന്നത
परम निम्निष्ठ,ഏറ്റവും താഴ്ന്നത്
निरपेक्ष मान,യഥാർത്ഥ മൂല്യം
निरपेक्ष वेग,കേവല വേഗത
अमूर्त बीजगणित,അമൂർത്ത ബീജഗണിതം
अमूर्त समूह सिद्‌धांत,അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം
त्वरण,ത്വരണം
गुरुत्वीय त्वरण,ഗുരുത്വാകർഷണ ത്വരണം
स्वीकार्य वरण-समुच्चय,സ്വീകാര്യമായ സെലക്ടർ
स्वीकार्य गुणता स्तर,സ്വീകാര്യമായ നിലവാരം
स्वीकार्य परिसर,സ്വീകാര്യമായ പരിസരം
मान्य विश्वसनीयता स्तर,സാധുവായ വിശ്വാസ്യത നില
स्वीकरण-प्रतिचयन,സ്വീകാര്യത സാമ്പിൾ
संचित त्रुटि,സഞ്ചിത പിശക്
यथार्थता,കൃത്യത
लगा हुआ बल,പ്രയോഗിച്ച ബലം
" क्रिया , कर्म","പ്രവൃത്തി, പ്രവൃത്തി"
क्रिया और प्रतिक्रिया,പ്രവർത്തനവും പ്രതികരണവും
बीमा विज्ञान,ഇൻഷുറൻസ് ശാസ്ത്രം
न्यूनकोण त्रिभुज,നിശിത ത്രികോണം
अचक्रीय,അസൈക്ലിക്
"योग करना, जोड़ना",സംഗ്രഹിക്കാനായി
योजक,ചേർക്കുന്നയാൾ
"योग, जोड़, संकलन (स.), योगात्मक (वि.)","തുക, കൂട്ടിച്ചേർക്കൽ, സംഗ്രഹം (സി.), സങ്കലനം (വി.)"
योग का सूत्र,യോഗയുടെ ഫോർമുല
सम्मिश्र संख्याओं का योग,സങ്കീർണ്ണ സംഖ്യകളുടെ ആകെത്തുക
फलनों का योग,പ്രവർത്തനങ്ങളുടെ ആകെത്തുക
आव्यूहों का योग,മെട്രിക്സുകളുടെ ആകെത്തുക
बहुपदों का योग,ബഹുപദങ്ങളുടെ ആകെത്തുക
प्रायिकताओं का योग,സാധ്യതകളുടെ ആകെത്തുക
सदिशों का योग,വെക്റ്ററുകളുടെ ആകെത്തുക
"योग प्रमेय बेरीज सिद्‌धांत,","സം സിദ്ധാന്തം, സരസഫല സിദ്ധാന്തം"
