Marathi,English
abeli गट,Abelian group
अबेली गट,abelian semigroup
हात,abscissa
"निरपेक्ष, निरपेक्ष, स्थिर, अचूक",absolute
परिपूर्ण अभिसरण,absolute convergence
परिपूर्ण त्रुटी,absolute error
सर्वोच्च सर्वोच्च,absolute maximum
परिपूर्ण सर्वात कमी,absolute minimum
परिपूर्ण मूल्य,absolute value
परिपूर्ण वेग,absolute velocity
अमूर्त बीजगणित,abstract algebra
अमूर्त गट सिद्धांत,abstract group theory
प्रवेग,acceleration
गुरुत्वाकर्षण प्रवेग,acceleration due to gravity
स्वीकार्य निवडकर्ता,acceptable choice set
स्वीकार्य गुणवत्ता पातळी,acceptable quality level
स्वीकार्य परिसर,acceptable range
वैध विश्वसनीयता पातळी,acceptable reliability level
स्वीकृती नमुना,acceptable sampling
संचित त्रुटी,accumulated error
अचूकता,accuracy
शक्ती लागू,acting force
"कृती, कृती",action
क्रिया आणि प्रतिक्रिया,action and reaction
विमा विज्ञान,acturial science
तीव्र त्रिकोण,acute angled triangle
अॅसायक्लिक,acyclic
बेरीज करणे,add
जोडणारा,adder
"बेरीज, बेरीज, बेरीज (c.), बेरीज (v.)",addition
योगाचे सूत्र,addition formula
जटिल संख्यांची बेरीज,addition of complex numbers
कार्यांची बेरीज,addition of functions
मॅट्रिक्सची बेरीज,addition of matrices
बहुपदांची बेरीज,addition of polynomials
संभाव्यतेची बेरीज,addition of probabilities
वेक्टरची बेरीज,addition of vectors
"बेरीज प्रमेय, बेरी सिद्धांत,",addition theorem
मिश्रित गट,additive group
additive inverse,additive inverse
जोडणी,additive property
जोडणी,additivity
संलग्नता मॅट्रिक्स,adjacency matrix
"समीप, समीप, समीप",adjacent
समीप कोन,adjacent angles
समीप शिरोबिंदू,adjacent vertex
संबद्ध करणे,adjoin
"संलग्न संलग्न,",adjoining
सामान्य निर्धारक,adjoint determinant
संलग्न विभेदक समीकरण,adjoint differential equation
संलग्न समीकरण,adjoint equation
एकसंध मॅट्रिक्स,adjoint matrix
मॅट्रिक्स सहप्रसरण,adjoint of matrix
एकसंध मॅट्रिक्स,adjugate matrix
स्वीकार्य निर्णय कार्य,admissible decision function
स्वीकार्य गृहीतक,admissible hypothesis
वायुगतिकीय शक्ती,aerodynamic force
वायुगतिकी,aerodynamics
एकसंध भूमिती,affine geometry
एकसंध मॅपिंग,affine mapping
एकसंध परिवर्तन,affine transformation
एकूण चल,aggregating variables
"बीजगणित, बीजगणित, बीजगणित, बीजगणित",algebra
"बियाणे बंद, बीजारोपण",algebraically closed
बीजगणितीय समीकरण,algebraic equation
बीजगणितीय अभिव्यक्ती,algebraic expression
बीजगणितीय एकरूपता,algebraic form
बीजगणितीय कार्य,algebraic function
बीजगणितीय भूमिती,algebraic geometry
बीजगणितीय बहुलता,algebraic multiplicity
बीजगणितीय प्रणाली,algebraic system
सर्व-पूर्णांक समस्या,all-integer problem
"असाइनमेंट समस्या वॅट प्रश्न,",allocation problem
वर्णक्रमानुसार नोटेशन,alphabetical notation
वर्णमाला वर्ण,alphabetic character
पर्यायी कोन,alternate angle
"पर्यायी एकसंध पर्यायी फॉर्म,",alternating form
पर्यायी गट,alternating group
पर्यायी मॅट्रिक्स,alternating matrix
पर्यायी मालिका,alternating series
वैकल्पिक गृहीतक,alternative hypothesis
पर्यायी इष्टतम,alternative optima
पर्यायी परिणाम,alternative outcome
अॅनालॉग-अंकी कनवर्टर,analog-to-digital converter
"अॅनालॉग संगणक,",analogue computer
विश्लेषण,analysis
सहप्रसरण विश्लेषण,analysis of covariance
गणन-डेटा विश्लेषण,analysis of enumeration data
भिन्नता विश्लेषण,analysis of variance
विश्लेषणात्मक भूमिती,analytic geometry
विश्लेषणात्मक कार्य,analytic function
कोन,angle
स्पर्शिका कोन,angle of contact
विक्षेपण कोन,angle of deflection
उदासीनता कोन,angle of depression
विचलन कोन,angle of deviation
विवर्तन कोन,angle of diffraction
उंची कोन,angle of elevation
घटनेचा कोन,angle of incidence
प्रक्षेपण कोन,angle of projection
प्रतिबिंब कोन,angle of reflection
अपवर्तन कोन,angle of refraction
रोटेशन कोन,angle of rotation
परावर्तनाचा परिपूर्ण कोन,angle of total reflection
कोनीय प्रवेग,angular acceleration
कोनीय गती,angular motion
कोनीय गती,angular speed
कोनीय गती,angular velocity
अनामिका,annulus
उत्तर द्या,answer
काउंटर व्युत्पन्न,anti – derivative
आयसोमेट्रिक फंक्शन,antisymmetric function
"कव्हर करण्यायोग्य, लागू, लागू",applicable
"अर्ज अर्ज,",application
लागू डायनॅमिक प्रोग्रामिंग,applied dynamic programming
लागू भूमिती,applied geometry
लागू गणित,applied mathematics
लागू आकडेवारी,applied statistics
"अंदाजे, अंदाजे",approximately
अंदाजे सतत कार्य,approximately continuous function
"मॅक्रो पद्धत, अंदाजे पद्धत",approximate method
अंदाजे उपाय,approximate solution
अंदाजे समस्या,approximation problem
अंदाजे मालमत्ता,approximation property
योग्यता चाचणी,aptitude test battery
आर्गॉन आकृती,Argand diagram
ऐच्छिक,arbitrarily chosen
"यादृच्छिक, यादृच्छिक",arbitrary
अनियंत्रित स्थिरांक,arbitrary constant
मुक्त घटक,arbitrary element
अनियंत्रित बिंदू,arbitrary point
आर्किमिडीजचा कायदा,Archemedean law
आर्किमिडीजचा कायदा,Archimedes principle
"चाप-लांबी, चाप-लांबी",arc length
वर्तुळ चाप,arc of circle
व्यस्त साइन वितरण,arc sine distribution
व्यस्त साइन रूपांतरण,arc sine transformation
"क्षेत्र, क्षेत्र",area
प्रादेशिक कॉन्फिगरेशन,areal texture
जटिल संख्येचा कोन,argument of complex number
अंकगणित सरासरी,arithmetic mean
डिजिटल ऑपरेशन,arithmetic operation
डिजिटल युनिट,arithmetic unit
"कॉन्फिगरेशन, व्यवस्था",arrangement
"अॅरे, अॅरे",array
कृत्रिम उपग्रह,artificial satellite
कृत्रिम व्हेरिएबल,artificial variable
चढणे,ascend
चढत्या,ascending
परिमाणाचा चढता क्रम,ascending order of magnitude
चढत्या श्रेणी,ascending series
असेंबलर भाषा,assembler language
"असाइनमेंट समस्या असाइनमेंट प्रश्न,",assignment problem
सहयोगी नियम,associative law
ऑपरेटर्सचा सहयोगी नियम,associative law of operators
सहयोगी ऑपरेशन,associative operation
सहवास,associativity
सरासरी गृहीत धरले,assumed mean
गृहीत संभाव्यता वितरण,assumed probability distribution
"कल्पना केली, स्वीकारली,",assumption
ज्योतिष,astrology
"अंतराळ अभियंता अंतराळ अभियंता,",astronautical engineer
खगोलशास्त्रज्ञ*,astronomer
खगोलशास्त्रीय घड्याळ,astronomical clock
खगोलशास्त्र,astronomy
असममित वक्र,asymmetrical curve
विषमता,asymmetry
लक्षणे नसलेला,asymptote
त्रासदायक,asymptotic
प्रगतीशील अंदाजक,asymptotically efficient estimator
प्रतिगामी पक्षपाती अनुमानक,asymptotically unbiased estimator
प्रतिगामी आचरण,asymptotic behavior
आक्रमक वितरण कार्य,asymptotic distribution function
वर पसरलेला,asymptotic expansion
वातावरणाचा दाब,atmospheric pressure
"यादृच्छिकपणे,",at random
मालमत्ता*,attribute
विशेषता-नमुना-यंत्रणा,attributes sampling procedure
संवर्धित मॅट्रिक्स,augmented matrix
स्वयंसंबंध गुणांक,autocorrelation coefficient
स्वयंसंबंध कार्य,autocorrelation function
सहप्रसरण,autocovariance
स्वयंचलित संगणक,automatic computer
ऑटोरिग्रेशन,autoregression
सहाय्यक समीकरण,auxiliary equation
सरासरी नमुना क्रमांक वक्र (MPC वक्र),average sample number curve (A.S.N. Curve)
"स्वयंसिद्ध, स्वयंसिद्ध",axiom
स्वयंसिद्ध दृष्टीकोन,axiomatic approach
संभाव्यता स्वयंसिद्ध,axiom of probability
अक्ष,axis
भुजक्षा,axis of abscissa
पृथ्वीचा अक्ष,axis of earth
रोटेशन अक्ष,axis of revolution
रोटेशन अक्ष,axis of rotation
फिरकी अक्ष,axis of spin
पोस्ट बदली,back-substitution
नंतर,backward difference
बॅक इन्सर्टेशन फॉर्म्युला,backward-interpolation formula
"शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक",balance
संतुलित डिझाइन,balanced design
ताळेबंद,balance sheet
क्षेपणास्त्र,ballistic missile
"बॅलिस्टिक्स, शस्त्रे",ballistics
"स्तंभ, बार, कोब, बार, बार, बार, बार, बार, बार, रेषा, रेषा, चाचणी रेषा, किनार",bar
"बेस, बेस, बेस, बेस, बेस",base
बेस कोन,base angle
"लॉगरिथमचा आधार, लॉगरिथमचा आधार",base of logarithm
"मूलभूत, मूलभूत,",basic
बेस सुसंगत उपाय,basic feasible solution
बेस सोल्यूशन,basic solution
बेस व्हेरिएबल,basic variable
पाया,basis
मूळ घटक,basis element
बेस मॅट्रिक्स,basis matrix
वेक्टर स्पेसचा पाया,basis of a vector space
उपलोकसंख्या आधार,basis of subspace
बेईमान,Bayesian estimate
bez-नियम,Bayes' law
bez-प्रमेय,Bayes' theorem
bernoulli-वितरण,Bernoulli distribution
