Bengali,Telugu
ওয়েস্টমিনস্টারের অ্যাবে,అబ్బే ఆఫ్ వెస్ట్‌మినిస్టర్
বর্জনীয়,పదవీ విరమణ
দাসত্বের সমাপ্তি,బానిసత్వ నిర్మూలన
আদিবাসী,ఆదివాసి
আব্রাহাম যুগ,అబ్రహం యుగం
অনুপস্থিত জমির মালিক,గైర్హాజరు భూస్వాములు
একাডেমী,అకాడమీ
আকরা সম্মেলন,అక్ర సమావేశం
সঞ্চয়,సంపాదన
সংগ্রহ,సంస్కారము
অ্যাসেলডামা,అసెల్డామా
আচিয়ান (=আচিয়ান),అచెయన్ (=అచియన్)
আচিয়ান লীগ (=আচিয়ান লীগ),అచీయన్ లీగ్ (=అచియన్ లీగ్)
অ্যাক্রোপলিস,అక్రోపోలిస్
Acta Diurna,ఆక్టా డియుర్నా
Acta Senatus,ఆక్టా సెనాటస్
অ্যাক্ট অ্যাডিশনেল,యాక్టే అడిషనల్
সক্রিয় রেকর্ড (=বর্তমান রেকর্ড),యాక్టివ్ రికార్డ్ (=ప్రస్తుత రికార్డు)
প্রাপ্তির কাজ,సాధించేవారి చర్య
ক্ষতিপূরণ এবং বিস্মৃতির আইন,నష్టపరిహారం మరియు ఉపేక్ష చట్టం
নিষ্পত্তির আইন,సెటిల్మెంట్ చట్టం
বিজ্ঞাপন চুক্তি সীল,ప్రకటన ఒప్పంద ముద్ర
আদুল্লামাইটস,అడుల్లామైట్స్
প্রতিপক্ষ,విరోధి
প্রতিপক্ষ,విరోధి
Aeon,అయాన్
এরারিয়াম,ఏరోరియం
বায়বীয় যুদ্ধ,వైమానిక యుద్ధం
এটোলিয়ান লীগ,ఏటోలియన్ లీగ్
বয়স,వయస్సు
বার্ধক্য (=বার্ধক্য),వృద్ధాప్యం (=వృద్ధాప్యం)
বার্ধক্য প্রক্রিয়া,వృద్ధాప్య ప్రక్రియ
এগেলাই,అగెలై
বীরত্বের বয়স,శౌర్య యుగం
এনলাইটমেন্টের বয়স,జ్ఞానోదయం వయస్సు
পেরিক্লেসের বয়স,పెరికిల్స్ వయస్సు
কারণ বয়স,కారణం వయస్సు
কৃষিবাদ,వ్యవసాయం
কৃষি আন্দোলন,వ్యవసాయ ఉద్యమం
অ্যালবিয়ন,అల్బియాన్
অ্যালবাম,ఆల్బమ్
অল্ডারম্যান,ఆల్డర్మాన్
লোভনীয় অস্ত্র,అల్లుడు చేతులు
বন্ধুত্ব,సఖ్యత
অ্যাম্ফিক্টোনিক কাউন্সিল,యాంఫిక్యోనిక్ కౌన్సిల్
Amphictyonic লীগ,యాంఫిక్యోనిక్ లీగ్
অ্যাম্ফিথিয়েটার,యాంఫీ థియేటర్
আমরি নল দল (মৃৎপাত্রের),అమ్రి నల్ గ్రూప్ (కుండల)
অ্যানাক্রোনিজম,అనాక్రోనిజం
অ্যানাক্রোনিস্টিক,అనాక్రోనిస్టిక్
পূর্বপুরুষ,పూర్వీకుడు
পূর্ব পুরুষের পুজা,పూర్వీకుల ఆరాధన
বংশ,పూర్వీకులు
বংশ,పూర్వీకులు
বংশ,పూర్వీకులు
বংশ,పూర్వీకులు
প্রাচীন শাসন,ప్రాచీన పాలన
প্রাচীন,ప్రాచీన
প্রাচীন গীতিনাট্য,పురాతన బల్లాడ్
প্রাচীন বিশ্বাস,పురాతన నమ్మకం
প্রাচীন রীতি,ప్రాచీన ఆచారం
প্রাচীন ইতিহাস,పురాతన చరిత్ర
প্রাচীন স্মৃতিস্তম্ভ,పురాతన స్మారక చిహ్నాలు
উপাখ্যান,ఉదంతము
অ্যাঞ্জেলট,ఏంజెలోట్
এঞ্জেলাস,ఏంజెలస్
অ্যাঞ্জেভিন (=এনজেভিন),అంజివిన్ (=అంజెవిన్)
কোণ,కోణాలు
অ্যাংলিকান,ఆంగ్లికన్
অ্যাংলিকান কমিউনিয়ন,ఆంగ్లికన్ కమ్యూనియన్
অ্যাংলিকানিজম,ఆంగ్లికనిజం
অ্যাংলো-ফোব,ఆంగ్లో-ఫోబ్
অ্যাংলো-ফোবিয়া,ఆంగ్లో-ఫోబియా
অ্যাংলো-স্যাক্সন,ఆంగ్లో-సాక్సన్
অ্যাংলো-স্যাক্সোনিজম,ఆంగ్లో-సాక్సోనిజం
অ্যানালিস্ট,అన్నలిస్ట్
ইতিহাস,అన్నల్స్
সংযোজন,అనుబంధం
এন্টে-বেলাম,యాంటీ-బెల్లం
তারিখের আগে,ముందు తేదీ
করণিকবাদ বিরোধী,మత వ్యతిరేకత
অ্যান্টি-ক্লারিক্যাল আইন,మతాధికారుల వ్యతిరేక చట్టం
প্রাচীনত্ব,ప్రాచీనకాలం
ভাড়া বিরোধী,వ్యతిరేక అద్దె
ভাড়া বিরোধী,వ్యతిరేక అద్దె
সেমিটিজম বিরোধী,సెమిటిజం వ్యతిరేకత
আনজাক,అంజాక్
আপেলা,అపెల్లా
আরালু,అరలు
আর্চ বিশপ,ఆర్చ్ బిషప్
আর্চ ডুচি,ఆర్చ్ డచీ
আর্চ ডিউক,ఆర్చ్ డ్యూక్
আর্কিফ (= আর্কাইভাল সংগ্রহ),ఆర్కైఫ్ (=ఆర్కైవల్ సేకరణ)
আর্কিপিস্কোপেট,ఆర్కిపిస్కోపేట్
আভিজাত্য,దొర
অভিজাত,దొర
আভিজাত্য স্নোবারি,కులీన స్నోబరీ
এরিস্টটলীয়,అరిస్టాటిలియన్
আরমাডা,ఆర్మడ
আরমাদা (=স্প্যানিশ আরমাদা),ఆర్మడ (=ది స్పానిష్ ఆర్మడ)
আর্মোরিস্ট (= আর্মারিস্ট),ఆయుధాగాడు (=ఆయుధాకారుడు)
বর্ম (= বর্ম),కవచం (=కవచం)
আর্মারিস্ট,ఆయుధాగాడు
আরিয়ান,ఆర్యన్
আরিয়ান,ఆర్యన్
আসকারী,అస్కారి
বরাদ্দ,కేటాయించండి
সহায়তা,అసైజ్ చేయండి
সহায়তা,అసైజ్ చేయండి
সহায়তা,అసైజ్ చేయండి
অস্ত্র আইনের সহায়তা,అసైజ్ ఆఫ్ ఆర్మ్స్ యాక్ట్
ড্যারিন প্রেজেন্টমেন্টের সহায়তা,డారీన్ ప్రెజెంట్‌మెంట్ అసైజ్
মর্ট &#39;ডি&#39; পূর্বপুরুষের সহায়তা,మోర్ట్ &#39;D&#39; పూర్వీకుల అస్సైజ్
নভেল ডিসিসিনের অ্যাসাইজ,అసైజ్ ఆఫ్ నవల డిస్సీసిన్
নৃশংসতা,దారుణం
আক্রমণ,దాడి
অলিক কাউন্সিল,ఆలిక్ కౌన్సిల్
দেবীর কুঠার (=দেহী কুঠার),గెడ్డెస్ యొక్క గొడ్డలి (=ది గెడెస్ గొడ్డలి)
অক্ষ (=রোম-বার্লিন-টোকিও অক্ষ),యాక్సిస్ (=ది రోమ్-బెర్లిన్-టోక్యో యాక్సిస్)
ব্যাবিলন,బాబిలోన్
ব্যাবিলনীয় বন্দিত্ব (=ব্যাবিলনীয় বন্দিত্ব),బాబిలోనియన్ బందిఖానా (=బాబిలోనియన్ బందిఖానా)
বাচনাল ভক্ত,బచ్చనాల్ భక్తుడు
বাচনালিয়া,బచ్చనాలియా
ব্যাচেলর,బ్రహ్మచారి
বাগদাদ চুক্তি,బాగ్దాద్ ఒప్పందం
বলকান লীগ,బాల్కన్ లీగ్
বলকান চুক্তি,బాల్కన్ ఒప్పందం
বলকান যুদ্ধ,బాల్కన్ యుద్ధాలు
বাল্টিক চুক্তি,బాల్టిక్ ఒప్పందం
দস্যু,బందిపోటు
বান্দুং সম্মেলন,బాండుంగ్ కాన్ఫరెన్స్
নির্বাসন,బహిష్కరణ
ব্যানার,బ్యానర్
অসভ্য,బార్బేరియన్
বারবিকান,బార్బికన్
বারদোলী সত্যাগ্রহ,బార్డోలీ సత్యాగ్రహం
শস্যাগার বার্নার্স,బార్న్ బర్నర్స్
ব্যারন,బారన్
ব্যারোনেজ,బారోనేజ్
ব্যারনস মেজরস,బారోన్స్ మేజర్లు
ব্যারোনস মাইনরস,బారోన్స్ మైనర్లు
ব্যারনেস,బారోనెస్
ব্যারোনেট,బారోనెట్
ব্যারোনেটেজ,బారోనెటేజ్
ব্যারোনেটেজ,బారోనెటేజ్
ব্যারোনেটসি,బారోనెట్సీ
ব্যারনি,బారోనీ
ব্যারাকুন,బారకూన్
ব্যারাকুন,బారకూన్
ব্যারিকেড (=ব্যারিকেড),బారికేడ్ (=బారికాడో)
ব্যারিকেড (=ব্যারিকেড),బారికేడ్ (=బారికాడో)
ব্যারিকেড (=ব্যারিকেড),బారికేడ్ (=బారికాడో)
সেনাঘাঁটি,మూల శిబిరం
ব্যাসিলিকা,బసిలికా
ব্যাসিলিকা,బసిలికా
বাস্তিলা,బస్తీలా
বাস্তিল,బాస్టిల్
বাস্তিল,బాస్టిల్
ব্যাটারি,బ్యాటరీ
যুদ্ধ,యుద్ధం
ব্যাটলে-অ্যারে,బాటిల్-అరే
যুদ্ধ কান্না,యుద్ధానికి వెళ్ళే సైనికులు చేసే నినాదాలు
যুদ্ধ দিন,బాటిల్ డిన్
যুদ্ধক্ষেত্র,యుద్ధ క్షేత్రం
যুদ্ধের স্তব,యుద్ధ శ్లోకం
স্পার্সের যুদ্ধ,స్పర్స్ యుద్ధం
স্ট্যান্ডার্ড যুদ্ধ,స్టాండర్డ్ యుద్ధం
যুদ্ধজাহাজ,యుద్ధనౌక
যুদ্ধজাহাজ-শক্তি,యుద్ధనౌక-బలం
Bayeux ট্যাপেস্ট্রি,Bayeux వస్త్రం
বীকন,బెకన్
বীকন টাওয়ার,బెకన్ టవర్
বিভার,బీవర్
বিভার,బీవర్
সমুদ্রের ভিক্ষুক,సముద్రపు బిచ్చగాళ్ళు
বেলিকোস,బెల్లికోస్
বেলিকোস,బెల్లికోస్
বেলিকোস,బెల్లికోస్
বেলিকোসিটি,బెల్లికోసిటీ
বেলোনা,బెలోనా
উপকারিতা,ప్రయోజనం
যাজকদের সুবিধা,మతపెద్దల వల్ల ప్రయోజనం
বেনেলাক্স,బెనెలక్స్
বার্লিন ডিক্রি,బెర్లిన్ డిక్రీ
বেসার,బెర్సెర్కర్
বেসান্ট (=বেজেন্ট),బెసెంట్ (=బెజాంట్)
বেথেল,బేతేలు
বিবিলিওলেটর,గ్రంథకర్త
বিবিলিওলাট্রি,గ్రంథారాధన
বিগ বার্থা,బిగ్ బెర్తా
বিগট,మతోన్మాదుడు
বিলেটিং,బిల్లేటింగ్
অ্যাটেন্ডারের বিল,అటెయిండర్ బిల్లు
অধিকার বিল,హక్కుల చట్టం
জীবনীকার,జీవిత చరిత్ర రచయిత
জন্মের গল্প,జన్మ కథలు
বিভাক,తాత్కాలిక శిబిరం
বিভাক,తాత్కాలిక శిబిరం
বিভাক,తాత్కాలిక శిబిరం
বিজোনিয়া,బిజోనియా
কালো পাখি,బ్లాక్ బర్డింగ్
কালো পতাকা,నల్ల జండా
কৃষ্ণ গহ্বর,కృష్ణ బిలం
কৃষ্ণ গহ্বর,కృష్ణ బిలం
কালো পা (= স্ক্যাব),నల్ల కాలు (=స్కాబ్)
কালো শার্ট,నల్ల చొక్కా
ব্লাজন,బ్లజోన్
ব্লাজন,బ్లజోన్
ব্লাজনরি,బ్లేజోన్రీ
ব্লাজনরি,బ్లజోన్రీ
Blitzkrieg,బ్లిట్జ్‌క్రీగ్
রক্তহীন বিপ্লব (=গৌরবময় বিপ্লব),రక్తరహిత విప్లవం (=గ్లోరియస్ రివల్యూషన్)
ব্লাডওয়াইট,బ్లడ్వైట్
ব্লাডি মেরি,బ్లడీ మేరీ
নীল,నీలం
