Punjabi,Gujarati
"1. ਅਬੈਕਸ, 2. ਗਿਣਤੀ","1.એબેકસ, 2. ગણતરી"
ਅਸਧਾਰਨ ਅੰਤ,અસામાન્ય અંત
ਰੁਕਾਵਟ,ઇન્ટરસેપ્ટ
"1. ਸੰਪੂਰਨ, 2. ਸੁਪਰੀਮ","1. સંપૂર્ણ, 2. સર્વોચ્ચ"
ਪੂਰਾ ਪਤਾ,સંપૂર્ણ સરનામું
ਸੰਪੂਰਨ ਪਤਾਯੋਗਤਾ,સંપૂર્ણ સંબોધનક્ષમતા
ਪੂਰਨ ਅਸੈਂਬਲਰ,સંપૂર્ણ એસેમ્બલર
"1. ਸੰਪੂਰਨ ਕੋਡ, 2. ਪੂਰਨ ਕੋਡ","1. સંપૂર્ણ કોડ, 2. સંપૂર્ણ કોડ"
ਪੂਰਨ ਹੁਕਮ,સંપૂર્ણ આદેશ
"1. ਸੰਪੂਰਨ ਅੰਕੜੇ, 2. ਪੂਰਨ ਡਾਟਾ","1. સંપૂર્ણ આંકડા, 2. સંપૂર્ણ ડેટા"
ਪੂਰਨ ਹਦਾਇਤ,સંપૂર્ણ સૂચના
ਪੂਰਨ ਮੋਡ,સંપૂર્ણ મોડ
ਪੂਰਨ ਮਾਰਗ,સંપૂર્ણ માર્ગ
"1. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ","1. સંપૂર્ણ પ્રોગ્રામિંગ, 2. સંપૂર્ણ પ્રોગ્રામિંગ"
ਐਬਸਟਰੈਕਟ ਕਲਾਸ,અમૂર્ત વર્ગ
ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ,અમૂર્ત ડેટા પ્રકાર
ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ,અમૂર્ત મશીન
ਸੰਖੇਪ ਚਿੰਨ੍ਹ,અમૂર્ત પ્રતીક
ਸੰਖੇਪ ਸੰਟੈਕਸ,અમૂર્ત વાક્યરચના
ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟ,સ્વીકૃતિ કસોટી
ਪਹੁੰਚ ਪ੍ਰਮਾਣੀਕਰਣ,પ્રવેશ પ્રમાણપત્ર
"1. ਪਹੁੰਚ ਕੋਡ, 2. ਐਕਸੈਸ ਕੋਡ","1. એક્સેસ કોડ, 2. ઍક્સેસ કોડ"
ਪਹੁੰਚ ਕੰਟਰੋਲ,વપરાશ નિયંત્રણ
ਐਕਸੈਸ ਸਕੈਨਿੰਗ,ઍક્સેસ સ્કેનિંગ
ਸਹਾਇਕ ਉਪਕਰਣ,એસેસરીઝ
ਲੇਖਾਕਾਰੀ,નામું
"1. ਖਾਤਾ ID, 2. ਲੇਖਾ ਪਛਾਣ","1. એકાઉન્ટ ID, 2. એકાઉન્ટિંગ ઓળખ"
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,સંચયક
"1. ਸ਼ੁੱਧਤਾ, 2. ਸ਼ੁੱਧਤਾ","1. ચોકસાઈ, 2. ચોકસાઈ"
ਪਹੁੰਚ,ઍક્સેસ
ਪਹੁੰਚ ਕੰਟਰੋਲ ਬਾਈਟ,એક્સેસ કંટ્રોલ બાઇટ્સ
ਪਹੁੰਚ ਸੂਚਕ,ઍક્સેસ સૂચક
ਪਹੁੰਚ ਕੁੰਜੀ,ઍક્સેસ કી
"1. ਪਹੁੰਚ ਮੈਟਰਿਕਸ, 2. ਪਹੁੰਚ ਮੈਟਰਿਕਸ","1. એક્સેસ મેટ્રિક્સ, 2. એક્સેસ મેટ્રિક્સ"
ਪਹੁੰਚ ਮੋਡ,ઍક્સેસ મોડ
ਪਹੁੰਚ ਅਧਿਕਾਰ,ઍક્સેસ વિશેષાધિકારો
ਪਹੁੰਚ ਸੁਰੱਖਿਆ,ઍક્સેસ સુરક્ષા
"1. ਐਕਸੈਸ ਸਰਵਰ, 2. ਸਰਵਰ ਤੱਕ ਪਹੁੰਚ","1. એક્સેસ સર્વર, 2. સર્વર ઍક્સેસ કરો"
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,ઍક્સેસ સમય
ਮਾਨਤਾ,સ્વીકૃતિ
ਧੁਨੀ ਵਿਗਿਆਨ,ધ્વનિશાસ્ત્ર
"1. ਸੰਖੇਪ ਰੂਪ, 2. ਸੰਖੇਪ, 3. ਤੋਂ ਛੋਟਾ","1. ટૂંકાક્ષર, 2. સંક્ષેપ, 3. થી ટૂંકું"
ਕਾਰਵਾਈ ਸੁਨੇਹਾ,ક્રિયા સંદેશ
ਸਰਗਰਮੀ,સક્રિયકરણ
ਸਰਗਰਮ ਸਰਵਰ ਪੰਨਾ,સક્રિય સર્વર પૃષ્ઠ
ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ,સક્રિય સંસ્કરણ
acyclic,એસાયક્લિક
"1. ਏਸਾਈਕਲਿਕ ਗ੍ਰਾਫ਼, 2. acyclic ਗ੍ਰਾਫ਼","1. એસાયક્લિક ગ્રાફ, 2. એસાયક્લિક ગ્રાફ"
ਅਦਾ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ,અદા કોમ્પ્યુટર ભાષા
"1. ਆਪਟੀਮਾਈਜ਼ਰ, 2. ਆਪਟੀਮਾਈਜ਼ਰ","1. ઑપ્ટિમાઇઝર, 2. ઑપ્ટિમાઇઝર"
ਜੋੜ),સરવાળે)
sum ਫਾਈਲ,સરવાળો ફાઇલ
"1. ਐਡੀਸ਼ਨ ਓਪਰੇਸ਼ਨ, 2. ਸੰਯੁਕਤ ਕਾਰਵਾਈ","1. એડિશન ઓપરેશન, 2. સરવાળો કામગીરી"
ਜੋੜਨ ਵਾਲਾ,ઉમેરનાર
ਜਾਣੋ,જાણો
ਪਤਾ ਬੱਸ,સરનામું બસ
ਐਡਰੈੱਸ ਫਾਈਲ,સરનામું ફાઇલ
ਪਤਾ ਫਾਰਮੈਟ,સરનામું ફોર્મેટ
ਪਤਾ ਜਨਰੇਟਰ,સરનામું જનરેટર
ਐਡਰੈੱਸ ਲਾਈਨ,એડ્રેસ લાઇન
ਪਤਾ ਮੈਪਿੰਗ,સરનામું મેપિંગ
ਪਤਾ ਸੂਚਕ,સરનામું સૂચક
ਪਤਾ ਰਜਿਸਟਰ,સરનામું રજીસ્ટર
ਪਤਾ ਟੁੱਟਣ,સરનામું ભંગાણ
ਪਤਾ ਅਨੁਵਾਦ,સરનામા અનુવાદ
"1. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ, 2. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ","1. એડ્રેસેબલ મેમરી, 2. એડ્રેસેબલ મેમરી"
ਸੰਬੋਧਨ ਕਰਦੇ ਹੋਏ,સંબોધન
