Bengali,Gujarati
অস্বাভাবিক,અસામાન્ય
গর্ভপাত,ગર્ભપાત
ঘর্ষণ,ઘર્ષણ
আকস্মিক,અચાનક
পরম ক্ষেত্র শক্তি,સંપૂર્ણ ક્ષેત્ર શક્તિ
পরম তাপমাত্রা,સંપૂર્ણ તાપમાન
পরম মান,અબાધિત મૂલ્ય
শোষণ,શોષવું
শোষণ গুণাঙ্ক,સહ-કાર્યક્ષમ
শোষণ ক্ষতি,શોષણ
বিমূর্ত,નિષ્ક્રિય
অ্যাক্সিলোমিটার,પ્રવેગમાપક
স্বীকৃতি পরীক্ষা,સ્વીકૃતિ કસોટી
অ্যাক্সেস,પ્રવેશ
প্রবেশাধিকার নিয়ন্ত্রণ,વપરાશ નિયંત્રણ
এক্সেস পয়েন্ট,પ્રવેશ -બિંદુ
প্রবেশাধিকার সময়,પ્રવેશ સમય
অ্যাক্সেসযোগ্যতা,ઉપલ્બધતા
একুমুলেটর সেল,સંકુચિત સેલી
সঠিকতা,ચોકસાઈ
নির্ভুল,ચોક્કસ
অ্যাক্রোমেটিক লেন্স,ઘેટાંના લેન્સ
অ্যাসিড,તેજાબ
অ্যাসিড প্রুফ,એસિડ પ્રૂફ
অম্লতা,અમલ્ય
স্বীকৃতি বিট,સ્વીકૃતિ
অ্যাকোস্টিক,ધ્વનિશાસ્ત્ર
অ্যাকোস্টিক যোগাযোগ,ધ્વનિશાસ્ત્ર
অ্যাকোস্টিক প্রসারণ,ધ્વનિ -પ્રસરણ
অ্যাকোস্টিক ইকুয়ালাইজার,ધ્વનિ -બરાબરી
অ্যাকোস্টিক প্রতিক্রিয়া,ધ્વનિ -પ્રતિસાદ
অ্যাকোস্টিক ফিল্টার,ધ્વનિ ફિલ્ટર
শব্দের সংরোধ,ધ્વનિ અવરોધ
অ্যাকোস্টিক মাস্কিং,ધ્વનિ -માસ્કીંગ
অ্যাকোস্টিক শক্তি,ધ્વનિની શક્તિ
অ্যাকোস্টিক সম্পত্তি,ધ્વનિપક્ષીય મિલકત
অ্যাকোস্টিক রিঅ্যাক্ট্যান্স,ધ્વનિની પ્રતિક્રિયા
অ্যাকোস্টিক রিফ্লেক্স,ધ્વનિ -પ્રતિબિંબ
অ্যাকোস্টিক টাইল,ધ્વનિ ટાઇલ
অ্যাকোস্টিক তরঙ্গ,ધ્વનિ તરંગ
শাব্দিক শোষণ,શ્રવ -શોષણ
শাব্দিক মনোযোগ ধ্রুবক,શ્રવણશક્તિ એટેન્યુએશન
শাব্দিক স্যাঁতসেঁতে,શ્રવણની ભીનાશ
শাব্দিক বিলম্ব লাইন,ધ્વનિ વિલંબ રેખા
শাব্দিক বিকৃতি,ધ્વનિની વિકૃતિ
শাব্দিক নালী,શ્રવણ નલિક
শাব্দিক শক্তি,શ્રવણશક્તિ
শাব্দিক প্রতিক্রিয়া,શ્રવણશક્તિ
শাব্দিক ফিল্টার,શ્રદ્ધ ફિલ્ટર
শাব্দিক প্রতিবন্ধকতা,શ્રવણનો અવરોધ
শাব্দিক প্রচার ধ্রুবক,ધ્વનિ -પ્રચાર
শাব্দিক প্রতিরোধের,શ્રવણ પ્રતિકાર
শাব্দিকভাবে অন্তরক,ધ્વનિભ્રમણાથી ઇન્સ્યુલેટેડ
অ্যাকোস্টিকস,ધ્વનિશાસ્ત્ર
অধিগ্রহণ,સંપાદન
সংক্ষিপ্ত বিবরণ,ટૂંકાક્ષર
অ্যাকশন এরিয়া,કાર્યવાહી ક્ષેત્ર
সক্রিয় ফিলামেন্ট,સક્રિય ફિલામેન્ટ
সক্রিয়,સક્રિય
সক্রিয় এলাকা,સક્રિય ક્ષેત્ર
সক্রিয় উইন্ডো,સક્રિય બારી
অভিযোজনযোগ্যতা,અનુકૂલનક્ષમતા
অ্যাডাপ্টার (অ্যাডাপ্টার),એડેપ્ટર (એડેપ્ટર)
অভিযোজিত ডিফারেনশিয়াল পালস কোড মড্যুলেশন,અનુકૂલનશીલ વિભેદક પલ્સ મોડ્યુલેશન
ঠিকানা বই,સરનામા પુસ્તિકા
ঠিকানা বাস,સરનાવ બસ
ঠিকানা রেজোলিউশন,ઠરાવ
সংলগ্ন চ্যানেল হস্তক্ষেপ,સંલગ્ન ચેનલ દખલ
সংলগ্ন চ্যানেল নির্বাচন,સંલગ્ન ચેનલ પસંદગી
সংলগ্ন ফ্রিকোয়েন্সি,સંલગ્ન આવર્તન
সংলগ্ন ফ্রিকোয়েন্সি চ্যানেল,સંલગ્ન આવર્તન ચેનલ
সংলগ্ন ছবি ক্যারিয়ার,અડીને ચિત્ર વાહક
সংলগ্ন সাউন্ড ক্যারিয়ার,અડીને ધ્વનિ વાહક
সংলগ্ন স্টেশন,સંલગ્ન મથક
সামঞ্জস্যযোগ্য,ગોઠવણપાત્ર
সামঞ্জস্যযোগ্য কনডেন্সার,ગોઠવણપાત્ર કન્ડેન્સર
সামঞ্জস্য চাপ,ગોઠવણ
সামঞ্জস্য করা রেঞ্চ,સમાયોજન
সামঞ্জস্য,સમાયોજન
প্রশাসক,વહીવટકર્તા
উন্নত প্রযুক্তি,અદ્યતન ટેકનોલોજી
এরিয়াল,હવાઈ
এরিয়াল অ্যারে,હવાઈ ​​એરે
এরিয়াল বুস্টার,હવાઈ ​​બૂસ્ટર
এরিয়াল কারেন্ট,હવાઈ ​​પ્રવાહ
এরিয়াল আর্থিং সুইচ,હવાઈ ​​કમાણી સ્વીચ
বায়বীয় দক্ষতা,હવાઈ ​​કાર્યક્ષમતા
বায়বীয় প্রতিবন্ধকতা,હવાઈ ​​અવરોધ
এরিয়াল ইন্ডাক্ট্যান্স,હવાઈ ​​લિટક્શન
এরিয়াল ইনসুলেটর,હવાઈ ​​ઇન્સ્યુલેટર
এরিয়াল লোডিং কয়েল,હવાઈ ​​લોડિંગ કોઇલ
আকাশ থেকে ছবি তোলা,હવાઈ ​​ફોટોગ્રાફી
বায়বীয় শক্তি,હવાઈ ​​શક્તિ
বায়বীয় বিকিরণ পুনর্নির্মাণ,હવાઈ ​​કિરણોત્સર્ગ
বায়বীয় বিক্রিয়া,હવાઈ ​​પ્રતિક્રિયા
এয়ারোডাইনামিক্স,વાયુમિશ્રણશાસ્ત્ર
এজেন্সি,સંસ્થા
বায়ু সংকোচকারী,હવાઈ ​​સંકોચન
এয়ার কনডেন্সার,હવાઈ ​​કન્ડેન્સર
ঠান্ডা বাতাস,હવાઈ ​​ઠંડુ
বায়ু কর্ড কয়েল,હવાઈ ​​બાંધેલી કોથળી
এয়ারকন্ডিশনিং,વાતાનુકૂલન
আলবেডো,અલ્બેડો
অ্যালগরিদম,અલ્ગોરિધમનો
এলিয়াসিং,પરવાના
সারিবদ্ধ,સંલગ્ન
প্রান্তিককরণ,ગોઠવણી
সমস্ত তরঙ্গ বিমান,બધા તરંગ હવાઈ
বরাদ্দ,ફાળવણી
বর্ণমালা,વર્ણાનુક્રમ
বর্ণমালা,મૂર્તિમંત
আলফানিউমেরিক চরিত্র,વર્ણ -અક્ષર
আলফানিউমেরিক তথ্য,વર્ણ -મૂર્તિમંત માહિતી
বিকল্প বর্তমান (এ.সি.),વૈકલ્પિક વર્તમાન (એ.સી.)
বিকল্প,એકાંતરણ
বিকল্প,પરાકારી
উচ্চতা,Altંચાઈ
অপোজির উচ্চতা,અનુગામી alt ંચાઇ
পেরিগির উচ্চতা,પેરગીની alt ંચાઇ
অপেশাদার রেডিও যোগাযোগ,કલાપ્રેમી રેડિયો સંચાર
পরিবেশ,વાતાવરણ
পরিবেশ মাইক্রোফোন,આજુબાજુના માઇક્રોફોન
পরিবেষ্টিত অবস্থা,આસપાસની શરત
পরিবেষ্টনকারী আলো,આસપાસની આજુબાજુની પ્રકાશ
পরিবেষ্টিত শব্দ,આજુબાજુનો અવાજ
পরিবেষ্টিত তাপমাত্রা,આસપાસનું તાપમાન
আমেরিকান স্ট্যান্ডার্ড কোড,અમેરિકન માનક સંહિતા
অ্যাম্পিয়ার,ષડયંત્ર
অ্যাম্পের মিটার,Amાંદું મીટર
পরিবর্ধন,વિસ્તૃત કરવું તે
প্রশস্তকরণ ফ্যাক্টর,વિસ્તૃત પરિબળ
পরিবর্ধক,પ્રવેધક
পরিবর্ধক লাভ,વિપુલ લાભ
পরিবর্ধক শব্দ,એમ્પ્લીફાયર અવાજ
পরিবর্ধক সরঞ্জাম,વિસ્તૃત સાધનસામગ્રી
