Malayalam,Gujarati
എ.സി തുല്യമായ സർക്യൂട്ട്,એસી સમકક્ષ સર્કિટ
അനലോഗ് ടു ന്യൂമെറിക് കൺവെർട്ടർ,આંકડાકીય કન્વર્ટર માટે એનાલોગ
കേവല പൂജ്യം,સંપૂર્ણ શૂન્ય
ആഗിരണം ഗുണകം,શોષણ ગુણાંક
ആഗിരണം സ്പെക്ട്രം,શોષણ સ્પેક્ટ્રમ
റിസപ്റ്റർ ആറ്റം,રીસેપ્ટર અણુ
ആൾട്ടർനേറ്റിംഗ് കറന്റ് കപ്ലിംഗ്,વૈકલ્પિક વર્તમાન જોડાણ
ഇലക്ട്രോൺ വിളവെടുപ്പ്,ઇલેક્ટ્રોન લણણી
ദ്വാര സംഭരണം,છિદ્ર સંગ્રહ
സജീവമാക്കൽ ഊർജ്ജം,સક્રિયકરણ ઊર્જા
സജീവ ആംപ്ലിഫയർ,સક્રિય એમ્પ્લીફાયર
സജീവ ഡയോഡ് സർക്യൂട്ട്,સક્રિય ડાયોડ સર્કિટ
സജീവ ഫിൽട്ടർ,સક્રિય ફિલ્ટર
സജീവമായ ഉയർന്ന ഫ്രീക്വൻസി പാർക്ക്വെറ്റ് ഫിൽട്ടർ,સક્રિય ઉચ્ચ આવર્તન લાકડું ફિલ્ટર
സജീവ ലോഡ്,સક્રિય લોડ
സജീവമായ ലോ ഫ്രീക്വൻസി പാഴ്സ് ഫിൽട്ടർ,સક્રિય ઓછી આવર્તન પાર્સ ફિલ્ટર
സജീവമായ പ്രദേശം,સક્રિય વિસ્તાર
അഡാപ്റ്റീവ് ഇലക്ട്രോണിക്സ്,અનુકૂલનશીલ ઇલેક્ટ્રોનિક્સ
ചേർക്കുന്നയാൾ,ઉમેરનાર
ക്രമീകരിക്കാവുന്ന ബാൻഡ് വിപുലീകരണം,એડજસ્ટેબલ બેન્ડ એક્સ્ટેંશન
നുഴഞ്ഞുകയറ്റം,પ્રવેશ
ഏരിയൽ,એરિયલ
പെപ് ആവൃത്തി,pep આવર્તન
എയർ കണ്ടീഷണർ,એર કન્ડીશનર
വിന്യാസം,ગોઠવણી
അൽഗോരിതം,અલ્ગોરિધમ
എല്ലാ പാസ് ഫിൽട്ടറും,બધા પાસ ફિલ્ટર
അലോയ് ജംഗ്ഷൻ,એલોય જંકશન
ശോഷണം,એટેન્યુએશન
ആൾട്ടർനേറ്റിംഗ് കറന്റ്,વૈકલ્પિક પ્રવાહ
അന്തരീക്ഷ ഊഷ്മാവ്,આસપાસનું તાપમાન
ബൈപോളാർ,દ્વિધ્રુવી
ആംപ്ലിഫിക്കേഷൻ,એમ્પ્લીફિકેશન
ആംപ്ലിഫയർ,એમ્પ્લીફાયર
ആംപ്ലിഫയർ കാര്യക്ഷമത,એમ્પ્લીફાયર કાર્યક્ષમતા
അളവുകൾ,પરિમાણો
ആംപ്ലിറ്റ്യൂഡ് അറ്റൻവേഷൻ,કંપનવિસ્તાર એટેન્યુએશન
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റഡ് AM ഓസിലേറ്റർ,કંપનવિસ્તાર મોડ્યુલેટેડ AM ઓસિલેટર
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേഷൻ,કંપનવિસ્તાર મોડ્યુલેશન
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റർ,કંપનવિસ્તાર મોડ્યુલેટર
angstrom യൂണിറ്റ്,એંગસ્ટ્રોમ એકમ
അനലോഗ് സർക്യൂട്ട്,એનાલોગ સર્કિટ
അനലോഗ് കമ്പ്യൂട്ടർ,એનાલોગ કમ્પ્યુટર
അനലോഗ് ഫിൽട്ടർ,એનાલોગ ફિલ્ટર
അനലോഗ് മൾട്ടിമീറ്റർ,એનાલોગ મલ્ટિમીટર
അനലോഗ് സ്വിച്ച്,એનાલોગ સ્વીચ
ഒപ്പം ഗേറ്റും,અને દરવાજો
കോണീയ ആവൃത്തി,કોણીય આવર્તન
"അയോൺ, അയോൺ","anion, anion"
അനീലിംഗ് താപനില,એનિલિંગ તાપમાન
ആനോഡ്,એનોડ
ആനോഡ് ആംപ്ലിഫയർ,એનોડ એમ્પ્લીફાયર
അനോഡൈൻ,anodyne
ആന്റിന,એન્ટેના
ആന്റിന ഘടകം,એન્ટેના ઘટક
ആന്റി-റിഫ്ലക്ടീവ് കോട്ടിംഗ്,વિરોધી પ્રતિબિંબીત કોટિંગ
ആന്റിലോഗിൻ ആംപ്ലിഫയർ,એન્ટિલોગિન એમ્પ્લીફાયર
antiresonant സർക്യൂട്ട്,પ્રતિરોધક સર્કિટ
ദ്വാരക കാലഘട്ടം,દ્વારક સમયગાળો
വെർച്വൽ പവർ,વર્ચ્યુઅલ પાવર
വയർ കണക്ഷൻ,વાયર કનેક્શન
ഏകദേശ വോൾട്ടേജ് നേട്ടം,અંદાજિત વોલ્ટેજ ગેઇન
ആംസ്ട്രോങ് മോഡുലേറ്റർ,આર્મસ્ટ્રોંગ મોડ્યુલેટર
ആന്റിന അറേ,એન્ટેના એરે
"വലുപ്പ അനുപാതം, വീക്ഷണ അനുപാതം","કદ ગુણોત્તર, પાસા ગુણોત્તર"
ഫ്ലോട്ടിംഗ് സർക്യൂട്ട് (സ്വതന്ത്ര ഓപ്പറേറ്റിംഗ് സർക്യൂട്ട്),ફ્લોટિંગ સર્કિટ (ફ્રી ઓપરેટિંગ સર્કિટ)
ഓട്ടോമാറ്റിക് മൾട്ടിവൈബ്രേറ്റർ,સ્વચાલિત મલ્ટિવાઇબ્રેટર
