Punjabi,Tamil
ਅਬੇਲੀ ਸਮੂਹ,அபேலி குழு
ਅਬੇਲੀ ਸਮੂਹ,அபேலி குழு
ਹੱਥ,கை
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਸਥਿਰ, ਸਟੀਕ","முழுமையான, முழுமையான, நிலையான, துல்லியமான"
ਪੂਰਨ ਕਨਵਰਜੈਂਸ,முழுமையான ஒருங்கிணைப்பு
ਪੂਰਨ ਗਲਤੀ,முழுமையான பிழை
ਪਰਮ ਸਰਵਉੱਚ,உச்ச உச்ச
ਸਭ ਤੋਂ ਘੱਟ,முற்றிலும் குறைந்த
ਸਹੀ ਮੁੱਲ,துல்லியமான மதிப்பு
ਪੂਰਨ ਗਤੀ,முழுமையான வேகம்
ਸਾਰ ਅਲਜਬਰਾ,சுருக்க இயற்கணிதம்
ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ,சுருக்க குழு கோட்பாடு
ਪ੍ਰਵੇਗ,முடுக்கம்
ਗਰੈਵੀਟੇਸ਼ਨਲ ਪ੍ਰਵੇਗ,ஈர்ப்பு முடுக்கம்
ਸਵੀਕਾਰਯੋਗ ਚੋਣਕਾਰ,ஏற்றுக்கொள்ளக்கூடிய தேர்வாளர்
ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ,ஏற்றுக்கொள்ளக்கூடிய தர நிலை
ਸਵੀਕਾਰਯੋਗ ਜਗ੍ਹਾ,ஏற்றுக்கொள்ளக்கூடிய வளாகம்
ਵੈਧ ਭਰੋਸੇਯੋਗਤਾ ਪੱਧਰ,சரியான நம்பகத்தன்மை நிலை
ਸਵੀਕ੍ਰਿਤੀ ਨਮੂਨਾ,ஏற்பு மாதிரி
ਸੰਚਿਤ ਗਲਤੀ,திரட்டப்பட்ட பிழை
ਸ਼ੁੱਧਤਾ,துல்லியம்
ਲਾਗੂ ਫੋਰਸ,பயன்படுத்தப்படும் சக்தி
"ਕਾਰਵਾਈ, ਕੰਮ","செயல், செயல்"
ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ,செயல் மற்றும் எதிர்வினை
ਬੀਮਾ ਵਿਗਿਆਨ,காப்பீட்டு அறிவியல்
ਤੀਬਰ ਤਿਕੋਣ,கடுமையான முக்கோணம்
acyclic,அசைக்ளிக்
ਸੰਪੇਕਸ਼ਤ,மொத்தத்தில்
ਜੋੜਨ ਵਾਲਾ,சேர்ப்பான்
"ਜੋੜ, ਜੋੜ, ਜੋੜ (c.), ਜੋੜ (v.)","தொகை, கூட்டல், கூட்டுத்தொகை (c.), கூட்டல் (v.)"
ਯੋਗਾ ਦਾ ਫਾਰਮੂਲਾ,யோகா சூத்திரம்
ਮਿਸ਼ਰਿਤ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ,கலப்பு எண்களின் கூட்டுத்தொகை
ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ,செயல்பாடுகளின் கூட்டுத்தொகை
ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ,மெட்ரிக்குகளின் கூட்டுத்தொகை
ਬਹੁਪਦ ਦਾ ਜੋੜ,பல்லுறுப்புக்கோவைகளின் தொகை
ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ,நிகழ்தகவுகளின் கூட்டுத்தொகை
