Malayalam,Tamil
"1.അബാക്കസ്, 2. എണ്ണുന്നു","1.அபாகஸ், 2. எண்ணும்"
അസാധാരണമായ അവസാനം,அசாதாரண முடிவு
തടസ്സപ്പെടുത്തുക,இடைமறிக்கவும்
"1. കേവലം, 2. പരമോന്നത","1. முழுமையான, 2. உச்சம்"
സമ്പൂർണ്ണ വിലാസം,முழுமையான முகவரி
സമ്പൂർണ്ണ വിലാസക്ഷമത,முழுமையான முகவரித்திறன்
കേവല അസംബ്ലർ,முழுமையான அசெம்பிளர்
"1. കേവല കോഡ്, 2. കേവല കോഡ്","1. முழுமையான குறியீடு, 2. முழுமையான குறியீடு"
സമ്പൂർണ്ണ കമാൻഡ്,முழுமையான கட்டளை
"1. കേവല കണക്കുകൾ, 2. സമ്പൂർണ്ണ ഡാറ്റ","1. முழுமையான புள்ளிவிவரங்கள், 2. முழுமையான தரவு"
സമ്പൂർണ്ണ നിർദ്ദേശം,முழுமையான அறிவுறுத்தல்
കേവല മോഡ്,முழுமையான பயன்முறை
കേവല പാത,முழுமையான பாதை
"1. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്, 2. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്","1. முழுமையான நிரலாக்கம், 2. முழுமையான நிரலாக்கம்"
അമൂർത്ത ക്ലാസ്,சுருக்க வர்க்கம்
അമൂർത്ത ഡാറ്റ തരം,சுருக்க தரவு வகை
അമൂർത്ത യന്ത്രം,சுருக்க இயந்திரம்
അമൂർത്ത ചിഹ്നം,சுருக்க சின்னம்
അമൂർത്തമായ വാക്യഘടന,சுருக்க தொடரியல்
സ്വീകാര്യത പരിശോധന,ஏற்பு சோதனை
പ്രവേശന സർട്ടിഫിക്കേഷൻ,அணுகல் சான்றிதழ்
"1. ആക്സസ് കോഡ്, 2. പ്രവേശന കോഡ്","1. அணுகல் குறியீடு, 2. அணுகல் குறியீடு"
പ്രവേശന നിയന്ത്രണം,நுழைவு கட்டுப்பாடு
ആക്സസ് സ്കാനിംഗ്,அணுகல் ஸ்கேனிங்
സാധനങ്ങൾ,பாகங்கள்
അക്കൌണ്ടിംഗ്,கணக்கியல்
"1. അക്കൗണ്ട് ഐഡി, 2. അക്കൗണ്ടിംഗ് തിരിച്ചറിയൽ","1. கணக்கு ஐடி, 2. கணக்கியல் அடையாளம்"
ശേഖരണം,திரட்டி
"1. കൃത്യത, 2. കൃത്യത","1. துல்லியம், 2. துல்லியம்"
പ്രവേശനം,அணுகல்
ആക്സസ് കൺട്രോൾ ബൈറ്റുകൾ,அணுகல் கட்டுப்பாட்டு பைட்டுகள்
പ്രവേശന സൂചകം,அணுகல் காட்டி
ആക്സസ് കീ,அணுகல் விசை
"1. ആക്സസ് മാട്രിക്സ്, 2. ആക്സസ് മാട്രിക്സ്","1. அணுகல் அணி, 2. அணுகல் அணி"
