Bengali,Tamil
A B শ্রেণীর পরিবর্ধক,A B வகுப்பு பெருக்கி
বিকৃতি,பிறழ்வு
অস্বাভাবিক সংক্রমণ,அசாதாரண பரிமாற்றம்
"অসংলগ্ন, সাধারণত, পিট করা, অঙ্গচ্ছেদ করা, ভাঙা","இணைக்கப்படாத, பொதுவாக, குழி, துண்டிக்கப்பட்ட, எலும்பு முறிவு"
অনুপস্থিত বর্ণালী,ஸ்பெக்ட்ரம் காணவில்லை
"পরম, পরম, ধ্রুবক, নিখুঁত","முழுமையான, முழுமையான, நிலையான, சரியான"
পরম আর্দ্রতা,முழுமையான ஈரப்பதம்
পরম গতি,முழுமையான வேகம்
পরম পর্যবেক্ষণ,முழுமையான கவனிப்பு
পরম তাপমাত্রা,முழுமையான வெப்பநிலை
পরম শূন্য,முழுமையான பூஜ்ஜியம்
শোষণ করা,உறிஞ்சி
"শোষক, শোষক","உறிஞ்சும், உறிஞ்சும்"
শোষণ ক্ষমতা,உறிஞ்சும் திறன்
শোষণ,உறிஞ்சுதல்
শোষক,உறிஞ்சக்கூடியது
শোষণ,உறிஞ்சும் தன்மை
বহুগুণ অনুপাত,பன்மடங்கு விகிதம்
ত্বরান্বিত করা,முடுக்கி
তাড়াতাড়ি,விரைந்தார்
ত্বরণ,முடுக்கம்
অভিকর্ষের ত্বরণ,ஈர்ப்பு முடுக்கம்
এক্সিলারেটর,முடுக்கி
এক্সিলারেটর,முடுக்கி
অ্যাক্সিলোমিটার,முடுக்கமானி
prestresser,முன் அழுத்தம் கொடுப்பவர்
গ্রহণযোগ্য পরীক্ষা,ஏற்றுக்கொள்ளக்கூடிய சோதனை
গ্রহণকারী,ஏற்பவர்
দাতা অণু,நன்கொடையாளர் மூலக்கூறு
"অ্যাক্সেস, অপেক্ষা, অ্যাক্সেসযোগ্যতা","அணுகல், காத்திருப்பு, அணுகல்"
অ্যাক্সেসযোগ্যতা,அணுகல்
"অতিরিক্ত, আনুষঙ্গিক, আনুষঙ্গিক (v.), আনুষাঙ্গিক (সম্পাদনা)","கூடுதல், துணை, துணை (v.), துணைக்கருவிகள் (ed.)"
প্রবেশাধিকার সময়,அணுகல் நேரம்
ভিজিটর ত্রুটি,பார்வையாளர் பிழை
সমন্বয়,சரிசெய்தல்
পুঞ্জীভূত,திரட்டப்பட்டது
"accumulation, accumulation","திரட்சி, குவிப்பு"
সঞ্চয়কারী,திரட்டி
সঠিকতা,துல்லியம்
বাস্তবতা,யதார்த்தம்
অ্যাক্রোমেটিক লেন্স,நிறமற்ற லென்ஸ்
অ্যাক্রোমেটিক,வண்ணமயமான
বর্ণহীনতা,வண்ணமயமான தன்மை
শাব্দিক,ஒலியியல்
শব্দরোধী,ஒலி எதிர்ப்பு
শাব্দিক ফোনন,ஒலி ஃபோனான்
শব্দ ইউনিট,ஒலி அலகு
শাব্দিক,ஒலியியல்
শব্দ জেনারেটর,ஒலி ஜெனரேட்டர்
কর্ম এবং প্রতিক্রিয়া,செயல் மற்றும் எதிர்வினை
সক্রিয়করণ,செயல்படுத்துதல்
অ্যাক্টিভেশন শক্তি,செயல்படுத்தும் ஆற்றல்
"সক্রিয়কারী, সক্রিয়কারী","செயல்படுத்துபவர், செயல்படுத்துபவர்"
সক্রিয়,செயலில்
সক্রিয়তা,செயற்பாடு
প্রকৃত চাপ,உண்மையான மன அழுத்தம்
ফিসফিস,கிசுகிசுத்தல்
যোগফল,மொத்தத்தில்
"যোগফল, যোগ, সমষ্টি (সম্পাদনা), যোজক (v.)","தொகை, கூட்டல், மொத்த (பதிப்பு), சேர்க்கை (v.)"
"সংযোজক স্বর, অতিরিক্ত স্বর (স্বর)","இணைந்த தொனி, கூடுதல் தொனி (உயிர்)"
সংযোজনকারী,சேர்க்கை
আনুগত্য,ஒட்டுதல்
আঠালো শক্তি,பிசின் ஆற்றல்
adiabat,அடியாபட்
adiabatic,அடியாபாடிக்
তাপ নিরোধক,வெப்ப காப்பு
সংযুক্তি,இணைப்பு
সামঞ্জস্যযোগ্য,அனுசரிப்பு
অনুপ্রবেশ,ஊடுருவல்
শোষণ,உறிஞ்சுதல்
এগিয়ে,முன்னோக்கி
প্রগতিশীল,முற்போக்கானது
